,group,variable,month,CARDIOVASCULARES CANTIDAD,CARDIOVASCULARES CANTIDAD,TOTALES,TOTALES,TOTALES
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,5,2,5,2,7
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,1,1,1,2
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,2,1,2,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,54,53,54,53,107
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,7,4,7,4,11
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,0,1,0,1
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,2,0,2,2
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,1,1,1,2
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,2,2,2,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,15,9,15,9,24
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,6,1,6,7
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,0,1,0,1
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,11,8,11,8,19
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,0,2,0,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,4,3,4,3,7
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,6,2,6,8
REYES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,23,11,23,11,34
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,7,6,7,6,13
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,2,2,2,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,12,11,12,11,23
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,0,1,0,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,0,1,0,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,3,2,3,5
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,0,2,0,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,4,0,4,0,4
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,6,4,6,4,10
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,13,6,13,6,19
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,5,2,5,7
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,32,32,32,32,64
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,1,1,1,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,3,1,3,4
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,14,14,14,14,28
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,1,2,1,3
SAN PABLO DE LIPEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,0,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,263,303,263,303,566
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,2,2,2,4
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,0,1,0,1
SENA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,2,0,2,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,5,10,5,10,15
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,79,140,79,140,219
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,5,4,5,4,9
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,19,22,19,22,41
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,9,5,9,5,14
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,0,2,0,2
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,0,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,2,3,2,3,5
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,5,3,5,3,8
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,7,12,7,12,19
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,64,60,64,60,124
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,6,9,6,9,15
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,1,1,1,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,1,1,1,2
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,1,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,1,2,1,2,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,10,12,10,12,22
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,0,3,0,3,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,26,19,26,19,45
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,3,0,3,0,3
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,31,13,31,13,44
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-03-01,3,3,3,3,6
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,1,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,12,11,12,11,23
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,1,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,5,0,5,5
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,5,10,5,10,15
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,3,3,3,3,6
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,29,32,29,32,61
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,12,7,12,7,19
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,2,3,2,3,5
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,4,5,4,5,9
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,16,23,16,23,39
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,3,5,3,5,8
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,3,4,3,4,7
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,20,1,20,1,21
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,4,2,4,2,6
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,5,3,5,3,8
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,3,4,3,4,7
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,5,2,5,2,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,163,158,163,158,321
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,0,1,0,1
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,3,0,3,0,3
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,5,3,5,3,8
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,2,1,2,1,3
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,1,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,2,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,50,34,50,34,84
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,4,2,4,2,6
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,2,1,2,1,3
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,2,0,2,2
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,0,1,0,1
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,2,0,2,2
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,1,1,1,2
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,6,6,6,6,12
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,5,1,5,6
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,0,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,4,1,4,1,5
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,2,1,2,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,5,4,5,4,9
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,420,462,420,462,882
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,5,5,5,5,10
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,3,1,3,1,4
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,3,2,3,2,5
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,2,0,2,0,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,5,3,5,3,8
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,16,15,16,15,31
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,41,45,41,45,86
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,3,0,3,3
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,2,4,2,4,6
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,2,2,2,2,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,52,65,52,65,117
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,1,0,1,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,20,14,20,14,34
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,0,1,0,1
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,1,0,1,1
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,0,1,0,1
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,1,0,1,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,3,1,3,1,4
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,7,3,7,3,10
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,3,3,3,3,6
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,0,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,5,8,5,8,13
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,2,4,2,4,6
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,3,0,3,3
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,0,1,0,1
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,17,0,17,0,17
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,6,5,6,5,11
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,2,1,2,1,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,2,1,2,3
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,6,1,6,7
REYES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,17,15,17,15,32
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,8,146,8,146,154
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,0,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,3,2,3,2,5
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,3,4,3,4,7
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,2,1,2,3
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,4,0,4,4
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,8,3,8,3,11
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,7,7,7,7,14
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,3,0,3,0,3
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,4,1,4,1,5
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,29,19,29,19,48
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,2,1,2,1,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,2,5,2,5,7
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,2,1,2,1,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,2,0,2,2
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,2,2,2,2,4
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,2368,414,2368,414,2782
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,2,0,2,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,345,461,345,461,806
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,8,8,8,8,16
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,19,18,19,18,37
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,5,2,5,2,7
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,2,0,2,0,2
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,0,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,2,1,2,3
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,5,6,5,6,11
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,32,15,32,15,47
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,51,39,51,39,90
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,6,4,6,4,10
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,17,12,17,12,29
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,9,8,9,8,17
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,8,9,8,9,17
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,2,2,2,2,4
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,6,5,6,5,11
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,24,31,24,31,55
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,16,10,16,10,26
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-04-01,3,2,3,2,5
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,4,6,4,6,10
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,1,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,8,13,8,13,21
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,3,4,3,4,7
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,4,2,4,2,6
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,31,32,31,32,63
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,4,3,4,3,7
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
CALACOTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,18,17,18,17,35
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,7,5,7,5,12
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,1,1,1,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,1,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,185,207,185,207,392
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,11,7,11,7,18
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,15,10,15,10,25
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,4,1,4,5
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,2,0,2,2
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,2,0,2,0,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,74,81,74,81,155
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,2,1,2,1,3
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,2,3,2,3,5
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,2,3,2,3,5
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,4,1,4,5
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,2,1,2,3
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,6,5,6,5,11
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,6,0,6,0,6
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,465,182,465,182,647
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,1,1,1,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,0,1,0,1,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,4,1,4,1,5
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,5,2,5,2,7
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,4,2,4,2,6
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,66,95,66,95,161
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,2,1,2,3
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,1,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,45,56,45,56,101
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,1,0,1,0,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,23,8,23,8,31
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,2,1,2,1,3
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-05-01,6,2,6,2,8
