,group,variable,month,DIABETES MELLITUS I - II CANTIDAD,DIABETES MELLITUS I - II CANTIDAD,TOTALES,TOTALES,TOTALES
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,4,0,4,4
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,2,0,2,2
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,1,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,2,6,2,6,8
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,6,11,6,11,17
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,384,476,384,476,860
COIPASA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,1,0,1,1
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,5,10,5,10,15
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,2,1,2,3
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,3,20,3,20,23
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,1,0,1,1
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,1,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,1,1,1,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,18,24,18,24,42
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,2,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,68,145,68,145,213
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,0,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,7,22,7,22,29
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,4,6,4,6,10
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,2,3,2,3,5
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,2,1,2,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,25,32,25,32,57
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,0,1,0,1
HUARACAJE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,1,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,2,1,2,1,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,7,5,7,5,12
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,139,222,139,222,361
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,1,1,1,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,2,0,2,2
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,4,3,4,3,7
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,3,1,3,1,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,16,39,16,39,55
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,2,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,139,229,139,229,368
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,2,3,2,3,5
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,1,1,1,2
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,37,56,37,56,93
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,2,1,2,1,3
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,28,15,28,15,43
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,2,0,2,2
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,6,0,6,6
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,12,18,12,18,30
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,3,1,3,1,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,15,14,15,14,29
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,5,3,5,3,8
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,3,1,3,4
REYES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,16,22,16,22,38
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,9,11,9,11,20
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,1,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,5,4,5,4,9
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,13,15,13,15,28
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,3,1,3,4
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,1,1,1,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,3,0,3,0,3
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,2,3,2,3,5
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,5,19,5,19,24
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,17,61,17,61,78
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,2,5,2,5,7
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,93,99,93,99,192
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,8,14,8,14,22
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,0,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,6,0,6,6
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,0,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,2,0,2,2
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,2,4,2,4,6
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,2,1,2,1,3
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,835,196,835,196,1031
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,4,1,4,5
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,0,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,2,10,2,10,12
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,3,0,3,0,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,106,176,106,176,282
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,1,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,31,71,31,71,102
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,2,1,2,3
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,1,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,5,14,5,14,19
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,27,21,27,21,48
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,4,5,4,5,9
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,2,1,2,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,5,20,5,20,25
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,2,1,2,3
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,8,15,8,15,23
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,1,2,1,2,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,23,33,23,33,56
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,3,0,3,3
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,0,1,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,2,18,2,18,20
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,28,33,28,33,61
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-03-01,25,27,25,27,52
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,3,0,3,3
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,7,5,7,5,12
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,3,0,3,3
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,2,1,2,1,3
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,1,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,1,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,31,44,31,44,75
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,1,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,3,1,3,1,4
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,5,1,5,1,6
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,3,8,3,8,11
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,58,62,58,62,120
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,12,20,12,20,32
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,0,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,0,1,0,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,3,2,3,2,5
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,1,1,1,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,12,16,12,16,28
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,23,46,23,46,69
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,315,447,315,447,762
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,6,15,6,15,21
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,3,0,3,3
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,6,12,6,12,18
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,1,1,1,2
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,0,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,2,0,2,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,2,1,2,1,3
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,2,2,2,2,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,42,74,42,74,116
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,5,30,5,30,35
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,3,1,3,4
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,0,1,0,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,3,1,3,1,4
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,1,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,2,1,2,3
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,2,1,2,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,11,19,11,19,30
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,1,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,5,6,5,6,11
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,308,379,308,379,687
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,0,1,0,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,15,6,15,6,21
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,4,8,4,8,12
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,0,1,0,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,1,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,5,11,5,11,16
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,53,82,53,82,135
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,1,0,1,1
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,2,1,2,1,3
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,2,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,134,325,134,325,459
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,6,20,6,20,26
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,26,52,26,52,78
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,1,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,24,20,24,20,44
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,5,1,5,6
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,11,31,11,31,42
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,2,0,2,0,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,10,17,10,17,27
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,1,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,18,14,18,14,32
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,6,5,6,5,11
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,3,1,3,4
REYES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,10,28,10,28,38
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,9,11,9,11,20
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,3,8,3,8,11
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,2,1,2,1,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,5,18,5,18,23
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,0,1,0,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,0,1,0,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,2,0,2,2
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,2,0,2,2
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,2,5,2,5,7
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,10,13,10,13,23
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,17,63,17,63,80
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,1,0,1,1
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,2,8,2,8,10
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,98,115,98,115,213
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,6,12,6,12,18
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,0,1,0,1
SAN LORENZO(PND),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,1,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,0,1,0,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,1,1,1,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,1,0,1,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,2,1,2,3
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,2,1,2,1,3
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,4,5,4,5,9
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,5,0,5,5
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,691,185,691,185,876
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,3,1,3,4
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,1,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,2,4,2,4,6
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,2,1,2,1,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,194,425,194,425,619
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,1,0,1,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,3,1,3,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,36,88,36,88,124
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,1,0,1,1
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,0,1,0,1
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,3,0,3,3
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,3,1,3,1,4
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,1,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,2,0,2,2
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,165,392,165,392,557
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,43,22,43,22,65
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,2,0,2,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,2,3,2,3,5
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,8,5,8,5,13
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,17,36,17,36,53
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,2,2,2,2,4
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,6,12,6,12,18
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,1,4,1,4,5
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,6,32,6,32,38
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,0,2,0,2,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,8,11,8,11,19
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,31,40,31,40,71
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-04-01,14,9,14,9,23
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,2,0,2,0,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,4,7,4,7,11
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,4,0,4,4
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,4,3,4,3,7
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-05-01,0,1,0,1,1
