,group,variable,month,DPT 4TA DOSIS CANTIDAD,DPT 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,76,0,76,0,76
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,24,14,24,14,38
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,8,7,8,7,15
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,2,18,2,18,20
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,0,2,0,2,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,47,0,47,0,47
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,15,0,15,0,15
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,2,34,2,34,36
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,0,29,0,29,29
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,4,6,4,6,10
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,50,0,50,0,50
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,6,12,6,12,18
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,4,18,4,18,22
REYES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,30,0,30,0,30
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,14,4,14,4,18
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,9,0,9,0,9
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,8,44,8,44,52
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,6,0,6,0,6
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,9,0,9,0,9
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,8,8,8,8,16
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,25,23,25,23,48
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,0,54,0,54,54
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,0,2,0,2,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,2,6,2,6,8
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,154,193,154,193,347
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,21,60,21,60,81
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,15,12,15,12,27
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,798,33,798,33,831
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,14,8,14,8,22
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,2,3,2,3,5
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,0,2,0,2,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,2,4,2,4,6
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,0,13,0,13,13
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,0,5,0,5,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,62,36,62,36,98
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,136,45,136,45,181
TARVITA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,10,5,10,5,15
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,35,39,35,39,74
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,0,4,0,4,4
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,27,5,27,5,32
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,8,0,8,0,8
VACAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,1,0,1,0,1
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,22,1,22,1,23
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,11,8,11,8,19
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,13,33,13,33,46
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,32,59,32,59,91
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,2,5,2,5,7
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,108,124,108,124,232
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,5,29,5,29,34
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-07-01,1,2,1,2,3
ALALAY,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,2,0,2,2
ARQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,2,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,673,60,673,60,733
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,7,0,7,7
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,14,102,14,102,116
CALACOTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,8,0,8,8
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,10,0,10,0,10
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,18,0,18,18
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,7,0,7,0,7
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,1,0,1,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,30,0,30,30
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,49,87,49,87,136
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,4,10,4,10,14
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,44,11,44,11,55
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,167,35,167,35,202
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,3,0,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,2,5,2,5,7
COMANCHE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,2,0,2,0,2
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,48,10,48,10,58
CORO CORO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,20,0,20,20
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,13,0,13,13
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,5,97,5,97,102
CUEVO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,11,7,11,7,18
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,190,43,190,43,233
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,9,16,9,16,25
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,13,20,13,20,33
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,103,20,103,20,123
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,26,0,26,26
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,2,0,2,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,4,0,4,0,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,52,64,52,64,116
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,42,59,42,59,101
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,22,6,22,6,28
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,4,0,4,0,4
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,3,0,3,3
ICLA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,4,15,4,15,19
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,10,0,10,0,10
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,10,9,10,9,19
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,37,13,37,13,50
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,9,31,9,31,40
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,1,0,1,1
MACHARETI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,29,16,29,16,45
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,1,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,36,1,36,1,37
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,114,9,114,9,123
OKINAWA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,14,19,14,19,33
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,15,0,15,0,15
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,39,0,39,0,39
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,3,0,3,0,3
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,1,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,8,0,8,8
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,5,0,5,5
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,2,12,2,12,14
PORVENIR,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,1,1,1,1,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,29,1,29,1,30
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,37,0,37,0,37
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,25,6,25,6,31
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,4,12,4,12,16
QUIRUSILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,12,0,12,0,12
RAVELO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,18,0,18,18
REYES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,30,7,30,7,37
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,32,0,32,0,32
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,2,4,2,4,6
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,2,26,2,26,28
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,3,0,3,0,3
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,5,0,5,0,5
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,87,54,87,54,141
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,5,3,5,3,8
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,38,36,38,36,74
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,1,13,1,13,14
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,1,1,1,1,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,4,16,4,16,20
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,9,5,9,5,14
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,3,15,3,15,18
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,21,32,21,32,53
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,698,36,698,36,734
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,2,28,2,28,30
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,12,5,12,5,17
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,5,4,5,4,9
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,2,11,2,11,13
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,123,35,123,35,158
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,0,6,0,6,6
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,232,16,232,16,248
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,52,17,52,17,69
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,2,1,2,1,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,17,6,17,6,23
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,4,0,4,0,4
VACAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,8,0,8,0,8
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,24,1,24,1,25
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,34,9,34,9,43
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,31,51,31,51,82
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,100,28,100,28,128
VITICHI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,7,1,7,1,8
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,32,33,32,33,65
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,88,10,88,10,98
YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,90,0,90,0,90
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-08-01,5,9,5,9,14
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,3,0,3,0,3
ALALAY,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,16,0,16,0,16
AZURDUY,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,11,25,11,25,36
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,10,5,10,5,15
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,8,11,8,11,19
CAJUATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,3,0,3,3
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,5,5,5,5,10
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,39,20,39,20,59
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,2,0,2,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,20,0,20,0,20
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,21,0,21,0,21
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,11,0,11,11
CATACORA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,1,17,1,17,18
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,5,21,5,21,26
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,4,7,4,7,11
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,13,4,13,4,17
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,37,10,37,10,47
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,22,0,22,22
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,162,2,162,2,164
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,30,0,30,0,30
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,2,0,2,0,2
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,1,7,1,7,8
COMANCHE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,1,2,1,2,3
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,44,22,44,22,66
CORO CORO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,2,9,2,9,11
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,17,34,17,34,51
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,8,3,8,3,11
CUEVO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,4,0,4,0,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,350,29,350,29,379
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,10,3,10,3,13
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,6,8,6,8,14
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,76,3,76,3,79
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,2,70,2,70,72
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,2,5,2,5,7
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,2,0,2,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,42,7,42,7,49
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,2,34,2,34,36
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,3,4,3,4,7
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,7,0,7,7
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,8,0,8,8
HUMANATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,2,0,2,0,2
ICHOCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,1,0,1,0,1
ICLA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,6,3,6,3,9
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,34,0,34,34
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,5,0,5,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,20,11,20,11,31
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,135,99,135,99,234
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,11,0,11,0,11
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,6,0,6,6
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,5,0,5,0,5
MACHARETI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,21,59,21,59,80
MAIRANA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,26,0,26,0,26
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,2,2,2,2,4
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,62,24,62,24,86
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,107,8,107,8,115
MORO MORO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,16,0,16,16
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,9,0,9,9
NAZACARA DE PACAJES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,4,0,4,4
OKINAWA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,15,12,15,12,27
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,10,0,10,0,10
PADCAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,20,0,20,20
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,13,31,13,31,44
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,14,0,14,0,14
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,4,14,4,14,18
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,64,283,64,283,347
PORONGO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,17,9,17,9,26
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,2,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,96,6,96,6,102
PRESTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,1,0,1,1
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,3,2,3,2,5
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,13,5,13,5,18
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,21,10,21,10,31
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,4,16,4,16,20
QUIRUSILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,21,0,21,0,21
REYES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,22,18,22,18,40
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,19,4,19,4,23
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,18,3,18,3,21
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,0,12,0,12,12
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,5,0,5,0,5
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,8,31,8,31,39
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,15,5,15,5,20
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,29,147,29,147,176
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,44,185,44,185,229
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,42,6,42,6,48
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,9,6,9,6,15
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-09-01,5,0,5,0,5
