,group,variable,month,DPT 3RA DOSIS CANTIDAD,DPT 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,2,1,2,3
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,0,3,0,3,3
COMARAPA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,4,2,4,2,6
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,32,7,32,7,39
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,0,1,0,1,1
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,3,3,3,3,6
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,5,2,5,2,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,19,12,19,12,31
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,3,0,3,0,3
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,0,1,0,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,4,1,4,1,5
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,0,3,0,3,3
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,8,0,8,0,8
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,0,3,0,3,3
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,18,0,18,0,18
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,2,62,2,62,64
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,5,2,5,2,7
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,4,0,4,0,4
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,12,1,12,13
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,2,1,2,1,3
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,2,1,2,1,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,3,1,3,1,4
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,0,1,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,69,12,69,12,81
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,2,5,2,5,7
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,9,1,9,1,10
TARACO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,0,13,0,13,13
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,0,1,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,0,4,0,4,4
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,0,1,0,1,1
TOCO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,0,2,0,2,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,13,0,13,0,13
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,7,0,7,0,7
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,8,4,8,4,12
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-08-01,1,0,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,4,8,4,8,12
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,0,1,0,1
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,9,0,9,9
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,3,0,3,3
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,8,0,8,0,8
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,3,0,3,0,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,4,0,4,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,11,10,11,10,21
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,16,1,16,1,17
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,3,0,3,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,35,81,35,81,116
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,2,1,2,3
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,2,1,2,3
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,16,38,16,38,54
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,1,1,1,2
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,8,1,8,1,9
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,1,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,2,0,2,0,2
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,2,0,2,2
PORVENIR,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,8,3,8,3,11
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,2,0,2,2
PUNA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,7,0,7,7
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,4,3,4,3,7
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,2,0,2,2
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,3,12,3,12,15
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,1,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,3,1,3,4
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,0,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,4,0,4,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,136,3,136,3,139
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,0,1,0,1
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,3,13,3,13,16
TACACOMA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,17,4,17,4,21
TOLATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,6,0,6,6
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,10,3,10,3,13
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,10,13,10,13,23
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,2,1,2,1,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,4,0,4,0,4
YOTALA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,1,0,1,0,1
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-09-01,0,4,0,4,4
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,5,0,5,5
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,6,0,6,6
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,3,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,2,0,2,2
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,6,0,6,6
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,2,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,5,11,5,11,16
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,31,0,31,31
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,1,7,1,7,8
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,27,0,27,27
CLIZA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,8,41,8,41,49
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,6,8,6,8,14
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,37,0,37,0,37
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,2,1,2,1,3
CORIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,1,0,1,0,1
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,61,52,61,52,113
ESCOMA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,3,0,3,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,10,0,10,0,10
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,30,33,30,33,63
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
LORETO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,33,0,33,33
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,5,0,5,5
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,3,0,3,3
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,5,0,5,0,5
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,6,24,6,24,30
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,1,13,1,13,14
PALCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,1,4,1,4,5
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,3,0,3,0,3
PAZÑA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,3,0,3,0,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,5,73,5,73,78
PUCARANI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,2,16,2,16,18
PUNA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,3,0,3,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,1,1,1,1,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,1,0,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,10,13,10,13,23
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,6,0,6,6
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,10,5,10,5,15
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,3,0,3,3
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,11,0,11,11
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,1,26,1,26,27
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,4,0,4,4
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,193,27,193,27,220
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,1,2,1,2,3
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,2,2,2,2,4
SORACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,1,1,1,1,2
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,5,0,5,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,18,20,18,20,38
TACACOMA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
TAHUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,4,0,4,4
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,41,0,41,41
TARACO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,13,0,13,13
TIPUANI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,3,1,3,1,4
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,9,0,9,9
TOCO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,7,0,7,7
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,35,0,35,0,35
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,6,6,6,6,12
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,1,0,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,3,0,3,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,10,1,10,1,11
WALDO BALLIVIAN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,1,0,1,1
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,2,0,2,0,2
YOTALA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,30,0,30,0,30
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-10-01,0,12,0,12,12
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,4,0,4,4
ALALAY,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,2,0,2,2
ALCALA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,7,0,7,7
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,2,28,2,28,30
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,10,0,10,10
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,0,1,0,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,3,1,3,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,11,6,11,6,17
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,10,0,10,0,10
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,2,3,2,3,5
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,2,0,2,0,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,10,1,10,11
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,21,64,21,64,85
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,1,1,1,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,4,0,4,4
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,19,0,19,0,19
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,20,74,20,74,94
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,5,28,5,28,33
LORETO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,2,40,2,40,42
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,2,2,2,2,4
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,11,2,11,2,13
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,7,0,7,7
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,4,1,4,1,5
PADILLA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
PORCO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,0,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,9,0,9,9
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,3,6,3,6,9
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,2,1,2,1,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,1,1,1,2
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,14,0,14,0,14
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,6,13,6,13,19
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,4,0,4,4
SACACA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,1,1,1,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,2,1,2,3
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,1,2,1,2,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,27,0,27,27
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,12,1,12,1,13
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,0,2,0,2,2
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-11-01,2,0,2,0,2
