,group,variable,month,DPT 2DA DOSIS CANTIDAD,DPT 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,3,0,3,0,3
TARVITA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,0,1,0,1,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,2,2,2,2,4
TOCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,2,0,2,0,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,1,0,1,0,1
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,2,0,2,0,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,2,10,2,10,12
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,0,2,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,6,0,6,0,6
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,6,0,6,0,6
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-07-01,0,1,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,9,0,9,9
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,6,0,6,6
ARQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,13,3,13,3,16
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,1,1,1,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,3,0,3,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,30,0,30,30
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,8,1,8,1,9
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,2,0,2,0,2
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,9,28,9,28,37
CULPINA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,4,0,4,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,17,1,17,1,18
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,6,1,6,1,7
MACHARETI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,1,0,1,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,2,2,2,2,4
MECAPACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,2,0,2,0,2
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,2,1,2,1,3
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,1,1,1,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,4,0,4,0,4
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,19,0,19,19
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,2,0,2,0,2
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,2,0,2,0,2
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,0,1,0,1
POOPO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,12,15,12,15,27
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,5,0,5,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,4,0,4,0,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,1,1,1,2
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,1,0,1,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,3,0,3,3
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,4,8,4,8,12
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,7,0,7,7
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,2,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,3,2,3,2,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,1,0,1,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,61,89,61,89,150
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,1,1,1,2
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,3,1,3,1,4
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,4,0,4,0,4
TACACOMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,1,0,1,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,1,0,1,1
TARACO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,20,0,20,20
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,9,0,9,0,9
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,6,1,6,7
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,1,0,1,1
TOCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,0,1,0,1
TOLATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,3,0,3,0,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,2,1,2,3
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,3,9,3,9,12
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-08-01,1,1,1,1,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,4,1,4,5
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,1,0,1,1
AZURDUY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,24,0,24,0,24
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,1,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,6,0,6,6
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,3,0,3,3
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,3,0,3,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,2,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,2,1,2,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,1,1,1,2
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,5,0,5,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,4,8,4,8,12
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,2,1,2,3
CORO CORO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,42,0,42,42
CORQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,2,0,2,2
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,10,5,10,5,15
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,17,15,17,15,32
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,3,0,3,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,3,5,3,5,8
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,1,0,1,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,2,0,2,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,16,1,16,1,17
LURIBAY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,10,0,10,10
MAIRANA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,9,0,9,0,9
PADCAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,49,6,49,6,55
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,3,0,3,0,3
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,1,1,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,3,4,3,4,7
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,1,0,1,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,4,10,4,10,14
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,8,4,8,4,12
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,2,3,2,3,5
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,2,0,2,0,2
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,0,1,0,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,16,0,16,16
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,1,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,29,22,29,22,51
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,1,0,1,1
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,12,12,12,12,24
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,2,0,2,2
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,4,0,4,4
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,4,1,4,5
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,5,0,5,5
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,2,0,2,0,2
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,0,1,0,1
VACAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,3,5,3,5,8
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,6,0,6,0,6
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,2,0,2,0,2
YOTALA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,1,0,1,0,1
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-09-01,0,6,0,6,6
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,1,0,1,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,6,0,6,6
ALALAY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,2,0,2,2
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,11,0,11,11
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,10,0,10,0,10
AZURDUY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,36,20,36,20,56
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,10,0,10,10
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,2,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,6,0,6,6
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,1,34,1,34,35
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,1,7,1,7,8
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,10,0,10,0,10
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,18,0,18,18
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,2,8,2,8,10
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,1,13,1,13,14
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,9,5,9,5,14
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,1,2,1,2,3
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,5,0,5,5
COMARAPA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,1,0,1,0,1
COPACABANA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,2,0,2,0,2
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,1,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,18,47,18,47,65
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,1,2,1,2,3
CUEVO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,1,0,1,1
CULPINA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,31,36,31,36,67
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,20,0,20,0,20
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,5,0,5,0,5
ESCOMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,4,3,4,3,7
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,3,6,3,6,9
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,2,3,2,3,5
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,11,0,11,11
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,3,14,3,14,17
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,8,0,8,8
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,1,0,1,1
MACHARETI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,7,0,7,0,7
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,3,1,3,1,4
OCURI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,3,0,3,0,3
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,7,7,7,7,14
PADCAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,2,0,2,0,2
PADILLA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,1,0,1,1
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,9,0,9,9
PALCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,1,6,1,6,7
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,1,1,1,1,2
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,26,0,26,26
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,2,10,2,10,12
PUCARANI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,17,0,17,17
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,3,0,3,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,5,4,5,4,9
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,2,1,2,1,3
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,54,30,54,30,84
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,35,14,35,14,49
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,5,11,5,11,16
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,2,0,2,2
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,3,0,3,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,2,0,2,2
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,69,0,69,69
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,19,0,19,19
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,5,3,5,3,8
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,7,0,7,7
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,40,17,40,17,57
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,8,19,8,19,27
TACACOMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,2,0,2,2
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,2,0,2,2
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,2,0,2,2
TARACO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,20,0,20,20
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,1,0,1,0,1
TIPUANI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,1,4,1,4,5
TOCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,4,0,4,4
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,2,1,2,1,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,7,1,7,1,8
TURCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,1,0,1,0,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,2,0,2,0,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,3,0,3,3
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,6,5,6,5,11
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,5,4,5,4,9
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,3,4,3,4,7
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,1,0,1,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,8,0,8,0,8
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-10-01,0,11,0,11,11
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,1,0,1,1
ARQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,10,0,10,10
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,2,0,2,0,2
AZURDUY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,7,3,7,3,10
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,3,0,3,3
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,2,1,2,3
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,10,0,10,10
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,3,0,3,0,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,8,9,8,9,17
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,0,6,0,6,6
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-11-01,1,4,1,4,5
