,group,variable,month,ANTI AMARÍLICA CANTIDAD,ANTI AMARÍLICA CANTIDAD,TOTALES,TOTALES,TOTALES
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,21,0,21,21
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,2,0,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,2,0,2,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,2,0,2,2
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,63,5,63,5,68
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,2,0,2,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,8,3,8,3,11
TACACOMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,2,2,2,2,4
TAPACARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,3,207,3,207,210
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,2,0,2,2
TOLATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
TOMAVE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,3,0,3,3
TORO TORO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,3,0,3,0,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,4,0,4,0,4
VACAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,2,0,2,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,4,7,4,7,11
VILLAZON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
VINTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,5,0,5,0,5
YACUIBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,4,0,4,0,4
YAPACANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-04-01,0,1,0,1,1
ACACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,6,2,6,2,8
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,1,1,1,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,2,0,2,2
ANZALDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,10,0,10,10
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,4,0,4,4
ARBIETO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,10,0,10,0,10
ATOCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,9,1,9,10
AYO AYO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,18,0,18,18
AZURDUY,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,6,0,6,0,6
BETANZOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,7,23,7,23,30
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,2,0,2,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,4,0,4,4
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,10,24,10,24,34
CAMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,2,0,2,2
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,8,0,8,8
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,7,0,7,7
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,4,0,4,0,4
CARANAVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,5,0,5,0,5
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,3,8,3,8,11
CHAQUI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,5,12,5,12,17
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,14,0,14,14
CHIMORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,2,2,2,2,4
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,3,0,3,0,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,3,1,3,4
COCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,10,0,10,10
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,76,13,76,13,89
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,59,0,59,0,59
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,17,16,17,16,33
COLOMI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,8,0,8,8
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,2,9,2,9,11
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,0,1,0,1
CORO CORO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,21,0,21,21
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,3,42,3,42,45
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,3,2,3,2,5
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,3,0,3,3
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,9,1,9,10
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,156,222,156,222,378
EL TORNO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,6,10,6,10,16
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,3,1,3,4
ESCOMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,5,0,5,5
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,3,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,2,2,2,2,4
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,4,0,4,0,4
HUACARETA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,7,0,7,7
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,2,0,2,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,8,5,8,5,13
HUARINA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,0,1,0,1
ICHOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,3,0,3,3
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,3,0,3,3
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,9,0,9,0,9
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,3,2,3,2,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,8,0,8,8
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,80,125,80,125,205
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
LAJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,2,0,2,0,2
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,7,4,7,4,11
LLICA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,11,1,11,12
LORETO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,3,0,3,3
LURIBAY,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,4,0,4,0,4
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,2,0,2,2
MACHARETI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,0,1,0,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,3,0,3,0,3
MAIRANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,2,0,2,0,2
MAPIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,2,0,2,2
MIZQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,3,0,3,3
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,3,2,3,2,5
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,11,1,11,12
OCURI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,3,0,3,3
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,15,90,15,90,105
PAILON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,12,0,12,12
PALCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,3,0,3,3
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
PAZÑA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,0,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,3,15,3,15,18
POCONA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,6,7,6,7,13
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,5,0,5,5
PORONGO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,3,7,3,7,10
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,37,46,37,46,83
PRESTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,4,0,4,4
PUCARANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,2,1,2,1,3
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,3,0,3,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,1,1,1,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,1,1,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,4,5,4,5,9
PUNATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,12,0,12,0,12
RAVELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,28,1,28,29
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,3,5,3,5,8
ROBORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,2,5,2,5,7
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,4,0,4,4
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,5,2,5,2,7
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,7,0,7,7
SACACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,36,0,36,0,36
SAIPINA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,2,0,2,2
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,2,1,2,1,3
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,6,7,6,7,13
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,4,0,4,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,3,1,3,4
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,4,4,4,4,8
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,2,3,2,3,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,6,46,6,46,52
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,7,0,7,7
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,7,0,7,7
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,2,0,2,2
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,3,10,3,10,13
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,5,0,5,5
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,6,0,6,0,6
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,3,4,3,4,7
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,109,78,109,78,187
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,3,1,3,4
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,10,0,10,10
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,2,0,2,0,2
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,3,2,3,2,5
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,5,0,5,5
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,4,1,4,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,19,28,19,28,47
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,9,0,9,9
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,1,1,1,2
TARABUCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
TARACO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,7,0,7,7
TARIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,7,11,7,11,18
TARVITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,0,1,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,9,0,9,9
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,9,5,9,5,14
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
TOLATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,10,0,10,10
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,2,1,2,1,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,3,1,3,4
TUPIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,4,0,4,4
UNCIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,1,1,1,2
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,1,1,1,2
URUBICHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,7,0,7,7
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,8,0,8,8
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,4,6,4,6,10
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,21,4,21,4,25
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,6,0,6,0,6
VITICHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,10,0,10,0,10
WARNES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,4,3,4,3,7
YACUIBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,1,0,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,0,1,0,1,1
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-05-01,7,5,7,5,12
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,5,12,5,12,17
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,0,1,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
ARQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,0,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,2,4,2,4,6
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,6,0,6,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,4,0,4,4
BATALLAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
BAURES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,31,51,31,51,82
BETANZOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,1,1,1,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,4,0,4,4
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,5,3,5,3,8
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,5,0,5,5
CARANAVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,11,20,11,20,31
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,2,0,2,2
CHAQUI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,3,1,3,1,4
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,3,1,3,1,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,2,1,2,3
CLIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,2,7,2,7,9
COCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,5,7,5,7,12
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,67,14,67,14,81
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,28,1,28,1,29
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,3,0,3,0,3
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,3,0,3,3
COMANCHE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
CORO CORO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
COROICO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
CORQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,8,0,8,8
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,5,3,5,3,8
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,4,0,4,4
CULPINA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,6,0,6,6
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,42,0,42,0,42
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,3,8,3,8,11
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,2,0,2,0,2
EL TORNO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,9,1,9,1,10
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,2,0,2,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,5,1,5,6
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,2,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,7,12,7,12,19
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,8,4,8,4,12
HUARINA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
HUMANATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,2,0,2,2
ICLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,6,0,6,0,6
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,2,4,2,4,6
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,6,0,6,0,6
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,94,29,94,29,123
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,29,3,29,3,32
LLICA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,5,0,5,5
LURIBAY,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,0,1,0,1
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,2,0,2,0,2
MAPIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,3,0,3,3
MECAPACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,4,0,4,4
MINEROS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,2,2,2,2,4
MOJINETE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,1,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,4,5,4,5,9
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,7,5,7,5,12
OCURI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-06-01,23,2,23,2,25
