,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,5,1,5,1,6
MAIRANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,6,0,6,0,6
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,9,0,9,0,9
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,3,4,3,4,7
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,0,1,0,1,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,4,10,4,10,14
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,8,4,8,4,12
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,2,3,2,3,5
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,2,0,2,0,2
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,0,1,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,22,8,22,8,30
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,7,2,7,2,9
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,1,4,1,4,5
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,0,2,0,2,2
TOMINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,3,2,3,2,5
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,2,0,2,0,2
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-09-01,0,6,0,6,6
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,4,0,4,4
ALALAY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,2,0,2,2
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,11,0,11,11
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,2,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,3,0,3,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,18,0,18,18
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,4,8,4,8,12
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,11,5,11,5,16
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,1,2,1,2,3
COMARAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,18,47,18,47,65
CUEVO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,18,3,18,3,21
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,3,0,3,3
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,4,2,4,2,6
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,8,0,8,8
MINEROS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,14,1,14,1,15
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,7,7,7,7,14
PADCAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,2,3,2,3,5
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,3,0,3,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,5,4,5,4,9
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,2,1,2,1,3
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,23,0,23,0,23
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,5,1,5,1,6
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,19,0,19,19
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,5,3,5,3,8
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,41,16,41,16,57
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,2,1,2,1,3
TACACOMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,2,0,2,2
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,2,0,2,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
TIPUANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,1,4,1,4,5
TOCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,4,0,4,4
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,2,1,2,1,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,4,0,4,0,4
TURCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,5,4,5,4,9
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,3,4,3,4,7
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,0,1,0,1,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-10-01,8,0,8,0,8
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,2,0,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,2,0,2,0,2
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,3,0,3,3
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,2,1,2,3
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,10,0,10,10
CARANAVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,3,0,3,0,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,8,9,8,9,17
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,6,0,6,6
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,4,1,4,5
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,2,0,2,2
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,2,3,2,3,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,29,3,29,3,32
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,3,0,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,2,0,2,0,2
CORIPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,4,1,4,5
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,16,11,16,11,27
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,2,1,2,3
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,1,1,1,2
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,7,0,7,0,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,15,2,15,2,17
LLICA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,2,0,2,0,2
MECAPACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,2,0,2,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,3,1,3,1,4
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,3,0,3,0,3
PAZÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,26,1,26,1,27
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,3,0,3,3
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,6,1,6,7
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,2,5,2,5,7
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,37,44,37,44,81
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,4,1,4,5
TACACOMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,2,0,2,2
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,2,4,2,4,6
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,0,2,0,2,2
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,0,5,0,5,5
CLIZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,1,1,1,1,2
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,2,5,2,5,7
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,4,0,4,0,4
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,14,60,14,60,74
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,1,7,1,7,8
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,6,4,6,4,10
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,20,0,20,0,20
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,4,1,4,1,5
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,10,0,10,0,10
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,1,5,1,5,6
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,4,2,4,2,6
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,43,8,43,8,51
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,9,0,9,0,9
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,3,0,3,0,3
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,0,3,0,3,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,10,2,10,2,12
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
