,group,variable,month,DPT 1RA DOSIS CANTIDAD,DPT 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,7,0,7,0,7
BAURES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,21,0,21,0,21
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,11,0,11,11
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,104,90,104,90,194
BETANZOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,0,1,0,1
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,13,0,13,13
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,7,0,7,7
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,4,3,4,3,7
CALACOTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,10,0,10,10
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,0,1,0,1
CAMARGO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,15,0,15,15
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,6,13,6,13,19
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,3,12,3,12,15
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,19,0,19,19
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,5,0,5,5
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,23,1,23,24
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,4,1,4,5
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,19,0,19,19
CLIZA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,18,4,18,4,22
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,15,61,15,61,76
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,46,31,46,31,77
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,18,13,18,13,31
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,3,2,3,2,5
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,7,0,7,7
COMARAPA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,5,0,5,0,5
CORIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,19,0,19,19
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,6,0,6,6
CUEVO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,13,24,13,24,37
CULPINA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,18,17,18,17,35
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,15,7,15,7,22
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,2,0,2,2
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,20,1,20,21
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,7,1,7,8
EXALTACION,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,0,1,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,154,0,154,154
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,5,0,5,0,5
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,25,0,25,25
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,22,1,22,1,23
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,2,13,2,13,15
LAJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,37,0,37,37
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,2,3,2,3,5
LORETO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,48,0,48,0,48
MECAPACA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,79,0,79,0,79
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,11,0,11,11
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,4,0,4,0,4
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,21,1,21,22
OCURI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,16,0,16,16
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,3,0,3,0,3
PADCAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,52,31,52,31,83
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,5,0,5,5
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,5,0,5,0,5
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,0,1,0,1
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,2,0,2,2
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,2,23,2,23,25
POOPO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,2,0,2,0,2
PORCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,2,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,7,0,7,7
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,0,1,0,1
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,5,0,5,5
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,2,11,2,11,13
PUNA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,8,4,8,4,12
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,5,20,5,20,25
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,19,0,19,0,19
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,43,6,43,6,49
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,10,1,10,11
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,6,21,6,21,27
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,2,13,2,13,15
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,31,0,31,31
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,12,0,12,12
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,9,0,9,9
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,5,0,5,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,12,32,12,32,44
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,55,24,55,24,79
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,3,13,3,13,16
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,8,15,8,15,23
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,26,29,26,29,55
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,26,0,26,26
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,9,0,9,9
TARVITA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,8,22,8,22,30
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,3,11,3,11,14
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,6,25,6,25,31
TOCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,3,5,3,5,8
TOLATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,1,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,6,0,6,6
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,11,1,11,12
TOTORA(ORR),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,3,8,3,8,11
UMALA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,2,6,2,6,8
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,14,16,14,16,30
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,1,3,1,3,4
VACAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,4,0,4,4
VILA VILA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,11,25,11,25,36
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,2,0,2,0,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,12,13,12,13,25
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,8,27,8,27,35
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,9,7,9,7,16
VITICHI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,11,0,11,0,11
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,5,0,5,0,5
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,46,470,46,470,516
YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,31,5,31,5,36
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-06-01,0,2,0,2,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,2,0,2,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,1,0,1,1
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,12,0,12,12
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,104,229,104,229,333
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,6,0,6,0,6
CAJUATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,2,0,2,0,2
CAMARGO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,5,0,5,5
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,7,28,7,28,35
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,2,2,2,2,4
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,1,1,1,2
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,2,7,2,7,9
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,6,0,6,6
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,1,0,1,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,34,26,34,26,60
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,2,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,9,0,9,9
CLIZA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,4,0,4,4
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,9,8,9,8,17
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,17,0,17,17
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,122,8,122,8,130
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,2,1,2,3
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,8,0,8,8
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,1,0,1,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,11,0,11,0,11
CORIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,2,0,2,0,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,4,0,4,4
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,7,0,7,0,7
CUEVO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,7,37,7,37,44
CULPINA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,4,14,4,14,18
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,80,9,80,9,89
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,2,3,2,3,5
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,0,1,0,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,3,0,3,0,3
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,12,0,12,12
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,8,0,8,8
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,0,1,0,1
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,2,0,2,2
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,6,0,6,6
ICLA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,7,0,7,7
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,1,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,20,0,20,0,20
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,39,6,39,6,45
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,13,0,13,13
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,1,0,1,1
MACHARETI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,3,0,3,0,3
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,6,4,6,4,10
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,3,3,3,3,6
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,32,0,32,32
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,5,0,5,0,5
PADCAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,9,10,9,10,19
PADILLA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,5,0,5,0,5
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,33,0,33,33
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,0,1,0,1
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,2,20,2,20,22
PORONGO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,6,0,6,0,6
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,4,0,4,0,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,2,6,2,6,8
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,4,18,4,18,22
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,37,0,37,0,37
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,3,15,3,15,18
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,5,0,5,0,5
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,4,1,4,1,5
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,5,0,5,0,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,38,2,38,2,40
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,42,0,42,0,42
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,16,0,16,0,16
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,15,46,15,46,61
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,3,0,3,0,3
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,1,1,1,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,3,0,3,3
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,0,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,49,9,49,9,58
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,896,175,896,175,1071
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,9,0,9,9
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,3,0,3,0,3
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,2,0,2,0,2
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,3,1,3,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,16,46,16,46,62
TACACOMA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,0,1,0,1
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,2,3,2,3,5
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,10,0,10,10
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,5,1,5,1,6
TARVITA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,1,0,1,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,5,1,5,6
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,12,1,12,13
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,2,6,2,6,8
TOCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,4,0,4,4
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,10,0,10,0,10
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,3,0,3,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,6,6,6,6,12
TUPIZA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,0,1,0,1
UNCIA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,19,1,19,20
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,2,0,2,0,2
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,6,0,6,0,6
VILA VILA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,1,0,1,1
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,8,4,8,4,12
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,1,30,1,30,31
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,17,37,17,37,54
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,0,4,0,4,4
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,4,0,4,0,4
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,2,5,2,5,7
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,50,17,50,17,67
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-07-01,19,4,19,4,23
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,0,1,0,1,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,0,2,0,2,2
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,1,16,1,16,17
ARQUE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,5,5,5,5,10
AYO AYO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,0,6,0,6,6
AZURDUY,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,14,17,14,17,31
BATALLAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,0,5,0,5,5
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,102,111,102,111,213
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,3,29,3,29,32
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,4,10,4,10,14
CAJUATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,10,1,10,1,11
CAMARGO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,10,31,10,31,41
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,0,3,0,3,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,0,3,0,3,3
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,37,45,37,45,82
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,0,10,0,10,10
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-08-01,1,1,1,1,2
