,group,variable,month,ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,2,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,8,0,8,8
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,1,14,1,14,15
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,4,2,4,2,6
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,19,2,19,2,21
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,99,18,99,18,117
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,22,1,22,1,23
CORO CORO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,3,22,3,22,25
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,3,0,3,0,3
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,66,10,66,10,76
CUEVO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,9,0,9,0,9
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,82,104,82,104,186
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,13,29,13,29,42
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,22,15,22,15,37
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,2,1,2,1,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,1,1,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,24,17,24,17,41
HUACARETA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,5,0,5,5
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,1,0,1,0,1
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,2,0,2,0,2
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,3,0,3,3
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,34,10,34,10,44
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,37,0,37,0,37
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,8,14,8,14,22
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,2,5,2,5,7
MACHARETI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,1,0,1,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,8,0,8,8
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,2,0,2,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,19,0,19,0,19
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,15,0,15,0,15
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,3,0,3,3
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,6,33,6,33,39
POROMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,29,0,29,29
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,50,0,50,0,50
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,6,13,6,13,19
REYES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,30,0,30,0,30
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,2,4,2,4,6
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,7,0,7,0,7
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,8,46,8,46,54
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,6,0,6,0,6
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,9,0,9,0,9
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,8,8,8,8,16
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,25,23,25,23,48
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,54,0,54,54
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,1,0,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,2,0,2,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,2,6,2,6,8
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,123,167,123,167,290
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,31,76,31,76,107
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,15,12,15,12,27
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,411,26,411,26,437
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,14,8,14,8,22
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,1,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,2,4,2,4,6
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,13,0,13,13
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,56,34,56,34,90
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,2,0,2,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,61,33,61,33,94
TARVITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,10,5,10,5,15
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,35,39,35,39,74
TOMINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,9,0,9,0,9
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,26,5,26,5,31
TUPIZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,3,0,3,3
UYUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,1,0,1,0,1
VACAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,1,1,1,1,2
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,22,1,22,1,23
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,11,8,11,8,19
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,11,35,11,35,46
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,58,119,58,119,177
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,93,77,93,77,170
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,1,0,1,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,5,29,5,29,34
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,0,2,0,2,2
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-07-01,1,2,1,2,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,673,0,673,0,673
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,0,7,0,7,7
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,0,6,0,6,6
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,8,90,8,90,98
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,0,2,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,0,8,0,8,8
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,0,18,0,18,18
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,7,0,7,0,7
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,49,87,49,87,136
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,4,10,4,10,14
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,10,0,10,0,10
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,44,11,44,11,55
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,101,27,101,27,128
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,3,0,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,2,5,2,5,7
COMANCHE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,2,0,2,0,2
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,48,10,48,10,58
CORO CORO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,0,18,0,18,18
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,9,5,9,5,14
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,5,97,5,97,102
CUEVO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,11,7,11,7,18
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,167,31,167,31,198
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,9,16,9,16,25
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,13,20,13,20,33
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,89,15,89,15,104
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,0,26,0,26,26
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,2,0,2,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,4,0,4,0,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,52,64,52,64,116
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,66,59,66,59,125
HUACARETA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,0,6,0,6,6
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,4,0,4,0,4
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,0,3,0,3,3
ICLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,4,15,4,15,19
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,10,0,10,0,10
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,3,0,3,0,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,9,9,9,9,18
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,36,13,36,13,49
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,9,31,9,31,40
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,0,1,0,1,1
MACHARETI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,10,0,10,0,10
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,1,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,6,0,6,0,6
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,111,9,111,9,120
OKINAWA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,14,19,14,19,33
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,14,3,14,3,17
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,30,0,30,0,30
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,2,0,2,0,2
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,3,0,3,0,3
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,4,8,4,8,12
POROMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,0,5,0,5,5
PORVENIR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,1,1,1,1,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,28,1,28,1,29
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,37,0,37,0,37
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,31,6,31,6,37
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,4,12,4,12,16
RAVELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,0,18,0,18,18
REYES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,30,7,30,7,37
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,32,0,32,0,32
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,2,26,2,26,28
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,3,0,3,0,3
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,5,0,5,0,5
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,87,54,87,54,141
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,5,3,5,3,8
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,38,36,38,36,74
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,1,13,1,13,14
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,1,1,1,1,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,0,12,0,12,12
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,21,32,21,32,53
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,357,108,357,108,465
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,2,28,2,28,30
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,12,5,12,5,17
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,5,3,5,3,8
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,115,16,115,16,131
TARATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,4,9,4,9,13
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,37,5,37,5,42
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,52,17,52,17,69
TOMINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,7,0,7,0,7
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,2,1,2,1,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,17,6,17,6,23
TUPIZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,0,3,0,3,3
UYUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,1,0,1,0,1
VACAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,8,0,8,0,8
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,24,1,24,1,25
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,34,9,34,9,43
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,31,48,31,48,79
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,98,26,98,26,124
VITICHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,4,2,4,2,6
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,32,33,32,33,65
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,88,10,88,10,98
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-08-01,2,9,2,9,11
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,3,0,3,0,3
ARQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,16,0,16,0,16
AZURDUY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,6,0,6,0,6
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,4,0,4,4
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,8,11,8,11,19
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,5,5,5,5,10
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,39,20,39,20,59
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,2,0,2,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,20,0,20,0,20
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,7,0,7,0,7
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,11,0,11,11
CATACORA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,1,17,1,17,18
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,5,14,5,14,19
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,4,7,4,7,11
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,13,4,13,4,17
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,37,10,37,10,47
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,3,0,3,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,85,0,85,0,85
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,31,0,31,0,31
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,2,0,2,0,2
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,1,7,1,7,8
COMANCHE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,1,2,1,2,3
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,44,22,44,22,66
CORO CORO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,2,9,2,9,11
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,15,27,15,27,42
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,8,3,8,3,11
CUEVO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,4,0,4,0,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,324,29,324,29,353
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,6,8,6,8,14
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,67,2,67,2,69
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,2,54,2,54,56
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,2,0,2,0,2
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,2,0,2,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,42,7,42,7,49
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,2,34,2,34,36
HUACARETA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,3,4,3,4,7
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,8,0,8,8
HUMANATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,2,0,2,0,2
ICHOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,1,0,1,0,1
ICLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,6,1,6,1,7
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,34,0,34,34
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,2,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,10,7,10,7,17
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,59,80,59,80,139
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,11,0,11,0,11
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,0,6,0,6,6
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,5,0,5,0,5
MACHARETI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,6,12,6,12,18
MAIRANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,26,0,26,0,26
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,2,2,2,2,4
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2010-09-01,31,9,31,9,40
