,group,variable,month,SRP DOSIS ÚNICA CANTIDAD,SRP DOSIS ÚNICA CANTIDAD,TOTALES,TOTALES,TOTALES
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,3,3,3,3,6
ICHOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,11,0,11,11
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,29,46,29,46,75
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,8,40,8,40,48
LLICA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,13,1,13,14
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,2,0,2,2
MACHARETI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,0,1,0,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,2,1,2,1,3
OCURI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,8,38,8,38,46
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,6,0,6,6
PALCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,0,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,2,0,2,2
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
POROMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,4,0,4,4
PORONGO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,3,3,3,3,6
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,21,54,21,54,75
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,0,1,0,1
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,2,0,2,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,2,1,2,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,2,1,2,3
RAVELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,2,0,2,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,3,3,3,3,6
ROBORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,5,1,5,6
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,8,38,8,38,46
SAIPINA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,1,1,1,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,4,1,4,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,2,0,2,2
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,3,45,3,45,48
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,6,0,6,6
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,2,0,2,2
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,0,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,6,0,6,0,6
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,3,1,3,1,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,62,98,62,98,160
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,2,0,2,2
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,2,0,2,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,4,0,4,4
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,1,0,1,0,1
SORACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,5,9,5,9,14
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,5,0,5,5
TARABUCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
TARACO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,7,0,7,7
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,3,8,3,8,11
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,3,0,3,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,7,11,7,11,18
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,2,0,2,2
TUPIZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,3,0,3,3
UNCIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
URUBICHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,2,3,2,3,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,2,0,2,0,2
VITICHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,4,0,4,0,4
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,4,4,4,4,8
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-05-01,2,0,2,0,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,7,6,7,6,13
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,3,0,3,0,3
ATOCHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,1,0,1,1
BAURES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,1,0,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,2,0,2,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,11,6,11,6,17
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,1,0,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,3,0,3,3
COCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,22,13,22,13,35
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,3,0,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,3,2,3,2,5
CORIPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,4,0,4,4
COROICO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,1,0,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,3,0,3,3
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,3,2,3,2,5
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,1,0,1,1
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,42,5,42,5,47
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,7,0,7,0,7
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,3,0,3,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,3,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,1,2,1,2,3
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,1,0,1,1
HUMANATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,2,0,2,2
ICLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,10,0,10,10
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,28,25,28,25,53
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,4,5,4,5,9
LLICA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,1,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,2,1,2,1,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,6,0,6,0,6
OCURI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,15,6,15,6,21
PADILLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,1,0,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,3,0,3,3
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,2,0,2,2
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,2,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,12,15,12,15,27
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,2,1,2,1,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,4,4,4,4,8
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,9,41,9,41,50
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,15,35,15,35,50
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,8,10,8,10,18
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,6,21,6,21,27
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,7,0,7,7
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,2,0,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,31,75,31,75,106
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,4,0,4,4
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,2,0,2,2
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,5,0,5,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,3,0,3,0,3
SORACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,3,3,3,3,6
TARACO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,6,0,6,6
TARATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,4,6,4,6,10
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,2,5,2,5,7
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,3,14,3,14,17
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,21,300,21,300,321
TUPIZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,1,0,1,1
UNCIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,1,0,1,1
URUBICHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,3,0,3,3
VIACHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,13,0,13,0,13
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,3,0,3,0,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,6,2,6,2,8
VILLAZON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,3,0,3,0,3
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,1,0,1,0,1
YACO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,0,2,0,2,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,1,13,1,13,14
YANACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-06-01,1,0,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,5,0,5,5
BETANZOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,3,0,3,3
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,2,0,2,0,2
CALACOTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,2,0,2,2
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,3,0,3,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,37,15,37,15,52
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,3,7,3,7,10
COMANCHE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,0,1,0,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,0,1,0,1
COPACABANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,8,0,8,0,8
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,51,19,51,19,70
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,5,2,5,2,7
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,1,1,1,2
ESCOMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,2,0,2,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,2,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,21,5,21,5,26
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,11,0,11,11
LORETO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,1,0,1,1
MACHARETI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,1,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,2,1,2,1,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,6,4,6,4,10
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,5,0,5,0,5
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,5,0,5,5
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,4,0,4,0,4
POCOATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,2,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,6,0,6,0,6
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,1,0,1,1
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,4,1,4,1,5
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,4,0,4,0,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,2,1,2,3
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,7,16,7,16,23
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,2,0,2,0,2
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,1,0,1,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,13,0,13,0,13
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,4,2,4,2,6
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,0,1,0,1
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,2,0,2,2
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,9,1,9,1,10
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,78,14,78,14,92
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,15,7,15,7,22
TACACOMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,1,1,1,2
TARABUCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,1,0,1,1
TARATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,5,0,5,5
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,3,0,3,0,3
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,68,5,68,5,73
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,43,15,43,15,58
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,6,7,6,7,13
VILLAZON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,2,1,2,1,3
VINTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,8,2,8,2,10
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,4,0,4,0,4
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,1,1,1,1,2
YANACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-07-01,0,1,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,2,0,2,0,2
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,3,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,2,0,2,2
CALACOTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,2,0,2,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,3,0,3,0,3
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,5,0,5,0,5
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,2,1,2,1,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,33,28,33,28,61
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,0,1,0,1
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
COLLANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,3,7,3,7,10
COPACABANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,2,0,2,0,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,5,0,5,0,5
CULPINA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,0,2,0,2,2
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,1,1,1,1,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,33,14,33,14,47
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,4,1,4,1,5
EXALTACION,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-08-01,2,1,2,1,3
