,group,variable,month,REPETIDAS TOTAL 4.3 REPETIDAS,REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
PUERTO RICO,consultas prenatales,repetidas,2013-03-01,51,2,53
PUERTO SILES,consultas prenatales,repetidas,2013-03-01,8,2,10
PUERTO SUAREZ,consultas prenatales,repetidas,2013-03-01,134,0,134
PUERTO VILLARROEL,consultas prenatales,repetidas,2013-03-01,566,1,567
PUNA,consultas prenatales,repetidas,2013-03-01,59,38,97
PUNATA,consultas prenatales,repetidas,2013-03-01,261,0,261
QUIABAYA,consultas prenatales,repetidas,2013-03-01,9,0,9
QUILLACOLLO,consultas prenatales,repetidas,2013-03-01,720,1,721
QUIME,consultas prenatales,repetidas,2013-03-01,40,0,40
QUIRUSILLAS,consultas prenatales,repetidas,2013-03-01,14,0,14
RAVELO,consultas prenatales,repetidas,2013-03-01,34,22,56
REYES,consultas prenatales,repetidas,2013-03-01,83,3,86
RIBERALTA,consultas prenatales,repetidas,2013-03-01,1156,18,1174
ROBORE,consultas prenatales,repetidas,2013-03-01,103,0,103
RURRENABAQUE,consultas prenatales,repetidas,2013-03-01,161,0,161
SABAYA,consultas prenatales,repetidas,2013-03-01,5,2,7
SACABA,consultas prenatales,repetidas,2013-03-01,1069,0,1069
SACABAMBA,consultas prenatales,repetidas,2013-03-01,15,2,17
SACACA,consultas prenatales,repetidas,2013-03-01,75,9,84
SAIPINA,consultas prenatales,repetidas,2013-03-01,32,0,32
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2013-03-01,26,21,47
SAMAIPATA,consultas prenatales,repetidas,2013-03-01,74,0,74
SAN AGUSTIN,consultas prenatales,repetidas,2013-03-01,4,1,5
SAN ANDRES,consultas prenatales,repetidas,2013-03-01,51,2,53
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2013-03-01,8,6,14
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2013-03-01,5,0,5
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2013-03-01,25,19,44
SAN BENITO,consultas prenatales,repetidas,2013-03-01,93,2,95
SAN BORJA,consultas prenatales,repetidas,2013-03-01,230,3,233
SAN BUENA VENTURA,consultas prenatales,repetidas,2013-03-01,90,0,90
SAN CARLOS,consultas prenatales,repetidas,2013-03-01,185,0,185
SAN IGNACIO,consultas prenatales,repetidas,2013-03-01,158,0,158
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2013-03-01,314,20,334
SAN JAVIER(BNI),consultas prenatales,repetidas,2013-03-01,11,3,14
SAN JAVIER(STC),consultas prenatales,repetidas,2013-03-01,106,0,106
SAN JOAQUIN,consultas prenatales,repetidas,2013-03-01,19,0,19
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2013-03-01,56,0,56
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2013-03-01,56,0,56
SAN JULIAN,consultas prenatales,repetidas,2013-03-01,275,9,284
SAN LORENZO(PND),consultas prenatales,repetidas,2013-03-01,12,5,17
SAN LORENZO(TJA),consultas prenatales,repetidas,2013-03-01,104,10,114
SAN LUCAS,consultas prenatales,repetidas,2013-03-01,179,54,233
SAN MATIAS,consultas prenatales,repetidas,2013-03-01,91,0,91
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2013-03-01,80,2,82
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2013-03-01,11,1,12
SAN PEDRO,consultas prenatales,repetidas,2013-03-01,103,2,105
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2013-03-01,69,33,102
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2013-03-01,8,3,11
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2013-03-01,2,0,2
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2013-03-01,9,0,9
SAN PEDRO(PND),consultas prenatales,repetidas,2013-03-01,3,1,4
SAN RAFAEL,consultas prenatales,repetidas,2013-03-01,37,0,37
SAN RAMON BENI,consultas prenatales,repetidas,2013-03-01,29,0,29
SAN RAMON SCZ,consultas prenatales,repetidas,2013-03-01,84,0,84
SANTA ANA,consultas prenatales,repetidas,2013-03-01,210,0,210
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2013-03-01,9493,3,9496
SANTA ROSA,consultas prenatales,repetidas,2013-03-01,63,0,63
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2013-03-01,96,0,96
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2013-03-01,4,5,9
SANTIAGO DE HUARI,consultas prenatales,repetidas,2013-03-01,30,3,33
SANTIAGO DE HUATA,consultas prenatales,repetidas,2013-03-01,23,3,26
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2013-03-01,13,0,13
SANTIVAÑES,consultas prenatales,repetidas,2013-03-01,28,1,29
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2013-03-01,15,5,20
SAPAHAQUI,consultas prenatales,repetidas,2013-03-01,22,4,26
SENA,consultas prenatales,repetidas,2013-03-01,15,0,15
SHINAOTA,consultas prenatales,repetidas,2013-03-01,379,0,379
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2013-03-01,75,2,77
SICAYA,consultas prenatales,repetidas,2013-03-01,17,0,17
SIPE SIPE,consultas prenatales,repetidas,2013-03-01,385,1,386
SOPACHUY,consultas prenatales,repetidas,2013-03-01,38,8,46
SORACACHI,consultas prenatales,repetidas,2013-03-01,23,19,42
SORATA,consultas prenatales,repetidas,2013-03-01,93,12,105
SUCRE,consultas prenatales,repetidas,2013-03-01,2968,8,2976
TACACHI,consultas prenatales,repetidas,2013-03-01,4,0,4
TACACOMA,consultas prenatales,repetidas,2013-03-01,31,3,34
TACOBAMBA,consultas prenatales,repetidas,2013-03-01,17,3,20
TACOPAYA,consultas prenatales,repetidas,2013-03-01,31,4,35
TAHUA,consultas prenatales,repetidas,2013-03-01,1,1,2
TAPACARI,consultas prenatales,repetidas,2013-03-01,86,16,102
TARABUCO,consultas prenatales,repetidas,2013-03-01,92,17,109
TARACO,consultas prenatales,repetidas,2013-03-01,20,3,23
TARATA,consultas prenatales,repetidas,2013-03-01,74,1,75
TARIJA,consultas prenatales,repetidas,2013-03-01,2087,4,2091
TARVITA,consultas prenatales,repetidas,2013-03-01,67,16,83
TEOPONTE,consultas prenatales,repetidas,2013-03-01,52,3,55
TIAWANACU,consultas prenatales,repetidas,2013-03-01,65,3,68
TINGUIPAYA,consultas prenatales,repetidas,2013-03-01,67,6,73
TIPUANI,consultas prenatales,repetidas,2013-03-01,78,0,78
TIQUIPAYA,consultas prenatales,repetidas,2013-03-01,478,8,486
TIRAQUE (CBBA),consultas prenatales,repetidas,2013-03-01,93,7,100
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2013-03-01,1,0,1
TOCO,consultas prenatales,repetidas,2013-03-01,20,0,20
TODOS SANTOS,consultas prenatales,repetidas,2013-03-01,1,0,1
TOLATA,consultas prenatales,repetidas,2013-03-01,36,0,36
TOLEDO,consultas prenatales,repetidas,2013-03-01,13,1,14
TOMAVE,consultas prenatales,repetidas,2013-03-01,30,18,48
TOMINA,consultas prenatales,repetidas,2013-03-01,62,2,64
TORO TORO,consultas prenatales,repetidas,2013-03-01,33,6,39
TOTORA(CBBA),consultas prenatales,repetidas,2013-03-01,40,6,46
TOTORA(ORR),consultas prenatales,repetidas,2013-03-01,13,4,17
TRIGAL,consultas prenatales,repetidas,2013-03-01,7,1,8
TRINIDAD,consultas prenatales,repetidas,2013-03-01,998,4,1002
TUPIZA,consultas prenatales,repetidas,2013-03-01,342,13,355
TURCO,consultas prenatales,repetidas,2013-03-01,16,0,16
UMALA,consultas prenatales,repetidas,2013-03-01,9,9,18
UNCIA,consultas prenatales,repetidas,2013-03-01,141,10,151
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2013-03-01,94,3,97
URUBICHA,consultas prenatales,repetidas,2013-03-01,44,1,45
UYUNI,consultas prenatales,repetidas,2013-03-01,223,5,228
VACAS,consultas prenatales,repetidas,2013-03-01,48,4,52
VALLEGRANDE,consultas prenatales,repetidas,2013-03-01,108,0,108
VIACHA,consultas prenatales,repetidas,2013-03-01,303,3,306
VILA VILA,consultas prenatales,repetidas,2013-03-01,11,0,11
VILLA CHARCAS,consultas prenatales,repetidas,2013-03-01,71,21,92
VILLA MONTES,consultas prenatales,repetidas,2013-03-01,347,7,354
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2013-03-01,11,0,11
VILLA RIVERO,consultas prenatales,repetidas,2013-03-01,65,1,66
VILLA SERRANO,consultas prenatales,repetidas,2013-03-01,51,21,72
VILLA TUNARI,consultas prenatales,repetidas,2013-03-01,741,0,741
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2013-03-01,64,7,71
VILLAZON,consultas prenatales,repetidas,2013-03-01,378,12,390
VINTO,consultas prenatales,repetidas,2013-03-01,211,0,211
VITICHI,consultas prenatales,repetidas,2013-03-01,29,8,37
WALDO BALLIVIAN,consultas prenatales,repetidas,2013-03-01,5,0,5
WARNES,consultas prenatales,repetidas,2013-03-01,525,7,532
YACO,consultas prenatales,repetidas,2013-03-01,7,6,13
YACUIBA,consultas prenatales,repetidas,2013-03-01,676,8,684
YAMPARAEZ,consultas prenatales,repetidas,2013-03-01,31,4,35
YANACACHI,consultas prenatales,repetidas,2013-03-01,38,0,38
YAPACANI,consultas prenatales,repetidas,2013-03-01,390,4,394
YOCALLA,consultas prenatales,repetidas,2013-03-01,34,14,48
YOTALA,consultas prenatales,repetidas,2013-03-01,47,2,49
YUNCHARA,consultas prenatales,repetidas,2013-03-01,10,22,32
YUNGUYO DE LITORAL,consultas prenatales,repetidas,2013-03-01,0,1,1
ZUDAÑEZ,consultas prenatales,repetidas,2013-03-01,32,4,36
ACACIO,consultas prenatales,repetidas,2013-04-01,20,2,22
ACHACACHI,consultas prenatales,repetidas,2013-04-01,253,5,258
ACHOCALLA,consultas prenatales,repetidas,2013-04-01,33,8,41
AIQUILE,consultas prenatales,repetidas,2013-04-01,180,4,184
ALALAY,consultas prenatales,repetidas,2013-04-01,6,0,6
ALCALA,consultas prenatales,repetidas,2013-04-01,18,1,19
ALTO BENI,consultas prenatales,repetidas,2013-04-01,57,0,57
ANCORAIMES,consultas prenatales,repetidas,2013-04-01,51,13,64
ANDAMARCA,consultas prenatales,repetidas,2013-04-01,15,4,19
ANTEQUERA,consultas prenatales,repetidas,2013-04-01,9,1,10
ANZALDO,consultas prenatales,repetidas,2013-04-01,18,6,24
APOLO,consultas prenatales,repetidas,2013-04-01,94,15,109
ARAMPAMPA,consultas prenatales,repetidas,2013-04-01,11,4,15
ARANI,consultas prenatales,repetidas,2013-04-01,93,1,94
ARBIETO,consultas prenatales,repetidas,2013-04-01,47,14,61
ARQUE,consultas prenatales,repetidas,2013-04-01,56,1,57
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2013-04-01,179,18,197
ATOCHA,consultas prenatales,repetidas,2013-04-01,91,1,92
AUCAPATA,consultas prenatales,repetidas,2013-04-01,3,3,6
AYATA,consultas prenatales,repetidas,2013-04-01,18,3,21
AYO AYO,consultas prenatales,repetidas,2013-04-01,27,0,27
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2013-04-01,131,14,145
AZURDUY,consultas prenatales,repetidas,2013-04-01,34,19,53
BATALLAS,consultas prenatales,repetidas,2013-04-01,87,10,97
BAURES,consultas prenatales,repetidas,2013-04-01,28,0,28
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2013-04-01,0,3,3
BELEN DE URMIRI,consultas prenatales,repetidas,2013-04-01,3,5,8
BELLA FLOR,consultas prenatales,repetidas,2013-04-01,7,4,11
BERMEJO,consultas prenatales,repetidas,2013-04-01,283,4,287
BETANZOS,consultas prenatales,repetidas,2013-04-01,136,15,151
BOLIVAR,consultas prenatales,repetidas,2013-04-01,17,9,26
BOLPEBRA,consultas prenatales,repetidas,2013-04-01,12,1,13
BOYUIBE,consultas prenatales,repetidas,2013-04-01,29,2,31
BUENA VISTA,consultas prenatales,repetidas,2013-04-01,38,0,38
CABEZAS,consultas prenatales,repetidas,2013-04-01,172,2,174
CAIROMA,consultas prenatales,repetidas,2013-04-01,46,2,48
"CAIZA ""D""",consultas prenatales,repetidas,2013-04-01,46,6,52
CAJUATA,consultas prenatales,repetidas,2013-04-01,78,3,81
CALACOTO,consultas prenatales,repetidas,2013-04-01,5,2,7
CALAMARCA,consultas prenatales,repetidas,2013-04-01,65,9,74
CAMARGO,consultas prenatales,repetidas,2013-04-01,112,12,124
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2013-04-01,13,7,20
CAMIRI,consultas prenatales,repetidas,2013-04-01,389,2,391
CAPINOTA,consultas prenatales,repetidas,2013-04-01,181,0,181
CAQUIAVIRI,consultas prenatales,repetidas,2013-04-01,22,3,25
CARACOLLO,consultas prenatales,repetidas,2013-04-01,140,7,147
CARANAVI,consultas prenatales,repetidas,2013-04-01,380,12,392
CARANGAS,consultas prenatales,repetidas,2013-04-01,0,1,1
CARAPARI,consultas prenatales,repetidas,2013-04-01,96,0,96
CARIPUYO,consultas prenatales,repetidas,2013-04-01,25,25,50
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2013-04-01,17,0,17
CATACORA,consultas prenatales,repetidas,2013-04-01,3,0,3
CHACARILLA,consultas prenatales,repetidas,2013-04-01,1,0,1
CHALLAPATA,consultas prenatales,repetidas,2013-04-01,230,32,262
CHAQUI,consultas prenatales,repetidas,2013-04-01,42,2,44
CHARAGUA,consultas prenatales,repetidas,2013-04-01,160,9,169
CHARAÑA,consultas prenatales,repetidas,2013-04-01,13,1,14
CHAYANTA,consultas prenatales,repetidas,2013-04-01,56,32,88
CHIMORE,consultas prenatales,repetidas,2013-04-01,177,0,177
CHIPAYA,consultas prenatales,repetidas,2013-04-01,8,1,9
CHOQUE COTA,consultas prenatales,repetidas,2013-04-01,1,0,1
CHUA COCANI,consultas prenatales,repetidas,2013-04-01,5,1,6
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2013-04-01,103,0,103
CHUMA,consultas prenatales,repetidas,2013-04-01,25,7,32
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2013-04-01,40,9,49
CKOCHAS,consultas prenatales,repetidas,2013-04-01,59,10,69
CLIZA,consultas prenatales,repetidas,2013-04-01,237,0,237
COBIJA,consultas prenatales,repetidas,2013-04-01,639,0,639
COCAPATA,consultas prenatales,repetidas,2013-04-01,40,44,84
COCHABAMBA,consultas prenatales,repetidas,2013-04-01,6271,2,6273
COIPASA,consultas prenatales,repetidas,2013-04-01,6,0,6
COLCAPIRHUA,consultas prenatales,repetidas,2013-04-01,429,0,429
"COLCHA ""K""",consultas prenatales,repetidas,2013-04-01,56,3,59
COLLANA,consultas prenatales,repetidas,2013-04-01,12,0,12
COLOMI,consultas prenatales,repetidas,2013-04-01,127,0,127
COLPA BELGICA,consultas prenatales,repetidas,2013-04-01,29,0,29
COLQUECHACA,consultas prenatales,repetidas,2013-04-01,97,39,136
COLQUENCHA,consultas prenatales,repetidas,2013-04-01,59,0,59
COLQUIRI,consultas prenatales,repetidas,2013-04-01,31,22,53
COMANCHE,consultas prenatales,repetidas,2013-04-01,7,1,8
COMARAPA,consultas prenatales,repetidas,2013-04-01,167,0,167
COMBAYA,consultas prenatales,repetidas,2013-04-01,9,5,14
CONCEPCION,consultas prenatales,repetidas,2013-04-01,133,1,134
COPACABANA,consultas prenatales,repetidas,2013-04-01,88,5,93
CORIPATA,consultas prenatales,repetidas,2013-04-01,91,0,91
CORO CORO,consultas prenatales,repetidas,2013-04-01,24,10,34
COROICO,consultas prenatales,repetidas,2013-04-01,150,0,150
CORQUE,consultas prenatales,repetidas,2013-04-01,13,8,21
COTAGAITA,consultas prenatales,repetidas,2013-04-01,86,49,135
COTOCA,consultas prenatales,repetidas,2013-04-01,425,0,425
CRUZ DE MACHACAMARCA,consultas prenatales,repetidas,2013-04-01,0,3,3
CUATRO CAÑADAS,consultas prenatales,repetidas,2013-04-01,163,0,163
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2013-04-01,2,0,2
CUEVO,consultas prenatales,repetidas,2013-04-01,11,3,14
CULPINA,consultas prenatales,repetidas,2013-04-01,85,15,100
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2013-04-01,28,0,28
CURVA,consultas prenatales,repetidas,2013-04-01,1,6,7
DESAGUADERO,consultas prenatales,repetidas,2013-04-01,17,4,21
EL ALTO,consultas prenatales,repetidas,2013-04-01,6020,8,6028
EL CHORO,consultas prenatales,repetidas,2013-04-01,13,17,30
EL PUENTE(STC),consultas prenatales,repetidas,2013-04-01,61,0,61
EL PUENTE(TJA),consultas prenatales,repetidas,2013-04-01,59,12,71
EL TORNO,consultas prenatales,repetidas,2013-04-01,385,9,394
EL VILLAR,consultas prenatales,repetidas,2013-04-01,20,3,23
ENTRE RIOS TRJ,consultas prenatales,repetidas,2013-04-01,139,9,148
ENTRE RIOS CBBA,consultas prenatales,repetidas,2013-04-01,236,0,236
ESCARA,consultas prenatales,repetidas,2013-04-01,3,0,3
ESCOMA,consultas prenatales,repetidas,2013-04-01,36,1,37
EUCALIPTUS,consultas prenatales,repetidas,2013-04-01,22,0,22
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2013-04-01,7,0,7
EXALTACION,consultas prenatales,repetidas,2013-04-01,14,0,14
FERNANDEZ ALONSO,consultas prenatales,repetidas,2013-04-01,79,0,79
FILADELFIA,consultas prenatales,repetidas,2013-04-01,21,6,27
GENERAL SAAVEDRA,consultas prenatales,repetidas,2013-04-01,78,0,78
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2013-04-01,31,10,41
GUANAY,consultas prenatales,repetidas,2013-04-01,74,4,78
GUAQUI,consultas prenatales,repetidas,2013-04-01,13,5,18
GUAYARAMERIN,consultas prenatales,repetidas,2013-04-01,471,2,473
GUTIERREZ,consultas prenatales,repetidas,2013-04-01,62,2,64
HUACARETA,consultas prenatales,repetidas,2013-04-01,56,7,63
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2013-04-01,9,12,21
HUACHACALLA,consultas prenatales,repetidas,2013-04-01,10,0,10
HUANUNI,consultas prenatales,repetidas,2013-04-01,392,0,392
HUARACAJE,consultas prenatales,repetidas,2013-04-01,17,0,17
HUARINA,consultas prenatales,repetidas,2013-04-01,21,5,26
HUAYLLAMARCA,consultas prenatales,repetidas,2013-04-01,15,3,18
HUMANATA,consultas prenatales,repetidas,2013-04-01,4,7,11
ICHOCA,consultas prenatales,repetidas,2013-04-01,1,3,4
ICLA,consultas prenatales,repetidas,2013-04-01,39,17,56
INCAHUASI,consultas prenatales,repetidas,2013-04-01,57,38,95
INGAVI (HUMAITA),consultas prenatales,repetidas,2013-04-01,7,0,7
INQUISIVI,consultas prenatales,repetidas,2013-04-01,36,23,59
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2013-04-01,72,2,74
IXIAMAS,consultas prenatales,repetidas,2013-04-01,53,4,57
JESUS DE MACHACA,consultas prenatales,repetidas,2013-04-01,60,0,60
LA ASUNTA,consultas prenatales,repetidas,2013-04-01,342,1,343
LA GUARDIA,consultas prenatales,repetidas,2013-04-01,623,0,623
LA PAZ,consultas prenatales,repetidas,2013-04-01,7653,0,7653
LAGUNILLAS,consultas prenatales,repetidas,2013-04-01,36,9,45
LAJA,consultas prenatales,repetidas,2013-04-01,63,3,66
LAS CARRERAS,consultas prenatales,repetidas,2013-04-01,25,3,28
LICOMA PAMPA,consultas prenatales,repetidas,2013-04-01,5,0,5
LLALLAGUA,consultas prenatales,repetidas,2013-04-01,210,3,213
LLICA,consultas prenatales,repetidas,2013-04-01,26,0,26
LORETO,consultas prenatales,repetidas,2013-04-01,10,2,12
LURIBAY,consultas prenatales,repetidas,2013-04-01,20,5,25
MACHACAMARCA,consultas prenatales,repetidas,2013-04-01,12,1,13
MACHARETI,consultas prenatales,repetidas,2013-04-01,53,3,56
MAGDALENA,consultas prenatales,repetidas,2013-04-01,111,2,113
MAIRANA,consultas prenatales,repetidas,2013-04-01,78,0,78
MALLA,consultas prenatales,repetidas,2013-04-01,5,4,9
MAPIRI,consultas prenatales,repetidas,2013-04-01,137,2,139
MECAPACA,consultas prenatales,repetidas,2013-04-01,72,5,77
MINEROS,consultas prenatales,repetidas,2013-04-01,166,0,166
MIZQUE,consultas prenatales,repetidas,2013-04-01,167,3,170
MOCOMOCO,consultas prenatales,repetidas,2013-04-01,29,5,34
MOJINETE,consultas prenatales,repetidas,2013-04-01,1,2,3
MOJOCOYA,consultas prenatales,repetidas,2013-04-01,40,7,47
MONTEAGUDO,consultas prenatales,repetidas,2013-04-01,237,9,246
MONTERO,consultas prenatales,repetidas,2013-04-01,1010,0,1010
MORO MORO,consultas prenatales,repetidas,2013-04-01,14,1,15
MOROCHATA,consultas prenatales,repetidas,2013-04-01,37,18,55
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2013-04-01,14,0,14
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2013-04-01,7,2,9
OCURI,consultas prenatales,repetidas,2013-04-01,70,24,94
OKINAWA,consultas prenatales,repetidas,2013-04-01,91,17,108
OMEREQUE,consultas prenatales,repetidas,2013-04-01,35,5,40
ORURO,consultas prenatales,repetidas,2013-04-01,2860,0,2860
PADCAYA,consultas prenatales,repetidas,2013-04-01,107,7,114
PADILLA,consultas prenatales,repetidas,2013-04-01,77,10,87
PAILON,consultas prenatales,repetidas,2013-04-01,101,0,101
PALCA,consultas prenatales,repetidas,2013-04-01,50,3,53
PALOS BLANCOS,consultas prenatales,repetidas,2013-04-01,238,1,239
PAMPA AULLAGAS,consultas prenatales,repetidas,2013-04-01,13,0,13
PAMPA GRANDE,consultas prenatales,repetidas,2013-04-01,59,0,59
PAPEL PAMPA,consultas prenatales,repetidas,2013-04-01,17,8,25
PASORAPA,consultas prenatales,repetidas,2013-04-01,9,3,12
PATACAMAYA,consultas prenatales,repetidas,2013-04-01,185,1,186
PAZÑA,consultas prenatales,repetidas,2013-04-01,26,7,33
PELECHUCO,consultas prenatales,repetidas,2013-04-01,30,1,31
POCOATA,consultas prenatales,repetidas,2013-04-01,57,36,93
POCONA,consultas prenatales,repetidas,2013-04-01,56,1,57
POJO (CBBA),consultas prenatales,repetidas,2013-04-01,66,1,67
POOPO,consultas prenatales,repetidas,2013-04-01,33,0,33
PORCO,consultas prenatales,repetidas,2013-04-01,91,3,94
POROMA,consultas prenatales,repetidas,2013-04-01,49,21,70
PORONGO,consultas prenatales,repetidas,2013-04-01,52,0,52
PORTACHUELO,consultas prenatales,repetidas,2013-04-01,244,0,244
PORVENIR,consultas prenatales,repetidas,2013-04-01,43,4,47
POSTRER VALLE,consultas prenatales,repetidas,2013-04-01,3,1,4
POTOSI,consultas prenatales,repetidas,2013-04-01,1738,2,1740
PRESTO,consultas prenatales,repetidas,2013-04-01,25,34,59
PUCARA,consultas prenatales,repetidas,2013-04-01,0,3,3
PUCARANI,consultas prenatales,repetidas,2013-04-01,115,4,119
PUERTO ACOSTA,consultas prenatales,repetidas,2013-04-01,18,5,23
PUERTO CARABUCO,consultas prenatales,repetidas,2013-04-01,31,13,44
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2013-04-01,32,2,34
PUERTO PEREZ,consultas prenatales,repetidas,2013-04-01,20,2,22
PUERTO QUIJARRO,consultas prenatales,repetidas,2013-04-01,48,0,48
PUERTO RICO,consultas prenatales,repetidas,2013-04-01,59,0,59
PUERTO SILES,consultas prenatales,repetidas,2013-04-01,6,0,6
PUERTO SUAREZ,consultas prenatales,repetidas,2013-04-01,128,0,128
PUERTO VILLARROEL,consultas prenatales,repetidas,2013-04-01,563,5,568
PUNA,consultas prenatales,repetidas,2013-04-01,60,27,87
PUNATA,consultas prenatales,repetidas,2013-04-01,248,0,248
QUIABAYA,consultas prenatales,repetidas,2013-04-01,7,3,10
QUILLACOLLO,consultas prenatales,repetidas,2013-04-01,917,1,918
QUIME,consultas prenatales,repetidas,2013-04-01,69,0,69
QUIRUSILLAS,consultas prenatales,repetidas,2013-04-01,9,0,9
RAVELO,consultas prenatales,repetidas,2013-04-01,31,27,58
REYES,consultas prenatales,repetidas,2013-04-01,77,4,81
RIBERALTA,consultas prenatales,repetidas,2013-04-01,1229,39,1268
ROBORE,consultas prenatales,repetidas,2013-04-01,104,0,104
RURRENABAQUE,consultas prenatales,repetidas,2013-04-01,148,0,148
SABAYA,consultas prenatales,repetidas,2013-04-01,12,1,13
SACABA,consultas prenatales,repetidas,2013-04-01,1162,0,1162
SACABAMBA,consultas prenatales,repetidas,2013-04-01,13,0,13
SACACA,consultas prenatales,repetidas,2013-04-01,93,9,102
SAIPINA,consultas prenatales,repetidas,2013-04-01,25,3,28
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2013-04-01,33,20,53
SAMAIPATA,consultas prenatales,repetidas,2013-04-01,73,2,75
SAN AGUSTIN,consultas prenatales,repetidas,2013-04-01,5,2,7
SAN ANDRES,consultas prenatales,repetidas,2013-04-01,57,4,61
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2013-04-01,11,9,20
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2013-04-01,3,1,4
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2013-04-01,25,7,32
SAN BENITO,consultas prenatales,repetidas,2013-04-01,113,1,114
SAN BORJA,consultas prenatales,repetidas,2013-04-01,263,7,270
SAN BUENA VENTURA,consultas prenatales,repetidas,2013-04-01,124,0,124
SAN CARLOS,consultas prenatales,repetidas,2013-04-01,210,2,212
SAN IGNACIO,consultas prenatales,repetidas,2013-04-01,198,4,202
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2013-04-01,339,32,371
SAN JAVIER(BNI),consultas prenatales,repetidas,2013-04-01,16,3,19
SAN JAVIER(STC),consultas prenatales,repetidas,2013-04-01,121,0,121
SAN JOAQUIN,consultas prenatales,repetidas,2013-04-01,31,0,31
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2013-04-01,79,0,79
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2013-04-01,46,0,46
SAN JULIAN,consultas prenatales,repetidas,2013-04-01,255,12,267
SAN LORENZO(PND),consultas prenatales,repetidas,2013-04-01,24,3,27
SAN LORENZO(TJA),consultas prenatales,repetidas,2013-04-01,121,9,130
SAN LUCAS,consultas prenatales,repetidas,2013-04-01,171,61,232
SAN MATIAS,consultas prenatales,repetidas,2013-04-01,109,0,109
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2013-04-01,62,5,67
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2013-04-01,19,0,19
SAN PEDRO,consultas prenatales,repetidas,2013-04-01,117,7,124
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2013-04-01,106,21,127
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2013-04-01,13,5,18
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2013-04-01,4,0,4
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2013-04-01,24,3,27
SAN PEDRO(PND),consultas prenatales,repetidas,2013-04-01,5,1,6
SAN RAFAEL,consultas prenatales,repetidas,2013-04-01,40,1,41
SAN RAMON BENI,consultas prenatales,repetidas,2013-04-01,25,0,25
SAN RAMON SCZ,consultas prenatales,repetidas,2013-04-01,70,0,70
SANTA ANA,consultas prenatales,repetidas,2013-04-01,206,0,206
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2013-04-01,11222,1,11223
