,group,variable,month,REPETIDAS TOTAL 4.3 REPETIDAS,REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
COPACABANA,consultas prenatales,repetidas,2012-04-01,47,2,49
CORIPATA,consultas prenatales,repetidas,2012-04-01,70,19,89
CORO CORO,consultas prenatales,repetidas,2012-04-01,21,12,33
COROICO,consultas prenatales,repetidas,2012-04-01,89,4,93
CORQUE,consultas prenatales,repetidas,2012-04-01,22,6,28
COTAGAITA,consultas prenatales,repetidas,2012-04-01,95,1,96
COTOCA,consultas prenatales,repetidas,2012-04-01,165,0,165
CUATRO CAÑADAS,consultas prenatales,repetidas,2012-04-01,107,2,109
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2012-04-01,3,1,4
CUEVO,consultas prenatales,repetidas,2012-04-01,22,3,25
CULPINA,consultas prenatales,repetidas,2012-04-01,82,24,106
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2012-04-01,19,2,21
CURVA,consultas prenatales,repetidas,2012-04-01,4,2,6
DESAGUADERO,consultas prenatales,repetidas,2012-04-01,23,0,23
EL ALTO,consultas prenatales,repetidas,2012-04-01,2567,12,2579
EL CHORO,consultas prenatales,repetidas,2012-04-01,12,11,23
EL PUENTE(STC),consultas prenatales,repetidas,2012-04-01,66,0,66
EL PUENTE(TJA),consultas prenatales,repetidas,2012-04-01,31,2,33
EL TORNO,consultas prenatales,repetidas,2012-04-01,145,0,145
EL VILLAR,consultas prenatales,repetidas,2012-04-01,25,0,25
ENTRE RIOS TRJ,consultas prenatales,repetidas,2012-04-01,80,7,87
ENTRE RIOS CBBA,consultas prenatales,repetidas,2012-04-01,158,0,158
ESCARA,consultas prenatales,repetidas,2012-04-01,1,0,1
ESCOMA,consultas prenatales,repetidas,2012-04-01,21,1,22
EUCALIPTUS,consultas prenatales,repetidas,2012-04-01,36,4,40
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2012-04-01,5,0,5
EXALTACION,consultas prenatales,repetidas,2012-04-01,9,0,9
FERNANDEZ ALONSO,consultas prenatales,repetidas,2012-04-01,47,0,47
FILADELFIA,consultas prenatales,repetidas,2012-04-01,12,0,12
GENERAL SAAVEDRA,consultas prenatales,repetidas,2012-04-01,72,0,72
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2012-04-01,47,10,57
GUANAY,consultas prenatales,repetidas,2012-04-01,98,4,102
GUAQUI,consultas prenatales,repetidas,2012-04-01,20,2,22
GUAYARAMERIN,consultas prenatales,repetidas,2012-04-01,147,0,147
GUTIERREZ,consultas prenatales,repetidas,2012-04-01,48,10,58
HUACARETA,consultas prenatales,repetidas,2012-04-01,49,13,62
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2012-04-01,10,8,18
HUACHACALLA,consultas prenatales,repetidas,2012-04-01,2,0,2
HUANUNI,consultas prenatales,repetidas,2012-04-01,237,0,237
HUARACAJE,consultas prenatales,repetidas,2012-04-01,22,0,22
HUARINA,consultas prenatales,repetidas,2012-04-01,8,2,10
HUAYLLAMARCA,consultas prenatales,repetidas,2012-04-01,6,1,7
HUMANATA,consultas prenatales,repetidas,2012-04-01,11,7,18
ICHOCA,consultas prenatales,repetidas,2012-04-01,9,5,14
ICLA,consultas prenatales,repetidas,2012-04-01,47,10,57
INCAHUASI,consultas prenatales,repetidas,2012-04-01,47,22,69
INGAVI (HUMAITA),consultas prenatales,repetidas,2012-04-01,5,3,8
INQUISIVI,consultas prenatales,repetidas,2012-04-01,30,7,37
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2012-04-01,64,0,64
IXIAMAS,consultas prenatales,repetidas,2012-04-01,40,1,41
JESUS DE MACHACA,consultas prenatales,repetidas,2012-04-01,51,5,56
LA ASUNTA,consultas prenatales,repetidas,2012-04-01,267,3,270
LA GUARDIA,consultas prenatales,repetidas,2012-04-01,275,0,275
LA PAZ,consultas prenatales,repetidas,2012-04-01,3848,0,3848
LAGUNILLAS,consultas prenatales,repetidas,2012-04-01,33,3,36
LAJA,consultas prenatales,repetidas,2012-04-01,54,2,56
LAS CARRERAS,consultas prenatales,repetidas,2012-04-01,15,3,18
LICOMA PAMPA,consultas prenatales,repetidas,2012-04-01,16,1,17
LLALLAGUA,consultas prenatales,repetidas,2012-04-01,175,2,177
LLICA,consultas prenatales,repetidas,2012-04-01,24,0,24
LORETO,consultas prenatales,repetidas,2012-04-01,6,0,6
LURIBAY,consultas prenatales,repetidas,2012-04-01,15,1,16
MACHACAMARCA,consultas prenatales,repetidas,2012-04-01,30,2,32
MACHARETI,consultas prenatales,repetidas,2012-04-01,46,4,50
MAGDALENA,consultas prenatales,repetidas,2012-04-01,19,1,20
MAIRANA,consultas prenatales,repetidas,2012-04-01,45,0,45
MALLA,consultas prenatales,repetidas,2012-04-01,0,8,8
MAPIRI,consultas prenatales,repetidas,2012-04-01,119,2,121
MECAPACA,consultas prenatales,repetidas,2012-04-01,21,1,22
MINEROS,consultas prenatales,repetidas,2012-04-01,51,0,51
MIZQUE,consultas prenatales,repetidas,2012-04-01,122,3,125
MOCOMOCO,consultas prenatales,repetidas,2012-04-01,54,5,59
MOJINETE,consultas prenatales,repetidas,2012-04-01,2,0,2
MOJOCOYA,consultas prenatales,repetidas,2012-04-01,32,12,44
MONTEAGUDO,consultas prenatales,repetidas,2012-04-01,230,13,243
MONTERO,consultas prenatales,repetidas,2012-04-01,709,2,711
MORO MORO,consultas prenatales,repetidas,2012-04-01,17,0,17
MOROCHATA,consultas prenatales,repetidas,2012-04-01,50,10,60
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2012-04-01,9,0,9
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2012-04-01,6,5,11
OCURI,consultas prenatales,repetidas,2012-04-01,33,3,36
OKINAWA,consultas prenatales,repetidas,2012-04-01,51,0,51
OMEREQUE,consultas prenatales,repetidas,2012-04-01,22,0,22
ORURO,consultas prenatales,repetidas,2012-04-01,948,2,950
PADCAYA,consultas prenatales,repetidas,2012-04-01,70,5,75
PADILLA,consultas prenatales,repetidas,2012-04-01,59,3,62
PAILON,consultas prenatales,repetidas,2012-04-01,63,0,63
PALCA,consultas prenatales,repetidas,2012-04-01,67,0,67
PALOS BLANCOS,consultas prenatales,repetidas,2012-04-01,218,8,226
PAMPA AULLAGAS,consultas prenatales,repetidas,2012-04-01,23,0,23
PAMPA GRANDE,consultas prenatales,repetidas,2012-04-01,53,0,53
PAPEL PAMPA,consultas prenatales,repetidas,2012-04-01,23,10,33
PASORAPA,consultas prenatales,repetidas,2012-04-01,7,1,8
PATACAMAYA,consultas prenatales,repetidas,2012-04-01,176,0,176
PAZÑA,consultas prenatales,repetidas,2012-04-01,30,0,30
PELECHUCO,consultas prenatales,repetidas,2012-04-01,32,7,39
POCOATA,consultas prenatales,repetidas,2012-04-01,53,12,65
POCONA,consultas prenatales,repetidas,2012-04-01,60,0,60
POJO (CBBA),consultas prenatales,repetidas,2012-04-01,81,0,81
POOPO,consultas prenatales,repetidas,2012-04-01,36,0,36
PORCO,consultas prenatales,repetidas,2012-04-01,64,0,64
POROMA,consultas prenatales,repetidas,2012-04-01,57,28,85
PORONGO,consultas prenatales,repetidas,2012-04-01,46,0,46
PORTACHUELO,consultas prenatales,repetidas,2012-04-01,84,0,84
PORVENIR,consultas prenatales,repetidas,2012-04-01,12,0,12
POSTRER VALLE,consultas prenatales,repetidas,2012-04-01,6,0,6
POTOSI,consultas prenatales,repetidas,2012-04-01,827,1,828
PRESTO,consultas prenatales,repetidas,2012-04-01,29,19,48
PUCARA,consultas prenatales,repetidas,2012-04-01,6,0,6
PUCARANI,consultas prenatales,repetidas,2012-04-01,120,4,124
PUERTO ACOSTA,consultas prenatales,repetidas,2012-04-01,18,20,38
PUERTO CARABUCO,consultas prenatales,repetidas,2012-04-01,39,17,56
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2012-04-01,20,0,20
PUERTO PEREZ,consultas prenatales,repetidas,2012-04-01,11,2,13
PUERTO QUIJARRO,consultas prenatales,repetidas,2012-04-01,19,0,19
PUERTO RICO,consultas prenatales,repetidas,2012-04-01,15,7,22
PUERTO SILES,consultas prenatales,repetidas,2012-04-01,11,0,11
PUERTO SUAREZ,consultas prenatales,repetidas,2012-04-01,45,0,45
PUERTO VILLARROEL,consultas prenatales,repetidas,2012-04-01,439,0,439
PUNA,consultas prenatales,repetidas,2012-04-01,70,1,71
PUNATA,consultas prenatales,repetidas,2012-04-01,61,0,61
QUIABAYA,consultas prenatales,repetidas,2012-04-01,22,0,22
QUILLACOLLO,consultas prenatales,repetidas,2012-04-01,305,1,306
QUIME,consultas prenatales,repetidas,2012-04-01,47,0,47
QUIRUSILLAS,consultas prenatales,repetidas,2012-04-01,5,0,5
RAVELO,consultas prenatales,repetidas,2012-04-01,27,13,40
REYES,consultas prenatales,repetidas,2012-04-01,22,6,28
RIBERALTA,consultas prenatales,repetidas,2012-04-01,191,11,202
ROBORE,consultas prenatales,repetidas,2012-04-01,10,0,10
RURRENABAQUE,consultas prenatales,repetidas,2012-04-01,38,0,38
SABAYA,consultas prenatales,repetidas,2012-04-01,14,0,14
SACABA,consultas prenatales,repetidas,2012-04-01,748,0,748
SACABAMBA,consultas prenatales,repetidas,2012-04-01,14,3,17
SACACA,consultas prenatales,repetidas,2012-04-01,46,6,52
SAIPINA,consultas prenatales,repetidas,2012-04-01,24,1,25
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2012-04-01,45,10,55
SAMAIPATA,consultas prenatales,repetidas,2012-04-01,41,0,41
SAN AGUSTIN,consultas prenatales,repetidas,2012-04-01,2,1,3
SAN ANDRES,consultas prenatales,repetidas,2012-04-01,29,2,31
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2012-04-01,10,9,19
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2012-04-01,6,0,6
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2012-04-01,16,5,21
SAN BENITO,consultas prenatales,repetidas,2012-04-01,85,0,85
SAN BORJA,consultas prenatales,repetidas,2012-04-01,130,6,136
SAN BUENA VENTURA,consultas prenatales,repetidas,2012-04-01,73,1,74
SAN CARLOS,consultas prenatales,repetidas,2012-04-01,172,0,172
SAN IGNACIO,consultas prenatales,repetidas,2012-04-01,114,0,114
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2012-04-01,366,26,392
SAN JAVIER(BNI),consultas prenatales,repetidas,2012-04-01,9,0,9
SAN JAVIER(STC),consultas prenatales,repetidas,2012-04-01,30,0,30
SAN JOAQUIN,consultas prenatales,repetidas,2012-04-01,7,0,7
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2012-04-01,23,0,23
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2012-04-01,46,0,46
SAN JULIAN,consultas prenatales,repetidas,2012-04-01,97,11,108
SAN LORENZO(PND),consultas prenatales,repetidas,2012-04-01,5,8,13
SAN LORENZO(TJA),consultas prenatales,repetidas,2012-04-01,42,12,54
SAN LUCAS,consultas prenatales,repetidas,2012-04-01,155,102,257
SAN MATIAS,consultas prenatales,repetidas,2012-04-01,28,0,28
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2012-04-01,64,4,68
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2012-04-01,3,0,3
SAN PEDRO,consultas prenatales,repetidas,2012-04-01,75,0,75
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2012-04-01,51,2,53
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2012-04-01,9,2,11
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2012-04-01,2,0,2
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2012-04-01,7,0,7
SAN RAFAEL,consultas prenatales,repetidas,2012-04-01,35,1,36
SAN RAMON BENI,consultas prenatales,repetidas,2012-04-01,13,0,13
SAN RAMON SCZ,consultas prenatales,repetidas,2012-04-01,23,0,23
SANTA ANA,consultas prenatales,repetidas,2012-04-01,55,6,61
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2012-04-01,3325,0,3325
SANTA ROSA,consultas prenatales,repetidas,2012-04-01,14,2,16
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2012-04-01,102,0,102
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2012-04-01,5,11,16
SANTIAGO DE HUARI,consultas prenatales,repetidas,2012-04-01,33,5,38
SANTIAGO DE HUATA,consultas prenatales,repetidas,2012-04-01,15,3,18
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2012-04-01,14,0,14
SANTIVAÑES,consultas prenatales,repetidas,2012-04-01,16,2,18
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2012-04-01,11,1,12
SAPAHAQUI,consultas prenatales,repetidas,2012-04-01,21,7,28
SENA,consultas prenatales,repetidas,2012-04-01,7,0,7
SHINAOTA,consultas prenatales,repetidas,2012-04-01,322,0,322
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2012-04-01,57,8,65
SICAYA,consultas prenatales,repetidas,2012-04-01,17,0,17
SIPE SIPE,consultas prenatales,repetidas,2012-04-01,310,1,311
SOPACHUY,consultas prenatales,repetidas,2012-04-01,29,7,36
SORACACHI,consultas prenatales,repetidas,2012-04-01,27,13,40
SORATA,consultas prenatales,repetidas,2012-04-01,59,14,73
SUCRE,consultas prenatales,repetidas,2012-04-01,2252,8,2260
TACACHI,consultas prenatales,repetidas,2012-04-01,1,1,2
TACACOMA,consultas prenatales,repetidas,2012-04-01,49,5,54
TACOBAMBA,consultas prenatales,repetidas,2012-04-01,17,1,18
TACOPAYA,consultas prenatales,repetidas,2012-04-01,35,1,36
TAHUA,consultas prenatales,repetidas,2012-04-01,3,0,3
TAPACARI,consultas prenatales,repetidas,2012-04-01,72,24,96
TARABUCO,consultas prenatales,repetidas,2012-04-01,84,25,109
TARACO,consultas prenatales,repetidas,2012-04-01,8,0,8
TARATA,consultas prenatales,repetidas,2012-04-01,45,0,45
TARIJA,consultas prenatales,repetidas,2012-04-01,723,3,726
TARVITA,consultas prenatales,repetidas,2012-04-01,75,17,92
TEOPONTE,consultas prenatales,repetidas,2012-04-01,28,5,33
TIAWANACU,consultas prenatales,repetidas,2012-04-01,36,6,42
TINGUIPAYA,consultas prenatales,repetidas,2012-04-01,30,0,30
TIPUANI,consultas prenatales,repetidas,2012-04-01,113,0,113
TIQUIPAYA,consultas prenatales,repetidas,2012-04-01,268,7,275
TIRAQUE (CBBA),consultas prenatales,repetidas,2012-04-01,91,5,96
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2012-04-01,9,0,9
TOCO,consultas prenatales,repetidas,2012-04-01,23,0,23
TOLATA,consultas prenatales,repetidas,2012-04-01,43,0,43
TOLEDO,consultas prenatales,repetidas,2012-04-01,19,4,23
TOMAVE,consultas prenatales,repetidas,2012-04-01,34,6,40
TOMINA,consultas prenatales,repetidas,2012-04-01,48,1,49
TORO TORO,consultas prenatales,repetidas,2012-04-01,29,4,33
TOTORA(CBBA),consultas prenatales,repetidas,2012-04-01,28,29,57
TOTORA(ORR),consultas prenatales,repetidas,2012-04-01,8,2,10
TRIGAL,consultas prenatales,repetidas,2012-04-01,6,5,11
TRINIDAD,consultas prenatales,repetidas,2012-04-01,374,0,374
TUPIZA,consultas prenatales,repetidas,2012-04-01,127,7,134
TURCO,consultas prenatales,repetidas,2012-04-01,11,1,12
UMALA,consultas prenatales,repetidas,2012-04-01,14,3,17
UNCIA,consultas prenatales,repetidas,2012-04-01,35,4,39
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2012-04-01,61,2,63
URUBICHA,consultas prenatales,repetidas,2012-04-01,40,0,40
UYUNI,consultas prenatales,repetidas,2012-04-01,98,4,102
VACAS,consultas prenatales,repetidas,2012-04-01,25,5,30
VALLEGRANDE,consultas prenatales,repetidas,2012-04-01,36,1,37
VIACHA,consultas prenatales,repetidas,2012-04-01,287,1,288
VILA VILA,consultas prenatales,repetidas,2012-04-01,13,6,19
VILLA CHARCAS,consultas prenatales,repetidas,2012-04-01,58,23,81
VILLA MONTES,consultas prenatales,repetidas,2012-04-01,112,6,118
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2012-04-01,5,0,5
VILLA RIVERO,consultas prenatales,repetidas,2012-04-01,43,2,45
VILLA SERRANO,consultas prenatales,repetidas,2012-04-01,51,20,71
VILLA TUNARI,consultas prenatales,repetidas,2012-04-01,580,1,581
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2012-04-01,58,11,69
VILLAZON,consultas prenatales,repetidas,2012-04-01,201,4,205
VINTO,consultas prenatales,repetidas,2012-04-01,182,0,182
VITICHI,consultas prenatales,repetidas,2012-04-01,7,2,9
WALDO BALLIVIAN,consultas prenatales,repetidas,2012-04-01,10,2,12
WARNES,consultas prenatales,repetidas,2012-04-01,383,1,384
YACO,consultas prenatales,repetidas,2012-04-01,20,12,32
YACUIBA,consultas prenatales,repetidas,2012-04-01,436,9,445
YAMPARAEZ,consultas prenatales,repetidas,2012-04-01,37,9,46
YANACACHI,consultas prenatales,repetidas,2012-04-01,26,0,26
YAPACANI,consultas prenatales,repetidas,2012-04-01,319,6,325
YOCALLA,consultas prenatales,repetidas,2012-04-01,24,6,30
YOTALA,consultas prenatales,repetidas,2012-04-01,50,4,54
YUNCHARA,consultas prenatales,repetidas,2012-04-01,6,20,26
ZUDAÑEZ,consultas prenatales,repetidas,2012-04-01,39,10,49
ACACIO,consultas prenatales,repetidas,2012-05-01,21,2,23
ACHACACHI,consultas prenatales,repetidas,2012-05-01,162,10,172
ACHOCALLA,consultas prenatales,repetidas,2012-05-01,51,8,59
AIQUILE,consultas prenatales,repetidas,2012-05-01,160,5,165
ALALAY,consultas prenatales,repetidas,2012-05-01,2,5,7
ALCALA,consultas prenatales,repetidas,2012-05-01,25,1,26
ALTO BENI,consultas prenatales,repetidas,2012-05-01,37,2,39
ANCORAIMES,consultas prenatales,repetidas,2012-05-01,44,2,46
ANDAMARCA,consultas prenatales,repetidas,2012-05-01,5,6,11
ANTEQUERA,consultas prenatales,repetidas,2012-05-01,20,1,21
ANZALDO,consultas prenatales,repetidas,2012-05-01,21,5,26
APOLO,consultas prenatales,repetidas,2012-05-01,103,20,123
ARAMPAMPA,consultas prenatales,repetidas,2012-05-01,12,4,16
ARANI,consultas prenatales,repetidas,2012-05-01,85,0,85
ARBIETO,consultas prenatales,repetidas,2012-05-01,50,20,70
ARQUE,consultas prenatales,repetidas,2012-05-01,56,0,56
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2012-05-01,140,4,144
ATOCHA,consultas prenatales,repetidas,2012-05-01,65,3,68
AUCAPATA,consultas prenatales,repetidas,2012-05-01,11,1,12
AYATA,consultas prenatales,repetidas,2012-05-01,31,3,34
AYO AYO,consultas prenatales,repetidas,2012-05-01,33,1,34
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2012-05-01,126,13,139
AZURDUY,consultas prenatales,repetidas,2012-05-01,34,22,56
BATALLAS,consultas prenatales,repetidas,2012-05-01,66,4,70
BAURES,consultas prenatales,repetidas,2012-05-01,26,0,26
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2012-05-01,6,0,6
BELEN DE URMIRI,consultas prenatales,repetidas,2012-05-01,4,6,10
BELLA FLOR,consultas prenatales,repetidas,2012-05-01,5,5,10
BERMEJO,consultas prenatales,repetidas,2012-05-01,259,14,273
BETANZOS,consultas prenatales,repetidas,2012-05-01,100,21,121
BOLIVAR,consultas prenatales,repetidas,2012-05-01,33,6,39
BOLPEBRA,consultas prenatales,repetidas,2012-05-01,2,4,6
BOYUIBE,consultas prenatales,repetidas,2012-05-01,14,2,16
BUENA VISTA,consultas prenatales,repetidas,2012-05-01,43,1,44
CABEZAS,consultas prenatales,repetidas,2012-05-01,95,10,105
CAIROMA,consultas prenatales,repetidas,2012-05-01,31,7,38
"CAIZA ""D""",consultas prenatales,repetidas,2012-05-01,36,17,53
CAJUATA,consultas prenatales,repetidas,2012-05-01,44,11,55
CALACOTO,consultas prenatales,repetidas,2012-05-01,6,7,13
CALAMARCA,consultas prenatales,repetidas,2012-05-01,34,3,37
CAMARGO,consultas prenatales,repetidas,2012-05-01,104,8,112
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2012-05-01,15,8,23
CAMIRI,consultas prenatales,repetidas,2012-05-01,166,2,168
CAPINOTA,consultas prenatales,repetidas,2012-05-01,146,2,148
CAQUIAVIRI,consultas prenatales,repetidas,2012-05-01,18,1,19
CARACOLLO,consultas prenatales,repetidas,2012-05-01,70,7,77
CARANAVI,consultas prenatales,repetidas,2012-05-01,393,14,407
CARANGAS,consultas prenatales,repetidas,2012-05-01,0,1,1
CARAPARI,consultas prenatales,repetidas,2012-05-01,109,9,118
CARIPUYO,consultas prenatales,repetidas,2012-05-01,13,24,37
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2012-05-01,20,0,20
CHACARILLA,consultas prenatales,repetidas,2012-05-01,1,0,1
CHALLAPATA,consultas prenatales,repetidas,2012-05-01,173,24,197
CHAQUI,consultas prenatales,repetidas,2012-05-01,29,3,32
CHARAGUA,consultas prenatales,repetidas,2012-05-01,132,2,134
CHARAÑA,consultas prenatales,repetidas,2012-05-01,4,0,4
CHAYANTA,consultas prenatales,repetidas,2012-05-01,60,8,68
CHIMORE,consultas prenatales,repetidas,2012-05-01,65,13,78
CHIPAYA,consultas prenatales,repetidas,2012-05-01,14,1,15
CHOQUE COTA,consultas prenatales,repetidas,2012-05-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2012-05-01,117,0,117
CHUMA,consultas prenatales,repetidas,2012-05-01,23,1,24
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2012-05-01,23,4,27
CKOCHAS,consultas prenatales,repetidas,2012-05-01,66,5,71
CLIZA,consultas prenatales,repetidas,2012-05-01,232,1,233
COBIJA,consultas prenatales,repetidas,2012-05-01,436,3,439
COCAPATA,consultas prenatales,repetidas,2012-05-01,41,35,76
COCHABAMBA,consultas prenatales,repetidas,2012-05-01,6113,7,6120
COIPASA,consultas prenatales,repetidas,2012-05-01,3,0,3
COLCAPIRHUA,consultas prenatales,repetidas,2012-05-01,432,0,432
"COLCHA ""K""",consultas prenatales,repetidas,2012-05-01,32,0,32
COLLANA,consultas prenatales,repetidas,2012-05-01,9,5,14
COLOMI,consultas prenatales,repetidas,2012-05-01,98,0,98
COLPA BELGICA,consultas prenatales,repetidas,2012-05-01,31,0,31
COLQUECHACA,consultas prenatales,repetidas,2012-05-01,98,28,126
COLQUENCHA,consultas prenatales,repetidas,2012-05-01,49,3,52
COLQUIRI,consultas prenatales,repetidas,2012-05-01,36,43,79
COMANCHE,consultas prenatales,repetidas,2012-05-01,9,0,9
COMARAPA,consultas prenatales,repetidas,2012-05-01,153,0,153
COMBAYA,consultas prenatales,repetidas,2012-05-01,1,8,9
CONCEPCION,consultas prenatales,repetidas,2012-05-01,87,0,87
COPACABANA,consultas prenatales,repetidas,2012-05-01,40,4,44
CORIPATA,consultas prenatales,repetidas,2012-05-01,96,0,96
CORO CORO,consultas prenatales,repetidas,2012-05-01,24,3,27
COROICO,consultas prenatales,repetidas,2012-05-01,101,0,101
CORQUE,consultas prenatales,repetidas,2012-05-01,20,10,30
COTAGAITA,consultas prenatales,repetidas,2012-05-01,130,0,130
COTOCA,consultas prenatales,repetidas,2012-05-01,255,0,255
CUATRO CAÑADAS,consultas prenatales,repetidas,2012-05-01,133,1,134
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2012-05-01,3,0,3
CUEVO,consultas prenatales,repetidas,2012-05-01,21,2,23
CULPINA,consultas prenatales,repetidas,2012-05-01,79,17,96
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2012-05-01,24,1,25
CURVA,consultas prenatales,repetidas,2012-05-01,6,6,12
DESAGUADERO,consultas prenatales,repetidas,2012-05-01,20,3,23
EL ALTO,consultas prenatales,repetidas,2012-05-01,4591,26,4617
EL CHORO,consultas prenatales,repetidas,2012-05-01,12,15,27
EL PUENTE(STC),consultas prenatales,repetidas,2012-05-01,80,0,80
EL PUENTE(TJA),consultas prenatales,repetidas,2012-05-01,67,4,71
EL TORNO,consultas prenatales,repetidas,2012-05-01,232,0,232
EL VILLAR,consultas prenatales,repetidas,2012-05-01,21,0,21
ENTRE RIOS TRJ,consultas prenatales,repetidas,2012-05-01,109,8,117
ENTRE RIOS CBBA,consultas prenatales,repetidas,2012-05-01,171,0,171
ESCARA,consultas prenatales,repetidas,2012-05-01,1,0,1
ESCOMA,consultas prenatales,repetidas,2012-05-01,35,2,37
ESMERALDA,consultas prenatales,repetidas,2012-05-01,0,1,1
EUCALIPTUS,consultas prenatales,repetidas,2012-05-01,37,1,38
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2012-05-01,8,1,9
EXALTACION,consultas prenatales,repetidas,2012-05-01,6,6,12
FERNANDEZ ALONSO,consultas prenatales,repetidas,2012-05-01,70,0,70
FILADELFIA,consultas prenatales,repetidas,2012-05-01,37,0,37
GENERAL SAAVEDRA,consultas prenatales,repetidas,2012-05-01,94,0,94
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2012-05-01,37,13,50
GUANAY,consultas prenatales,repetidas,2012-05-01,78,5,83
GUAQUI,consultas prenatales,repetidas,2012-05-01,24,3,27
GUAYARAMERIN,consultas prenatales,repetidas,2012-05-01,313,0,313
GUTIERREZ,consultas prenatales,repetidas,2012-05-01,72,5,77
HUACARETA,consultas prenatales,repetidas,2012-05-01,55,13,68
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2012-05-01,19,4,23
HUACHACALLA,consultas prenatales,repetidas,2012-05-01,1,0,1
HUANUNI,consultas prenatales,repetidas,2012-05-01,324,0,324
HUARACAJE,consultas prenatales,repetidas,2012-05-01,17,0,17
HUARINA,consultas prenatales,repetidas,2012-05-01,10,1,11
HUAYLLAMARCA,consultas prenatales,repetidas,2012-05-01,8,1,9
HUMANATA,consultas prenatales,repetidas,2012-05-01,14,2,16
ICHOCA,consultas prenatales,repetidas,2012-05-01,7,6,13
ICLA,consultas prenatales,repetidas,2012-05-01,53,22,75
INCAHUASI,consultas prenatales,repetidas,2012-05-01,55,37,92
INGAVI (HUMAITA),consultas prenatales,repetidas,2012-05-01,1,1,2
INQUISIVI,consultas prenatales,repetidas,2012-05-01,31,13,44
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2012-05-01,58,0,58
IXIAMAS,consultas prenatales,repetidas,2012-05-01,29,1,30
JESUS DE MACHACA,consultas prenatales,repetidas,2012-05-01,67,1,68
LA ASUNTA,consultas prenatales,repetidas,2012-05-01,234,0,234
LA GUARDIA,consultas prenatales,repetidas,2012-05-01,470,0,470
LA PAZ,consultas prenatales,repetidas,2012-05-01,6061,18,6079
LAGUNILLAS,consultas prenatales,repetidas,2012-05-01,31,1,32
LAJA,consultas prenatales,repetidas,2012-05-01,68,2,70
LAS CARRERAS,consultas prenatales,repetidas,2012-05-01,22,3,25
LICOMA PAMPA,consultas prenatales,repetidas,2012-05-01,9,3,12
LLALLAGUA,consultas prenatales,repetidas,2012-05-01,245,5,250
LLICA,consultas prenatales,repetidas,2012-05-01,25,0,25
LORETO,consultas prenatales,repetidas,2012-05-01,8,0,8
LURIBAY,consultas prenatales,repetidas,2012-05-01,17,0,17
MACHACAMARCA,consultas prenatales,repetidas,2012-05-01,17,2,19
MACHARETI,consultas prenatales,repetidas,2012-05-01,45,7,52
