,group,variable,month,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA EMB,EXODONCIA EMB,EXODONCIA POST,EXODONCIA POST,TOTALES
PUERTO CARABUCO,atencion odontologica,exodoncia,2020-02-01,0,0,18,22,6,19,23,37,19,8,0,0,0,0,152
PUERTO GONZALO MORENO,atencion odontologica,exodoncia,2020-02-01,0,0,4,12,0,1,6,0,0,0,0,0,0,0,23
PUERTO PEREZ,atencion odontologica,exodoncia,2020-02-01,0,0,0,5,1,0,1,6,0,3,0,0,0,0,16
PUERTO QUIJARRO,atencion odontologica,exodoncia,2020-02-01,0,0,2,6,0,1,2,1,1,2,0,0,0,0,15
PUERTO RICO,atencion odontologica,exodoncia,2020-02-01,0,0,4,10,3,8,14,16,0,0,0,0,0,0,55
PUERTO SUAREZ,atencion odontologica,exodoncia,2020-02-01,0,0,2,2,0,3,6,4,0,1,0,0,0,0,18
PUERTO VILLARROEL,atencion odontologica,exodoncia,2020-02-01,1,4,15,20,8,3,8,23,11,0,0,0,0,0,93
PUNA,atencion odontologica,exodoncia,2020-02-01,0,0,0,3,3,4,6,6,8,13,0,0,0,0,43
PUNATA,atencion odontologica,exodoncia,2020-02-01,0,0,5,15,1,3,4,20,5,5,0,0,0,0,58
QUIABAYA,atencion odontologica,exodoncia,2020-02-01,0,0,4,10,2,3,8,17,3,5,0,0,0,0,52
QUILLACOLLO,atencion odontologica,exodoncia,2020-02-01,1,1,36,35,9,9,19,42,16,9,0,0,0,0,177
QUIME,atencion odontologica,exodoncia,2020-02-01,1,0,10,11,4,4,30,31,3,3,0,0,0,0,97
QUIRUSILLAS,atencion odontologica,exodoncia,2020-02-01,0,0,0,3,0,1,3,1,1,1,0,0,0,0,10
RAVELO,atencion odontologica,exodoncia,2020-02-01,0,0,2,2,0,3,7,34,8,1,0,0,0,0,57
REYES,atencion odontologica,exodoncia,2020-02-01,3,0,9,9,1,7,4,12,7,1,0,0,0,0,53
RIBERALTA,atencion odontologica,exodoncia,2020-02-01,2,3,47,42,18,16,25,63,14,8,0,0,0,0,238
ROBORE,atencion odontologica,exodoncia,2020-02-01,0,0,7,6,1,3,7,17,7,3,0,0,0,0,51
RURRENABAQUE,atencion odontologica,exodoncia,2020-02-01,1,1,12,10,4,3,12,16,6,2,0,0,0,0,67
SABAYA,atencion odontologica,exodoncia,2020-02-01,0,0,2,4,0,0,1,2,0,0,0,0,0,0,9
SACABA,atencion odontologica,exodoncia,2020-02-01,0,2,73,63,7,25,29,71,17,11,0,0,0,0,298
SACABAMBA,atencion odontologica,exodoncia,2020-02-01,0,0,2,2,0,2,0,2,0,5,0,0,0,0,13
SACACA,atencion odontologica,exodoncia,2020-02-01,2,0,17,23,4,6,18,33,3,3,0,0,0,0,109
SAIPINA,atencion odontologica,exodoncia,2020-02-01,0,1,4,6,0,0,3,5,1,1,0,0,0,0,21
SALINAS DE GARCI MENDOZA,atencion odontologica,exodoncia,2020-02-01,0,0,15,15,3,4,4,10,5,7,0,0,0,0,63
SAMAIPATA,atencion odontologica,exodoncia,2020-02-01,1,0,5,3,4,3,0,3,1,0,0,0,0,0,20
SAN AGUSTIN,atencion odontologica,exodoncia,2020-02-01,0,0,0,0,0,1,1,6,0,0,0,0,0,0,8
SAN ANDRES,atencion odontologica,exodoncia,2020-02-01,2,0,3,0,6,2,6,2,1,1,0,0,0,0,23
SAN ANDRES DE MACHACA,atencion odontologica,exodoncia,2020-02-01,0,0,2,3,1,2,3,7,7,5,0,0,0,0,30
SAN ANTONIO DE ESMORUCO,atencion odontologica,exodoncia,2020-02-01,0,0,3,2,0,0,0,0,1,0,0,0,0,0,6
SAN ANTONIO DE LOMERIO,atencion odontologica,exodoncia,2020-02-01,0,0,4,2,1,1,2,11,1,0,0,0,0,0,22
SAN BENITO,atencion odontologica,exodoncia,2020-02-01,0,0,14,6,0,3,2,4,1,4,0,0,0,0,34
SAN BORJA,atencion odontologica,exodoncia,2020-02-01,1,0,19,21,5,5,14,42,14,3,0,0,0,0,124
SAN BUENA VENTURA,atencion odontologica,exodoncia,2020-02-01,0,0,2,0,0,2,2,3,0,0,0,0,0,0,9
SAN CARLOS,atencion odontologica,exodoncia,2020-02-01,0,1,4,2,0,0,4,7,5,4,0,0,0,0,27
SAN IGNACIO,atencion odontologica,exodoncia,2020-02-01,2,0,45,43,5,11,25,44,7,4,0,0,0,0,186
SAN IGNACIO DE VELASCO,atencion odontologica,exodoncia,2020-02-01,1,0,2,3,0,2,2,12,25,6,0,0,0,0,53
SAN JAVIER(BNI),atencion odontologica,exodoncia,2020-02-01,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3
SAN JAVIER(STC),atencion odontologica,exodoncia,2020-02-01,0,0,1,0,0,1,0,3,0,0,0,0,0,0,5
SAN JOAQUIN,atencion odontologica,exodoncia,2020-02-01,1,0,6,6,3,5,7,14,3,0,0,0,0,0,45
SAN JOSE DE CHIQUITOS,atencion odontologica,exodoncia,2020-02-01,0,0,2,9,13,6,11,15,2,0,0,0,0,0,58
SAN JUAN DE YAPACANI,atencion odontologica,exodoncia,2020-02-01,1,0,12,6,3,2,8,18,1,1,0,0,0,0,52
SAN JULIAN,atencion odontologica,exodoncia,2020-02-01,0,2,31,20,10,10,10,35,12,13,0,0,0,0,143
SAN LORENZO(PND),atencion odontologica,exodoncia,2020-02-01,0,0,0,4,1,0,3,1,0,0,0,0,0,0,9
SAN LORENZO(TJA),atencion odontologica,exodoncia,2020-02-01,0,0,14,6,4,5,9,19,5,2,0,0,0,0,64
SAN LUCAS,atencion odontologica,exodoncia,2020-02-01,1,0,10,19,2,8,9,55,6,18,0,0,0,0,128
SAN MATIAS,atencion odontologica,exodoncia,2020-02-01,1,3,1,4,1,2,3,4,2,1,0,0,0,0,22
SAN MIGUEL DE VELASCO,atencion odontologica,exodoncia,2020-02-01,0,2,2,4,1,4,6,20,1,3,0,0,0,0,43
SAN PABLO DE LIPEZ,atencion odontologica,exodoncia,2020-02-01,0,0,1,0,1,3,3,4,0,0,0,0,0,0,12
SAN PEDRO,atencion odontologica,exodoncia,2020-02-01,0,1,21,12,2,4,7,15,2,4,0,0,0,0,68
SAN PEDRO DE BUENA VISTA,atencion odontologica,exodoncia,2020-02-01,0,0,4,4,0,0,1,22,2,3,0,0,0,0,36
SAN PEDRO DE CURAHUARA,atencion odontologica,exodoncia,2020-02-01,0,0,2,0,0,0,4,2,2,0,0,0,0,0,10
SAN PEDRO DE TIQUINA,atencion odontologica,exodoncia,2020-02-01,0,0,0,7,2,5,7,3,2,2,0,0,0,0,28
SAN PEDRO(PND),atencion odontologica,exodoncia,2020-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SAN RAFAEL,atencion odontologica,exodoncia,2020-02-01,0,0,1,2,0,0,0,4,0,0,0,0,0,0,7
SAN RAMON BENI,atencion odontologica,exodoncia,2020-02-01,0,0,2,11,3,2,5,5,0,0,0,0,0,0,28
SAN RAMON SCZ,atencion odontologica,exodoncia,2020-02-01,0,0,3,5,1,7,3,12,2,1,0,0,0,0,34
SANTA ANA,atencion odontologica,exodoncia,2020-02-01,0,0,2,4,3,6,1,5,1,1,0,0,0,0,23
SANTA CRUZ DE LA SIERRA,atencion odontologica,exodoncia,2020-02-01,18,15,134,150,23,31,102,184,104,66,0,0,0,0,827
SANTA ROSA,atencion odontologica,exodoncia,2020-02-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
SANTA ROSA DEL SARA,atencion odontologica,exodoncia,2020-02-01,0,0,4,1,0,2,0,2,0,0,0,0,0,0,9
SANTIAGO DE CALLAPA,atencion odontologica,exodoncia,2020-02-01,0,0,2,5,1,0,4,16,6,5,0,0,0,0,39
SANTIAGO DE HUARI,atencion odontologica,exodoncia,2020-02-01,0,0,7,7,3,1,3,9,7,19,0,0,0,0,56
SANTIAGO DE HUATA,atencion odontologica,exodoncia,2020-02-01,0,0,3,1,3,2,1,12,7,11,0,0,0,0,40
SANTIAGO DE MACHACA,atencion odontologica,exodoncia,2020-02-01,0,0,6,8,2,0,1,10,6,3,0,0,0,0,36
SANTIVAÑES,atencion odontologica,exodoncia,2020-02-01,0,0,3,5,0,4,4,7,4,3,0,0,0,0,30
SANTUARIO DE QUILLACAS,atencion odontologica,exodoncia,2020-02-01,0,0,5,2,1,0,5,2,1,0,0,0,0,0,16
SAPAHAQUI,atencion odontologica,exodoncia,2020-02-01,0,0,4,6,1,6,11,18,1,5,0,0,0,0,52
SENA,atencion odontologica,exodoncia,2020-02-01,0,0,0,0,0,0,0,5,1,2,0,0,0,0,8
SHINAOTA,atencion odontologica,exodoncia,2020-02-01,0,0,4,1,0,2,1,5,0,0,0,0,0,0,13
SICA SICA (VILLA AROMA),atencion odontologica,exodoncia,2020-02-01,0,0,7,8,7,4,14,11,3,4,0,0,0,0,58
SICAYA,atencion odontologica,exodoncia,2020-02-01,0,0,3,3,1,0,3,4,1,0,0,0,0,0,15
SIPE SIPE,atencion odontologica,exodoncia,2020-02-01,1,0,28,30,5,10,4,23,3,8,0,0,0,0,112
SOPACHUY,atencion odontologica,exodoncia,2020-02-01,0,0,3,9,1,3,9,14,4,2,0,0,0,0,45
SORACACHI,atencion odontologica,exodoncia,2020-02-01,0,0,11,11,1,9,6,14,8,14,0,0,0,0,74
SORATA,atencion odontologica,exodoncia,2020-02-01,0,0,6,17,0,4,9,20,3,2,0,0,0,0,61
SUCRE,atencion odontologica,exodoncia,2020-02-01,3,2,120,117,18,27,93,163,52,42,0,0,0,0,637
TACACHI,atencion odontologica,exodoncia,2020-02-01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3
TACACOMA,atencion odontologica,exodoncia,2020-02-01,0,0,8,7,2,3,13,10,1,3,0,0,0,0,47
TACOPAYA,atencion odontologica,exodoncia,2020-02-01,0,0,6,7,4,4,5,16,10,17,0,0,0,0,69
TAHUA,atencion odontologica,exodoncia,2020-02-01,0,0,1,0,0,1,1,2,0,0,0,0,0,0,5
TAPACARI,atencion odontologica,exodoncia,2020-02-01,0,1,17,15,4,6,17,25,11,16,0,0,0,0,112
TARABUCO,atencion odontologica,exodoncia,2020-02-01,1,0,7,4,6,9,13,20,5,13,0,0,0,0,78
TARACO,atencion odontologica,exodoncia,2020-02-01,0,0,2,2,1,2,3,2,2,3,0,0,0,0,17
TARATA,atencion odontologica,exodoncia,2020-02-01,0,0,7,7,0,1,4,7,0,3,0,0,0,0,29
TARIJA,atencion odontologica,exodoncia,2020-02-01,3,2,48,65,19,40,73,127,20,29,0,0,0,0,426
TARVITA,atencion odontologica,exodoncia,2020-02-01,1,0,13,33,2,9,34,98,16,18,0,0,0,0,224
TEOPONTE,atencion odontologica,exodoncia,2020-02-01,0,1,7,11,0,6,8,11,3,0,0,0,0,0,47
TIAHUANACU,atencion odontologica,exodoncia,2020-02-01,2,0,9,12,1,8,0,16,2,5,0,0,0,0,55
TINGUIPAYA,atencion odontologica,exodoncia,2020-02-01,0,0,6,0,0,0,3,11,6,9,0,0,0,0,35
TIPUANI,atencion odontologica,exodoncia,2020-02-01,0,0,1,7,1,2,2,17,9,0,0,0,0,0,39
TIQUIPAYA,atencion odontologica,exodoncia,2020-02-01,0,0,29,26,1,9,22,32,4,4,0,0,0,0,127
TIRAQUE (CBBA),atencion odontologica,exodoncia,2020-02-01,0,0,10,4,2,5,0,11,3,1,0,0,0,0,36
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,exodoncia,2020-02-01,0,0,2,1,0,1,2,0,1,2,0,0,0,0,9
TOCO,atencion odontologica,exodoncia,2020-02-01,0,0,9,8,0,0,1,1,0,0,0,0,0,0,19
TOLATA,atencion odontologica,exodoncia,2020-02-01,0,0,1,2,1,0,0,1,1,0,0,0,0,0,6
TOLEDO,atencion odontologica,exodoncia,2020-02-01,1,0,2,2,0,1,0,5,0,2,0,0,0,0,13
TOMAVE,atencion odontologica,exodoncia,2020-02-01,0,0,15,6,4,7,8,20,6,10,0,0,0,0,76
TOMINA,atencion odontologica,exodoncia,2020-02-01,0,0,7,6,1,8,14,27,11,10,0,0,0,0,84
TORO TORO,atencion odontologica,exodoncia,2020-02-01,0,0,7,0,0,0,2,9,3,4,0,0,0,0,25
TOTORA(CBBA),atencion odontologica,exodoncia,2020-02-01,0,1,8,9,3,5,5,15,1,2,0,0,0,0,49
TOTORA(ORR),atencion odontologica,exodoncia,2020-02-01,0,0,2,2,0,0,0,0,0,1,0,0,0,0,5
TRIGAL,atencion odontologica,exodoncia,2020-02-01,0,0,1,4,0,1,1,0,0,0,0,0,0,0,7
TRINIDAD,atencion odontologica,exodoncia,2020-02-01,2,0,38,48,18,7,71,76,37,4,0,0,0,0,301
TUPIZA,atencion odontologica,exodoncia,2020-02-01,0,4,13,9,7,9,15,26,14,5,0,0,0,0,102
TURCO,atencion odontologica,exodoncia,2020-02-01,0,0,2,1,1,0,4,4,0,0,0,0,0,0,12
UMALA,atencion odontologica,exodoncia,2020-02-01,0,0,1,3,1,1,2,5,3,2,0,0,0,0,18
UNCIA,atencion odontologica,exodoncia,2020-02-01,0,0,8,8,0,4,1,18,3,3,0,0,0,0,45
URIONDO (A. CONCEPCION),atencion odontologica,exodoncia,2020-02-01,0,0,7,8,4,8,17,29,3,7,0,0,0,0,83
URUBICHA,atencion odontologica,exodoncia,2020-02-01,0,0,0,0,1,2,0,3,2,3,0,0,0,0,11
UYUNI,atencion odontologica,exodoncia,2020-02-01,0,0,13,6,1,4,7,11,4,8,0,0,0,0,54
VACAS,atencion odontologica,exodoncia,2020-02-01,0,0,8,11,2,5,11,16,5,8,0,0,0,0,66
VALLEGRANDE,atencion odontologica,exodoncia,2020-02-01,0,0,2,5,1,1,12,13,1,4,0,0,0,0,39
VIACHA,atencion odontologica,exodoncia,2020-02-01,8,8,64,66,18,46,33,99,30,32,0,0,0,0,404
VILA VILA,atencion odontologica,exodoncia,2020-02-01,0,0,0,1,0,0,5,4,3,0,0,0,0,0,13
VILLA CHARCAS,atencion odontologica,exodoncia,2020-02-01,0,0,1,2,1,4,2,5,1,1,0,0,0,0,17
VILLA MONTES,atencion odontologica,exodoncia,2020-02-01,0,0,21,19,8,6,17,58,2,0,0,0,0,0,131
VILLA RIVERO,atencion odontologica,exodoncia,2020-02-01,0,2,6,1,1,2,4,9,0,1,0,0,0,0,26
VILLA SERRANO,atencion odontologica,exodoncia,2020-02-01,0,0,4,4,5,3,2,8,5,0,0,0,0,0,31
VILLA TUNARI,atencion odontologica,exodoncia,2020-02-01,2,1,31,57,9,16,23,52,14,4,0,0,0,0,209
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,exodoncia,2020-02-01,0,0,8,7,1,6,22,50,1,0,0,0,0,0,95
VILLAZON,atencion odontologica,exodoncia,2020-02-01,0,2,43,40,5,9,27,48,11,17,0,0,0,0,202
VINTO,atencion odontologica,exodoncia,2020-02-01,0,1,11,20,4,3,2,20,2,5,0,0,0,0,68
VITICHI,atencion odontologica,exodoncia,2020-02-01,0,0,9,10,3,6,17,26,5,9,0,0,0,0,85
WALDO BALLIVIAN,atencion odontologica,exodoncia,2020-02-01,0,0,4,4,2,1,1,9,1,0,0,0,0,0,22
WARNES,atencion odontologica,exodoncia,2020-02-01,2,0,26,17,2,7,5,27,9,5,0,0,0,0,100
YACO,atencion odontologica,exodoncia,2020-02-01,0,0,3,8,3,2,7,8,2,3,0,0,0,0,36
YACUIBA,atencion odontologica,exodoncia,2020-02-01,1,2,25,24,7,10,35,70,31,17,0,0,0,0,222
YAMPARAEZ,atencion odontologica,exodoncia,2020-02-01,0,0,2,4,1,4,2,7,15,2,0,0,0,0,37
YANACACHI,atencion odontologica,exodoncia,2020-02-01,0,0,6,8,0,0,0,3,0,1,0,0,0,0,18
YAPACANI,atencion odontologica,exodoncia,2020-02-01,3,6,29,15,3,7,14,33,6,3,0,0,0,0,119
YOCALLA,atencion odontologica,exodoncia,2020-02-01,0,0,0,4,0,1,5,6,1,0,0,0,0,0,17
YOTALA,atencion odontologica,exodoncia,2020-02-01,0,0,8,7,2,0,3,9,4,2,0,0,0,0,35
YUNCHARA,atencion odontologica,exodoncia,2020-02-01,0,0,9,15,2,2,4,17,1,4,0,0,0,0,54
ZUDAÑEZ,atencion odontologica,exodoncia,2020-02-01,0,0,6,7,0,1,5,19,2,5,0,0,0,0,45
ACACIO,atencion odontologica,exodoncia,2020-03-01,0,0,6,9,0,1,0,3,1,1,0,0,0,0,21
ACHACACHI,atencion odontologica,exodoncia,2020-03-01,0,0,24,25,5,9,12,55,20,16,0,0,0,0,166
ACHOCALLA,atencion odontologica,exodoncia,2020-03-01,1,2,10,20,1,4,5,15,7,5,0,0,0,0,70
AIQUILE,atencion odontologica,exodoncia,2020-03-01,1,0,4,8,1,0,2,3,1,0,0,0,0,0,20
ALALAY,atencion odontologica,exodoncia,2020-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ALCALA,atencion odontologica,exodoncia,2020-03-01,0,0,1,0,2,2,5,10,0,0,0,0,0,0,20
ALTO BENI,atencion odontologica,exodoncia,2020-03-01,0,0,9,8,3,0,13,15,6,5,0,0,0,0,59
ANCORAIMES,atencion odontologica,exodoncia,2020-03-01,1,0,2,6,5,8,14,35,13,9,0,0,0,0,93
ANDAMARCA,atencion odontologica,exodoncia,2020-03-01,0,0,5,5,1,2,4,6,1,1,0,0,0,0,25
ANTEQUERA,atencion odontologica,exodoncia,2020-03-01,0,0,6,1,0,2,1,4,0,1,0,0,0,0,15
ANZALDO,atencion odontologica,exodoncia,2020-03-01,0,0,4,2,0,0,0,1,1,3,0,0,0,0,11
APOLO,atencion odontologica,exodoncia,2020-03-01,0,0,6,10,0,0,1,8,3,0,0,0,0,0,28
ARAMPAMPA,atencion odontologica,exodoncia,2020-03-01,0,0,0,7,0,1,1,9,0,3,0,0,0,0,21
ARANI,atencion odontologica,exodoncia,2020-03-01,0,0,3,1,0,1,1,3,2,8,0,0,0,0,19
ARBIETO,atencion odontologica,exodoncia,2020-03-01,1,1,10,27,3,7,7,4,2,6,0,0,0,0,68
ARQUE,atencion odontologica,exodoncia,2020-03-01,0,0,8,9,5,4,3,15,0,4,0,0,0,0,48
ASCENCION DE GUARAYOS,atencion odontologica,exodoncia,2020-03-01,1,0,12,12,7,13,15,26,14,4,0,0,0,0,104
ATOCHA,atencion odontologica,exodoncia,2020-03-01,1,2,10,20,3,13,23,25,5,1,0,0,0,0,103
AUCAPATA,atencion odontologica,exodoncia,2020-03-01,1,0,6,7,1,8,9,14,1,4,0,0,0,0,51
AYATA,atencion odontologica,exodoncia,2020-03-01,0,1,4,4,3,3,8,26,2,2,0,0,0,0,53
AYO AYO,atencion odontologica,exodoncia,2020-03-01,0,0,3,5,4,3,2,6,10,1,0,0,0,0,34
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,exodoncia,2020-03-01,1,0,20,17,6,9,21,40,8,17,0,0,0,0,139
AZURDUY,atencion odontologica,exodoncia,2020-03-01,0,0,6,2,1,2,10,5,5,18,0,0,0,0,49
BATALLAS,atencion odontologica,exodoncia,2020-03-01,0,0,7,10,0,8,8,16,13,14,0,0,0,0,76
BAURES,atencion odontologica,exodoncia,2020-03-01,0,0,1,4,0,0,4,1,0,1,0,0,0,0,11
BELEN DE ANDAMARCA,atencion odontologica,exodoncia,2020-03-01,0,0,2,1,0,0,1,4,1,0,0,0,0,0,9
BELEN DE URMIRI,atencion odontologica,exodoncia,2020-03-01,0,0,0,2,0,0,0,1,3,5,0,0,0,0,11
BELLA FLOR,atencion odontologica,exodoncia,2020-03-01,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3
BERMEJO,atencion odontologica,exodoncia,2020-03-01,0,0,10,10,3,2,17,25,5,4,0,0,0,0,76
BETANZOS,atencion odontologica,exodoncia,2020-03-01,1,0,31,28,9,18,17,56,16,30,0,0,0,0,206
BOLIVAR,atencion odontologica,exodoncia,2020-03-01,0,0,1,1,1,2,0,3,0,1,0,0,0,0,9
BOLPEBRA,atencion odontologica,exodoncia,2020-03-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BOYUIBE,atencion odontologica,exodoncia,2020-03-01,0,0,0,3,0,3,2,17,0,3,0,0,0,0,28
CABEZAS,atencion odontologica,exodoncia,2020-03-01,0,0,4,3,3,5,4,9,4,4,0,0,0,0,36
CAIROMA,atencion odontologica,exodoncia,2020-03-01,0,1,7,13,4,12,7,19,5,3,0,0,0,0,71
"CAIZA ""D""",atencion odontologica,exodoncia,2020-03-01,0,0,11,2,1,1,2,8,3,6,0,0,0,0,34
CAJUATA,atencion odontologica,exodoncia,2020-03-01,0,0,0,6,0,3,14,4,2,0,0,0,0,0,29
CALACOTO,atencion odontologica,exodoncia,2020-03-01,0,0,0,1,1,1,0,2,0,0,0,0,0,0,5
CALAMARCA,atencion odontologica,exodoncia,2020-03-01,0,0,5,10,1,9,3,11,4,2,0,0,0,0,45
CAMARGO,atencion odontologica,exodoncia,2020-03-01,0,0,11,22,2,2,7,21,2,6,0,0,0,0,73
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,exodoncia,2020-03-01,0,0,3,6,0,0,4,7,1,3,0,0,0,0,24
CAMIRI,atencion odontologica,exodoncia,2020-03-01,1,2,11,13,0,2,0,4,4,17,0,0,0,0,54
CAPINOTA,atencion odontologica,exodoncia,2020-03-01,0,0,18,14,2,2,1,5,1,3,0,0,0,0,46
CAQUIAVIRI,atencion odontologica,exodoncia,2020-03-01,0,0,12,9,7,7,4,14,5,9,0,0,0,0,67
CARACOLLO,atencion odontologica,exodoncia,2020-03-01,1,0,12,11,2,3,11,9,3,9,0,0,0,0,61
CARANAVI,atencion odontologica,exodoncia,2020-03-01,0,1,19,25,16,22,18,43,5,6,0,0,0,0,155
CARANGAS,atencion odontologica,exodoncia,2020-03-01,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
CARAPARI,atencion odontologica,exodoncia,2020-03-01,0,0,17,18,9,2,5,23,2,1,0,0,0,0,77
CARIPUYO,atencion odontologica,exodoncia,2020-03-01,0,0,2,3,2,0,6,2,3,1,0,0,0,0,19
CARMEN RIVERO TORREZ,atencion odontologica,exodoncia,2020-03-01,0,0,2,4,1,1,0,4,1,0,0,0,0,0,13
CATACORA,atencion odontologica,exodoncia,2020-03-01,1,0,3,2,2,9,6,5,1,0,0,0,0,0,29
CHACARILLA,atencion odontologica,exodoncia,2020-03-01,0,0,2,5,0,0,2,5,1,0,0,0,0,0,15
CHALLAPATA,atencion odontologica,exodoncia,2020-03-01,0,2,23,34,4,13,14,38,14,9,0,0,0,0,151
CHAQUI,atencion odontologica,exodoncia,2020-03-01,0,0,5,10,0,9,7,13,11,13,0,0,0,0,68
CHARAGUA,atencion odontologica,exodoncia,2020-03-01,1,1,10,13,8,7,20,26,2,4,0,0,0,0,92
CHARAÑA,atencion odontologica,exodoncia,2020-03-01,0,0,0,5,1,0,1,2,0,0,0,0,0,0,9
CHAYANTA,atencion odontologica,exodoncia,2020-03-01,0,0,8,6,6,2,13,27,4,4,0,0,0,0,70
CHIMORE,atencion odontologica,exodoncia,2020-03-01,0,0,14,11,4,2,6,17,1,2,0,0,0,0,57
CHIPAYA,atencion odontologica,exodoncia,2020-03-01,0,0,10,3,0,0,2,1,0,0,0,0,0,0,16
CHOQUE COTA,atencion odontologica,exodoncia,2020-03-01,0,0,0,0,1,0,0,2,0,1,0,0,0,0,4
CHUA COCANI,atencion odontologica,exodoncia,2020-03-01,0,0,0,7,0,0,2,5,1,2,0,0,0,0,17
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,exodoncia,2020-03-01,0,0,12,14,0,1,5,5,0,0,0,0,0,0,37
CHUMA,atencion odontologica,exodoncia,2020-03-01,0,1,24,16,8,23,40,87,15,16,0,0,0,0,230
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,exodoncia,2020-03-01,0,0,4,0,5,1,3,6,0,0,0,0,0,0,19
CKOCHAS,atencion odontologica,exodoncia,2020-03-01,0,0,8,8,1,5,5,19,5,12,0,0,0,0,63
CLIZA,atencion odontologica,exodoncia,2020-03-01,0,0,7,12,0,1,1,8,2,13,0,0,0,0,44
COBIJA,atencion odontologica,exodoncia,2020-03-01,2,3,35,34,9,11,30,48,15,17,0,0,0,0,204
COCAPATA,atencion odontologica,exodoncia,2020-03-01,0,0,41,29,16,29,28,40,9,7,0,0,0,0,199
COCHABAMBA,atencion odontologica,exodoncia,2020-03-01,7,3,155,163,32,49,130,204,86,54,0,0,0,0,883
COIPASA,atencion odontologica,exodoncia,2020-03-01,0,0,0,2,0,0,2,2,2,0,0,0,0,0,8
COLCAPIRHUA,atencion odontologica,exodoncia,2020-03-01,2,0,7,18,1,3,6,12,4,2,0,0,0,0,55
"COLCHA ""K""",atencion odontologica,exodoncia,2020-03-01,0,0,10,3,7,5,15,15,3,2,0,0,0,0,60
COLLANA,atencion odontologica,exodoncia,2020-03-01,0,0,3,3,1,2,6,6,3,1,0,0,0,0,25
COLOMI,atencion odontologica,exodoncia,2020-03-01,0,0,9,15,2,3,4,10,2,5,0,0,0,0,50
COLPA BELGICA,atencion odontologica,exodoncia,2020-03-01,0,0,2,1,0,4,3,9,0,2,0,0,0,0,21
COLQUECHACA,atencion odontologica,exodoncia,2020-03-01,0,1,41,27,14,11,37,74,21,22,0,0,0,0,248
COLQUENCHA,atencion odontologica,exodoncia,2020-03-01,2,0,7,12,6,6,8,22,0,7,0,0,0,0,70
COLQUIRI,atencion odontologica,exodoncia,2020-03-01,0,2,14,4,9,4,7,15,1,3,0,0,0,0,59
COMANCHE,atencion odontologica,exodoncia,2020-03-01,0,0,6,3,2,3,8,9,1,1,0,0,0,0,33
COMARAPA,atencion odontologica,exodoncia,2020-03-01,0,0,2,0,0,2,0,4,2,1,0,0,0,0,11
COMBAYA,atencion odontologica,exodoncia,2020-03-01,0,0,0,0,0,0,3,3,7,5,0,0,0,0,18
COPACABANA,atencion odontologica,exodoncia,2020-03-01,0,0,7,11,5,3,7,22,1,7,0,0,0,0,63
CORIPATA,atencion odontologica,exodoncia,2020-03-01,0,0,5,6,1,2,7,4,3,0,0,0,0,0,28
CORO CORO,atencion odontologica,exodoncia,2020-03-01,0,0,8,14,7,3,7,12,2,2,0,0,0,0,55
COROICO,atencion odontologica,exodoncia,2020-03-01,0,0,8,10,4,5,4,7,0,0,0,0,0,0,38
CORQUE,atencion odontologica,exodoncia,2020-03-01,0,0,6,3,0,0,2,12,2,4,0,0,0,0,29
COTAGAITA,atencion odontologica,exodoncia,2020-03-01,0,0,8,12,2,5,11,27,18,18,0,0,0,0,101
COTOCA,atencion odontologica,exodoncia,2020-03-01,0,0,10,10,1,5,4,9,4,2,0,0,0,0,45
CUATRO CAÑADAS,atencion odontologica,exodoncia,2020-03-01,0,0,18,8,1,2,2,14,3,2,0,0,0,0,50
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,exodoncia,2020-03-01,0,0,4,3,0,0,3,2,0,0,0,0,0,0,12
CULPINA,atencion odontologica,exodoncia,2020-03-01,0,0,8,6,7,4,5,35,19,11,0,0,0,0,95
CURAHUARA DE CARANGAS,atencion odontologica,exodoncia,2020-03-01,0,0,5,12,1,2,3,8,3,1,0,0,0,0,35
CURVA,atencion odontologica,exodoncia,2020-03-01,0,2,1,2,1,0,4,5,2,3,0,0,0,0,20
