,group,variable,month,(O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,(O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,TOTALES
QUILLACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,144,2,146
QUIME,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,8,8,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,1,1,2
RAVELO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,9,35,44
REYES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,28,23,51
RIBERALTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,238,39,277
ROBORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,20,1,21
RURRENABAQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,21,6,27
SABAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,2,2,4
SACABA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,186,28,214
SACABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,4,1,5
SACACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,36,20,56
SAIPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,10,3,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,3,3,6
SAMAIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,18,5,23
SAN AGUSTIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,21,2,23
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,1,5,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,4,3,7
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,5,4,9
SAN BENITO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,18,7,25
SAN BORJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,75,45,120
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,10,5,15
SAN CARLOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,29,4,33
SAN IGNACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,43,21,64
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,108,18,126
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,3,9,12
SAN JAVIER(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,23,3,26
SAN JOAQUIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,17,0,17
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,33,3,36
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,13,3,16
SAN JULIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,68,34,102
SAN LORENZO(PND),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,4,6,10
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,19,5,24
SAN LUCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,34,26,60
SAN MATIAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,15,2,17
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,20,8,28
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,6,2,8
SAN PEDRO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,25,0,25
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,18,47,65
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,2,7,9
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,3,1,4
SAN PEDRO(PND),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,2,4,6
SAN RAFAEL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,6,2,8
SAN RAMON BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,2,12,14
SAN RAMON SCZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,22,0,22
SANTA ANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,26,0,26
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,2202,87,2289
SANTA ROSA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,22,2,24
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,23,7,30
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,0,4,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,12,5,17
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,4,7,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,5,4,9
SANTIVAÑES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,3,1,4
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,4,1,5
SAPAHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,5,7,12
SENA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,9,0,9
SHINAOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,37,2,39
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,13,22,35
SICAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,2,5,7
SIPE SIPE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,39,1,40
SOPACHUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,6,6,12
SORACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,9,9,18
SORATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,11,20,31
SUCRE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,519,21,540
TACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,4,0,4
TACOBAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,12,14,26
TACOPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,17,10,27
TAPACARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,20,17,37
TARABUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,10,18,28
TARACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,3,3,6
TARATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,12,1,13
TARIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,342,6,348
TARVITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,10,12,22
TEOPONTE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,7,5,12
TIAWANACU,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,7,16,23
TINGUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,31,26,57
TIPUANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,16,2,18
TIQUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,76,12,88
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,25,11,36
TOCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,4,4,8
TOLATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,10,2,12
TOLEDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,1,2,3
TOMAVE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,12,10,22
TOMINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,4,6,10
TORO TORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,2,7,9
TOTORA(CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,18,5,23
TOTORA(ORR),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,2,0,2
TRIGAL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,1,4,5
TRINIDAD,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,189,2,191
TUPIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,74,15,89
TURCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,3,2,5
UMALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,2,6,8
UNCIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,31,10,41
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,13,1,14
URUBICHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,13,3,16
UYUNI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,48,3,51
VACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,4,9,13
VALLEGRANDE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,26,3,29
VIACHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,76,8,84
VILA VILA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,4,13,17
VILLA CHARCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,18,15,33
VILLA MONTES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,50,7,57
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,4,3,7
VILLA RIVERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,5,2,7
VILLA SERRANO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,18,7,25
VILLA TUNARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,121,21,142
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,3,5,8
VILLAZON,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,57,5,62
VINTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,57,3,60
VITICHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,16,9,25
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,6,0,6
WARNES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,133,14,147
YACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,4,12,16
YACUIBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,150,15,165
YAMPARAEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,3,4,7
YANACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,7,5,12
YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,74,8,82
YOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,11,6,17
YOTALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,8,4,12
YUNCHARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,2,5,7
ZUDAÑEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-02-01,11,8,19
ACACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,7,11,18
ACHACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,57,40,97
ACHOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,13,9,22
AIQUILE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,35,17,52
ALALAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,3,7,10
ALCALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,3,2,5
ALTO BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,20,7,27
ANCORAIMES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,8,12,20
ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,2,1,3
ANZALDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,2,8,10
APOLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,16,11,27
ARAMPAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,2,2,4
ARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,18,5,23
ARBIETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,4,12,16
ARQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,20,5,25
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,60,0,60
ATOCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,20,1,21
AUCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,3,5,8
AYATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,8,7,15
AYO AYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,13,7,20
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,28,12,40
AZURDUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,9,18,27
BATALLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,18,7,25
BAURES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,6,0,6
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,1,2,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,1,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,0,5,5
BERMEJO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,58,13,71
BETANZOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,30,19,49
BOLIVAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,6,11,17
BOLPEBRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,1,0,1
BOYUIBE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,7,3,10
BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,15,21,36
CABEZAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,46,9,55
CAIROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,6,8,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,16,6,22
CAJUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,17,8,25
CALACOTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,2,6,8
CALAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,13,7,20
CAMARGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,27,11,38
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,4,1,5
CAMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,61,6,67
CAPINOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,45,5,50
CAQUIAVIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,6,7,13
CARACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,27,13,40
CARANAVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,77,36,113
CARANGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,16,6,22
CARIPUYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,5,31,36
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,10,4,14
CHACARILLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,0,5,5
CHALLAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,58,28,86
CHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,5,7,12
CHARAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,41,58,99
CHARAÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,5,3,8
CHAYANTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,16,16,32
CHIMORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,36,7,43
CHIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,2,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,35,12,47
CHUMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,14,4,18
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,8,10,18
CKOCHAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,24,16,40
CLIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,26,10,36
COBIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,120,2,122
COCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,10,24,34
COCHABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,1535,16,1551
COIPASA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,2,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,92,6,98
"COLCHA ""K""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,12,7,19
COLLANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,4,0,4
COLOMI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,51,9,60
COLPA BELGICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,11,2,13
COLQUECHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,27,75,102
COLQUENCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,26,0,26
COLQUIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,18,43,61
COMANCHE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,2,5,7
COMARAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,39,9,48
COMBAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,4,6,10
CONCEPCION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,45,18,63
COPACABANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,12,14,26
CORIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,29,4,33
CORO CORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,12,7,19
COROICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,13,2,15
CORQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,10,7,17
COTAGAITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,21,20,41
COTOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,130,14,144
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,43,28,71
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,2,0,2
CUEVO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,9,4,13
CULPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,25,22,47
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,9,1,10
CURVA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,2,3,5
DESAGUADERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,4,3,7
EL ALTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,1843,35,1878
EL CHORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,4,4,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,26,5,31
EL PUENTE(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-03-01,24,4,28
