,group,variable,month,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,TOTALES
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,6,2,8
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,12,3,15
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,8,2,10
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,18,0,18
MALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,1,3,4
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,18,0,18
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,18,10,28
MINEROS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,31,17,48
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,28,34,62
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,14,4,18
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,9,13,22
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,39,9,48
MONTERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,217,12,229
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,3,0,3
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,12,13,25
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,7,0,7
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,1,7,8
OCURI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,12,38,50
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,21,8,29
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,4,5,9
ORURO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,430,2,432
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,16,11,27
PADILLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,10,6,16
PAILON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,31,62,93
PALCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,4,16,20
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,36,9,45
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,7,4,11
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,6,4,10
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,2,1,3
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,31,31,62
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,7,2,9
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,2,13,15
POCOATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,4,40,44
POCONA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,10,12,22
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,21,16,37
POOPO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,15,1,16
PORCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,14,10,24
POROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,12,16,28
PORONGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,11,4,15
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,33,1,34
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,6,1,7
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,1,1,2
POTOSI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,301,13,314
PRESTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,3,18,21
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,37,13,50
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,8,9,17
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,11,13,24
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,4,5,9
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,0,7,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,19,12,31
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,16,12,28
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,3,0,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,16,12,28
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,81,17,98
PUNA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,15,25,40
PUNATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,42,0,42
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,4,4,8
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,135,6,141
QUIME,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,3,12,15
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,2,0,2
RAVELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,11,31,42
REYES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,19,14,33
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,153,31,184
ROBORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,28,0,28
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,23,21,44
SABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,3,2,5
SACABA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,207,47,254
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,4,8,12
SACACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,31,14,45
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,5,3,8
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,9,8,17
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,11,4,15
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,4,5,9
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,1,5,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,6,0,6
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,6,6,12
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,14,3,17
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,66,22,88
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,8,7,15
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,33,8,41
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,31,5,36
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,93,20,113
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,3,1,4
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,29,6,35
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,24,5,29
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,14,7,21
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,48,57,105
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,3,12,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,24,5,29
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,26,41,67
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,18,13,31
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,19,3,22
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,2,2,4
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,28,2,30
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,34,53,87
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,1,7,8
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,3,4,7
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,5,2,7
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,2,11,13
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,8,2,10
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,23,30,53
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,2216,209,2425
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,7,5,12
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,21,7,28
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,0,8,8
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,6,7,13
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,3,2,5
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,5,0,5
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,6,4,10
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,6,4,10
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,6,13,19
SENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,5,1,6
SHINAOTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,30,10,40
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,15,44,59
SICAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,2,2,4
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,48,5,53
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,8,11,19
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,6,9,15
SORATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,15,27,42
SUCRE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,453,41,494
TACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,5,3,8
TACOBAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,2,7,9
TACOPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,4,6,10
TAHUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,0,3,3
TAPACARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,27,27,54
TARABUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,19,25,44
TARACO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,0,5,5
TARATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,13,1,14
TARIJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,297,12,309
TARVITA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,10,16,26
TEOPONTE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,4,16,20
TIAWANACU,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,13,13,26
TINGUIPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,35,23,58
TIPUANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,20,10,30
TIQUIPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,67,23,90
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,28,25,53
TOCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,4,7,11
TOLATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,5,2,7
TOLEDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,6,3,9
TOMAVE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,8,11,19
TOMINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,9,6,15
TORO TORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,6,8,14
TOTORA(CBBA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,24,11,35
TOTORA(ORR),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,2,4,6
TRIGAL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,1,1,2
TRINIDAD,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,153,6,159
TUPIZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,61,10,71
TURCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,6,0,6
UMALA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,4,9,13
UNCIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,20,10,30
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,20,5,25
URUBICHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,0,13,13
UYUNI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,26,3,29
VACAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,2,7,9
VALLEGRANDE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,12,3,15
VIACHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,92,7,99
VILA VILA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,2,6,8
VILLA CHARCAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,15,16,31
VILLA MONTES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,53,6,59
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,1,0,1
VILLA RIVERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,6,3,9
VILLA SERRANO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,19,6,25
VILLA TUNARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,87,36,123
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,8,2,10
VILLAZON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,44,24,68
VINTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,68,13,81
VITICHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,13,9,22
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,3,1,4
WARNES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,147,67,214
YACO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,5,9,14
YACUIBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,128,1,129
YAMPARAEZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,7,3,10
YANACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,5,6,11
YAPACANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,69,62,131
YOCALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,5,3,8
YOTALA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,6,9,15
YUNCHARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,5,9,14
ZUDAÑEZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-04-01,5,8,13
ACACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,5,12,17
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,34,28,62
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,15,7,22
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,30,18,48
ALALAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,2,6,8
ALCALA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,2,3,5
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,15,2,17
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,19,6,25
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,3,1,4
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,1,3,4
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,9,18,27
APOLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,23,16,39
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,3,8,11
ARANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,12,2,14
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,8,17,25
ARQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,17,12,29
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,40,10,50
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,13,15,28
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,2,11,13
AYATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,1,12,13
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,12,2,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,25,26,51
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,14,13,27
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,14,9,23
BAURES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,3,0,3
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,0,3,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,1,3,4
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,0,22,22
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,46,26,72
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,40,23,63
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,10,16,26
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,4,2,6
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,3,1,4
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,13,14,27
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,32,58,90
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,19,4,23
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,12,8,20
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,13,2,15
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,0,8,8
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,7,8,15
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,11,8,19
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,3,1,4
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,53,8,61
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,25,20,45
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,5,11,16
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,13,44,57
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,76,35,111
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,17,11,28
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,2,18,20
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,4,10,14
CATACORA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,43,38,81
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,4,10,14
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,31,57,88
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,3,3,6
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,18,16,34
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,42,7,49
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,5,0,5
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,25,14,39
CHUMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,17,7,24
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,5,7,12
CKOCHAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,13,26,39
CLIZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,27,14,41
COBIJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,108,25,133
COCAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,9,21,30
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,1329,24,1353
COIPASA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,3,0,3
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,93,6,99
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,16,6,22
COLLANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,4,1,5
COLOMI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,32,9,41
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,8,3,11
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,18,68,86
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,18,0,18
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,12,32,44
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,1,2,3
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,40,14,54
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,1,3,4
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,38,22,60
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,12,7,19
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,18,4,22
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,9,11,20
COROICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-05-01,18,12,30
