,group,variable,month,DIU: USUARIAS CONTINUAS 10 A 14,DIU: USUARIAS CONTINUAS 15 A 19,DIU: USUARIAS CONTINUAS 20 A 34,DIU: USUARIAS CONTINUAS 35 A 49,DIU: USUARIAS CONTINUAS 50 Y +,DIU: USUARIAS CONTINUAS < A 10,TOTALES
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,0,1,0,0,1
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,0,1,0,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,3,0,0,0,0,3
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-05-01,0,1,3,13,0,0,17
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,25,29,5,0,0,59
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,1,9,7,0,0,17
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,0,1,0,0,1
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,3,0,0,0,3
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,1,1,0,0,2
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,3,0,0,0,3
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,5,156,9,0,0,170
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,4,1,0,0,5
MORO MORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,1,1,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,5,8,5,0,0,18
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,1,0,0,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,3,0,0,0,3
QUIRUSILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,3,0,4,1,0,0,8
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,2,0,0,0,2
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,1,4,1,0,0,6
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,1,1,2,0,0,4
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,2,1,0,0,3
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,8,46,30,4,0,88
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,5,36,12,0,0,53
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,1,13,7,0,0,21
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,1,1,2,0,0,4
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,1,2,0,0,3
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,0,1,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-06-01,0,0,2,0,0,0,2
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,1,2,0,0,0,3
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,0,1,0,0,1
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,2,0,0,0,2
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,1,2,0,0,0,3
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,17,32,4,0,0,53
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,18,12,0,0,30
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,1,4,1,0,0,6
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,1,3,0,0,4
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,7,37,26,0,0,70
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,2,0,0,0,2
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,1,0,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,3,18,4,0,0,25
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,6,5,2,0,0,13
QUIRUSILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,2,0,0,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,1,0,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,7,0,0,0,7
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,7,2,1,0,10
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,2,11,36,10,2,0,61
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,2,25,15,0,0,42
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,2,10,11,1,0,24
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,2,0,2,0,4
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,0,1,0,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,1,1,0,0,2
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,3,0,0,0,3
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-07-01,0,0,4,1,0,0,5
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,2,7,4,0,0,13
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,0,1,0,0,1
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,4,32,16,0,0,52
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,5,20,12,0,0,37
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,2,0,0,0,2
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,1,1,1,0,0,3
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,12,41,7,0,0,60
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,2,0,0,0,2
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,0,2,0,0,2
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
MORO MORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,5,17,3,0,0,25
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,5,3,2,0,0,10
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,1,25,2,0,0,28
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,0,1,0,0,1
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,1,2,0,0,3
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,1,0,1,0,2
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,3,1,0,0,4
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,2,1,0,0,3
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,10,26,14,3,0,53
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,3,16,15,0,0,34
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,9,9,0,0,18
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,1,3,3,0,0,7
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,2,4,3,0,0,9
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,3,0,0,0,0,3
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,0,13,5,0,0,18
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,1,1,0,0,0,2
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-08-01,0,1,0,0,0,0,1
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,2,0,0,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,0,1,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,16,31,3,0,0,50
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,2,8,3,0,0,13
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,2,0,0,3
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,12,17,3,2,0,34
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,0,1,0,0,1
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,1,0,0,2
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,1,0,0,2
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
MORO MORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,0,2,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,5,3,1,0,0,9
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,1,0,0,2
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,1,0,1,0,0,2
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,8,12,2,0,0,22
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,1,2,1,0,0,4
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,1,3,2,0,0,6
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,1,0,0,2
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,1,2,0,0,0,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,1,1,0,3
SAN JOAQUIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,5,0,0,2,7
SAN MATIAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,0,1,0,0,1
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,2,0,0,3
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,7,36,15,0,0,58
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,17,16,0,0,33
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,1,10,6,0,0,17
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,2,0,0,3
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,0,1,0,0,1
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,1,0,0,2
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,1,3,6,0,0,0,10
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,1,22,8,1,0,32
YANACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-09-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,4,39,21,0,0,64
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,1,0,0,0,1
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,2,12,3,0,0,17
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,0,1,0,0,1
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,0,1,0,0,1
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,0,1,0,0,1
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,2,0,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,19,73,16,1,0,109
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,2,0,0,0,2
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,2,1,0,0,3
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,9,3,2,0,0,14
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,1,0,0,0,1
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,3,15,2,0,0,20
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,1,0,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,2,0,1,0,3
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,2,1,0,0,3
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,1,0,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,3,2,0,0,5
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,1,1,1,0,0,3
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,1,0,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,0,1,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,1,10,73,23,0,0,107
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,0,2,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-10-01,0,0,11,2,0,0,13
