,group,variable,month,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 10 A 14,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 15 A 19,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 20 A 34,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 35 A 49,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 50 Y +,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN < A 10,TOTALES
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,2,12,2,0,0,16
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,2,14,12,39,15,0,82
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,0,2,6,1,0,9
SAN RAMON SCZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,14,13,2,0,0,29
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,11,32,3,0,0,46
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,5,221,959,1173,380,84,2822
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,0,9,13,6,0,28
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,10,27,21,7,0,65
SANTIAGO DE CALLAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,0,1,4,1,0,6
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,14,6,0,0,21
SANTIAGO DE HUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,7,9,1,0,18
SANTIAGO DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,0,2,0,0,0,2
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,0,6,2,0,0,8
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,1,0,0,0,2
SAPAHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,15,2,0,0,18
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,10,16,2,1,0,29
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,1,20,97,33,4,0,155
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,5,7,4,1,0,17
SICAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,2,9,8,2,0,21
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,1,19,148,45,8,0,221
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,21,19,30,33,16,0,119
SORACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,10,8,0,0,19
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,4,24,13,1,0,42
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,162,348,1610,786,142,14,3062
TACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,0,0,0,0,1
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,2,16,3,0,0,21
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,8,17,5,0,0,30
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,7,6,0,0,0,13
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,10,25,9,0,0,44
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,19,37,31,14,4,0,105
TARACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,6,1,0,0,8
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,22,7,0,0,30
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,17,160,618,246,41,0,1082
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,28,64,28,24,5,0,149
TEOPONTE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,4,14,6,0,0,24
TIAHUANACU,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,4,3,6,0,0,13
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,10,4,2,0,17
TIPUANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,2,7,0,0,0,9
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,19,172,55,9,0,255
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,5,19,11,1,0,36
TITO YUPANQUI (PARQUIPUJIO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,3,2,1,0,0,6
TOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,2,9,4,0,0,15
TODOS SANTOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,0,2,0,0,0,2
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,8,19,7,0,35
TOLEDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,2,0,1,0,4
TOMAVE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,10,0,0,0,11
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,13,27,17,9,8,0,74
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,9,25,16,0,0,50
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,16,15,5,0,37
TOTORA(ORR),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,2,8,2,0,0,12
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,2,108,475,426,242,163,1416
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,26,107,35,0,169
TURCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,0,4,1,0,0,5
UMALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,0,6,7,2,0,15
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,2,14,12,7,0,35
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,3,16,21,2,0,42
URUBICHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,0,6,17,12,1,36
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,1,15,102,37,11,3,169
VACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,6,21,10,0,0,37
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,1,3,15,5,0,0,24
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,11,105,52,4,0,172
VILA VILA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,3,12,11,0,0,26
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,36,57,17,2,1,0,113
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,1,15,143,50,13,0,222
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,1,2,0,0,0,0,3
VILLA RIVERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,5,10,1,0,0,16
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,2,8,5,5,9,0,29
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,3,25,151,94,24,1,298
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,10,10,49,25,4,0,98
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,1,5,37,14,0,0,57
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,1,16,188,57,4,0,266
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,10,34,23,8,0,75
WALDO BALLIVIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,2,10,1,0,0,13
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,2,89,335,96,10,0,532
YACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,16,13,4,0,34
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,4,40,290,146,30,0,510
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,17,35,17,11,2,0,82
YANACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,2,1,2,0,6
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,1,22,112,83,0,218
YOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,0,2,3,0,0,5
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,21,21,26,19,1,0,88
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,0,5,15,19,2,0,41
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-02-01,26,57,36,13,3,0,135
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,2,10,13,3,0,28
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,7,14,16,0,0,37
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,18,23,3,0,44
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,4,16,51,17,1,0,89
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,1,4,5,12,0,0,22
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,9,7,9,4,0,5,34
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,2,4,1,0,0,7
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,2,5,0,1,0,8
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,1,16,2,4,0,23
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,1,5,3,0,0,9
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,2,3,1,0,6
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,1,9,33,18,2,0,63
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,2,2,1,0,5
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,1,0,2
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,2,49,17,3,0,71
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,6,31,18,2,0,57
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,1,16,81,52,20,170
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,1,10,26,8,1,46
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,8,3,0,11
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,6,6,11,4,0,27
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,4,14,12,1,0,31
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,1,18,75,35,6,0,135
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,38,41,37,26,1,5,148
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,5,32,10,2,0,49
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,12,10,4,0,0,26
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,1,6,4,0,0,11
BELEN DE URMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,1,2,2,0,0,0,5
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,1,7,14,2,0,24
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,13,138,88,16,0,255
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,2,19,27,9,1,0,58
BOLIVAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,3,9,5,1,0,18
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,2,5,2,1,0,10
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,5,0,0,5
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,8,43,28,2,81
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,2,11,1,0,14
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,2,10,8,1,0,21
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,1,3,39,9,1,0,53
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,2,11,7,2,0,22
CALACOTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,8,4,3,0,15
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,2,36,17,5,0,60
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,37,41,86,39,15,1,219
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,14,11,13,12,9,0,59
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,1,3,33,15,2,0,54
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,2,6,22,31,3,0,64
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,1,1,1,0,0,3
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,4,27,8,3,0,42
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,12,58,27,0,0,97
CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,4,4,2,0,10
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,1,35,16,0,0,52
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,7,26,10,1,0,44
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,6,23,6,0,35
CATACORA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,2,0,0,0,2
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,8,71,14,0,0,93
CHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,3,3,0,0,0,6
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,3,5,48,43,5,0,104
CHARAÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,1,5,0,0,0,6
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,1,7,32,8,3,0,51
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,2,21,125,33,11,0,192
CHIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,1,0,0,1
CHOQUE COTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,1,7,4,1,0,13
CHUA COCANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,5,42,11,8,0,66
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,3,17,7,3,0,30
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,4,10,4,0,1,19
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,17,18,18,6,0,59
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,14,59,29,1,0,103
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,11,60,153,45,9,0,278
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,5,41,11,0,0,57
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,16,131,853,406,101,2,1509
COIPASA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,6,0,0,0,6
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,98,114,65,2,0,279
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,8,35,19,6,0,68
COLLANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,5,2,0,0,7
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,1,9,67,24,1,0,102
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,3,28,10,3,0,44
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,6,14,0,0,0,20
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,17,7,1,0,25
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,3,22,38,1,0,64
COMANCHE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,0,0,4,2,5,0,11
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres que recibieron orientacion en anticoncepcion,2024-03-01,2,12,97,61,10,0,182
