,group,variable,month,NÚMERO DE IMPLANTES INSERTADOS 10 A 14,NÚMERO DE IMPLANTES INSERTADOS 15 A 19,NÚMERO DE IMPLANTES INSERTADOS 20 A 34,NÚMERO DE IMPLANTES INSERTADOS 35 A 49,NÚMERO DE IMPLANTES INSERTADOS 50 Y +,NÚMERO DE IMPLANTES INSERTADOS < A 10,TOTALES
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,1,7,27,2,0,0,37
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,3,20,168,41,3,0,235
LA RIVERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,2,0,0,0,2
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,7,3,0,0,10
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,3,0,0,0,3
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,2,1,0,0,3
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,20,63,7,0,0,90
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,1,1,0,0,3
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,4,2,0,0,6
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,0,0,0,1
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,2,0,0,0,4
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,1,0,0,2
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,3,3,10,0,0,0,16
MALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,0,1,0,0,1
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,4,6,1,0,0,11
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,2,0,0,0,2
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,5,1,0,0,6
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,7,1,0,0,8
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,2,1,0,0,4
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,1,3,1,0,0,0,5
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,1,2,10,5,0,0,18
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,1,0,0,0,2
MORO MORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,0,0,0,1
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,4,0,0,0,5
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,5,1,0,0,7
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,1,0,0,0,3
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,24,108,13,0,0,145
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,5,0,0,0,6
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,1,1,7,1,0,0,10
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,3,0,0,0,3
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,1,0,0,2
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,9,3,0,0,14
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,17,0,0,0,19
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,2,0,0,0,2
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,6,1,0,0,8
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,2,0,0,0,3
PELECHUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,0,1,0,0,1
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,4,3,3,0,0,10
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,3,11,2,0,0,16
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,3,5,1,0,0,9
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,6,5,1,0,0,12
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,7,78,22,0,0,107
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,9,4,2,0,16
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,5,2,0,0,7
PUERTO ACOSTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,4,0,0,0,5
PUERTO CARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,0,1,0,0,1
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,1,5,6,0,0,0,12
PUERTO PEREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,0,0,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,2,5,11,6,0,0,24
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,7,1,0,0,8
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,5,1,0,0,8
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,16,70,16,0,0,102
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,3,1,0,0,4
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,1,66,68,13,0,0,148
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,2,1,0,0,5
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,9,26,1,0,36
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,1,24,84,14,4,0,127
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,3,0,1,0,0,4
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,4,1,0,0,5
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,2,0,0,0,3
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,10,0,0,0,12
SAN BENITO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,7,0,0,0,8
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,5,13,18,1,0,37
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,0,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,3,0,0,0,3
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,5,19,1,0,0,25
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,0,0,0,1
SAN JAVIER(BNI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,0,0,0,0,1
SAN JAVIER(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,1,0,1,0,0,0,2
SAN JOAQUIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,5,0,0,0,5
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,4,15,5,0,0,24
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,8,6,1,0,0,15
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,18,4,1,0,25
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,11,2,0,0,14
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,0,0,0,1
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,3,9,1,0,0,13
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,4,5,3,0,14
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,5,1,0,0,7
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,0,0,0,1
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,3,1,0,0,6
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,1,26,133,151,16,0,327
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,2,0,0,0,2
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,0,1,0,0,1
SANTIAGO DE HUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,0,2,0,0,3
SANTIAGO DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,0,1,0,0,2
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,5,2,0,0,8
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,0,1,0,0,2
SAPAHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,2,0,0,0,2
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,3,7,11,2,0,0,23
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,6,2,0,0,9
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,4,2,1,0,9
SICAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,2,0,0,0,3
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,21,0,0,0,23
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,3,4,0,0,0,7
SORACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,2,2,0,0,4
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,6,4,0,0,10
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,7,26,159,28,1,0,221
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,3,0,0,0,3
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,3,0,0,0,5
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,1,0,0,0,0,0,1
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,5,2,0,0,7
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,6,0,0,0,8
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,17,115,36,1,0,169
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,3,4,1,0,0,8
TIAHUANACU,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,2,0,0,0,2
TIPUANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,7,1,0,0,10
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,5,17,4,0,0,26
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,1,2,0,0,4
TOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,0,0,0,1
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,0,2,0,0,2
TOLEDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,0,0,0,1
TOMAVE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,0,0,0,1
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,4,1,0,0,6
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,4,7,0,0,0,11
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,0,3,0,0,4
TOTORA(ORR),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,6,1,0,0,7
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,2,40,89,17,1,0,149
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,15,24,4,0,45
TURCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,2,0,0,0,2
UMALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,2,0,0,0,2
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,7,0,0,0,8
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,8,2,0,0,12
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,4,18,8,1,0,31
VACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,5,0,0,0,6
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,5,1,0,0,7
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,4,22,8,1,0,35
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,4,3,0,0,9
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,2,9,1,1,0,13
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,0,0,0,1
VILLA RIVERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,1,0,3,0,0,0,4
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,4,5,1,0,0,10
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,1,7,33,14,1,0,56
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,4,0,0,0,5
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,5,6,2,0,0,13
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,1,2,18,4,0,0,25
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,1,1,3,0,0,5
WALDO BALLIVIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,1,0,0,0,1
YACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,4,1,0,0,5
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,1,7,33,7,0,0,48
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,2,1,0,0,3
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,2,0,0,0,2
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,0,1,0,0,1
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-03-01,0,0,4,0,0,0,4
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,1,0,0,0,1
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,4,0,0,0,4
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,3,15,2,1,0,21
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,1,7,10,1,0,0,19
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,1,0,0,0,1
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,1,3,0,0,0,4
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,3,0,0,0,3
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,1,3,0,0,0,4
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,1,4,2,0,0,7
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,1,4,2,0,0,7
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,6,5,1,0,12
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,1,0,0,0,0,1
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,0,2,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,2,3,2,0,0,7
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,3,0,0,0,3
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,4,1,0,0,5
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,0,0,1,0,1
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,2,11,0,0,0,13
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,1,1,0,0,0,0,2
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,1,9,5,0,0,15
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,3,0,0,0,3
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,3,0,0,0,0,3
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,2,0,0,0,2
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,1,5,0,0,0,6
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,2,1,0,0,3
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,6,7,0,0,0,13
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,2,0,0,0,2
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,2,3,2,1,0,8
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,12,4,0,0,16
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,4,2,1,0,7
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,2,1,1,0,0,4
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,1,2,0,0,0,3
CATACORA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,1,1,0,0,2
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,7,17,4,0,0,28
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,1,0,0,0,1
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,5,0,0,0,5
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,1,13,2,2,0,18
CHOQUE COTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,1,1,0,0,2
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,4,2,0,0,6
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,5,2,0,0,7
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,2,1,0,0,3
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,0,1,0,0,1
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,4,1,0,0,0,5
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,5,18,45,10,0,0,78
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,7,3,0,0,10
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,2,33,151,34,0,0,220
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,9,1,0,0,10
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,0,1,0,0,1
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,2,6,3,0,0,11
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,3,0,0,0,3
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,2,1,0,0,3
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,1,6,0,0,0,7
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,2,0,0,0,2
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,2,1,0,0,3
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,0,1,0,0,0,1
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,6,10,1,0,0,17
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,3,14,2,0,0,19
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-04-01,0,1,3,0,0,0,4
