,group,variable,month,ABANDONO DE MÉTODO ANTICONCEPTIVO 10 A 14,ABANDONO DE MÉTODO ANTICONCEPTIVO 15 A 19,ABANDONO DE MÉTODO ANTICONCEPTIVO 20 A 34,ABANDONO DE MÉTODO ANTICONCEPTIVO 35 A 49,ABANDONO DE MÉTODO ANTICONCEPTIVO 50 Y +,ABANDONO DE MÉTODO ANTICONCEPTIVO < A 10,TOTALES
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,1,9,2,0,0,12
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,2,2,0,0,4
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,1,0,0,2
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,1,0,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,5,0,0,0,5
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,2,0,0,0,2
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,6,0,1,0,0,0,7
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,1,0,0,2
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,1,8,0,1,0,10
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,1,3,5,2,0,11
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,0,1,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,2,0,0,3
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,2,28,20,1,0,51
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,0,1,0,0,1
SICAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,1,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,1,6,1,0,0,8
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,2,2,0,0,4
TIPUANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,3,1,0,0,4
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,0,1,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,0,1,0,0,1
UMALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,1,0,0,0,0,1
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,0,1,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,2,3,2,0,0,7
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,0,1,0,0,1
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,1,4,2,0,0,7
YANACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,1,0,0,0,2
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,0,0,0,0,1
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,2,1,0,0,3
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,0,0,1,0,1
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,0,0,0,0,1
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,4,1,0,0,5
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,0,0,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,1,0,0,2
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,8,4,0,0,12
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,9,7,0,0,17
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,3,0,0,0,3
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,0,1,0,0,1
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,0,0,0,0,1
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,0,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,9,1,0,0,10
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,2,2,4,0,0,8
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,0,1,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,0,1,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,1,0,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,1,1,0,0,3
LA RIVERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,0,1,0,0,1
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,0,0,0,0,1
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,0,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,0,1,0,0,1
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,3,0,0,0,4
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,6,0,0,0,7
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,2,0,0,0,2
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,3,0,0,0,3
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,0,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,6,3,0,0,10
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,4,0,0,0,4
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,1,0,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,2,1,0,0,3
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,2,0,0,0,2
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,4,2,0,0,6
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,2,3,0,0,0,5
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,2,0,0,0,3
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,1,0,0,0,2
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,5,0,0,0,5
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
SAN PEDRO DE QUEMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,12,58,7,0,78
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,5,0,0,0,5
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,0,1,0,0,1
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,0,1,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,11,5,1,0,18
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,7,2,2,0,11
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,0,1,1,0,3
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,5,2,0,0,7
TOLEDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,1,0,0,2
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,1,0,0,0,2
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,0,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,2,0,0,0,2
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,0,1,0,0,1
UMALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,0,1,0,0,1
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,2,0,0,0,2
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,0,3,0,0,3
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,5,1,0,0,6
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,2,0,0,0,3
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,1,0,0,2
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,3,0,0,0,3
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,1,0,0,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,1,0,1,0,2
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-04-01,0,0,0,0,1,0,1
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,1,0,0,0,0,1
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,1,0,0,2
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,2,0,1,0,0,3
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,0,1,0,0,1
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,0,1,0,0,1
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,3,0,0,0,3
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,1,0,0,0,0,1
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,3,1,0,0,4
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,2,0,0,0,2
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,1,0,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,1,28,8,0,0,37
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,8,1,0,0,9
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,1,4,2,0,0,7
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
ESMERALDA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,0,1,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,1,0,0,0,0,1
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,0,1,0,0,1
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,1,0,0,2
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,4,0,0,0,4
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,6,2,0,0,8
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,1,2,0,0,0,3
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,0,1,0,0,1
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,1,1,0,0,0,2
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,2,0,0,0,2
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,1,1,0,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,4,0,0,0,4
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,3,0,0,0,3
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,7,3,0,0,10
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,1,3,0,0,0,4
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,2,0,0,0,2
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,2,0,0,0,0,2
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,1,11,6,0,0,18
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,2,0,0,0,2
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,2,1,0,0,3
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,1,0,0,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,1,0,0,0,0,1
SABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,7,2,0,0,9
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,1,4,3,0,0,8
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,0,1,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,2,19,2,3,0,26
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,1,0,0,2
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,3,0,1,0,4
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,2,1,0,0,3
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,9,0,0,0,9
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,1,0,0,0,0,1
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-05-01,0,0,4,1,0,0,5
