,group,variable,month,CONDÓN FEMENINO: USUARIAS NUEVAS 10 A 14,CONDÓN FEMENINO: USUARIAS NUEVAS 15 A 19,CONDÓN FEMENINO: USUARIAS NUEVAS 20 A 34,CONDÓN FEMENINO: USUARIAS NUEVAS 35 A 49,CONDÓN FEMENINO: USUARIAS NUEVAS 50 Y +,CONDÓN FEMENINO: USUARIAS NUEVAS < A 10,TOTALES
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-10-01,0,30,227,105,46,0,408
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-10-01,0,1,4,0,0,0,5
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-10-01,0,0,2,0,0,0,2
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-10-01,0,1,4,7,0,0,12
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-10-01,0,0,1,1,0,0,2
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-10-01,0,0,12,24,0,0,36
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-10-01,0,0,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-10-01,0,1,1,0,0,0,2
SORACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-10-01,0,0,0,1,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-10-01,0,0,3,0,0,0,3
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-10-01,0,1,1,1,0,0,3
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,1,0,0,0,0,0,1
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,0,0,1,0,0,1
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,2,5,3,0,0,10
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,1,1,1,0,0,3
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,0,0,1,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,0,3,0,0,0,3
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,0,12,12,0,0,24
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,0,0,0,1,0,1
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,1,0,3,2,0,0,6
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,0,5,0,0,0,5
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,0,24,1,0,0,25
SAN MATIAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,0,3,0,0,0,3
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,0,1,2,0,0,3
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-11-01,0,1,1,0,0,0,2
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,0,4,3,0,0,7
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,0,2,0,0,0,2
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,1,1,0,0,0,2
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,24,0,0,0,0,24
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,0,2,0,0,0,2
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,36,0,0,0,0,36
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,1,0,1,0,0,2
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,0,0,12,0,0,12
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,0,2,2,0,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,0,0,1,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-12-01,0,0,0,1,0,0,1
