,group,variable,month,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) 10 A 14,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) 15 A 19,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) 20 A 34,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) 35 A 49,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) 50 Y +,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) < A 10,TOTALES
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,10,21,3,4,38
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,12,37,10,1,0,60
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,1,0,0,0,1
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,0,1,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,1,0,1,0,3
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,3,0,0,0,4
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,1,0,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,0,0,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,7,24,4,0,0,35
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,2,0,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,0,0,0,1
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,1,2,0,0,0,3
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,3,0,0,0,3
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,0,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,0,0,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,0,3,3,0,6
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,2,5,9,0,16
COIPASA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,2,0,0,0,2
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,1,3,0,0,0,4
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,8,5,0,0,13
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,0,2,0,0,2
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,1,0,0,0,0,1
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,0,0,0,1
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,1,2,2,0,0,5
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,0,0,0,1
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,3,0,0,0,3
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,0,0,0,1
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,1,2,1,0,0,4
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,1,4,2,1,0,8
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,4,0,0,0,4
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,2,6,1,0,0,9
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,0,0,0,1
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,1,1,5,0,0,0,7
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,0,0,0,1
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,2,30,2,0,0,34
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,3,26,25,14,0,68
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,2,0,0,0,2
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,1,6,2,0,0,9
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,0,0,1,0,1
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,1,1,0,0,0,2
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,1,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,1,8,3,1,0,13
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,5,13,3,0,0,21
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,1,14,5,1,0,21
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,2,1,0,0,3
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,2,1,0,0,3
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,1,7,23,8,3,1,43
SAPAHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,1,1,1,2,0,5
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,2,24,38,12,1,0,77
TEOPONTE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,1,4,0,0,0,5
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,2,2,0,0,4
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,0,2,0,0,2
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,1,0,4,1,0,0,6
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,0,2,0,0,2
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,2,0,0,0,2
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,0,1,0,2
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,1,0,0,0,0,1
VILLA RIVERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,2,0,0,0,2
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,2,2,1,0,5
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,1,27,3,0,0,31
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-04-01,0,0,1,0,0,0,1
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,5,1,0,0,0,6
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,2,0,0,0,2
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,0,1,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,2,5,5,0,12
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,2,1,2,0,5
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,1,0,0,0,1
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,1,0,0,0,1
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,1,0,0,0,1
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,2,0,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,1,11,4,3,0,19
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,1,0,0,0,1
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,1,0,0,0,0,1
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,1,0,0,0,1
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,1,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,1,0,0,0,1
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,3,1,0,0,4
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,1,5,1,0,0,7
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,1,33,1,1,0,36
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,0,1,0,0,1
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,3,1,0,0,4
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,3,0,2,0,5
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,0,1,0,0,1
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,1,1,0,0,0,2
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,3,15,14,1,0,33
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,4,0,53,50,30,5,142
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,1,0,0,0,1
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,1,0,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,2,6,1,1,0,10
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,1,5,0,0,0,6
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,1,0,0,0,0,1
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,1,13,0,0,0,14
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,3,8,1,0,0,12
SAN ANTONIO DE ESMORUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,0,2,1,0,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,1,1,0,0,0,2
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,1,1,0,0,0,2
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,1,1,0,0,2
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,1,0,0,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,1,5,0,0,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,2,23,9,7,0,41
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,1,5,12,8,0,26
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,4,51,11,3,0,69
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,1,0,1,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,0,1,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,1,0,0,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,0,1,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,1,0,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,4,1,0,0,5
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,3,5,0,0,0,8
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,2,25,3,0,0,30
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-05-01,0,0,0,1,0,0,1
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,1,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,1,1,0,0,2
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,1,0,0,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,0,0,1,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,2,0,0,0,2
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,1,0,0,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,1,7,3,0,11
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,3,2,2,0,7
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,1,0,0,0,1
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,2,0,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,8,8,0,0,16
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,1,0,0,0,0,1
EXALTACION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,2,0,0,0,2
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,0,1,0,0,1
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,2,0,0,0,2
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,1,5,0,0,0,6
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,1,4,1,0,0,6
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,30,6,1,0,37
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,2,0,0,0,2
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,1,0,0,0,0,0,1
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-06-01,0,0,0,0,1,0,1
