,group,variable,month,NÚMERO DE MUJERES CON IVAA POSITIVOS 10 A 14,NÚMERO DE MUJERES CON IVAA POSITIVOS 15 A 19,NÚMERO DE MUJERES CON IVAA POSITIVOS 20 A 34,NÚMERO DE MUJERES CON IVAA POSITIVOS 35 A 49,NÚMERO DE MUJERES CON IVAA POSITIVOS 50 Y +,NÚMERO DE MUJERES CON IVAA POSITIVOS < A 10,TOTALES
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,3,1,0,0,4
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,2,0,0,0,2
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,1,17,15,4,0,37
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,1,19,14,6,0,40
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,1,0,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,2,0,0,0,2
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,4,0,1,0,5
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,1,1,1,0,3
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,24,7,3,0,34
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,17,20,2,0,39
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,2,2,0,0,4
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,2,4,0,0,6
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,6,4,0,0,10
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,0,0,1,0,1
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,2,0,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,14,7,12,0,33
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,0,1,0,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,1,0,0,0,1
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,4,4,2,0,10
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,2,0,0,0,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,1,3,2,1,0,7
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,0,0,2,0,2
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,0,1,0,0,1
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,1,5,23,16,4,1,50
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,2,0,0,0,2
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,1,0,0,0,1
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,1,0,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,1,0,0,0,1
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,2,0,0,0,2
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,25,15,1,0,41
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-08-01,0,0,16,9,5,0,30
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,1,1,0,0,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,0,0,1,0,1
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,1,2,2,0,5
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,0,1,0,0,1
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,1,1,0,0,2
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,1,6,3,1,0,11
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,3,1,0,0,4
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,16,47,41,0,104
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,1,24,21,14,0,60
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,0,1,0,0,1
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,5,1,0,0,6
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,11,5,1,0,17
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,26,36,37,0,99
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,7,2,2,0,11
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,19,18,9,0,46
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,3,4,0,0,7
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,1,0,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,2,3,0,0,5
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,2,3,0,0,5
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,0,2,1,0,3
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-09-01,0,0,16,9,2,0,27
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,1,0,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,4,41,17,8,0,70
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,2,1,0,0,3
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,1,0,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,1,4,2,0,0,7
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,1,2,0,0,3
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,45,58,33,0,136
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,1,0,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,21,23,17,0,61
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,1,3,3,0,0,7
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,1,14,9,1,0,25
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,1,1,0,0,2
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,0,1,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,1,0,0,0,1
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,1,4,1,0,0,6
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,2,1,0,0,3
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,2,0,0,0,2
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,3,1,1,0,5
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,3,9,1,0,13
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,4,1,0,0,5
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,0,1,0,0,1
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,5,3,4,0,12
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,2,1,0,0,3
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,5,5,0,0,10
SAN PEDRO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,4,34,19,8,0,65
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,2,0,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,5,1,0,0,6
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,4,7,3,0,14
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,0,2,1,0,3
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,1,0,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,0,3,1,0,0,4
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-10-01,0,1,14,12,2,0,29
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,1,0,1,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,1,1,0,0,2
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,0,1,0,0,1
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,1,0,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,1,0,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,1,0,0,0,1
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,1,0,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,3,2,0,0,5
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,0,2,0,0,2
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,2,3,0,0,5
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,2,0,1,0,3
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,37,42,49,0,128
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,1,28,30,11,0,70
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,13,3,2,0,18
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,0,3,0,0,3
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,1,2,0,0,3
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,15,15,25,0,55
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,1,0,0,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,8,1,0,0,9
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,1,0,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,1,39,36,18,0,94
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,2,4,0,0,6
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,4,1,0,0,5
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,1,0,1,0,2
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,14,8,4,0,26
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-11-01,0,0,1,0,0,0,1
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,0,0,1,0,1
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,1,4,0,1,0,6
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,1,1,0,0,2
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,5,2,0,0,7
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,1,1,0,0,2
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,15,19,20,0,54
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,45,27,13,0,85
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,2,2,0,0,4
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,19,20,16,0,55
POOPO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,0,2,0,0,2
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,11,3,1,0,15
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,13,7,7,0,27
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,2,0,0,0,2
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,3,6,2,0,11
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,0,1,0,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,0,0,1,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,13,9,3,0,25
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,0,1,1,0,2
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,1,0,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-12-01,0,0,7,10,2,0,19
