,group,variable,month,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 10 A 14,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 15 A 19,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 20 A 34,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 35 A 49,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 50 Y +,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS < A 10,TOTALES
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-12-01,0,2,4,13,1,0,20
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-12-01,0,0,4,3,0,0,7
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-12-01,0,2,3,0,0,0,5
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-12-01,0,0,2,6,7,0,15
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-12-01,0,0,43,34,49,0,126
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-12-01,0,1,1,0,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-12-01,0,0,1,0,0,0,1
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-12-01,13,11,16,4,1,0,45
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-12-01,0,0,0,2,1,0,3
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-12-01,2,1,25,3,1,0,32
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-12-01,1,7,58,2,2,0,70
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-12-01,0,0,0,5,0,0,5
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-12-01,0,1,2,1,0,0,4
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-12-01,1,8,4,0,0,0,13
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-12-01,0,0,0,1,0,0,1
