,group,variable,month,NÚMERO DE MUJERES CON IVAA 10 A 14,NÚMERO DE MUJERES CON IVAA 15 A 19,NÚMERO DE MUJERES CON IVAA 20 A 34,NÚMERO DE MUJERES CON IVAA 35 A 49,NÚMERO DE MUJERES CON IVAA 50 Y +,NÚMERO DE MUJERES CON IVAA < A 10,TOTALES
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,0,5,6,0,11
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,23,16,10,0,49
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,3,9,8,4,0,24
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,1,1,0,0,2
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,3,4,0,0,7
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,1,7,5,1,0,14
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,1,2,0,0,3
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,2,8,6,1,0,17
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,25,154,32,10,0,221
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,3,12,7,1,0,23
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,26,254,259,109,0,648
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,2,4,2,0,0,8
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,2,49,33,9,0,93
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,1,12,28,11,0,52
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,18,71,70,2,0,161
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,3,39,45,29,0,116
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,3,15,15,6,0,39
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,1,3,2,0,6
ESMERALDA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,10,9,10,0,29
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,14,10,9,0,33
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,10,56,23,12,0,101
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,1,0,0,0,1
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,1,0,0,0,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,1,4,23,19,6,4,57
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,6,22,50,36,0,114
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,13,78,92,42,0,225
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,22,95,62,12,0,191
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,2,18,18,9,0,47
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,11,79,70,50,210
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,1,2,0,0,3
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,7,143,140,57,0,347
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,2,12,16,2,0,32
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,0,0,1,0,1
POOPO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,12,43,17,4,0,76
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,2,17,8,0,0,27
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,21,33,24,0,78
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,4,15,4,0,0,23
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,8,14,2,0,0,24
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,0,4,0,0,4
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,6,8,3,0,17
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,14,4,1,0,19
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,2,8,2,0,12
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,4,6,27,38,24,0,99
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,3,27,33,10,0,73
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,2,20,20,13,2,0,57
SACABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,0,1,0,0,1
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,1,9,17,21,4,0,52
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,1,2,3,0,6
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,12,86,45,18,0,161
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,5,16,10,3,0,34
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,8,25,23,7,0,63
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,1,31,23,4,0,59
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,5,15,25,9,5,59
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,18,83,196,197,130,624
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,2,11,6,2,0,21
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,5,20,7,1,0,33
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,1,1,0,0,0,2
SORACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,9,32,14,0,0,55
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,9,3,1,0,13
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,1,6,16,9,8,0,40
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,1,0,0,0,1
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,1,4,4,0,0,9
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,3,5,1,2,0,11
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,15,177,173,54,0,419
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,4,12,9,0,25
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,1,0,0,0,1
TOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,2,6,4,1,0,13
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,1,1,2,0,4
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,5,42,14,5,0,66
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,2,1,1,0,4
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,0,4,0,0,4
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,1,6,6,0,0,13
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,10,2,0,0,12
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,4,6,0,0,10
VILA VILA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,1,0,1,0,0,0,2
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,15,135,133,43,0,326
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,5,3,1,0,9
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,5,28,21,28,1,83
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,39,37,17,0,93
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,1,2,0,0,0,3
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,0,11,70,39,15,135
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-03-01,0,1,3,6,2,0,12
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,4,5,0,0,9
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,0,2,0,0,2
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,2,3,1,0,7
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,1,1,0,0,2
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,0,2,0,0,2
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,2,33,6,1,0,42
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,13,51,22,10,0,96
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,2,4,0,0,6
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,1,10,33,27,10,0,81
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,11,11,3,0,26
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,4,106,101,43,0,254
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,1,1,1,0,0,0,3
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,14,4,3,0,21
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,2,27,31,14,0,74
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,3,1,0,0,4
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,5,4,1,0,10
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,35,33,18,0,86
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,4,15,11,1,0,31
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,1,0,0,0,2
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,22,7,5,0,34
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,4,3,3,0,10
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,3,0,0,0,4
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,1,3,0,0,4
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,18,91,41,16,0,166
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,6,25,7,2,0,40
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,1,22,303,297,135,0,758
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,1,0,15,5,0,0,21
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,26,0,0,0,26
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,0,2,3,0,5
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,5,72,88,11,0,176
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,6,12,2,0,20
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,8,4,1,0,13
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,2,16,7,2,0,27
ESMERALDA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,3,1,1,0,5
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,8,11,2,0,21
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,1,0,0,0,1
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,2,0,0,0,2
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,26,21,4,0,51
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,6,23,23,13,0,65
INGAVI (HUMAITA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,1,1,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,55,35,24,0,115
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,3,44,22,4,0,73
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,0,4,0,0,4
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,5,31,9,10,0,55
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,4,60,63,25,0,152
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,2,31,22,14,0,69
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,1,7,165,118,52,0,343
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,21,31,13,0,66
POOPO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,20,23,7,0,50
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,4,20,8,6,0,38
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,2,45,33,17,0,97
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,4,2,1,0,8
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,3,22,0,0,0,25
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,0,1,0,0,1
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,1,1,2,0,4
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,8,44,52,28,0,132
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,12,59,48,15,0,134
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,4,0,0,0,4
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,2,13,12,7,0,34
SACABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,0,1,1,0,2
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,2,8,38,25,11,0,84
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,7,1,6,0,15
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,15,10,1,0,26
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,1,4,17,4,3,0,29
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,37,18,7,0,63
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,11,9,4,0,25
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,6,19,19,8,0,52
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,19,159,296,277,34,785
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,3,3,0,0,6
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,20,7,2,0,30
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,0,0,0,0,1
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,0,2,0,0,2
SORACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,2,11,3,1,0,17
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,4,6,1,0,11
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,9,9,12,1,0,31
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,0,0,0,0,1
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,7,1,0,0,9
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,4,7,6,0,0,17
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,33,181,157,56,0,427
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,3,5,14,6,0,28
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,2,0,0,0,2
TOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,7,4,3,0,15
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,3,2,2,0,7
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,2,8,3,2,0,15
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,0,2,2,0,5
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,4,2,0,0,6
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,1,0,0,0,1
TURCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,1,1,0,0,2
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,1,0,0,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,2,27,19,16,0,64
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,10,76,60,16,0,162
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,1,1,0,0,0,2
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,9,3,2,0,14
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,0,1,0,0,1
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,2,12,23,45,0,82
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,28,30,19,0,77
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,1,6,2,0,9
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,18,160,55,10,0,243
YOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,1,8,8,6,23
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-04-01,0,0,5,3,0,0,8
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-05-01,0,2,14,16,10,0,42
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-05-01,0,0,11,3,2,0,16
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-05-01,0,0,2,1,0,0,3
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-05-01,0,0,1,0,0,0,1
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-05-01,0,0,0,0,3,0,3
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-05-01,0,0,4,6,1,0,11
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-05-01,0,13,77,51,32,0,173
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-05-01,0,5,41,29,2,0,77
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-05-01,0,0,1,2,1,0,4
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-05-01,1,1,15,20,5,0,42
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-05-01,2,5,33,10,1,0,51
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-05-01,0,5,69,57,23,0,154
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-05-01,0,1,4,2,1,0,8
