,group,variable,month,NÚMERO DE DIU INSERTADOS 10 A 14,NÚMERO DE DIU INSERTADOS 15 A 19,NÚMERO DE DIU INSERTADOS 20 A 34,NÚMERO DE DIU INSERTADOS 35 A 49,NÚMERO DE DIU INSERTADOS 50 Y +,NÚMERO DE DIU INSERTADOS < A 10,TOTALES
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,1,0,0,0,0,1
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,2,0,0,0,2
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,1,1,0,0,0,2
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,2,48,113,27,0,190
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,1,2,0,0,0,3
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,1,0,0,2
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,2,6,6,0,0,14
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,12,86,21,0,0,119
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,4,49,24,0,0,77
TIPUANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,0,0,0,1
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,0,1,0,0,1
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,1,1,0,0,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,3,2,3,0,8
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,2,2,0,0,4
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,0,0,0,1
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,3,4,0,0,7
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,2,0,0,0,2
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,0,1,0,0,1
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,0,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,2,0,0,0,2
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,3,0,0,0,3
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,1,0,0,0,0,1
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,2,0,0,0,2
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,1,8,3,1,0,13
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,10,4,1,0,15
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,0,3,0,0,3
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,1,0,0,2
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,0,1,0,0,1
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,0,1,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,3,12,0,0,0,15
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,23,92,40,2,0,157
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,0,1,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,3,0,0,0,3
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,10,35,8,0,0,53
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,1,1,1,0,0,3
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,4,0,0,0,4
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,1,0,1,0,0,2
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,6,2,0,0,0,8
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,111,13,4,0,128
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,2,1,0,0,3
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,1,3,1,0,0,5
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,2,2,0,0,4
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,3,0,0,0,3
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,8,3,0,0,11
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,2,0,0,0,2
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,1,16,8,0,0,25
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,1,0,0,2
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,2,1,0,0,3
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,1,0,0,2
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,2,1,1,0,0,4
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,2,3,0,0,0,5
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,1,0,0,0,0,1
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,7,9,0,0,16
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,4,10,2,0,0,16
PUERTO SILES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,5,0,0,0,5
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,6,1,0,0,7
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,3,1,0,0,4
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,1,1,0,0,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,1,8,3,0,0,12
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,1,0,0,2
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,2,0,0,0,2
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,1,8,2,0,0,11
SAN JAVIER(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,2,0,0,0,2
SAN JOAQUIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,1,2,0,0,0,3
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,1,0,2,1,0,0,4
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,0,1,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,1,1,0,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,4,51,108,31,0,194
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,4,1,0,0,5
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,15,76,14,0,0,105
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,14,40,45,0,0,99
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,1,2,1,0,0,4
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,1,6,9,2,0,18
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,2,0,0,0,2
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,0,1,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,0,2,0,0,2
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,3,0,0,4
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,2,0,0,0,2
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,1,0,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,9,35,11,0,0,55
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-04-01,0,0,2,1,0,0,3
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,0,2,0,0,2
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,0,1,0,0,1
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,1,0,0,2
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,0,1,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,2,6,1,0,0,9
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,1,3,1,0,0,5
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,5,56,13,0,0,74
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,1,0,0,0,0,1
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,1,7,1,0,0,9
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,7,37,9,0,0,53
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,0,1,0,0,1
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,3,3,0,0,6
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,2,0,0,0,2
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,4,0,0,0,4
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,1,1,0,0,0,2
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,2,1,0,0,3
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,2,104,14,5,0,125
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,0,1,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,2,0,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,3,0,0,0,3
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,1,0,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,3,25,15,0,0,43
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,2,0,0,0,2
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,2,3,0,0,5
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,8,15,9,0,0,32
PUERTO SILES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,2,0,0,0,2
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,1,8,0,0,0,9
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,4,1,0,0,5
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,0,1,0,0,1
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,1,7,2,0,0,10
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,1,3,2,2,0,8
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,2,0,0,0,2
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,1,0,0,2
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,2,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,11,122,48,1,0,182
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,1,5,3,0,0,9
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,0,1,0,0,1
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,6,2,0,0,8
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,5,40,6,2,0,53
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,5,39,25,0,0,69
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,1,0,0,2
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,2,2,2,4,0,10
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,1,4,1,0,0,6
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,1,0,0,2
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,3,1,0,0,4
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,5,1,1,0,7
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,1,0,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,22,8,0,0,30
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-05-01,0,0,5,1,0,0,6
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,1,0,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,2,0,0,0,2
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,1,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,1,0,0,0,0,1
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,1,0,1,0,0,2
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,1,0,0,0,1
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,1,0,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,3,1,0,0,4
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,2,1,0,0,3
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,1,1,0,0,2
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,1,0,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,2,0,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,11,79,23,0,0,113
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,10,36,6,0,0,52
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,1,1,1,0,3
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,1,12,3,0,0,16
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,1,1,1,0,0,3
EXALTACION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,1,0,0,0,1
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,2,0,0,0,2
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,0,1,0,0,1
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,2,1,0,0,3
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,3,0,0,0,3
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,1,3,249,19,6,0,278
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,1,1,0,0,0,2
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,1,0,0,0,1
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,1,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,1,0,0,0,1
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-06-01,0,1,5,0,0,0,6
