,group,variable,month,PÍLDORA: USUARIAS CONTINUAS 10 A 14,PÍLDORA: USUARIAS CONTINUAS 15 A 19,PÍLDORA: USUARIAS CONTINUAS 20 A 34,PÍLDORA: USUARIAS CONTINUAS 35 A 49,PÍLDORA: USUARIAS CONTINUAS 50 Y +,PÍLDORA: USUARIAS CONTINUAS < A 10,TOTALES
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,0,1,1,0,2
TOTORA(ORR),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,1,0,0,0,0,1
TRIGAL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,1,1,0,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,13,4,1,0,18
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,4,16,4,0,24
TURCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,3,1,0,0,4
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,6,4,0,0,10
URUBICHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,0,2,2,0,4
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,2,7,0,0,9
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,3,9,2,0,0,14
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,1,2,0,0,3
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,2,0,0,0,2
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,1,5,6,0,0,12
VILLA RIVERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,1,1,0,0,2
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,7,3,0,0,10
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,2,18,25,4,0,49
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,1,2,2,0,0,5
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,13,4,0,0,17
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,8,3,0,0,11
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,7,41,26,1,0,75
YACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,1,1,1,0,3
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,1,13,5,0,0,19
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
YANACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,2,9,9,0,20
YOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,3,1,0,0,4
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-03-01,0,0,1,1,0,0,2
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,7,3,0,0,10
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,6,0,2,0,8
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,2,0,0,3
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,2,0,0,4
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,2,0,0,5
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,10,3,0,16
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,1,0,0,3
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,2,0,0,3
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,1,0,7,8,0,0,16
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,10,5,0,0,16
BELEN DE URMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,3,3,0,1,0,7
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,3,5,0,0,9
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,4,0,0,0,4
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,0,0,0,2
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,1,0,0,3
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,5,0,0,0,5
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,2,11,5,0,0,18
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,2,1,0,0,4
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,1,1,0,3
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,1,0,0,4
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,3,0,0,3
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,2,0,0,4
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,0,0,0,3
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,3,1,0,5
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,2,0,0,5
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,13,9,0,0,22
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,2,0,0,4
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,5,3,0,0,8
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,1,0,0,3
CHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,19,12,0,0,31
CHARAÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,0,0,0,2
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,12,2,0,0,15
CHUA COCANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,1,0,0,3
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,1,0,0,3
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,1,0,0,4
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,1,3,0,2,0,0,6
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,17,8,0,0,25
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,0,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,2,47,20,2,0,71
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,4,0,0,0,5
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,9,7,0,0,17
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,9,3,0,0,12
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,2,0,0,0,3
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,5,0,0,0,5
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,8,5,0,0,14
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,15,9,0,0,25
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,3,0,0,6
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,1,0,0,3
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,0,0,0,2
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,3,36,8,2,0,49
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,2,1,2,0,0,5
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,1,0,0,4
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,4,5,0,0,9
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,1,1,0,3
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,46,21,2,0,70
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,2,11,7,0,0,20
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,4,4,0,0,8
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,11,14,10,0,0,35
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,5,0,0,8
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,5,12,5,0,0,22
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,10,5,0,0,15
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,6,7,4,0,0,17
EXALTACION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,6,2,0,0,8
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,5,19,2,0,26
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,0,1,0,1
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,11,8,0,0,20
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,4,1,0,6
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,22,11,0,0,34
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,1,0,0,4
HUACARAJE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,8,6,0,0,14
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,3,4,0,0,8
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,4,0,0,4
HUAYLLAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,6,6,0,0,12
INGAVI (HUMAITA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,1,1,0,3
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,4,1,0,0,6
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,3,0,0,6
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,0,0,0,3
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,7,2,0,0,9
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,2,9,2,0,0,13
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,29,17,1,0,47
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,7,6,0,13
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,4,5,0,0,9
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,1,1,5,1,0,0,8
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,5,0,0,8
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,1,0,0,3
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,5,0,0,0,5
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,2,0,0,5
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,20,9,0,0,30
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,1,0,0,4
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,5,2,0,0,7
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,1,0,0,4
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,4,1,1,0,6
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,2,2,0,0,5
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,0,0,0,3
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,4,0,0,6
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,10,3,0,0,13
MORO MORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,1,0,0,3
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,0,0,0,2
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,2,0,0,4
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,10,4,0,0,14
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,0,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,3,38,7,2,0,50
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,9,6,0,0,16
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,9,2,0,0,11
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,12,4,1,0,18
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,1,0,0,4
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,6,6,0,0,13
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,1,0,0,4
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
PELECHUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,4,0,0,0,5
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,7,1,0,0,8
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,2,0,0,5
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,1,0,0,0,2
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,6,0,0,0,6
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,0,0,0,3
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,17,7,0,0,25
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,2,9,3,1,0,15
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,3,10,0,0,14
POSTRER VALLE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,2,44,16,1,0,63
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
PUCARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,1,2,0,0,4
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,2,1,1,0,5
PUERTO ACOSTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,7,7,0,0,14
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,3,6,1,0,0,10
PUERTO SILES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,1,4,11,0,0,0,16
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,0,0,0,2
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,9,3,0,0,12
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,4,3,0,0,7
QUIABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,3,0,0,0,3
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,1,4,0,0,0,5
QUIME,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,4,3,0,0,7
QUIRUSILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,2,2,0,0,4
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-04-01,0,0,0,3,0,0,3
