,group,variable,month,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 10 A 14,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 15 A 19,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 20 A 34,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 35 A 49,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 50 Y +,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) < A 10,TOTALES
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,7,5,1,0,14
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,1,1,0,0,3
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,0,1,0,0,1
HUATAJATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
HUAYLLAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,2,0,0,3
HUMANATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,0,1,0,0,2
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,7,7,4,0,0,18
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,2,13,6,4,1,0,26
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,3,1,0,0,5
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,3,1,0,0,4
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,3,0,0,0,3
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,1,0,0,0,2
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,21,243,74,5,0,343
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,5,10,3,2,0,0,20
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,2,9,96,16,1,0,124
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,1,0,0,0,2
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,3,1,0,1,0,5
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,1,0,0,2
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,2,2,0,1,0,5
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
MALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,1,0,1,0,3
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,2,0,0,3
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,1,0,0,0,2
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,2,0,0,4
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,1,0,0,0,2
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,16,8,3,0,0,27
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,5,9,5,0,0,19
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,1,0,0,2
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,4,4,3,1,0,12
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,35,366,28,0,0,429
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,2,3,5,0,0,10
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,1,2,5,10,0,0,18
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,4,1,0,0,5
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,3,0,0,0,3
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,3,4,2,0,0,9
PAMPA AULLAGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,1,0,0,2
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,3,0,0,0,4
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,0,0,0,0,1
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
PELECHUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,5,9,3,0,0,17
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,2,0,0,3
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,1,17,8,1,0,0,27
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,1,0,0,3
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,0,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,12,59,19,6,0,96
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,2,10,16,2,0,0,30
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,2,6,0,0,0,8
PUERTO CARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,0,1,1,0,2
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,0,0,0,0,1
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,1,0,0,2
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,25,4,0,0,30
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,7,6,4,0,0,17
QUIABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,0,1,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,2,33,9,1,0,45
QUIME,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,2,5,1,0,0,8
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,0,0,0,0,1
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,0,0,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,0,2,0,0,2
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,3,95,132,59,4,0,293
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,3,0,0,0,4
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,3,0,0,0,3
SABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,12,79,20,0,0,111
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,1,8,8,3,0,0,20
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
SAN AGUSTIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,0,1,0,0,1
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,12,0,1,1,0,10,24
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,1,0,0,0,2
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,9,21,4,0,0,34
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,0,1,0,0,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,8,1,0,0,10
SAN JAVIER(BNI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,0,2,0,0,2
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,1,0,0,0,0,0,1
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,7,0,0,0,8
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,1,2,3,0,0,0,6
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,8,2,0,0,11
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,3,33,44,14,1,0,95
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,1,5,1,1,0,0,8
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,3,1,0,0,5
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,1,1,3,3,0,0,8
SAN PEDRO DE CURAHUARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,0,1,0,0,1
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,0,1,0,0,2
SAN PEDRO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,1,0,1,2,0,0,4
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,2,1,0,0,4
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,2,74,232,511,84,8,911
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,12,10,4,0,0,26
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
SANTIAGO DE CALLAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,3,2,0,0,0,5
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
SANTIAGO DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,13,0,0,0,0,13
SAPAHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,0,1,0,0,1
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,1,0,0,2
SICAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,1,0,3
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,3,8,1,0,0,12
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,0,1,0,0,2
SORACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,5,2,0,0,8
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,1,0,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,4,239,629,148,14,0,1034
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,4,4,1,0,0,9
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,4,3,0,0,7
TAHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,11,11,4,0,0,26
TARACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,1,0,3
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,15,222,327,0,0,564
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,2,12,13,6,0,0,33
TIAHUANACU,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,1,1,0,0,3
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,6,16,6,0,0,28
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,5,1,0,0,6
TITO YUPANQUI (PARQUIPUJIO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
TOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
TODOS SANTOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,2,1,0,4
TOLEDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,0,1,0,0,1
TOMAVE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,1,2,0,0,0,3
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,12,7,2,1,0,22
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,7,2,0,0,9
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,278,401,137,12,0,828
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,2,7,5,0,0,14
TURCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,0,1,0,0,1
UMALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,3,1,0,0,4
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,2,11,2,0,0,15
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,1,0,3
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,5,5,0,0,10
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,6,1,0,0,7
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,2,8,3,4,0,17
VILA VILA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,10,14,7,1,0,32
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,4,1,0,0,5
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,1,1,1,0,0,0,3
VILLA RIVERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,0,1,0,0,1
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,9,18,11,0,0,38
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,3,8,2,0,0,13
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,16,9,4,0,0,29
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,9,2,1,0,12
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,3,16,1,0,0,20
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,8,8,3,0,0,19
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,5,1,0,0,6
YACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,2,0,0,3
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,5,11,5,1,0,22
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,6,3,8,0,0,17
YANACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,2,0,0,0,2
YOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,5,2,1,0,8
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,5,15,3,0,0,23
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,3,0,0,0,0,3
YUNGUYO DE LITORAL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-04-01,0,0,1,0,0,0,1
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-05-01,0,2,3,0,0,0,5
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-05-01,0,0,3,1,0,0,4
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-05-01,5,3,5,0,0,0,13
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-05-01,0,0,0,1,0,0,1
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-05-01,0,1,11,3,0,0,15
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon masculino: usuarias (os) nuevas (os),2024-05-01,0,0,1,0,0,0,1
