,group,variable,month,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 10 A 14,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 15 A 19,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 20 A 34,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 35 A 49,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 50 Y +,NÚMERO DE VARONES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN < A 10,TOTALES
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,0,7,111,24,0,0,142
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,0,2,18,5,0,0,25
VACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,0,1,0,0,0,0,1
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,19,19,2,1,0,0,41
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,0,12,1,0,0,0,13
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,0,0,2,0,0,0,2
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,4,1,0,0,0,0,5
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,0,0,7,3,0,1,11
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,17,1,6,2,0,0,26
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,0,2,2,2,0,0,6
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,0,1,0,1,0,0,2
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,0,4,10,7,0,0,21
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,0,22,24,6,1,0,53
YACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,0,0,2,0,0,0,2
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,0,1,3,0,1,0,5
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,20,24,3,0,0,0,47
YANACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,0,0,0,0,1,0,1
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,0,0,0,20,25,0,45
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,14,17,1,0,0,0,32
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,0,2,4,7,0,0,13
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-02-01,26,18,1,0,0,0,45
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,1,0,0,1
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,1,0,0,0,2
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,2,1,2,0,0,5
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,2,1,2,0,0,4,9
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,1,0,0,1
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,0,0,0,0,1
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,1,0,0,1
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,4,22,8,2,36
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,4,1,0,0,6
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,9,2,2,13
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,0,1,0,1
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,3,2,1,0,6
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,24,14,4,0,0,3,45
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,2,3,0,0,0,0,5
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,5,0,0,0,0,5
BELEN DE URMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,2,1,0,1,0,0,4
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,1,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,1,20,0,0,22
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,3,19,1,0,0,0,23
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,2,2,0,0,5
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,0,1,0,1
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,4,1,0,6
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,6,6,6,0,0,18
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,31,22,2,1,0,0,56
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,17,7,10,1,0,0,35
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,2,1,0,0,3
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,1,0,0,1
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,1,0,0,2
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,3,1,1,0,0,5
CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,0,0,0,0,1
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,2,0,0,0,2
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,0,0,0,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,0,0,0,0,1
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,2,28,0,0,31
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,7,2,1,0,10
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,1,0,2
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,0,1,0,1
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,2,10,4,0,0,0,16
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,9,14,7,0,0,30
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,3,12,88,62,5,0,170
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,2,0,0,0,2
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,3,1,2,0,0,6
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,2,24,1,0,27
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,15,0,0,0,15
COMBAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,1,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,3,11,13,6,4,0,37
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,2,0,0,0,2
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,48,52,13,1,0,0,114
CURVA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,11,211,90,5,0,317
EL CHORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,1,0,0,2
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,2,1,1,0,4
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,2,2,1,0,5
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,7,9,1,0,0,0,17
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,7,9,2,0,0,18
ESCARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,1,3,0,0,0,0,4
EXALTACION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,1,0,0,0,2
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,0,0,0,0,1
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,4,7,1,0,0,12
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,2,12,69,31,41,0,155
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,5,1,0,0,6
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,9,8,2,0,2,0,21
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,21,10,1,0,0,0,32
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,2,0,2,0,0,0,4
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,2,1,0,0,3
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,34,32,1,1,0,0,68
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,29,19,8,0,1,0,57
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,2,0,1,0,0,3
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,1,0,0,0,2
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,27,5,15,2,0,49
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,12,11,2,0,0,0,25
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,3,23,47,14,5,0,92
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,3,7,0,0,0,10
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,0,1,0,1
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,17,19,4,1,0,0,41
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,1,0,0,1
MALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,0,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,10,1,1,1,0,13
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,19,21,4,1,0,0,45
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,14,48,39,34,8,0,143
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,0,1,0,1
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,1,7,2,1,0,0,11
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,17,8,11,4,0,0,40
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,1,1,0,0,3
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,9,10,5,1,1,0,26
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,3,1,0,0,0,4
PAPEL PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,2,0,0,0,2
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,2,2,0,0,0,4
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,18,3,2,0,0,23
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,1,0,0,2
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,1,0,0,2
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,57,40,4,1,0,0,102
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,0,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,33,62,63,0,0,158
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,47,70,19,2,0,0,138
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,2,8,3,0,0,13
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,1,1,3,0,0,0,5
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,63,38,29,14,0,144
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,5,97,30,17,0,149
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,4,4,3,1,0,12
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,4,27,13,2,0,46
QUIRUSILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,0,1,0,1
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,4,1,1,0,0,6
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,2,2,0,0,0,4
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,126,356,245,192,0,0,919
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,3,12,7,0,0,22
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,3,0,0,0,4
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,3,1,0,0,5
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,2,3,23,5,1,0,34
SAN ANTONIO DE ESMORUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,1,0,0,2
SAN BENITO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,2,0,0,3
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,2,5,4,3,0,14
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,0,0,0,0,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,2,0,0,0,2
SAN JAVIER(BNI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,4,2,15,2,0,23
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,2,0,0,0,2
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,34,30,18,3,2,4,91
SAN MATIAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,1,0,1,0,0,0,2
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,1,0,0,2
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,5,0,0,0,5
SAN PEDRO DE CURAHUARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,1,0,0,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,59,119,183,107,3,471
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,3,5,4,0,0,12
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,2,3,0,0,0,5
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,30,12,11,14,5,0,72
SORACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,188,210,280,85,7,18,788
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,0,1,0,0,0,1
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,28,37,11,1,0,0,77
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de varones que recibieron orientacion en anticoncepcion,2024-03-01,0,26,52,20,1,0,99
