,group,variable,month,NÚMERO DE CONDONES ENTREGADOS 10 A 14,NÚMERO DE CONDONES ENTREGADOS 15 A 19,NÚMERO DE CONDONES ENTREGADOS 20 A 34,NÚMERO DE CONDONES ENTREGADOS 35 A 49,NÚMERO DE CONDONES ENTREGADOS 50 Y +,NÚMERO DE CONDONES ENTREGADOS < A 10,TOTALES
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,36,324,302,60,0,0,722
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,108,168,216,300,12,0,804
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,104,144,24,24,0,296
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,156,84,0,0,240
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,12,0,0,0,24
ESMERALDA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,0,0,0,12
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,36,36,96,0,0,168
EXALTACION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,0,0,0,12
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,0,0,0,12
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,60,156,24,0,252
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,0,132,24,0,156
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,24,0,0,0,24
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,24,12,12,0,48
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,24,24,0,0,48
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,36,24,0,0,60
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,30,256,2430,1214,262,0,4192
HUACARAJE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,36,12,0,0,48
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,156,72,12,0,264
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,48,84,0,0,0,132
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,36,12,12,0,84
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,36,24,0,0,60
HUATAJATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,0,0,0,12
HUAYLLAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,24,24,0,0,48
HUMANATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,0,0,0,12
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,0,12,0,0,24
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,96,96,48,0,0,240
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,24,180,180,108,12,0,504
INGAVI (HUMAITA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,48,0,0,0,48
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,96,60,36,0,204
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,73,12,0,0,85
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,60,12,0,0,72
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,12,0,0,0,24
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,60,48,0,0,120
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,60,12,0,0,72
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,442,8345,5615,189,0,14591
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,0,0,12,0,12
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,36,12,0,0,60
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,96,192,168,36,0,0,492
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,0,0,0,12
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,24,300,1680,264,12,0,2280
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,12,0,0,0,36
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,36,24,12,12,0,84
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,48,60,12,0,132
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,12,12,0,0,36
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,24,24,12,0,84
MALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,36,12,0,12,0,60
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,0,12,0,0,24
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,36,48,0,0,84
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,13,0,0,0,25
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,48,24,12,0,96
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,24,0,0,0,48
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,192,120,36,0,0,348
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,60,252,180,48,0,540
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,48,12,0,0,60
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,24,0,0,36
NAZACARA DE PACAJES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,0,0,0,12
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,0,0,0,12
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,48,60,36,12,0,156
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,12,0,0,0,24
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,24,12,0,0,36
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,720,5370,2347,120,0,8557
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,36,207,133,12,0,388
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,12,24,120,120,0,0,276
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,96,48,12,0,156
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,72,24,0,0,96
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,48,132,48,0,0,228
PAMPA AULLAGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,36,12,0,0,48
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,60,24,0,0,96
PAPEL PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,48,12,0,0,60
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,12,24,0,0,48
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,84,0,0,0,84
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,0,24,0,0,24
PELECHUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,48,12,0,0,60
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,60,216,84,0,0,360
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,84,60,0,0,144
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,108,12,0,0,120
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,96,12,0,0,120
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,12,228,132,36,12,0,420
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,96,24,0,0,120
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,48,36,0,0,84
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,12,24,0,0,60
POSTRER VALLE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,12,0,0,24
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,12,264,1260,516,192,0,2244
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,24,120,216,36,24,0,420
PUCARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,12,0,0,24
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,120,24,0,0,168
PUERTO ACOSTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,12,0,0,24
PUERTO CARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,12,12,0,36
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,12,12,0,0,48
PUERTO PEREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,12,0,0,24
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,4,2,61,43,1,0,111
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,0,0,0,12
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,72,0,0,0,84
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,12,312,2244,444,216,0,3228
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,132,240,84,12,0,468
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,12,0,0,24
QUIABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,0,12,0,0,36
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,444,108,12,0,588
QUIME,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,60,24,0,0,108
QUIRUSILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,36,0,12,0,48
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,36,0,12,0,0,48
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,36,36,12,0,0,84
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,0,20,0,0,20
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,36,1731,2113,1257,63,0,5200
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,36,0,0,0,48
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,61,12,0,0,73
SABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,24,0,0,0,24
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,364,1754,588,12,0,2718
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,12,120,125,48,0,0,305
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,108,12,0,0,132
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,24,0,0,0,24
SAN AGUSTIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,0,24,12,0,36
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,72,0,24,24,0,60,180
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,12,0,0,0,24
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,120,313,48,0,0,481
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,72,0,0,0,96
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,24,0,0,0,24
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,12,24,144,72,0,0,252
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,180,24,0,0,216
SAN JAVIER(BNI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,0,12,0,0,12
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,10,0,0,0,0,0,10
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,27,0,0,0,39
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,50,170,60,0,0,280
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,12,48,48,12,0,0,120
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,56,193,92,0,0,341
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,36,396,600,192,36,0,1260
SAN MATIAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,24,0,0,0,24
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,12,72,180,72,36,0,372
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,48,0,0,0,60
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,12,12,60,72,0,0,156
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,12,0,0,24
SAN PEDRO DE CURAHUARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,12,0,0,24
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,120,12,12,0,168
SAN PEDRO DE QUEMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,0,0,0,0,12
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,0,12,0,0,24
SAN PEDRO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,12,0,12,36,12,0,72
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,48,24,0,0,84
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,24,376,2750,2376,452,17,5995
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,144,156,48,0,0,348
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,60,12,0,0,72
SANTIAGO DE CALLAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,36,36,0,0,0,72
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,36,0,0,0,36
SANTIAGO DE HUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,12,0,0,24
SANTIAGO DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,0,0,0,12
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,0,12,0,0,24
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,252,0,24,0,0,276
SAPAHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,0,12,0,0,12
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,36,0,0,0,60
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,12,0,0,24
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,0,12,0,0,12
SICAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,24,0,12,0,36
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,36,156,24,0,0,216
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,60,12,0,0,84
SORACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,72,36,0,0,120
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,24,12,0,0,48
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,48,3204,8700,2148,204,0,14304
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,24,0,0,0,24
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,48,96,36,0,0,180
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,102,84,0,0,186
TAHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,36,0,0,0,36
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,132,156,48,0,0,336
TARACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,0,0,0,12
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,24,12,12,0,48
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,38,4554,430,12,0,5034
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,24,216,204,96,0,0,540
TEOPONTE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,0,0,0,12
TIAHUANACU,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,24,0,0,0,24
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,24,48,0,0,84
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,72,216,72,0,0,360
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,148,60,0,0,208
TITO YUPANQUI (PARQUIPUJIO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,0,0,0,12
TOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,24,12,0,0,36
TODOS SANTOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,0,0,0,12
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,37,24,12,0,73
TOLEDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,24,0,0,36
TOMAVE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,36,0,0,0,48
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,144,96,24,12,0,276
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,72,24,0,0,120
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,192,72,0,0,264
TOTORA(ORR),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,12,0,0,0,24
TRIGAL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,36,0,0,0,36
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,70,18,0,0,112
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,25,195,132,60,0,412
TURCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,36,12,0,0,48
UMALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,36,36,0,0,72
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,36,192,36,0,0,264
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,60,0,36,0,96
URUBICHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,2,1,0,0,3
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,204,108,12,0,336
VACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,0,24,0,0,36
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,12,217,36,0,0,265
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,24,240,72,38,0,374
VILA VILA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,0,0,0,12
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,120,192,96,12,0,420
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,59,44,0,0,103
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,12,24,48,24,0,0,108
VILLA RIVERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,0,12,12,0,0,24
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,108,252,144,0,0,504
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,48,184,72,24,0,328
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,192,156,72,0,0,420
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,36,240,108,12,0,396
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,48,408,72,0,0,528
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-04-01,0,108,192,48,0,0,348
