,group,variable,month,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA 10 A 14,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA 15 A 19,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA 20 A 34,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA 35 A 49,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA 50 Y +,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA < A 10,TOTALES
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,0,0,0,0,1
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,5,3,0,0,8
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,2,0,0,0,2
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,1,1,0,0,2
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,3,7,3,2,0,15
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,6,0,0,0,7
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,0,0,0,0,1
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,1,0,0,0,1
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,1,0,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,3,4,1,0,0,8
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,8,6,1,0,0,15
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,1,0,0,0,1
ESMERALDA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,3,0,0,0,3
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,0,3,1,0,4
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,1,0,1,0,0,0,2
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,2,0,0,0,0,2
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,1,0,0,0,1
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,0,0,0,0,1
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,2,5,0,0,0,7
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,0,1,0,0,1
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,2,1,0,0,3
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,19,5,0,0,24
LA RIVERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,2,0,2,0,0,4
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,5,0,0,0,6
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,1,1,0,0,2
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,2,0,0,0,2
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,0,0,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,5,1,0,0,6
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,0,1,0,0,1
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,3,2,0,0,5
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,3,3,1,0,0,7
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,0,1,0,0,1
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,1,0,0,0,1
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,0,2,0,0,2
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,4,5,0,0,9
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,2,1,0,0,4
PUERTO CARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,1,1,0,0,2
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,25,36,0,0,0,61
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,1,0,0,0,1
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,3,0,0,0,4
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,0,0,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,6,11,2,0,0,19
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,2,0,0,0,0,2
SAN ANTONIO DE LOMERIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,3,0,0,0,3
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,10,3,2,0,15
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,4,1,0,0,0,5
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,2,0,0,0,0,2
SAN PEDRO DE QUEMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,8,5,6,0,20
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,3,0,0,0,4
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,3,0,0,0,0,3
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,3,5,0,0,0,8
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,10,4,0,0,14
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,1,3,1,1,0,0,6
TOMAVE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,1,2,0,0,3
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,1,1,3,2,0,0,7
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,1,0,0,0,1
TOTORA(ORR),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,45,0,0,0,45
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,9,2,0,0,12
TURCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,0,0,0,0,1
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,0,1,2,0,3
VACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,0,0,0,0,1
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,8,8,3,0,0,19
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,0,0,1,0,2
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,2,0,0,0,0,0,2
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,2,1,0,0,0,3
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,0,1,0,0,1
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,2,0,0,0,0,2
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,1,0,0,0,0,1
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-03-01,0,0,1,0,0,0,1
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,0,1,0,0,1
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,3,1,0,0,4
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,0,3,3,0,6
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,0,0,0,0,1
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,2,0,0,0,2
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,0,1,0,0,1
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,1,0,0,0,2
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,1,0,0,0,1
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,1,0,0,0,1
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,4,0,0,0,4
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,0,1,0,0,2
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,2,0,0,0,2
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,3,1,0,0,4
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,0,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,1,19,233,195,79,0,527
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,5,1,0,0,6
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,3,1,0,0,4
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,2,0,0,0,2
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,1,0,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,2,8,3,0,0,13
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,3,66,48,7,0,0,124
ESMERALDA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,0,1,0,0,1
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,0,1,0,0,1
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,0,5,3,0,8
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,5,4,1,0,10
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,1,0,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,1,0,2,0,0,0,3
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,0,1,0,0,1
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,0,0,0,0,1
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,1,2,2,0,0,0,5
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,4,35,8,0,0,47
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,3,0,0,0,3
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,6,2,0,0,9
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,2,0,0,0,2
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,1,0,0,0,1
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,0,0,0,0,1
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,1,0,0,0,2
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,1,0,0,0,1
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,2,0,0,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,3,0,0,0,3
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,1,0,0,0,1
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,4,0,0,0,5
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,3,2,1,0,0,6
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,3,0,0,0,4
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,3,0,0,0,3
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,1,1,1,0,0,0,3
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,5,7,0,0,12
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,4,5,7,0,0,16
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,2,1,0,0,3
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,1,0,0,0,0,0,1
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,1,0,0,0,1
QUIABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,0,1,0,0,1
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,1,1,0,0,0,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,6,1,0,0,7
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,1,0,0,0,0,0,1
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,1,0,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,3,1,0,0,5
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,8,6,0,0,15
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,3,1,1,0,0,5
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,3,2,0,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,2,12,13,8,0,35
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,1,0,0,0,1
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,0,1,0,0,1
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,1,0,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,3,0,0,0,4
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,2,0,0,0,0,2
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,14,2,0,0,16
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,6,1,0,0,0,7
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,3,1,0,0,4
TOLEDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,0,0,0,0,1
TOMAVE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,2,0,0,0,3
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,2,0,0,0,3
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,2,0,0,0,3
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,0,8,2,0,10
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,3,5,0,0,8
UMALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,0,0,0,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,1,1,0,0,2
VACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,0,0,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,0,0,0,0,1
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,2,1,0,0,0,3
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,1,0,0,0,0,1
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,1,1,0,0,2
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,3,2,0,0,0,5
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-04-01,0,0,0,1,0,0,1
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,1,0,0,0,0,1
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-05-01,0,0,9,1,0,0,10
