,group,variable,month,DIU: USUARIAS NUEVAS 10 A 14,DIU: USUARIAS NUEVAS 15 A 19,DIU: USUARIAS NUEVAS 20 A 34,DIU: USUARIAS NUEVAS 35 A 49,DIU: USUARIAS NUEVAS 50 Y +,DIU: USUARIAS NUEVAS < A 10,TOTALES
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,0,1,1,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,0,1,1,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,2,2,0,0,4
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,0,1,0,0,1
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,0,1,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,0,1,0,0,1
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,22,76,24,2,0,124
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,0,1,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,3,0,0,0,3
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,10,36,9,0,0,55
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,1,1,1,0,0,3
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,1,0,1,0,0,2
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,6,2,0,0,0,8
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,71,13,4,0,88
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,2,1,0,0,3
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,2,2,0,0,4
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,2,0,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,7,4,0,0,11
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,4,11,2,0,0,17
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,1,1,1,0,0,3
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,2,1,0,0,3
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,1,0,0,2
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,2,1,1,0,0,4
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,1,0,0,0,0,1
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,7,9,0,0,16
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,6,1,0,0,7
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,3,1,0,0,4
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,0,1,0,0,1
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,1,1,0,0,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,1,8,2,0,0,11
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,2,0,0,0,2
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,3,0,0,0,3
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,5,1,0,0,6
SAN JAVIER(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,2,1,0,0,3
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,0,1,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,1,1,0,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,7,40,88,19,0,154
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,4,1,0,0,5
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,8,40,7,0,0,55
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,13,35,38,0,0,86
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,1,2,1,0,0,4
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,1,22,19,2,0,44
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,2,0,0,0,2
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,0,1,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,0,2,0,0,2
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,3,0,0,4
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,2,0,0,0,2
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,2,12,2,0,0,16
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,2,1,0,0,3
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-04-01,0,0,4,2,0,0,6
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,4,2,0,0,6
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,2,2,0,0,4
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,0,1,0,0,1
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,1,0,0,2
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,0,1,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,1,2,0,0,0,3
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,1,1,1,0,0,3
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,10,46,11,0,0,67
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,1,0,0,0,0,1
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,1,7,1,0,0,9
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,7,37,8,0,0,52
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,0,1,0,0,1
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,2,2,0,0,4
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,4,0,0,0,4
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,1,1,0,0,0,2
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,2,1,0,0,3
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,2,55,14,5,0,76
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,0,1,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,2,0,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,2,0,0,0,2
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,1,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,2,19,2,0,0,23
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,2,0,0,0,2
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,2,3,0,0,5
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,8,15,9,0,0,32
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,1,8,0,0,0,9
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,4,1,0,0,5
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,1,0,0,2
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,1,7,2,0,0,10
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
SAN JOAQUIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,2,0,0,0,2
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,2,0,0,0,2
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,2,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,10,91,38,3,0,142
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,1,2,1,0,0,4
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,0,1,0,0,1
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,6,2,0,0,8
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,3,15,3,2,0,23
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,6,37,21,1,0,65
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,1,0,0,2
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,6,25,1,0,0,32
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,1,3,1,0,0,5
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,1,0,0,2
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,5,1,1,0,7
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,2,1,0,0,3
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-05-01,0,0,6,0,0,0,6
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,2,0,0,0,2
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,1,0,0,0,0,1
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,1,0,1,0,0,2
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,3,1,0,0,4
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,1,0,0,2
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,1,0,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,2,0,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,12,50,14,0,0,76
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,11,36,6,0,0,53
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,1,1,0,3
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,4,0,0,0,4
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,1,0,0,0,0,1
EXALTACION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,2,0,0,0,2
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,0,1,0,0,1
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,2,1,0,0,3
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,3,0,0,0,3
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,1,2,105,14,6,0,128
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,1,1,0,0,0,2
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,1,5,0,0,0,6
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,1,2,16,6,0,0,25
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,2,2,0,0,4
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,2,0,0,0,2
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,3,8,2,0,0,13
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,4,0,0,0,4
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,1,2,3,0,0,6
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,13,0,0,0,13
SACABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,0,1,0,0,1
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,1,4,2,1,0,8
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,2,0,0,0,2
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,1,0,0,2
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,1,0,0,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,14,72,40,3,0,129
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,2,0,0,0,2
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,1,3,0,0,0,4
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,4,1,0,0,5
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,13,29,4,0,0,46
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,7,34,19,0,0,60
TEOPONTE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,2,4,0,0,6
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,3,1,0,0,4
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,0,3,0,0,0,3
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,2,3,6,0,0,11
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-06-01,0,1,1,0,0,0,2
