,group,variable,month,MÉTODOS NATURALES: USUARIAS CONTINUAS 10 A 14,MÉTODOS NATURALES: USUARIAS CONTINUAS 15 A 19,MÉTODOS NATURALES: USUARIAS CONTINUAS 20 A 34,MÉTODOS NATURALES: USUARIAS CONTINUAS 35 A 49,MÉTODOS NATURALES: USUARIAS CONTINUAS 50 Y +,MÉTODOS NATURALES: USUARIAS CONTINUAS < A 10,TOTALES
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,3,1,0,0,4
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,2,1,0,0,4
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,8,7,0,0,16
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,4,2,0,0,7
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,4,3,0,0,7
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,74,45,0,0,120
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,1,1,0,0,3
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,2,0,0,0,2
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,9,2,0,0,11
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,2,0,0,2
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,1,2,0,0,4
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,4,1,0,0,5
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,3,3,0,6
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,5,52,18,0,0,75
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,4,3,0,0,7
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,0,1,0,1
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,4,1,0,0,5
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,10,13,0,0,24
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,3,0,0,0,3
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,2,0,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,33,16,2,0,51
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,3,0,0,0,3
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,3,0,2,0,0,5
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,4,1,0,0,5
MALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,4,1,0,0,5
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,0,2,0,2
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,3,6,1,0,0,10
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,8,7,0,0,16
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,9,2,0,0,11
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,0,2,0,2
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,2,1,0,0,3
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,17,32,28,0,0,77
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,2,0,0,2
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,2,0,0,0,2
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,2,0,0,0,2
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,3,0,0,0,4
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,2,0,0,0,2
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,4,30,18,0,0,52
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,3,23,8,0,0,34
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,2,3,0,6
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,5,16,19,0,0,40
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,3,4,1,0,0,8
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,7,1,0,0,9
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,3,26,5,0,34
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,6,35,12,1,0,54
SAN JOAQUIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,4,4,1,0,0,0,9
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,7,1,0,0,8
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,4,3,0,0,0,7
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,2,8,3,0,0,13
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,6,38,22,5,0,71
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,8,0,0,0,8
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,15,0,0,0,15
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,0,0,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,4,0,0,0,4
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,0,0,0,0,1
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,2,0,0,3
TARACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,4,0,0,4
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
TEOPONTE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,2,3,0,6
TOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,2,0,0,0,2
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,3,0,0,3
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,3,0,0,0,4
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,2,1,0,0,3
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,15,0,0,15
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,4,0,1,0,5
UMALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,3,0,0,0,3
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
VILA VILA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,2,0,0,0,3
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,8,1,0,0,10
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,3,6,2,0,0,11
WALDO BALLIVIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,4,0,0,0,4
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,9,2,0,11
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,1,2,0,0,0,3
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,5,2,0,0,8
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,5,0,0,0,5
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,0,1,0,0,2
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,0,1,0,0,2
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,2,1,0,0,3
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,9,4,0,0,13
BOLIVAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,3,0,0,0,4
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,1,0,0,0,2
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,4,0,0,0,4
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,4,10,3,0,0,17
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,6,3,0,0,10
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,0,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,3,8,0,0,11
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,6,66,42,1,0,115
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,1,1,0,0,3
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,2,6,4,0,0,12
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,2,0,0,0,2
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,2,1,0,0,3
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,1,0,0,0,2
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,5,1,0,0,6
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,2,39,18,0,0,59
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,1,4,0,0,5
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,2,3,0,0,5
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,1,4,12,16,0,0,33
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,2,0,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,38,10,0,0,48
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,3,1,0,0,4
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,3,2,0,0,5
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,5,1,0,0,6
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,0,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,7,6,0,0,13
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,2,0,0,0,2
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,7,8,1,0,0,16
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,0,0,0,0,1
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,2,0,0,0,2
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,2,4,0,0,7
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,14,41,29,0,0,84
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,3,0,0,0,3
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,3,0,0,0,3
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,3,1,0,0,4
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,4,0,0,0,5
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,4,1,1,0,6
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,3,27,3,0,0,33
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,1,10,26,7,0,0,44
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,0,1,3,0,4
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,6,14,11,0,0,31
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,0,0,1,0,1
SACABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,0,0,0,0,1
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,2,2,0,0,4
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,2,9,2,0,0,13
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,2,26,7,0,0,35
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,0,0,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,0,5,0,0,5
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,7,24,4,0,0,35
SAN JOAQUIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,2,0,0,0,2
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,2,3,0,0,0,0,5
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,2,6,2,0,0,10
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,14,2,0,0,16
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,7,55,10,0,0,72
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,5,1,0,0,0,6
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,2,1,0,0,4
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,11,29,6,0,0,46
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,2,0,0,0,0,2
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,8,9,0,0,17
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,2,0,0,0,2
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,2,0,2,1,0,5
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,1,0,0,0,2
TOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,4,1,0,0,5
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,1,3,1,0,0,5
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,0,26,0,0,26
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,0,3,3,0,6
VILA VILA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,2,3,1,0,0,6
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-04-01,0,0,8,0,0,0,8
