municipality,group,variable,month,Hipertensión Arterial en mayores de 5 años,TOTAL
TIPUANI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,2,2
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,27,27
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,3,3
VIACHA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,2,2
WARNES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,14,14
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,13,13
APOLO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
AYATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,4,4
BETANZOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
BOYUIBE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,4,4
CAMIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,30,30
CARMEN RIVERO TORREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,7,7
CHARAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,16,16
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,4,4
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,51,51
COLQUIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
CONCEPCION,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,2,2
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,5,5
COTAGAITA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,33,33
EL VILLAR,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
ENTRE RIOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,7,7
IRUPANA (VILLA DE LANZA),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
LA GUARDIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,17,17
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,19,19
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,3,3
MINEROS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,3,3
MONTERO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,3,3
PADILLA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
PAILON,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
PATACAMAYA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
PORONGO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,2,2
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,4,4
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,15,15
PUERTO ACOSTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,3,3
PUERTO RICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
PUERTO SILES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
PUERTO SUAREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
PUNATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
REYES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,2,2
RIBERALTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,6,6
ROBORE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,4,4
RURRENABAQUE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,3,3
SAMAIPATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
SAN BORJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,2,2
SAN CARLOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,31,31
SAN IGNACIO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,7,7
SAN JOAQUIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
SAN JULIAN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
SAN LORENZO(PND),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,2,2
SAN MATIAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,2,2
SAN RAMON,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,4,4
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,82,82
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,18,18
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,38,38
TOLEDO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,162,162
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,2,2
VIACHA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,1,1
VILLA TUNARI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,4,4
WARNES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,54,54
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-07-01,8,8
APOLO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,2,2
BAURES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
BETANZOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
BOYUIBE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
CAMIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,15,15
CARANAVI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
CARMEN RIVERO TORREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,6,6
CHARAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,8,8
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,4,4
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,46,46
COLCAPIRHUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,2,2
COMARAPA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
CONCEPCION,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,2,2
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,4,4
COTOCA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,40,40
ENTRE RIOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
FILADELFIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,13,13
LA GUARDIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,24,24
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,22,22
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,2,2
MINEROS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,4,4
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,6,6
PADILLA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
PAILON,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,10,10
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,16,16
PUERTO QUIJARRO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
PUERTO SUAREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,3,3
PUNATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,3,3
RIBERALTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,6,6
ROBORE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,3,3
RURRENABAQUE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
SAIPINA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
SAN CARLOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,50,50
SAN MATIAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,2,2
SAN RAMON,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,9,9
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,104,104
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,17,17
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,10,10
TOLEDO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,3,3
TOMINA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,91,91
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,2,2
VILLA TUNARI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
VINTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,1,1
WARNES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,81,81
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-08-01,7,7
ASCENCION DE GUARAYOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,1,1
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,5,5
BOYUIBE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,2,2
CAMIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,20,20
CARANAVI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,2,2
CHARAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,6,6
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,15,15
COLCAPIRHUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,2,2
COMARAPA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,1,1
CONCEPCION,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,2,2
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,9,9
COTOCA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,1,1
CUATRO CAÑADAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,1,1
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,32,32
EL TORNO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,8,8
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,21,21
LA GUARDIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,19,19
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,20,20
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,3,3
MAIRANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,1,1
MINEROS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,10,10
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,7,7
PADILLA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,2,2
PAILON,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,2,2
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,6,6
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,69,69
PUERTO RICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,1,1
PUERTO SUAREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,7,7
PUNATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,1,1
REYES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,1,1
ROBORE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,5,5
RURRENABAQUE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,1,1
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,2,2
SAN ANTONIO DE LOMERIO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,2,2
SAN CARLOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,6,6
SAN MATIAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,124,124
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,6,6
SAN RAMON,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,5,5
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,91,91
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,26,26
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,17,17
TIQUIPAYA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,1,1
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,27,27
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,7,7
VIACHA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,1,1
VILLA TUNARI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,1,1
VINTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,2,2
WARNES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,16,16
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-09-01,10,10
ASCENCION DE GUARAYOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,3,3
BAURES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,1,1
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,3,3
BOYUIBE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,1,1
CAMARGO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,11,11
CAMIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,15,15
CARANAVI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,1,1
CARMEN RIVERO TORREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,3,3
CHARAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,8,8
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,1,1
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,20,20
COLCAPIRHUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,1,1
COMARAPA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,1,1
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,4,4
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,27,27
EL TORNO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,1,1
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,8,8
IRUPANA (VILLA DE LANZA),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,6,6
LA GUARDIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,29,29
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,17,17
LLALLAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,1,1
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,3,3
MAIRANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,1,1
MINEROS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,7,7
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,5,5
PAILON,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,1,1
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,11,11
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,14,14
PUERTO SILES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,1,1
PUERTO SUAREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,3,3
PUNATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,4,4
RIBERALTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,7,7
RURRENABAQUE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,1,1
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,4,4
SAN BORJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,11,11
SAN MATIAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,4,4
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,3,3
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,217,217
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,19,19
TARABUCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,1,1
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,23,23
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,112,112
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,6,6
VINTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,2,2
WARNES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,25,25
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-10-01,5,5
BAURES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,2,2
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,3,3
BOYUIBE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
CAMIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,5,5
CARANAVI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
CARMEN RIVERO TORREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,4,4
CHARAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,5,5
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,4,4
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,27,27
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
COTOCA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,9,9
EL TORNO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,15,15
LA GUARDIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,13,13
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,69,69
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,3,3
MINEROS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,21,21
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,2,2
PADILLA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,10,10
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,11,11
PUERTO SUAREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,5,5
PUNATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
RIBERALTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,4,4
RURRENABAQUE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,3,3
SACACA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
SAN BORJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,2,2
SAN IGNACIO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,9,9
SAN JOAQUIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
SAN JULIAN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
SAN MATIAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,5,5
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,64,64
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,11,11
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,11,11
TOMINA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,36,36
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,13,13
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
VILLAZON,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,1,1
VINTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,2,2
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-11-01,3,3
ASCENCION DE GUARAYOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,1,1
AZURDUY,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,1,1
BAURES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,3,3
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,3,3
CAMIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,23,23
CARANAVI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,1,1
CARMEN RIVERO TORREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,4,4
CHARAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,3,3
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,1,1
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,4,4
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,28,28
COMARAPA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,1,1
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,2,2
COTAGAITA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,1,1
COTOCA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,5,5
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,20,20
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,16,16
LA ASUNTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,1,1
LA GUARDIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,13,13
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,24,24
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-12-01,2,2
