,group,variable,month,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS FUERA,ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
IXIAMAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,8,9,0,0,17
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,8,4,0,2,14
LA ASUNTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,30,31,2,2,65
LA GUARDIA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,104,92,5,2,203
LA PAZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,537,558,6,2,1103
LAGUNILLAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,3,5,1,2,11
LAJA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,9,11,0,3,23
LAS CARRERAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,0,2,0,2
LICOMA PAMPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,0,0,0,1
LLALLAGUA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,21,19,17,19,76
LLICA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,2,0,0,6
LORETO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,3,1,0,0,4
LURIBAY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,6,6,2,2,16
MACHACAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,1,0,0,3
MACHARETI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,3,0,0,7
MAGDALENA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,7,16,0,0,23
MAIRANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,9,7,0,0,16
MALLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,1,1,1,4
MAPIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,10,26,0,0,36
MECAPACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,13,6,3,0,22
MINEROS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,15,19,0,0,34
MIZQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,12,20,7,4,43
MOCOMOCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,9,6,5,2,22
MOJOCOYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,1,1,0,4
MONTEAGUDO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,15,20,1,1,37
MONTERO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,82,80,9,2,173
MORO MORO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,0,0,1,1
MOROCHATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,0,10,2,14
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,0,3,0,4
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,1,0,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,0,3,0,3
OCURI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,7,4,5,5,21
OKINAWA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,7,11,1,2,21
OMEREQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,0,0,1,3
ORURO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,242,238,8,12,500
PADCAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,16,7,1,0,24
PADILLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,6,13,1,0,20
PAILON,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,21,23,5,4,53
PALCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,11,10,6,7,34
PALOS BLANCOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,17,22,2,3,44
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,1,1,0,2
PAMPA GRANDE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,9,8,2,1,20
PAPEL PAMPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,1,1,0,4
PASORAPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,2,0,0,6
PATACAMAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,11,24,6,6,47
PAZÑA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,2,0,0,4
PELECHUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,3,1,1,6
POCOATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,11,5,7,9,32
POCONA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,4,5,1,14
POJO (CBBA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,9,9,1,1,20
POOPO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,6,2,2,1,11
PORCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,13,6,2,0,21
POROMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,10,4,4,8,26
PORONGO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,5,8,1,1,15
PORTACHUELO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,17,10,4,0,31
PORVENIR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,7,5,3,4,19
POSTRER VALLE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,0,0,1,1
POTOSI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,193,240,25,41,499
PRESTO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,5,4,1,2,12
PUCARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,1,0,0,3
PUCARANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,12,13,10,8,43
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,3,5,0,1,9
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,4,3,3,12
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,1,2,4,9
PUERTO PEREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,1,2,1,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,26,11,0,0,37
PUERTO RICO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,7,7,0,1,15
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,8,3,8,4,23
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,43,44,3,2,92
PUNA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,5,5,3,14
PUNATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,21,29,4,5,59
QUIABAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,0,0,1,1
QUILLACOLLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,77,83,41,58,259
QUIME,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,6,3,0,1,10
QUIRUSILLAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,0,0,0,2
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,7,4,0,2,13
RAVELO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,7,5,3,5,20
REYES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,10,8,0,0,18
RIBERALTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,95,99,13,10,217
ROBORE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,10,15,0,0,25
RURRENABAQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,16,18,1,3,38
SABAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,3,0,0,4
SACABA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,111,91,24,23,249
SACABAMBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,0,0,1,2
SACACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,14,10,3,3,30
SAIPINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,3,1,0,8
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,3,5,7,3,18
SAMAIPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,3,1,0,0,4
SAN ANDRES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,18,8,0,0,26
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,2,1,0,3
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,1,1,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,2,1,2,5
SAN BENITO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,11,5,0,2,18
SAN BORJA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,35,32,4,3,74
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,3,5,2,1,11
SAN CARLOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,12,17,1,0,30
SAN IGNACIO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,29,19,3,5,56
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,69,71,9,10,159
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,1,4,6,13
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,11,13,0,0,24
SAN JOAQUIN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,4,0,0,8
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,20,17,3,18,58
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,7,6,0,2,15
SAN JULIAN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,41,36,9,6,92
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,2,8,5,19
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,18,10,1,0,29
SAN LUCAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,15,10,11,10,46
SAN MATIAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,22,22,3,2,49
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,13,6,2,2,23
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,0,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,10,9,2,0,21
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,23,14,13,8,58
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,0,1,0,2
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,0,1,0,3
SAN PEDRO(PND),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,0,1,0,1
SAN RAFAEL,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,5,4,0,1,10
SAN RAMON BENI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,4,1,1,10
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,11,10,0,0,21
SANTA ANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,8,8,0,0,16
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1299,1253,11,13,2576
SANTA ROSA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,9,9,1,3,22
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,6,4,0,0,10
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,4,3,0,9
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,3,2,1,0,6
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,1,0,0,3
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,7,0,1,9
SANTIVAÑES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,6,2,0,12
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,1,4,0,5
SAPAHAQUI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,6,5,3,1,15
SENA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,7,6,1,0,14
SHINAOTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,17,17,2,4,40
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,8,9,4,5,26
SICAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,3,1,0,0,4
SIPE SIPE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,38,31,0,2,71
SOPACHUY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,0,2,3,6
SORACACHI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,5,9,1,1,16
SORATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,10,13,3,4,30
SUCRE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,227,236,3,2,468
TACACHI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,0,0,1,1
TACACOMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,8,4,0,0,12
TACOBAMBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,0,4,2,7
TACOPAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,2,1,2,9
TAHUA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,1,0,0,1
TAPACARI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,9,10,8,5,32
TARABUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,6,8,4,7,25
TARACO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,3,1,1,9
TARATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,9,7,3,0,19
TARIJA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,150,158,2,3,313
TARVITA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,5,5,1,15
TEOPONTE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,8,3,2,0,13
TIAHUANACU,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,16,8,2,1,27
TINGUIPAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,6,5,12,7,30
TIPUANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,6,1,0,0,7
TIQUIPAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,38,22,9,13,82
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,9,5,7,13,34
TOCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,5,4,1,0,10
TOLATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,3,3,1,8
TOLEDO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,3,0,0,5
TOMAVE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,5,3,4,16
TOMINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,6,9,3,1,19
TORO TORO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,3,2,8,15
TOTORA(CBBA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,8,8,4,4,24
TOTORA(ORR),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,3,1,1,1,6
TRIGAL,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,2,0,1,3
TRINIDAD,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,130,106,0,1,237
TUPIZA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,24,21,2,5,52
TURCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,7,2,0,0,9
UMALA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,5,1,1,8
UNCIA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,18,14,2,2,36
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,12,8,0,2,22
URUBICHA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,2,1,0,5
UYUNI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,18,18,2,3,41
VACAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,0,2,3,6
VALLEGRANDE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,12,8,0,2,22
VIACHA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,45,40,8,8,101
VILA VILA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,1,1,2,5
VILLA CHARCAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,6,4,3,0,13
VILLA MONTES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,43,33,5,5,86
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,1,1,0,2
VILLA RIVERO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,5,3,1,0,9
VILLA SERRANO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,5,1,1,11
VILLA TUNARI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,55,67,2,4,128
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,5,8,0,1,14
VILLAZON,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,32,21,2,1,56
VINTO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,27,38,15,11,91
VITICHI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,8,0,1,13
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,1,0,0,3
WARNES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,109,122,2,2,235
YACO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,3,0,0,5
YACUIBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,60,68,9,11,148
YAMPARAEZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,1,0,0,2
YANACACHI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,4,0,0,0,4
YAPACANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,30,34,8,17,89
YOCALLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,3,0,1,4
YOTALA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,0,3,1,1,5
YUNCHARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,1,1,1,0,3
ZUDAÑEZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-03-01,2,4,1,1,8
ACACIO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,2,1,1,0,4
ACHACACHI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,8,22,11,10,51
ACHOCALLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,11,17,0,0,28
AIQUILE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,8,10,4,3,25
ALALAY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,2,1,1,0,4
ALCALA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,2,2,0,0,4
ALTO BENI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,3,3,0,0,6
ANCORAIMES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,4,4,0,3,11
ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,0,0,1,1,2
ANTEQUERA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,0,2,0,0,2
ANZALDO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,0,1,0,2,3
APOLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,5,7,8,6,26
ARAMPAMPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,2,1,3,0,6
ARANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,8,5,2,0,15
ARBIETO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,15,12,5,3,35
ARQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,5,2,2,4,13
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,19,18,18,14,69
ATOCHA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,7,4,3,0,14
AUCAPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,0,1,0,0,1
AYATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,3,3,3,1,10
AYO AYO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,4,2,0,0,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,11,9,6,12,38
AZURDUY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,3,5,2,3,13
BATALLAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,10,11,0,0,21
BAURES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,2,1,0,0,3
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,0,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,0,0,1,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,2,1,2,0,5
BERMEJO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,33,26,1,0,60
BETANZOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,15,19,6,4,44
BOLIVAR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,3,0,3,3,9
BOLPEBRA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,0,0,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,6,6,1,0,13
BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,21,6,3,0,30
CABEZAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,13,19,8,8,48
CAIROMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,4,4,1,1,10
"CAIZA ""D""",vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,4,7,3,2,16
CAJUATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,9,11,1,1,22
CALAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,8,4,1,1,14
CAMARGO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,6,2,3,2,13
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,2,3,1,0,6
CAMIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,28,24,2,1,55
CAPINOTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,9,10,1,1,21
CAQUIAVIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,5,5,0,1,11
CARACOLLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,11,8,4,6,29
CARANAVI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,25,46,4,2,77
CARAPARI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,11,14,2,0,27
CARIPUYO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,6,1,1,0,8
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,5,3,2,4,14
CATACORA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,1,0,1,1,3
CHACARILLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,1,0,0,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,18,17,6,5,46
CHAQUI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,6,3,2,1,12
CHARAGUA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,8,12,4,4,28
CHARAÑA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,1,0,0,0,1
CHAYANTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,5,7,1,1,14
CHIMORE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,24,12,4,1,41
CHIPAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-04-01,0,1,0,0,1
