,group,variable,month,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
AZURDUY,vih,n de personas con prueba rapida,2011-05-01,0,11,11
BERMEJO,vih,n de personas con prueba rapida,2011-05-01,4,2,6
BOYUIBE,vih,n de personas con prueba rapida,2011-05-01,1,0,1
BUENA VISTA,vih,n de personas con prueba rapida,2011-05-01,0,19,19
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2011-05-01,0,3,3
CAMIRI,vih,n de personas con prueba rapida,2011-05-01,1,37,38
CAPINOTA,vih,n de personas con prueba rapida,2011-05-01,1,5,6
CARACOLLO,vih,n de personas con prueba rapida,2011-05-01,3,3,6
CARANAVI,vih,n de personas con prueba rapida,2011-05-01,16,10,26
CHALLAPATA,vih,n de personas con prueba rapida,2011-05-01,2,42,44
CHIMORE,vih,n de personas con prueba rapida,2011-05-01,1,34,35
CLIZA,vih,n de personas con prueba rapida,2011-05-01,1,0,1
COBIJA,vih,n de personas con prueba rapida,2011-05-01,4,23,27
COCHABAMBA,vih,n de personas con prueba rapida,2011-05-01,15,241,256
COLCAPIRHUA,vih,n de personas con prueba rapida,2011-05-01,2,1,3
COLPA BELGICA,vih,n de personas con prueba rapida,2011-05-01,0,2,2
COMARAPA,vih,n de personas con prueba rapida,2011-05-01,0,6,6
CORQUE,vih,n de personas con prueba rapida,2011-05-01,4,5,9
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2011-05-01,0,3,3
CULPINA,vih,n de personas con prueba rapida,2011-05-01,1,2,3
EL ALTO,vih,n de personas con prueba rapida,2011-05-01,313,957,1270
EL TORNO,vih,n de personas con prueba rapida,2011-05-01,4,3,7
EL VILLAR,vih,n de personas con prueba rapida,2011-05-01,4,4,8
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2011-05-01,4,45,49
FERNANDEZ ALONSO,vih,n de personas con prueba rapida,2011-05-01,0,5,5
FILADELFIA,vih,n de personas con prueba rapida,2011-05-01,0,14,14
GRAL. J.J. PEREZ (CHARAZANI),vih,n de personas con prueba rapida,2011-05-01,0,11,11
GUAYARAMERIN,vih,n de personas con prueba rapida,2011-05-01,160,307,467
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2011-05-01,0,7,7
IRUPANA (VILLA DE LANZA),vih,n de personas con prueba rapida,2011-05-01,0,9,9
LA ASUNTA,vih,n de personas con prueba rapida,2011-05-01,10,4,14
LA GUARDIA,vih,n de personas con prueba rapida,2011-05-01,6,107,113
LA PAZ,vih,n de personas con prueba rapida,2011-05-01,169,359,528
LICOMA PAMPA,vih,n de personas con prueba rapida,2011-05-01,0,1,1
LLALLAGUA,vih,n de personas con prueba rapida,2011-05-01,2,5,7
MACHARETI,vih,n de personas con prueba rapida,2011-05-01,0,12,12
MONTEAGUDO,vih,n de personas con prueba rapida,2011-05-01,2,9,11
MONTERO,vih,n de personas con prueba rapida,2011-05-01,22,41,63
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2011-05-01,0,3,3
OMEREQUE,vih,n de personas con prueba rapida,2011-05-01,0,1,1
ORURO,vih,n de personas con prueba rapida,2011-05-01,25,96,121
PADCAYA,vih,n de personas con prueba rapida,2011-05-01,0,37,37
PADILLA,vih,n de personas con prueba rapida,2011-05-01,0,19,19
PAILON,vih,n de personas con prueba rapida,2011-05-01,5,93,98
PATACAMAYA,vih,n de personas con prueba rapida,2011-05-01,6,44,50
PORONGO,vih,n de personas con prueba rapida,2011-05-01,8,8,16
PORVENIR,vih,n de personas con prueba rapida,2011-05-01,0,21,21
POTOSI,vih,n de personas con prueba rapida,2011-05-01,1,2,3
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2011-05-01,5,7,12
PUERTO SUAREZ,vih,n de personas con prueba rapida,2011-05-01,0,2,2
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2011-05-01,2,13,15
PUNATA,vih,n de personas con prueba rapida,2011-05-01,3,139,142
QUIME,vih,n de personas con prueba rapida,2011-05-01,4,3,7
RIBERALTA,vih,n de personas con prueba rapida,2011-05-01,1,24,25
ROBORE,vih,n de personas con prueba rapida,2011-05-01,2,0,2
RURRENABAQUE,vih,n de personas con prueba rapida,2011-05-01,3,57,60
SACABA,vih,n de personas con prueba rapida,2011-05-01,8,3,11
SAN BORJA,vih,n de personas con prueba rapida,2011-05-01,0,3,3
SAN BUENA VENTURA,vih,n de personas con prueba rapida,2011-05-01,3,5,8
SAN CARLOS,vih,n de personas con prueba rapida,2011-05-01,3,16,19
SAN IGNACIO,vih,n de personas con prueba rapida,2011-05-01,1,18,19
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2011-05-01,15,31,46
SAN JAVIER(STC),vih,n de personas con prueba rapida,2011-05-01,1,29,30
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2011-05-01,9,10,19
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2011-05-01,1,1,2
SAN JULIAN,vih,n de personas con prueba rapida,2011-05-01,4,86,90
SAN LORENZO(PND),vih,n de personas con prueba rapida,2011-05-01,0,3,3
SAN LORENZO(TJA),vih,n de personas con prueba rapida,2011-05-01,0,1,1
SAN LUCAS,vih,n de personas con prueba rapida,2011-05-01,0,2,2
SAN MATIAS,vih,n de personas con prueba rapida,2011-05-01,2,11,13
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2011-05-01,0,1,1
SAN PEDRO,vih,n de personas con prueba rapida,2011-05-01,1,5,6
SANTA ANA,vih,n de personas con prueba rapida,2011-05-01,1,1,2
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2011-05-01,62,265,327
SANTIVAÑES,vih,n de personas con prueba rapida,2011-05-01,0,6,6
SHINAOTA,vih,n de personas con prueba rapida,2011-05-01,0,3,3
SIPE SIPE,vih,n de personas con prueba rapida,2011-05-01,0,15,15
SOPACHUY,vih,n de personas con prueba rapida,2011-05-01,0,8,8
SUCRE,vih,n de personas con prueba rapida,2011-05-01,46,118,164
TARABUCO,vih,n de personas con prueba rapida,2011-05-01,2,0,2
TARIJA,vih,n de personas con prueba rapida,2011-05-01,46,47,93
TARVITA,vih,n de personas con prueba rapida,2011-05-01,2,1,3
TOLATA,vih,n de personas con prueba rapida,2011-05-01,1,10,11
TOMINA,vih,n de personas con prueba rapida,2011-05-01,3,1,4
TRINIDAD,vih,n de personas con prueba rapida,2011-05-01,13,34,47
TURCO,vih,n de personas con prueba rapida,2011-05-01,4,6,10
UNCIA,vih,n de personas con prueba rapida,2011-05-01,0,3,3
UYUNI,vih,n de personas con prueba rapida,2011-05-01,10,18,28
VALLEGRANDE,vih,n de personas con prueba rapida,2011-05-01,0,66,66
VILLA CHARCAS,vih,n de personas con prueba rapida,2011-05-01,1,9,10
VILLA MONTES,vih,n de personas con prueba rapida,2011-05-01,9,5,14
VILLA SERRANO,vih,n de personas con prueba rapida,2011-05-01,2,18,20
VILLA TUNARI,vih,n de personas con prueba rapida,2011-05-01,4,12,16
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2011-05-01,5,15,20
VILLAZON,vih,n de personas con prueba rapida,2011-05-01,5,10,15
WARNES,vih,n de personas con prueba rapida,2011-05-01,4,5,9
YACUIBA,vih,n de personas con prueba rapida,2011-05-01,4,19,23
YAPACANI,vih,n de personas con prueba rapida,2011-05-01,5,47,52
YUNCHARA,vih,n de personas con prueba rapida,2011-05-01,1,1,2
ZUDAÑEZ,vih,n de personas con prueba rapida,2011-05-01,1,5,6
ACHACACHI,vih,n de personas con prueba rapida,2011-06-01,1,2,3
AIQUILE,vih,n de personas con prueba rapida,2011-06-01,2,30,32
APOLO,vih,n de personas con prueba rapida,2011-06-01,4,5,9
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2011-06-01,16,43,59
AYOPAYA (V. DE INDEPENDENCIA),vih,n de personas con prueba rapida,2011-06-01,0,1,1
BATALLAS,vih,n de personas con prueba rapida,2011-06-01,2,1,3
BERMEJO,vih,n de personas con prueba rapida,2011-06-01,5,17,22
BOYUIBE,vih,n de personas con prueba rapida,2011-06-01,1,0,1
BUENA VISTA,vih,n de personas con prueba rapida,2011-06-01,0,10,10
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2011-06-01,1,1,2
CAMIRI,vih,n de personas con prueba rapida,2011-06-01,23,10,33
CAPINOTA,vih,n de personas con prueba rapida,2011-06-01,1,2,3
CARACOLLO,vih,n de personas con prueba rapida,2011-06-01,1,4,5
CARANAVI,vih,n de personas con prueba rapida,2011-06-01,22,9,31
CARAPARI,vih,n de personas con prueba rapida,2011-06-01,0,1,1
CHALLAPATA,vih,n de personas con prueba rapida,2011-06-01,0,2,2
CHARAGUA,vih,n de personas con prueba rapida,2011-06-01,0,3,3
CHIMORE,vih,n de personas con prueba rapida,2011-06-01,3,26,29
COBIJA,vih,n de personas con prueba rapida,2011-06-01,3,6,9
COCAPATA,vih,n de personas con prueba rapida,2011-06-01,0,1,1
COCHABAMBA,vih,n de personas con prueba rapida,2011-06-01,24,300,324
COLCAPIRHUA,vih,n de personas con prueba rapida,2011-06-01,0,6,6
COLPA BELGICA,vih,n de personas con prueba rapida,2011-06-01,3,0,3
COLQUIRI,vih,n de personas con prueba rapida,2011-06-01,1,15,16
COMARAPA,vih,n de personas con prueba rapida,2011-06-01,0,40,40
COROICO,vih,n de personas con prueba rapida,2011-06-01,3,59,62
CORQUE,vih,n de personas con prueba rapida,2011-06-01,1,4,5
CULPINA,vih,n de personas con prueba rapida,2011-06-01,11,23,34
EL ALTO,vih,n de personas con prueba rapida,2011-06-01,200,821,1021
EL TORNO,vih,n de personas con prueba rapida,2011-06-01,29,0,29
EL VILLAR,vih,n de personas con prueba rapida,2011-06-01,0,1,1
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2011-06-01,18,25,43
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2011-06-01,0,3,3
FERNANDEZ ALONSO,vih,n de personas con prueba rapida,2011-06-01,0,4,4
FILADELFIA,vih,n de personas con prueba rapida,2011-06-01,0,6,6
GRAL. J.J. PEREZ (CHARAZANI),vih,n de personas con prueba rapida,2011-06-01,0,2,2
GUAYARAMERIN,vih,n de personas con prueba rapida,2011-06-01,91,141,232
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2011-06-01,0,2,2
IRUPANA (VILLA DE LANZA),vih,n de personas con prueba rapida,2011-06-01,0,2,2
LA ASUNTA,vih,n de personas con prueba rapida,2011-06-01,8,5,13
LA GUARDIA,vih,n de personas con prueba rapida,2011-06-01,18,76,94
LA PAZ,vih,n de personas con prueba rapida,2011-06-01,163,428,591
LICOMA PAMPA,vih,n de personas con prueba rapida,2011-06-01,1,3,4
MACHARETI,vih,n de personas con prueba rapida,2011-06-01,0,14,14
MINEROS,vih,n de personas con prueba rapida,2011-06-01,0,22,22
MIZQUE,vih,n de personas con prueba rapida,2011-06-01,1,58,59
MONTEAGUDO,vih,n de personas con prueba rapida,2011-06-01,11,10,21
MONTERO,vih,n de personas con prueba rapida,2011-06-01,171,17,188
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2011-06-01,0,3,3
ORURO,vih,n de personas con prueba rapida,2011-06-01,37,142,179
PADCAYA,vih,n de personas con prueba rapida,2011-06-01,0,14,14
PADILLA,vih,n de personas con prueba rapida,2011-06-01,1,21,22
PAILON,vih,n de personas con prueba rapida,2011-06-01,25,82,107
PORONGO,vih,n de personas con prueba rapida,2011-06-01,1,1,2
PORVENIR,vih,n de personas con prueba rapida,2011-06-01,10,2,12
POTOSI,vih,n de personas con prueba rapida,2011-06-01,0,5,5
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2011-06-01,2,2,4
PUERTO RICO,vih,n de personas con prueba rapida,2011-06-01,0,4,4
PUERTO SUAREZ,vih,n de personas con prueba rapida,2011-06-01,0,26,26
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2011-06-01,31,66,97
PUNATA,vih,n de personas con prueba rapida,2011-06-01,5,136,141
QUIME,vih,n de personas con prueba rapida,2011-06-01,3,1,4
REYES,vih,n de personas con prueba rapida,2011-06-01,1,3,4
RIBERALTA,vih,n de personas con prueba rapida,2011-06-01,3,14,17
ROBORE,vih,n de personas con prueba rapida,2011-06-01,23,34,57
RURRENABAQUE,vih,n de personas con prueba rapida,2011-06-01,1,36,37
SACABA,vih,n de personas con prueba rapida,2011-06-01,4,10,14
SAN BORJA,vih,n de personas con prueba rapida,2011-06-01,1,2,3
SAN BUENA VENTURA,vih,n de personas con prueba rapida,2011-06-01,0,2,2
SAN CARLOS,vih,n de personas con prueba rapida,2011-06-01,1,0,1
SAN IGNACIO,vih,n de personas con prueba rapida,2011-06-01,2,30,32
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2011-06-01,15,17,32
SAN JAVIER(STC),vih,n de personas con prueba rapida,2011-06-01,1,33,34
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2011-06-01,3,53,56
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2011-06-01,3,7,10
SAN JULIAN,vih,n de personas con prueba rapida,2011-06-01,2,1,3
SAN LORENZO(PND),vih,n de personas con prueba rapida,2011-06-01,0,2,2
SAN PEDRO,vih,n de personas con prueba rapida,2011-06-01,2,21,23
SANTA ANA,vih,n de personas con prueba rapida,2011-06-01,4,3,7
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2011-06-01,188,457,645
SENA,vih,n de personas con prueba rapida,2011-06-01,1,6,7
SHINAOTA,vih,n de personas con prueba rapida,2011-06-01,30,22,52
SIPE SIPE,vih,n de personas con prueba rapida,2011-06-01,2,1,3
SOPACHUY,vih,n de personas con prueba rapida,2011-06-01,0,18,18
SUCRE,vih,n de personas con prueba rapida,2011-06-01,56,167,223
TARABUCO,vih,n de personas con prueba rapida,2011-06-01,2,0,2
TARIJA,vih,n de personas con prueba rapida,2011-06-01,60,61,121
TARVITA,vih,n de personas con prueba rapida,2011-06-01,4,3,7
TOLEDO,vih,n de personas con prueba rapida,2011-06-01,2,10,12
TOMINA,vih,n de personas con prueba rapida,2011-06-01,1,4,5
TRINIDAD,vih,n de personas con prueba rapida,2011-06-01,9,44,53
TURCO,vih,n de personas con prueba rapida,2011-06-01,8,5,13
URUBICHA,vih,n de personas con prueba rapida,2011-06-01,8,24,32
UYUNI,vih,n de personas con prueba rapida,2011-06-01,2,61,63
VALLEGRANDE,vih,n de personas con prueba rapida,2011-06-01,0,52,52
VILLA MONTES,vih,n de personas con prueba rapida,2011-06-01,36,26,62
VILLA SERRANO,vih,n de personas con prueba rapida,2011-06-01,0,13,13
VILLA TUNARI,vih,n de personas con prueba rapida,2011-06-01,2,24,26
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2011-06-01,2,43,45
VILLAZON,vih,n de personas con prueba rapida,2011-06-01,3,10,13
WARNES,vih,n de personas con prueba rapida,2011-06-01,5,12,17
YACUIBA,vih,n de personas con prueba rapida,2011-06-01,6,74,80
YAPACANI,vih,n de personas con prueba rapida,2011-06-01,11,46,57
YUNCHARA,vih,n de personas con prueba rapida,2011-06-01,1,4,5
ACHACACHI,vih,n de personas con prueba rapida,2011-07-01,1,3,4
ALALAY,vih,n de personas con prueba rapida,2011-07-01,0,2,2
APOLO,vih,n de personas con prueba rapida,2011-07-01,8,21,29
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2011-07-01,12,19,31
AYOPAYA (V. DE INDEPENDENCIA),vih,n de personas con prueba rapida,2011-07-01,4,6,10
AZURDUY,vih,n de personas con prueba rapida,2011-07-01,0,2,2
BATALLAS,vih,n de personas con prueba rapida,2011-07-01,1,28,29
BERMEJO,vih,n de personas con prueba rapida,2011-07-01,2,88,90
BUENA VISTA,vih,n de personas con prueba rapida,2011-07-01,0,1,1
CAMARGO,vih,n de personas con prueba rapida,2011-07-01,3,1,4
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2011-07-01,0,5,5
CAMIRI,vih,n de personas con prueba rapida,2011-07-01,11,6,17
CAPINOTA,vih,n de personas con prueba rapida,2011-07-01,1,2,3
CARACOLLO,vih,n de personas con prueba rapida,2011-07-01,6,12,18
CARANAVI,vih,n de personas con prueba rapida,2011-07-01,18,80,98
CHALLAPATA,vih,n de personas con prueba rapida,2011-07-01,2,3,5
CHIMORE,vih,n de personas con prueba rapida,2011-07-01,6,7,13
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2011-07-01,4,3,7
CLIZA,vih,n de personas con prueba rapida,2011-07-01,3,0,3
COBIJA,vih,n de personas con prueba rapida,2011-07-01,6,43,49
COCHABAMBA,vih,n de personas con prueba rapida,2011-07-01,29,469,498
COLPA BELGICA,vih,n de personas con prueba rapida,2011-07-01,1,4,5
COLQUIRI,vih,n de personas con prueba rapida,2011-07-01,7,50,57
CORQUE,vih,n de personas con prueba rapida,2011-07-01,6,4,10
COTAGAITA,vih,n de personas con prueba rapida,2011-07-01,1,0,1
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2011-07-01,0,7,7
CULPINA,vih,n de personas con prueba rapida,2011-07-01,1,2,3
EL ALTO,vih,n de personas con prueba rapida,2011-07-01,202,785,987
EL PUENTE(STC),vih,n de personas con prueba rapida,2011-07-01,13,25,38
EL PUENTE(TJA),vih,n de personas con prueba rapida,2011-07-01,0,4,4
EL TORNO,vih,n de personas con prueba rapida,2011-07-01,10,30,40
EL VILLAR,vih,n de personas con prueba rapida,2011-07-01,0,1,1
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2011-07-01,15,33,48
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2011-07-01,2,4,6
FERNANDEZ ALONSO,vih,n de personas con prueba rapida,2011-07-01,0,2,2
FILADELFIA,vih,n de personas con prueba rapida,2011-07-01,1,13,14
GRAL. J.J. PEREZ (CHARAZANI),vih,n de personas con prueba rapida,2011-07-01,3,3,6
GUAYARAMERIN,vih,n de personas con prueba rapida,2011-07-01,180,175,355
GUTIERREZ,vih,n de personas con prueba rapida,2011-07-01,0,139,139
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2011-07-01,0,3,3
ICLA,vih,n de personas con prueba rapida,2011-07-01,1,5,6
INCAHUASI,vih,n de personas con prueba rapida,2011-07-01,10,5,15
LA GUARDIA,vih,n de personas con prueba rapida,2011-07-01,7,85,92
LA PAZ,vih,n de personas con prueba rapida,2011-07-01,264,666,930
LICOMA PAMPA,vih,n de personas con prueba rapida,2011-07-01,1,5,6
LLALLAGUA,vih,n de personas con prueba rapida,2011-07-01,18,0,18
MACHARETI,vih,n de personas con prueba rapida,2011-07-01,1,1,2
MAPIRI,vih,n de personas con prueba rapida,2011-07-01,11,8,19
MIZQUE,vih,n de personas con prueba rapida,2011-07-01,2,81,83
MONTEAGUDO,vih,n de personas con prueba rapida,2011-07-01,3,18,21
MONTERO,vih,n de personas con prueba rapida,2011-07-01,45,20,65
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2011-07-01,0,2,2
OMEREQUE,vih,n de personas con prueba rapida,2011-07-01,1,0,1
ORURO,vih,n de personas con prueba rapida,2011-07-01,25,70,95
PADCAYA,vih,n de personas con prueba rapida,2011-07-01,0,19,19
PADILLA,vih,n de personas con prueba rapida,2011-07-01,1,31,32
PAILON,vih,n de personas con prueba rapida,2011-07-01,5,74,79
PATACAMAYA,vih,n de personas con prueba rapida,2011-07-01,39,10,49
PORONGO,vih,n de personas con prueba rapida,2011-07-01,3,2,5
PORTACHUELO,vih,n de personas con prueba rapida,2011-07-01,10,14,24
POTOSI,vih,n de personas con prueba rapida,2011-07-01,2,1,3
PRESTO,vih,n de personas con prueba rapida,2011-07-01,0,8,8
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2011-07-01,4,4,8
PUERTO RICO,vih,n de personas con prueba rapida,2011-07-01,0,20,20
PUERTO SUAREZ,vih,n de personas con prueba rapida,2011-07-01,1,56,57
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2011-07-01,10,205,215
PUNATA,vih,n de personas con prueba rapida,2011-07-01,8,123,131
QUIME,vih,n de personas con prueba rapida,2011-07-01,5,4,9
RIBERALTA,vih,n de personas con prueba rapida,2011-07-01,0,8,8
ROBORE,vih,n de personas con prueba rapida,2011-07-01,3,2,5
RURRENABAQUE,vih,n de personas con prueba rapida,2011-07-01,1,24,25
SACABA,vih,n de personas con prueba rapida,2011-07-01,7,24,31
SAN BENITO,vih,n de personas con prueba rapida,2011-07-01,5,4,9
SAN BUENA VENTURA,vih,n de personas con prueba rapida,2011-07-01,1,1,2
SAN CARLOS,vih,n de personas con prueba rapida,2011-07-01,6,0,6
SAN IGNACIO,vih,n de personas con prueba rapida,2011-07-01,21,19,40
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2011-07-01,34,38,72
SAN JAVIER(STC),vih,n de personas con prueba rapida,2011-07-01,3,0,3
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2011-07-01,11,6,17
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2011-07-01,2,6,8
SAN JULIAN,vih,n de personas con prueba rapida,2011-07-01,0,2,2
SAN LORENZO(PND),vih,n de personas con prueba rapida,2011-07-01,0,5,5
SAN LORENZO(TJA),vih,n de personas con prueba rapida,2011-07-01,1,0,1
SAN MATIAS,vih,n de personas con prueba rapida,2011-07-01,1,11,12
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2011-07-01,1,1,2
SAN PEDRO,vih,n de personas con prueba rapida,2011-07-01,2,24,26
SANTA ANA,vih,n de personas con prueba rapida,2011-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2011-07-01,100,510,610
SENA,vih,n de personas con prueba rapida,2011-07-01,0,9,9
SHINAOTA,vih,n de personas con prueba rapida,2011-07-01,58,56,114
SIPE SIPE,vih,n de personas con prueba rapida,2011-07-01,2,1,3
SOPACHUY,vih,n de personas con prueba rapida,2011-07-01,0,20,20
SUCRE,vih,n de personas con prueba rapida,2011-07-01,42,101,143
TARABUCO,vih,n de personas con prueba rapida,2011-07-01,2,4,6
TARIJA,vih,n de personas con prueba rapida,2011-07-01,67,82,149
TARVITA,vih,n de personas con prueba rapida,2011-07-01,1,5,6
TIPUANI,vih,n de personas con prueba rapida,2011-07-01,3,8,11
TOLATA,vih,n de personas con prueba rapida,2011-07-01,1,5,6
TOLEDO,vih,n de personas con prueba rapida,2011-07-01,5,0,5
TOMINA,vih,n de personas con prueba rapida,2011-07-01,3,0,3
TRINIDAD,vih,n de personas con prueba rapida,2011-07-01,51,148,199
TURCO,vih,n de personas con prueba rapida,2011-07-01,9,9,18
URUBICHA,vih,n de personas con prueba rapida,2011-07-01,41,67,108
UYUNI,vih,n de personas con prueba rapida,2011-07-01,0,33,33
VALLEGRANDE,vih,n de personas con prueba rapida,2011-07-01,0,53,53
VIACHA,vih,n de personas con prueba rapida,2011-07-01,6,15,21
VILLA CHARCAS,vih,n de personas con prueba rapida,2011-07-01,0,2,2
VILLA MONTES,vih,n de personas con prueba rapida,2011-07-01,77,50,127
VILLA SERRANO,vih,n de personas con prueba rapida,2011-07-01,2,29,31
VILLA TUNARI,vih,n de personas con prueba rapida,2011-07-01,4,35,39
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2011-07-01,2,17,19
VILLAZON,vih,n de personas con prueba rapida,2011-07-01,7,16,23
WARNES,vih,n de personas con prueba rapida,2011-07-01,8,8,16
YACUIBA,vih,n de personas con prueba rapida,2011-07-01,8,65,73
YAPACANI,vih,n de personas con prueba rapida,2011-07-01,3,50,53
YUNCHARA,vih,n de personas con prueba rapida,2011-07-01,2,1,3
ZUDAÑEZ,vih,n de personas con prueba rapida,2011-07-01,0,3,3
AIQUILE,vih,n de personas con prueba rapida,2011-08-01,0,64,64
ALCALA,vih,n de personas con prueba rapida,2011-08-01,0,1,1
ALTO BENI,vih,n de personas con prueba rapida,2011-08-01,1,0,1
ANDAMARCA,vih,n de personas con prueba rapida,2011-08-01,0,1,1
APOLO,vih,n de personas con prueba rapida,2011-08-01,1,18,19
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2011-08-01,22,109,131
AZURDUY,vih,n de personas con prueba rapida,2011-08-01,0,21,21
BATALLAS,vih,n de personas con prueba rapida,2011-08-01,0,2,2
BERMEJO,vih,n de personas con prueba rapida,2011-08-01,4,3,7
BOLIVAR,vih,n de personas con prueba rapida,2011-08-01,1,5,6
BOLPEBRA,vih,n de personas con prueba rapida,2011-08-01,0,1,1
CAJUATA,vih,n de personas con prueba rapida,2011-08-01,0,43,43
CAMARGO,vih,n de personas con prueba rapida,2011-08-01,4,0,4
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2011-08-01,1,0,1
CAMIRI,vih,n de personas con prueba rapida,2011-08-01,14,89,103
CAPINOTA,vih,n de personas con prueba rapida,2011-08-01,6,1,7
CARACOLLO,vih,n de personas con prueba rapida,2011-08-01,5,40,45
CHALLAPATA,vih,n de personas con prueba rapida,2011-08-01,6,81,87
CHIMORE,vih,n de personas con prueba rapida,2011-08-01,3,4,7
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2011-08-01,10,8,18
CLIZA,vih,n de personas con prueba rapida,2011-08-01,2,56,58
COBIJA,vih,n de personas con prueba rapida,2011-08-01,17,30,47
COCHABAMBA,vih,n de personas con prueba rapida,2011-08-01,75,298,373
COLCAPIRHUA,vih,n de personas con prueba rapida,2011-08-01,1,0,1
COLPA BELGICA,vih,n de personas con prueba rapida,2011-08-01,5,6,11
COLQUIRI,vih,n de personas con prueba rapida,2011-08-01,3,12,15
CORIPATA,vih,n de personas con prueba rapida,2011-08-01,2,4,6
COROICO,vih,n de personas con prueba rapida,2011-08-01,65,2,67
CORQUE,vih,n de personas con prueba rapida,2011-08-01,6,6,12
COTAGAITA,vih,n de personas con prueba rapida,2011-08-01,2,0,2
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2011-08-01,0,5,5
EL ALTO,vih,n de personas con prueba rapida,2011-08-01,176,951,1127
EL CHORO,vih,n de personas con prueba rapida,2011-08-01,0,3,3
EL PUENTE(STC),vih,n de personas con prueba rapida,2011-08-01,75,100,175
EL PUENTE(TJA),vih,n de personas con prueba rapida,2011-08-01,0,4,4
EL TORNO,vih,n de personas con prueba rapida,2011-08-01,15,5,20
EL VILLAR,vih,n de personas con prueba rapida,2011-08-01,1,4,5
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2011-08-01,9,41,50
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2011-08-01,0,1,1
FERNANDEZ ALONSO,vih,n de personas con prueba rapida,2011-08-01,2,3,5
FILADELFIA,vih,n de personas con prueba rapida,2011-08-01,0,11,11
GENERAL SAAVEDRA,vih,n de personas con prueba rapida,2011-08-01,0,28,28
GRAL. J.J. PEREZ (CHARAZANI),vih,n de personas con prueba rapida,2011-08-01,1,15,16
GUAYARAMERIN,vih,n de personas con prueba rapida,2011-08-01,61,56,117
HUACARETA,vih,n de personas con prueba rapida,2011-08-01,0,1,1
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2011-08-01,0,1,1
HUANUNI,vih,n de personas con prueba rapida,2011-08-01,0,3,3
ICLA,vih,n de personas con prueba rapida,2011-08-01,1,1,2
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2011-08-01,0,3,3
