,group,variable,month,15.2 ANESTESIAS GENERALES Y REGIONALES CANTIDAD,15.2 ANESTESIAS GENERALES Y REGIONALES CANTIDAD,TOTALES
ATOCHA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,7,4,11
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,3,3
BAURES,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,8,8
BERMEJO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,12,13,25
BETANZOS,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,1,1
CAMARGO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,12,26,38
CAMIRI,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,19,80,99
CARACOLLO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,2,2
CARANAVI,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,1,7,8
CHALLAPATA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,9,24,33
CHARAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,2,22,24
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,      anestesias generales y regionales,2014-05-01,14,17,31
CLIZA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,11,11
COBIJA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,42,104,146
COCHABAMBA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,948,1885,2833
COLCAPIRHUA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,19,27,46
COMARAPA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,19,19
COROICO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,8,14,22
COTOCA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,2,35,37
CULPINA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,8,1,9
EL ALTO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,576,822,1398
EL TORNO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,18,80,98
ENTRE RIOS TRJ,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,3,17,20
ESCOMA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,1,5,6
GUAYARAMERIN,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,35,74,109
HUANUNI,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,13,28,41
LA PAZ,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,1482,2071,3553
LLALLAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,9,38,47
MAGDALENA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,1,5,6
MONTEAGUDO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,26,57,83
MONTERO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,48,194,242
ORURO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,335,643,978
PAILON,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,1,0,1
PATACAMAYA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,5,9,14
PORTACHUELO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,12,52,64
POSTRER VALLE,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,3,3
POTOSI,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,203,303,506
PUERTO SUAREZ,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,5,32,37
PUERTO VILLARROEL,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,25,63,88
PUNATA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,13,47,60
QUILLACOLLO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,20,76,96
QUIME,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,1,1
REYES,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,1,3,4
RIBERALTA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,40,197,237
ROBORE,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,1,11,12
RURRENABAQUE,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,30,30
SACABA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,22,100,122
SAN BORJA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,5,47,52
SAN CARLOS,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,4,9,13
SAN IGNACIO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,1,12,13
SAN IGNACIO DE VELASCO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,17,75,92
SAN JAVIER(STC),cirugias y anestesias,      anestesias generales y regionales,2014-05-01,5,2,7
SAN JOAQUIN,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,2,6,8
SAN JOSE DE CHIQUITOS,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,2,17,19
SAN JULIAN,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,18,18
SAN LUCAS,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,1,1,2
SAN MATIAS,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,4,12,16
SAN PEDRO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,1,1
SAN RAMON BENI,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,2,2
SAN RAMON SCZ,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,1,0,1
SANTA ANA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,8,22,30
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,1801,3487,5288
SANTA ROSA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,1,2,3
SHINAOTA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,1,1
SUCRE,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,524,792,1316
TARIJA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,273,488,761
TARVITA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,1,1
TIQUIPAYA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,3,8,11
TOTORA(CBBA),cirugias y anestesias,      anestesias generales y regionales,2014-05-01,1,5,6
TRINIDAD,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,108,275,383
TUPIZA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,8,26,34
UYUNI,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,6,15,21
VALLEGRANDE,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,13,24,37
VIACHA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,31,34,65
VILLA MONTES,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,16,57,73
VILLA TUNARI,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,8,15,23
VINTO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,18,15,33
WARNES,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,4,35,39
YACUIBA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,54,142,196
YAPACANI,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,13,49,62
YOTALA,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,1,1
ACHACACHI,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,1,15,16
AIQUILE,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,2,6,8
ANZALDO,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,6,9,15
ASCENCION DE GUARAYOS,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,9,43,52
ATOCHA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,2,6,8
BAURES,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,1,1,2
BERMEJO,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,33,76,109
BETANZOS,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,0,2,2
CAMARGO,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,7,25,32
CAMIRI,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,16,75,91
CARANAVI,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,0,1,1
CHALLAPATA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,10,35,45
CHARAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,1,19,20
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,      anestesias generales y regionales,2014-06-01,5,8,13
CLIZA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,1,26,27
COBIJA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,37,113,150
COCHABAMBA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,964,1807,2771
COLCAPIRHUA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,31,32,63
COMARAPA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,0,20,20
COROICO,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,4,10,14
COTOCA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,2,26,28
CULPINA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,0,8,8
EL ALTO,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,554,829,1383
EL TORNO,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,23,61,84
ENTRE RIOS TRJ,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,2,18,20
ESCOMA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,8,7,15
GUAYARAMERIN,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,29,48,77
HUANUNI,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,16,26,42
HUARACAJE,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,0,3,3
LA PAZ,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,1402,1951,3353
LLALLAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,4,50,54
MAGDALENA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,2,2,4
MIZQUE,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,3,0,3
MONTEAGUDO,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,17,51,68
MONTERO,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,52,269,321
ORURO,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,353,593,946
PAILON,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,0,2,2
PATACAMAYA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,4,9,13
PORTACHUELO,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,14,39,53
POTOSI,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,161,267,428
PUERTO SUAREZ,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,5,28,33
PUERTO VILLARROEL,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,22,53,75
QUILLACOLLO,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,7,69,76
REYES,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,2,6,8
RIBERALTA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,23,143,166
ROBORE,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,2,6,8
RURRENABAQUE,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,10,21,31
SACABA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,28,105,133
SAN BORJA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,3,32,35
SAN CARLOS,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,4,26,30
SAN IGNACIO,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,1,13,14
SAN IGNACIO DE VELASCO,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,11,69,80
SAN JAVIER(STC),cirugias y anestesias,      anestesias generales y regionales,2014-06-01,1,4,5
SAN JOAQUIN,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,8,8,16
SAN JOSE DE CHIQUITOS,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,1,18,19
SAN JUAN DE YAPACANI,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,4,4,8
SAN JULIAN,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,2,29,31
SAN RAMON BENI,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,0,5,5
SAN RAMON SCZ,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,4,5,9
SANTA ANA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,2,24,26
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,1362,2941,4303
SANTA ROSA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,0,2,2
SUCRE,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,487,725,1212
TARABUCO,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,0,2,2
TARIJA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,318,508,826
TARVITA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,0,1,1
TIQUIPAYA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,2,35,37
TOTORA(CBBA),cirugias y anestesias,      anestesias generales y regionales,2014-06-01,0,6,6
TRINIDAD,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,82,238,320
TUPIZA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,18,22,40
UYUNI,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,5,16,21
VALLEGRANDE,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,3,24,27
VIACHA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,6,22,28
VILLA MONTES,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,16,50,66
VILLA TUNARI,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,7,75,82
VINTO,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,17,25,42
WARNES,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,4,42,46
YACUIBA,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,67,69,136
YAPACANI,cirugias y anestesias,      anestesias generales y regionales,2014-06-01,3,27,30
ACHACACHI,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,2,12,14
AIQUILE,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,2,7,9
ANZALDO,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,4,9,13
ASCENCION DE GUARAYOS,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,12,41,53
ATOCHA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,10,4,14
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,      anestesias generales y regionales,2014-07-01,0,6,6
AZURDUY,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,0,10,10
BAURES,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,2,3,5
BERMEJO,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,18,47,65
CAMARGO,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,13,19,32
CAMIRI,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,10,84,94
CARANAVI,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,4,12,16
CHALLAPATA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,9,33,42
CHARAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,1,26,27
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,      anestesias generales y regionales,2014-07-01,3,13,16
CLIZA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,0,26,26
COBIJA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,71,156,227
COCHABAMBA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,1126,2048,3174
COLCAPIRHUA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,22,18,40
COMARAPA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,1,13,14
COROICO,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,15,21,36
COTOCA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,1,27,28
EL ALTO,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,587,846,1433
EL TORNO,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,30,62,92
ESCOMA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,8,1,9
GUAYARAMERIN,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,33,71,104
HUACARETA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,0,1,1
HUANUNI,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,13,31,44
HUARACAJE,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,0,2,2
LA PAZ,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,1613,2178,3791
LLALLAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,11,66,77
MAGDALENA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,1,6,7
MONTEAGUDO,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,18,46,64
ORURO,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,367,658,1025
PAILON,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,0,5,5
PATACAMAYA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,0,15,15
PORTACHUELO,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,18,50,68
POTOSI,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,310,265,575
PUERTO SUAREZ,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,6,30,36
PUERTO VILLARROEL,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,14,53,67
PUNATA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,27,40,67
QUILLACOLLO,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,14,69,83
REYES,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,0,8,8
RIBERALTA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,7,155,162
ROBORE,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,0,7,7
RURRENABAQUE,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,2,17,19
SACABA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,41,124,165
SAN BORJA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,3,36,39
SAN CARLOS,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,6,21,27
SAN IGNACIO DE VELASCO,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,17,61,78
SAN JAVIER(STC),cirugias y anestesias,      anestesias generales y regionales,2014-07-01,6,7,13
SAN JOAQUIN,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,1,9,10
SAN JOSE DE CHIQUITOS,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,1,19,20
SAN JUAN DE YAPACANI,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,3,6,9
SAN JULIAN,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,6,26,32
SAN LUCAS,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,0,2,2
SAN MATIAS,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,3,17,20
SAN RAMON BENI,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,0,2,2
SAN RAMON SCZ,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,2,4,6
SANTA ANA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,1,26,27
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,1622,3868,5490
SANTA ROSA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,0,3,3
SHINAOTA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,0,10,10
SUCRE,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,719,936,1655
TARABUCO,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,0,5,5
TARIJA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,191,319,510
TARVITA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,0,4,4
TIQUIPAYA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,6,9,15
TOTORA(CBBA),cirugias y anestesias,      anestesias generales y regionales,2014-07-01,1,7,8
TRINIDAD,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,250,670,920
UYUNI,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,4,14,18
VALLEGRANDE,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,5,26,31
VIACHA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,21,25,46
VILLA MONTES,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,14,58,72
VILLA TUNARI,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,6,12,18
VINTO,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,2,15,17
WARNES,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,1,17,18
YACUIBA,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,58,173,231
YAPACANI,cirugias y anestesias,      anestesias generales y regionales,2014-07-01,6,97,103
ACHACACHI,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,4,13,17
AIQUILE,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,5,10,15
ANZALDO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,11,11,22
ASCENCION DE GUARAYOS,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,5,45,50
ATOCHA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,2,18,20
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,      anestesias generales y regionales,2014-08-01,0,4,4
BAURES,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,0,1,1
BERMEJO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,19,37,56
CALAMARCA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,0,1,1
CAMARGO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,16,20,36
CAMIRI,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,10,79,89
CARACOLLO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,1,9,10
CARANAVI,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,6,24,30
CHALLAPATA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,8,37,45
CHARAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,5,23,28
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,      anestesias generales y regionales,2014-08-01,2,16,18
CLIZA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,2,10,12
COBIJA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,88,177,265
COCHABAMBA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,1047,1748,2795
COLCAPIRHUA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,19,19,38
COMARAPA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,0,14,14
COROICO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,20,31,51
COTOCA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,4,22,26
EL ALTO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,498,762,1260
EL TORNO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,35,77,112
ENTRE RIOS TRJ,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,3,17,20
ESCOMA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,3,7,10
GUAYARAMERIN,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,24,84,108
HUANUNI,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,5,33,38
LA PAZ,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,1506,2148,3654
LLALLAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,5,63,68
MAGDALENA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,1,4,5
MIZQUE,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,0,5,5
MONTEAGUDO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,14,59,73
MONTERO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,79,225,304
ORURO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,347,618,965
PAILON,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,1,9,10
PATACAMAYA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,3,5,8
PORTACHUELO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,14,51,65
POTOSI,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,207,318,525
PUERTO QUIJARRO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,0,15,15
PUERTO SUAREZ,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,5,33,38
PUERTO VILLARROEL,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,19,39,58
PUNATA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,17,49,66
QUILLACOLLO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,16,68,84
REYES,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,2,3,5
RIBERALTA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,11,114,125
ROBORE,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,2,8,10
RURRENABAQUE,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,15,53,68
SACABA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,37,127,164
SAN ANTONIO DE LOMERIO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,0,1,1
SAN BORJA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,3,35,38
SAN CARLOS,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,2,16,18
SAN IGNACIO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,0,11,11
SAN IGNACIO DE VELASCO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,28,60,88
SAN JAVIER(STC),cirugias y anestesias,      anestesias generales y regionales,2014-08-01,2,9,11
SAN JOAQUIN,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,0,7,7
SAN JOSE DE CHIQUITOS,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,4,21,25
SAN JUAN DE YAPACANI,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,5,4,9
SAN JULIAN,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,3,17,20
SAN MATIAS,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,8,18,26
SAN RAMON BENI,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,0,3,3
SAN RAMON SCZ,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,4,7,11
SANTA ANA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,2,16,18
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,1597,2636,4233
SANTA ROSA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,0,1,1
SUCRE,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,439,680,1119
TARABUCO,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,0,6,6
TARIJA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,297,506,803
TARVITA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,0,2,2
TIQUIPAYA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,3,46,49
TOTORA(CBBA),cirugias y anestesias,      anestesias generales y regionales,2014-08-01,2,5,7
TRINIDAD,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,131,267,398
UYUNI,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,4,20,24
VACAS,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,0,1,1
VALLEGRANDE,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,2,28,30
VIACHA,cirugias y anestesias,      anestesias generales y regionales,2014-08-01,15,15,30
