,group,variable,month,15.1 CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,15.1 CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,TOTALES
ANZALDO,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,6,5,11
ASCENCION DE GUARAYOS,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,3,18,21
ATOCHA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,7,4,11
BAURES,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,0,2,2
BERMEJO,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,3,5,8
BETANZOS,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,0,1,1
CAMARGO,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,12,26,38
CAMIRI,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,17,62,79
CARACOLLO,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,0,2,2
CARANAVI,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,1,7,8
CHALLAPATA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,9,24,33
CHARAGUA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,2,22,24
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,9,17,26
CLIZA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,0,11,11
COBIJA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,31,90,121
COCHABAMBA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,892,1792,2684
COLCAPIRHUA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,19,27,46
COMARAPA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,0,19,19
COROICO,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,5,14,19
COTOCA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,2,35,37
EL ALTO,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,573,818,1391
EL TORNO,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,18,80,98
ENTRE RIOS TRJ,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,3,17,20
ESCOMA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,1,5,6
GUAYARAMERIN,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,35,74,109
HUANUNI,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,13,28,41
LA PAZ,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,1482,2071,3553
LLALLAGUA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,9,38,47
MAGDALENA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,1,1,2
MONTEAGUDO,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,11,39,50
MONTERO,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,48,194,242
ORURO,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,335,643,978
PATACAMAYA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,5,9,14
PORTACHUELO,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,12,52,64
POTOSI,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,171,281,452
PUERTO SUAREZ,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,5,25,30
PUERTO VILLARROEL,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,25,18,43
PUNATA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,13,47,60
QUILLACOLLO,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,20,76,96
QUIME,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,0,1,1
REYES,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,1,3,4
RIBERALTA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,40,197,237
ROBORE,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,1,11,12
RURRENABAQUE,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,0,30,30
SACABA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,20,62,82
SAN BORJA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,5,47,52
SAN CARLOS,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,4,9,13
SAN IGNACIO,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,1,12,13
SAN IGNACIO DE VELASCO,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,17,75,92
SAN JAVIER(STC),cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,5,2,7
SAN JOAQUIN,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,2,6,8
SAN JOSE DE CHIQUITOS,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,2,17,19
SAN JULIAN,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,0,18,18
SAN LUCAS,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,1,1,2
SAN MATIAS,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,4,9,13
SAN RAMON BENI,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,0,2,2
SAN RAMON SCZ,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,1,0,1
SANTA ANA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,8,22,30
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,1771,3453,5224
SANTA ROSA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,1,2,3
SHINAOTA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,0,1,1
SUCRE,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,498,760,1258
TARIJA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,254,474,728
TARVITA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,0,1,1
TIQUIPAYA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,3,8,11
TOTORA(CBBA),cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,1,5,6
TRINIDAD,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,107,274,381
TUPIZA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,8,26,34
UYUNI,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,6,13,19
VALLEGRANDE,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,13,24,37
VIACHA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,31,34,65
VILLA MONTES,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,13,43,56
VILLA TUNARI,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,8,15,23
VINTO,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,18,15,33
WARNES,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,4,35,39
YACUIBA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,53,137,190
YAPACANI,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,13,49,62
YOTALA,cirugias y anestesias,      cirugias medianas y mayores,2014-05-01,0,1,1
ACHACACHI,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,1,15,16
AIQUILE,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,2,6,8
ANZALDO,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,6,9,15
ASCENCION DE GUARAYOS,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,3,15,18
ATOCHA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,2,6,8
BAURES,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,1,1,2
BERMEJO,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,22,41,63
BETANZOS,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,0,2,2
CAMARGO,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,7,25,32
CAMIRI,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,13,63,76
CARANAVI,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,0,1,1
CHALLAPATA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,10,35,45
CHARAGUA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,1,19,20
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,5,5,10
CLIZA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,1,14,15
COBIJA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,32,95,127
COCHABAMBA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,903,1743,2646
COLCAPIRHUA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,31,32,63
COMARAPA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,0,20,20
COROICO,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,3,10,13
COTOCA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,2,26,28
CULPINA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,0,8,8
EL ALTO,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,554,816,1370
EL TORNO,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,23,61,84
ENTRE RIOS TRJ,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,2,18,20
ESCOMA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,8,7,15
GUAYARAMERIN,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,29,48,77
HUANUNI,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,16,26,42
HUARACAJE,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,0,3,3
LA PAZ,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,1402,1951,3353
LLALLAGUA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,4,50,54
MAGDALENA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,2,2,4
MIZQUE,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,1,0,1
MONTEAGUDO,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,3,10,13
MONTERO,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,50,267,317
ORURO,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,353,593,946
PAILON,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,0,2,2
PATACAMAYA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,4,9,13
PORTACHUELO,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,14,39,53
POTOSI,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,140,247,387
PUERTO SUAREZ,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,5,22,27
PUERTO VILLARROEL,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,22,53,75
QUILLACOLLO,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,7,69,76
REYES,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,2,6,8
RIBERALTA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,23,143,166
ROBORE,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,2,6,8
RURRENABAQUE,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,10,21,31
SACABA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,23,73,96
SAN BORJA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,3,32,35
SAN CARLOS,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,4,26,30
SAN IGNACIO,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,1,13,14
SAN IGNACIO DE VELASCO,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,11,69,80
SAN JAVIER(STC),cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,1,4,5
SAN JOAQUIN,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,8,8,16
SAN JOSE DE CHIQUITOS,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,1,18,19
SAN JUAN DE YAPACANI,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,4,4,8
SAN JULIAN,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,2,29,31
SAN RAMON BENI,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,0,5,5
SAN RAMON SCZ,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,4,5,9
SANTA ANA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,2,24,26
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,1270,2919,4189
SANTA ROSA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,0,2,2
SUCRE,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,461,697,1158
TARABUCO,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,0,2,2
TARIJA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,308,491,799
TARVITA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,0,1,1
TIQUIPAYA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,2,35,37
TOTORA(CBBA),cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,0,6,6
TRINIDAD,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,81,235,316
TUPIZA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,18,22,40
UYUNI,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,5,16,21
VALLEGRANDE,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,3,24,27
VIACHA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,6,22,28
VILLA MONTES,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,13,43,56
VILLA TUNARI,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,7,75,82
VINTO,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,17,25,42
WARNES,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,4,42,46
YACUIBA,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,67,69,136
YAPACANI,cirugias y anestesias,      cirugias medianas y mayores,2014-06-01,3,27,30
ACHACACHI,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,2,12,14
AIQUILE,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,2,7,9
ANZALDO,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,4,9,13
ASCENCION DE GUARAYOS,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,3,10,13
ATOCHA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,10,4,14
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,0,1,1
AZURDUY,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,0,10,10
BAURES,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,2,1,3
BERMEJO,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,13,34,47
CAMARGO,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,13,19,32
CAMIRI,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,9,63,72
CARANAVI,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,4,12,16
CHALLAPATA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,9,33,42
CHARAGUA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,1,26,27
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,3,13,16
CLIZA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,0,17,17
COBIJA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,49,133,182
COCHABAMBA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,1025,1969,2994
COLCAPIRHUA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,22,18,40
COMARAPA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,1,13,14
COROICO,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,15,21,36
COTOCA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,1,27,28
EL ALTO,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,582,832,1414
EL TORNO,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,30,62,92
ESCOMA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,8,1,9
GUAYARAMERIN,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,33,71,104
HUANUNI,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,13,31,44
HUARACAJE,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,0,2,2
LA PAZ,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,1613,2178,3791
LLALLAGUA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,11,66,77
MAGDALENA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,1,6,7
MONTEAGUDO,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,14,37,51
ORURO,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,367,658,1025
PAILON,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,0,5,5
PATACAMAYA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,0,15,15
PORTACHUELO,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,18,50,68
POTOSI,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,275,237,512
PUERTO SUAREZ,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,6,25,31
PUERTO VILLARROEL,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,14,13,27
PUNATA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,27,40,67
QUILLACOLLO,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,14,68,82
REYES,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,0,8,8
RIBERALTA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,7,155,162
ROBORE,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,0,7,7
RURRENABAQUE,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,2,17,19
SACABA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,24,78,102
SAN BORJA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,3,36,39
SAN CARLOS,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,6,21,27
SAN IGNACIO DE VELASCO,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,17,61,78
SAN JAVIER(STC),cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,6,7,13
SAN JOAQUIN,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,1,9,10
SAN JOSE DE CHIQUITOS,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,1,19,20
SAN JUAN DE YAPACANI,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,3,6,9
SAN JULIAN,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,6,26,32
SAN MATIAS,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,3,16,19
SAN RAMON BENI,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,0,2,2
SAN RAMON SCZ,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,2,4,6
SANTA ANA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,1,26,27
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,1493,3616,5109
SANTA ROSA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,0,3,3
SHINAOTA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,0,10,10
SUCRE,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,565,843,1408
TARABUCO,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,0,5,5
TARIJA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,176,307,483
TARVITA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,0,4,4
TIQUIPAYA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,6,9,15
TOTORA(CBBA),cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,1,7,8
TRINIDAD,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,250,670,920
UYUNI,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,4,14,18
VALLEGRANDE,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,5,26,31
VIACHA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,21,25,46
VILLA MONTES,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,6,54,60
VILLA TUNARI,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,6,12,18
VINTO,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,2,15,17
WARNES,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,1,17,18
YACUIBA,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,53,162,215
YAPACANI,cirugias y anestesias,      cirugias medianas y mayores,2014-07-01,6,97,103
ACHACACHI,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,4,13,17
AIQUILE,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,5,10,15
ANZALDO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,11,11,22
ASCENCION DE GUARAYOS,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,3,20,23
ATOCHA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,2,18,20
BAURES,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,0,1,1
BERMEJO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,17,26,43
CAMARGO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,16,20,36
CAMIRI,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,10,56,66
CARACOLLO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,1,9,10
CARANAVI,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,6,24,30
CHALLAPATA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,8,37,45
CHARAGUA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,5,23,28
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,2,16,18
CLIZA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,2,10,12
COBIJA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,75,159,234
COCHABAMBA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,956,1687,2643
COLCAPIRHUA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,19,19,38
COMARAPA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,0,14,14
COROICO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,18,30,48
COTOCA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,4,22,26
EL ALTO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,497,750,1247
EL TORNO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,35,77,112
ENTRE RIOS TRJ,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,2,13,15
ESCOMA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,1,2,3
GUAYARAMERIN,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,24,84,108
HUANUNI,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,5,33,38
LA PAZ,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,1502,2142,3644
LLALLAGUA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,5,63,68
MAGDALENA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,1,4,5
MONTEAGUDO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,9,39,48
MONTERO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,78,225,303
ORURO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,347,618,965
PAILON,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,1,9,10
PATACAMAYA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,3,5,8
PORTACHUELO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,14,51,65
POTOSI,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,160,261,421
PUERTO SUAREZ,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,4,10,14
PUERTO VILLARROEL,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,19,39,58
PUNATA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,17,49,66
QUILLACOLLO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,16,68,84
REYES,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,2,3,5
RIBERALTA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,11,114,125
ROBORE,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,2,8,10
RURRENABAQUE,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,15,53,68
SACABA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,25,74,99
SAN BORJA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,3,35,38
SAN CARLOS,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,2,16,18
SAN IGNACIO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,0,11,11
SAN IGNACIO DE VELASCO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,28,60,88
SAN JAVIER(STC),cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,2,9,11
SAN JOAQUIN,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,0,7,7
SAN JOSE DE CHIQUITOS,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,4,21,25
SAN JUAN DE YAPACANI,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,5,4,9
SAN JULIAN,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,3,17,20
SAN MATIAS,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,5,14,19
SAN RAMON BENI,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,0,3,3
SAN RAMON SCZ,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,4,7,11
SANTA ANA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,2,16,18
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,1489,2623,4112
SANTA ROSA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,0,1,1
SUCRE,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,419,630,1049
TARABUCO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,0,6,6
TARIJA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,275,476,751
TARVITA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,0,2,2
TIQUIPAYA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,3,39,42
TOTORA(CBBA),cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,2,5,7
TRINIDAD,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,125,267,392
UYUNI,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,4,20,24
VALLEGRANDE,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,2,28,30
VIACHA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,14,14,28
VILLA MONTES,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,10,58,68
VILLA TUNARI,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,12,62,74
VINTO,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,12,24,36
WARNES,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,8,22,30
YACUIBA,cirugias y anestesias,      cirugias medianas y mayores,2014-08-01,75,87,162
