municipality,group,variable,month,Muestras tomadas por personal de salud,TOTAL
YACUIBA,malaria,muestras tomadas por personal de salud,2005-08-01,40,40
ZUDAÑEZ,malaria,muestras tomadas por personal de salud,2005-08-01,1,1
ACACIO,malaria,muestras tomadas por personal de salud,2005-09-01,15,15
AIQUILE,malaria,muestras tomadas por personal de salud,2005-09-01,2,2
AUCAPATA,malaria,muestras tomadas por personal de salud,2005-09-01,1,1
AZURDUY,malaria,muestras tomadas por personal de salud,2005-09-01,8,8
BAURES,malaria,muestras tomadas por personal de salud,2005-09-01,42,42
BELLA FLOR,malaria,muestras tomadas por personal de salud,2005-09-01,23,23
BERMEJO,malaria,muestras tomadas por personal de salud,2005-09-01,167,167
BUENA VISTA,malaria,muestras tomadas por personal de salud,2005-09-01,3,3
CAJUATA,malaria,muestras tomadas por personal de salud,2005-09-01,1,1
CARANAVI,malaria,muestras tomadas por personal de salud,2005-09-01,61,61
CARAPARI,malaria,muestras tomadas por personal de salud,2005-09-01,158,158
COBIJA,malaria,muestras tomadas por personal de salud,2005-09-01,10,10
CULPINA,malaria,muestras tomadas por personal de salud,2005-09-01,4,4
EL TORNO,malaria,muestras tomadas por personal de salud,2005-09-01,22,22
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-09-01,131,131
EUREKA (SANTOS MERCADO),malaria,muestras tomadas por personal de salud,2005-09-01,28,28
FILADELFIA,malaria,muestras tomadas por personal de salud,2005-09-01,1,1
GUANAY,malaria,muestras tomadas por personal de salud,2005-09-01,170,170
GUAYARAMERIN,malaria,muestras tomadas por personal de salud,2005-09-01,1067,1067
HUACARETA,malaria,muestras tomadas por personal de salud,2005-09-01,35,35
HUACAYA (VILLA DE HUACAYA),malaria,muestras tomadas por personal de salud,2005-09-01,6,6
HUARACAJE,malaria,muestras tomadas por personal de salud,2005-09-01,8,8
IXIAMAS,malaria,muestras tomadas por personal de salud,2005-09-01,3,3
LA ASUNTA,malaria,muestras tomadas por personal de salud,2005-09-01,18,18
MACHARETI,malaria,muestras tomadas por personal de salud,2005-09-01,4,4
MAGDALENA,malaria,muestras tomadas por personal de salud,2005-09-01,52,52
MAPIRI,malaria,muestras tomadas por personal de salud,2005-09-01,470,470
MIZQUE,malaria,muestras tomadas por personal de salud,2005-09-01,3,3
MOJOCOYA,malaria,muestras tomadas por personal de salud,2005-09-01,2,2
MONTEAGUDO,malaria,muestras tomadas por personal de salud,2005-09-01,128,128
PADCAYA,malaria,muestras tomadas por personal de salud,2005-09-01,195,195
PADILLA,malaria,muestras tomadas por personal de salud,2005-09-01,4,4
PALOS BLANCOS,malaria,muestras tomadas por personal de salud,2005-09-01,19,19
PORONGO,malaria,muestras tomadas por personal de salud,2005-09-01,7,7
PORTACHUELO,malaria,muestras tomadas por personal de salud,2005-09-01,1,1
PORVENIR,malaria,muestras tomadas por personal de salud,2005-09-01,57,57
PUERTO GONZALO MORENO,malaria,muestras tomadas por personal de salud,2005-09-01,15,15
PUERTO RICO,malaria,muestras tomadas por personal de salud,2005-09-01,145,145
RIBERALTA,malaria,muestras tomadas por personal de salud,2005-09-01,2399,2399
RURRENABAQUE,malaria,muestras tomadas por personal de salud,2005-09-01,2,2
SAIPINA,malaria,muestras tomadas por personal de salud,2005-09-01,123,123
SAN IGNACIO DE VELASCO,malaria,muestras tomadas por personal de salud,2005-09-01,80,80
SAN LORENZO(PND),malaria,muestras tomadas por personal de salud,2005-09-01,109,109
SAN LORENZO(TJA),malaria,muestras tomadas por personal de salud,2005-09-01,1,1
SAN RAMON,malaria,muestras tomadas por personal de salud,2005-09-01,1,1
SENA,malaria,muestras tomadas por personal de salud,2005-09-01,193,193
SIPE SIPE,malaria,muestras tomadas por personal de salud,2005-09-01,1,1
SOPACHUY,malaria,muestras tomadas por personal de salud,2005-09-01,11,11
TARVITA,malaria,muestras tomadas por personal de salud,2005-09-01,68,68
TEOPONTE,malaria,muestras tomadas por personal de salud,2005-09-01,9,9
VILLA MONTES,malaria,muestras tomadas por personal de salud,2005-09-01,233,233
VILLA NUEVA (LOMA ALTA),malaria,muestras tomadas por personal de salud,2005-09-01,25,25
VILLA SERRANO,malaria,muestras tomadas por personal de salud,2005-09-01,1,1
VILLA TUNARI,malaria,muestras tomadas por personal de salud,2005-09-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por personal de salud,2005-09-01,35,35
YACUIBA,malaria,muestras tomadas por personal de salud,2005-09-01,122,122
ZUDAÑEZ,malaria,muestras tomadas por personal de salud,2005-09-01,1,1
ANCORAIMES,malaria,muestras tomadas por personal de salud,2005-10-01,1,1
AZURDUY,malaria,muestras tomadas por personal de salud,2005-10-01,27,27
BAURES,malaria,muestras tomadas por personal de salud,2005-10-01,53,53
BELLA FLOR,malaria,muestras tomadas por personal de salud,2005-10-01,27,27
BERMEJO,malaria,muestras tomadas por personal de salud,2005-10-01,1302,1302
BUENA VISTA,malaria,muestras tomadas por personal de salud,2005-10-01,12,12
CARANAVI,malaria,muestras tomadas por personal de salud,2005-10-01,38,38
CARAPARI,malaria,muestras tomadas por personal de salud,2005-10-01,402,402
CULPINA,malaria,muestras tomadas por personal de salud,2005-10-01,1,1
EL ALTO,malaria,muestras tomadas por personal de salud,2005-10-01,1,1
EL TORNO,malaria,muestras tomadas por personal de salud,2005-10-01,32,32
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-10-01,108,108
FILADELFIA,malaria,muestras tomadas por personal de salud,2005-10-01,3,3
GUANAY,malaria,muestras tomadas por personal de salud,2005-10-01,87,87
GUAYARAMERIN,malaria,muestras tomadas por personal de salud,2005-10-01,1951,1951
HUACARETA,malaria,muestras tomadas por personal de salud,2005-10-01,8,8
HUARACAJE,malaria,muestras tomadas por personal de salud,2005-10-01,9,9
INGAVI (HUMAITA),malaria,muestras tomadas por personal de salud,2005-10-01,27,27
LA ASUNTA,malaria,muestras tomadas por personal de salud,2005-10-01,61,61
LA GUARDIA,malaria,muestras tomadas por personal de salud,2005-10-01,15,15
MACHARETI,malaria,muestras tomadas por personal de salud,2005-10-01,1,1
MAGDALENA,malaria,muestras tomadas por personal de salud,2005-10-01,26,26
MAPIRI,malaria,muestras tomadas por personal de salud,2005-10-01,258,258
MIZQUE,malaria,muestras tomadas por personal de salud,2005-10-01,2,2
MONTEAGUDO,malaria,muestras tomadas por personal de salud,2005-10-01,199,199
NUEVO MANOA (NUEVA ESPERANZA),malaria,muestras tomadas por personal de salud,2005-10-01,377,377
OMEREQUE,malaria,muestras tomadas por personal de salud,2005-10-01,5,5
PADCAYA,malaria,muestras tomadas por personal de salud,2005-10-01,223,223
PALOS BLANCOS,malaria,muestras tomadas por personal de salud,2005-10-01,24,24
PORONGO,malaria,muestras tomadas por personal de salud,2005-10-01,27,27
PORVENIR,malaria,muestras tomadas por personal de salud,2005-10-01,25,25
PUERTO GONZALO MORENO,malaria,muestras tomadas por personal de salud,2005-10-01,204,204
PUERTO RICO,malaria,muestras tomadas por personal de salud,2005-10-01,363,363
RIBERALTA,malaria,muestras tomadas por personal de salud,2005-10-01,3115,3115
SAIPINA,malaria,muestras tomadas por personal de salud,2005-10-01,118,118
SAMAIPATA,malaria,muestras tomadas por personal de salud,2005-10-01,1,1
SAN IGNACIO DE VELASCO,malaria,muestras tomadas por personal de salud,2005-10-01,181,181
SAN LORENZO(PND),malaria,muestras tomadas por personal de salud,2005-10-01,316,316
SAN PEDRO DE BUENA VISTA,malaria,muestras tomadas por personal de salud,2005-10-01,2,2
SAN PEDRO(PND),malaria,muestras tomadas por personal de salud,2005-10-01,1,1
SAN RAFAEL,malaria,muestras tomadas por personal de salud,2005-10-01,2,2
SENA,malaria,muestras tomadas por personal de salud,2005-10-01,190,190
SOPACHUY,malaria,muestras tomadas por personal de salud,2005-10-01,16,16
TARVITA,malaria,muestras tomadas por personal de salud,2005-10-01,2,2
TEOPONTE,malaria,muestras tomadas por personal de salud,2005-10-01,8,8
VILLA MONTES,malaria,muestras tomadas por personal de salud,2005-10-01,267,267
VILLA NUEVA (LOMA ALTA),malaria,muestras tomadas por personal de salud,2005-10-01,30,30
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por personal de salud,2005-10-01,48,48
YACUIBA,malaria,muestras tomadas por personal de salud,2005-10-01,65,65
YAPACANI,malaria,muestras tomadas por personal de salud,2005-10-01,1,1
AZURDUY,malaria,muestras tomadas por personal de salud,2005-11-01,5,5
BAURES,malaria,muestras tomadas por personal de salud,2005-11-01,39,39
BERMEJO,malaria,muestras tomadas por personal de salud,2005-11-01,15,15
BUENA VISTA,malaria,muestras tomadas por personal de salud,2005-11-01,22,22
CARANAVI,malaria,muestras tomadas por personal de salud,2005-11-01,22,22
CARAPARI,malaria,muestras tomadas por personal de salud,2005-11-01,179,179
EL TORNO,malaria,muestras tomadas por personal de salud,2005-11-01,53,53
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-11-01,133,133
EUREKA (SANTOS MERCADO),malaria,muestras tomadas por personal de salud,2005-11-01,12,12
FILADELFIA,malaria,muestras tomadas por personal de salud,2005-11-01,21,21
GUANAY,malaria,muestras tomadas por personal de salud,2005-11-01,110,110
GUAYARAMERIN,malaria,muestras tomadas por personal de salud,2005-11-01,2446,2446
GUTIERREZ,malaria,muestras tomadas por personal de salud,2005-11-01,2,2
HUACARETA,malaria,muestras tomadas por personal de salud,2005-11-01,188,188
HUARACAJE,malaria,muestras tomadas por personal de salud,2005-11-01,11,11
INCAHUASI,malaria,muestras tomadas por personal de salud,2005-11-01,5,5
LA ASUNTA,malaria,muestras tomadas por personal de salud,2005-11-01,163,163
LA GUARDIA,malaria,muestras tomadas por personal de salud,2005-11-01,13,13
MAGDALENA,malaria,muestras tomadas por personal de salud,2005-11-01,63,63
MAPIRI,malaria,muestras tomadas por personal de salud,2005-11-01,458,458
MIZQUE,malaria,muestras tomadas por personal de salud,2005-11-01,1,1
MOJOCOYA,malaria,muestras tomadas por personal de salud,2005-11-01,2,2
MONTEAGUDO,malaria,muestras tomadas por personal de salud,2005-11-01,276,276
NACEBE (SANTA ROSA DEL ABUNA),malaria,muestras tomadas por personal de salud,2005-11-01,64,64
NUEVO MANOA (NUEVA ESPERANZA),malaria,muestras tomadas por personal de salud,2005-11-01,137,137
PADCAYA,malaria,muestras tomadas por personal de salud,2005-11-01,35,35
PALOS BLANCOS,malaria,muestras tomadas por personal de salud,2005-11-01,165,165
POROMA,malaria,muestras tomadas por personal de salud,2005-11-01,2,2
PORONGO,malaria,muestras tomadas por personal de salud,2005-11-01,14,14
PORVENIR,malaria,muestras tomadas por personal de salud,2005-11-01,74,74
PUERTO GONZALO MORENO,malaria,muestras tomadas por personal de salud,2005-11-01,136,136
PUERTO RICO,malaria,muestras tomadas por personal de salud,2005-11-01,14,14
REYES,malaria,muestras tomadas por personal de salud,2005-11-01,1,1
RIBERALTA,malaria,muestras tomadas por personal de salud,2005-11-01,5576,5576
SACABAMBA,malaria,muestras tomadas por personal de salud,2005-11-01,6,6
SAIPINA,malaria,muestras tomadas por personal de salud,2005-11-01,48,48
SAN BORJA,malaria,muestras tomadas por personal de salud,2005-11-01,3,3
SAN BUENA VENTURA,malaria,muestras tomadas por personal de salud,2005-11-01,3,3
SAN IGNACIO DE VELASCO,malaria,muestras tomadas por personal de salud,2005-11-01,648,648
SAN JUAN DE YAPACANI,malaria,muestras tomadas por personal de salud,2005-11-01,1,1
SAN LORENZO(PND),malaria,muestras tomadas por personal de salud,2005-11-01,161,161
SAN PEDRO DE BUENA VISTA,malaria,muestras tomadas por personal de salud,2005-11-01,7,7
SAN RAFAEL,malaria,muestras tomadas por personal de salud,2005-11-01,11,11
SANTA ROSA DEL SARA,malaria,muestras tomadas por personal de salud,2005-11-01,4,4
SENA,malaria,muestras tomadas por personal de salud,2005-11-01,312,312
SOPACHUY,malaria,muestras tomadas por personal de salud,2005-11-01,3,3
SORATA,malaria,muestras tomadas por personal de salud,2005-11-01,2,2
TARVITA,malaria,muestras tomadas por personal de salud,2005-11-01,24,24
TEOPONTE,malaria,muestras tomadas por personal de salud,2005-11-01,13,13
TIPUANI,malaria,muestras tomadas por personal de salud,2005-11-01,1,1
TOMINA,malaria,muestras tomadas por personal de salud,2005-11-01,1,1
VILA VILA,malaria,muestras tomadas por personal de salud,2005-11-01,1,1
VILLA MONTES,malaria,muestras tomadas por personal de salud,2005-11-01,153,153
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por personal de salud,2005-11-01,50,50
YACUIBA,malaria,muestras tomadas por personal de salud,2005-11-01,114,114
ALCALA,malaria,muestras tomadas por personal de salud,2005-12-01,2,2
APOLO,malaria,muestras tomadas por personal de salud,2005-12-01,26,26
AZURDUY,malaria,muestras tomadas por personal de salud,2005-12-01,12,12
BAURES,malaria,muestras tomadas por personal de salud,2005-12-01,21,21
BELLA FLOR,malaria,muestras tomadas por personal de salud,2005-12-01,10,10
BERMEJO,malaria,muestras tomadas por personal de salud,2005-12-01,2118,2118
BUENA VISTA,malaria,muestras tomadas por personal de salud,2005-12-01,13,13
CARANAVI,malaria,muestras tomadas por personal de salud,2005-12-01,49,49
CARAPARI,malaria,muestras tomadas por personal de salud,2005-12-01,174,174
COBIJA,malaria,muestras tomadas por personal de salud,2005-12-01,46,46
CUEVO,malaria,muestras tomadas por personal de salud,2005-12-01,2,2
CULPINA,malaria,muestras tomadas por personal de salud,2005-12-01,3,3
EL TORNO,malaria,muestras tomadas por personal de salud,2005-12-01,61,61
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-12-01,120,120
EUREKA (SANTOS MERCADO),malaria,muestras tomadas por personal de salud,2005-12-01,21,21
FILADELFIA,malaria,muestras tomadas por personal de salud,2005-12-01,7,7
GUANAY,malaria,muestras tomadas por personal de salud,2005-12-01,279,279
GUAYARAMERIN,malaria,muestras tomadas por personal de salud,2005-12-01,2023,2023
GUTIERREZ,malaria,muestras tomadas por personal de salud,2005-12-01,3,3
HUACARETA,malaria,muestras tomadas por personal de salud,2005-12-01,7,7
HUARACAJE,malaria,muestras tomadas por personal de salud,2005-12-01,11,11
INGAVI (HUMAITA),malaria,muestras tomadas por personal de salud,2005-12-01,15,15
LA ASUNTA,malaria,muestras tomadas por personal de salud,2005-12-01,30,30
LA GUARDIA,malaria,muestras tomadas por personal de salud,2005-12-01,25,25
MAGDALENA,malaria,muestras tomadas por personal de salud,2005-12-01,53,53
MAPIRI,malaria,muestras tomadas por personal de salud,2005-12-01,93,93
MONTEAGUDO,malaria,muestras tomadas por personal de salud,2005-12-01,767,767
NACEBE (SANTA ROSA DEL ABUNA),malaria,muestras tomadas por personal de salud,2005-12-01,52,52
NUEVO MANOA (NUEVA ESPERANZA),malaria,muestras tomadas por personal de salud,2005-12-01,102,102
OCURI,malaria,muestras tomadas por personal de salud,2005-12-01,31,31
OMEREQUE,malaria,muestras tomadas por personal de salud,2005-12-01,3,3
PADCAYA,malaria,muestras tomadas por personal de salud,2005-12-01,11,11
PADILLA,malaria,muestras tomadas por personal de salud,2005-12-01,5,5
PALOS BLANCOS,malaria,muestras tomadas por personal de salud,2005-12-01,42,42
PORONGO,malaria,muestras tomadas por personal de salud,2005-12-01,19,19
PORVENIR,malaria,muestras tomadas por personal de salud,2005-12-01,93,93
PUERTO GONZALO MORENO,malaria,muestras tomadas por personal de salud,2005-12-01,157,157
PUERTO RICO,malaria,muestras tomadas por personal de salud,2005-12-01,442,442
REYES,malaria,muestras tomadas por personal de salud,2005-12-01,1,1
RIBERALTA,malaria,muestras tomadas por personal de salud,2005-12-01,20881,20881
SAIPINA,malaria,muestras tomadas por personal de salud,2005-12-01,181,181
SAN BORJA,malaria,muestras tomadas por personal de salud,2005-12-01,1,1
SAN IGNACIO DE VELASCO,malaria,muestras tomadas por personal de salud,2005-12-01,105,105
SAN LORENZO(PND),malaria,muestras tomadas por personal de salud,2005-12-01,208,208
SAN LORENZO(TJA),malaria,muestras tomadas por personal de salud,2005-12-01,1,1
SAN MIGUEL DE VELASCO,malaria,muestras tomadas por personal de salud,2005-12-01,1540,1540
SAN PEDRO DE BUENA VISTA,malaria,muestras tomadas por personal de salud,2005-12-01,1,1
SAN PEDRO(PND),malaria,muestras tomadas por personal de salud,2005-12-01,2,2
SAN RAFAEL,malaria,muestras tomadas por personal de salud,2005-12-01,2,2
SANTA ROSA,malaria,muestras tomadas por personal de salud,2005-12-01,2,2
SANTA ROSA DEL SARA,malaria,muestras tomadas por personal de salud,2005-12-01,1,1
SENA,malaria,muestras tomadas por personal de salud,2005-12-01,420,420
SOPACHUY,malaria,muestras tomadas por personal de salud,2005-12-01,3,3
TARVITA,malaria,muestras tomadas por personal de salud,2005-12-01,1,1
TEOPONTE,malaria,muestras tomadas por personal de salud,2005-12-01,77,77
TORO TORO,malaria,muestras tomadas por personal de salud,2005-12-01,4,4
VILLA MONTES,malaria,muestras tomadas por personal de salud,2005-12-01,178,178
VILLA NUEVA (LOMA ALTA),malaria,muestras tomadas por personal de salud,2005-12-01,26,26
VILLA SERRANO,malaria,muestras tomadas por personal de salud,2005-12-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por personal de salud,2005-12-01,498,498
YACUIBA,malaria,muestras tomadas por personal de salud,2005-12-01,133,133
