,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA DE TB SENSIBLE CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA DE TB SENSIBLE CANTIDAD,TOTALES
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,2,0,2
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,2,3,5
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,9,2,11
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,9,3,12
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,4,2,6
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,2,0,2
ZUDAÑEZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,1,2
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,2,1,3
ALALAY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,2,0,2
ANCORAIMES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
ANZALDO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,1,2
AYO AYO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
BAURES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,1,2
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,0,1,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,8,4,12
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,3,2,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,2,0,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,0,1,1
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,2,1,3
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,20,16,36
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,3,1,4
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,0,1,1
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
COPACABANA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,4,0,4
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,2,1,3
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,6,2,8
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,2,1,3
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,35,26,61
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,2,2,4
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,9,3,12
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,1,2
HUARINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,1,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,2,3,5
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,4,4,8
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,38,23,61
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,2,1,3
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,0,2,2
MOCOMOCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
MOJOCOYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,13,6,19
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,9,4,13
PADILLA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,1,2
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,5,2,7
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,13,1,14
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,6,2,8
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
QUIABAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,9,2,11
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,12,5,17
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,4,5,9
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
SAN AGUSTIN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,0,1,1
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,0,1,1
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,3,3,6
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,2,3
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,3,1,4
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,2,0,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,1,2
SAN PEDRO DE MACHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,175,85,260
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,2,1,3
SICA SICA (VILLA AROMA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,1,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,8,5,13
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,2,0,2
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,7,5,12
TIAHUANACU,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,4,0,4
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,0,1,1
TOLATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,0,1,1
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,11,2,13
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,0,1,1
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,2,0,2
URUBICHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,1,3,4
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,6,1,7
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,0,2,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,3,2,5
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,15,4,19
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,11,5,16
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-04-01,3,3,6
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,1,2
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,2,3
ARANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,2,0,2
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
AYO AYO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
BOLPEBRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,1,2
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,2,1,3
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,2,0,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,8,5,13
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
CHAYANTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,4,4,8
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,2,3
CHUMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,2,0,2
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,9,3,12
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,16,11,27
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,4,0,4
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,2,1,3
COPACABANA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,2,3
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,2,0,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,2,0,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,2,2,4
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,25,16,41
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,4,4
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,3,1,4
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,4,0,4
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
HUARINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,1,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,6,3,9
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,9,2,11
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,46,21,67
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,4,0,4
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,12,1,13
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,2,0,2
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,10,4,14
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,4,3,7
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,5,0,5
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,1,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,6,2,8
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
PUERTO ACOSTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,4,3,7
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,3,5,8
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,4,2,6
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,4,1,5
SACACA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
SAN ANDRES DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,2,3,5
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,3,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,2,1,3
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,129,80,209
SENA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,5,2,7
SICA SICA (VILLA AROMA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,2,1,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,12,7,19
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,1,2
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,6,5,11
TARVITA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
TIAHUANACU,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,3,0,3
TIRAQUE (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
TRIGAL,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,4,6,10
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
VACAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,4,4
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,5,2,7
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,2,3
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,7,4,11
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,11,0,11
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,5,3,8
YOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-05-01,1,0,1
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,3,1,4
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,1,2
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,1,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,7,2,9
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
CATACORA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,4,2,6
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,2,0,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,9,1,10
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,36,19,55
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,2,2,4
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
COLQUIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,1,2
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,2,3
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,4,5,9
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,29,14,43
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,5,3,8
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,2,0,2
FILADELFIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,1,2
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,1,2,3
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,4,1,5
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-06-01,0,1,1
