,group,variable,month,N° DE TB PULMONAR CLINICAMENTE DIAGNOSTICADOS (NUEVOS Y RECAIDAS) CANTIDAD,N° DE TB PULMONAR CLINICAMENTE DIAGNOSTICADOS (NUEVOS Y RECAIDAS) CANTIDAD,TOTALES
CARAPARI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,1,0,1
COBIJA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,0,1,1
CORIPATA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,1,0,1
COTAGAITA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,1,0,1
COTOCA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,1,1,2
EL ALTO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,0,4,4
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,1,0,1
HUANUNI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,3,2,5
MAPIRI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,0,1,1
MONTERO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,2,2,4
ORURO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,2,0,2
RIBERALTA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,2,1,3
SACACA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,1,0,1
SAN CARLOS,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,13,5,18
SUCRE,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,7,0,7
WARNES,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-12-01,1,0,1
