,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS Y RECAIDAS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS Y RECAIDAS CANTIDAD,TOTALES
PUERTO SUAREZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,0,2,2
PUNATA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,0,1,1
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,2,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
SAN RAMON BENI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,21,8,29
SHINAOTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
SIPE SIPE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,0,1,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,4,3,7
TACOBAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,2,0,2
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,2,1,3
VILLA MONTES,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,1,2
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,4,0,4
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,0,1,1
CABEZAS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,17,5,22
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,0,1,1
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,2,2,4
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,12,6,18
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
GAIOC JATUN AYLLU YURA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
GUANAY,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,2,0,2
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,21,4,25
LLALLAGUA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
MIZQUE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,0,1,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,4,1,5
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,3,2,5
PAILON,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
PALCA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,6,2,8
PUERTO QUIJARRO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,3,0,3
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,0,1,1
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
SAN BUENA VENTURA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,29,8,37
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,4,0,4
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,4,2,6
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,1,0,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,3,0,3
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-08-01,0,1,1
ACHACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,1,2
ALTO BENI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
BETANZOS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
CAMIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,0,1
CLIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,6,9,15
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,1,2
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,1,2
CUATRO CAÑADAS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,8,4,12
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,2,0,2
HUANUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
LA ASUNTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,2,0,2
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,20,10,30
MACHARETI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,0,1
MECAPACA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,0,1
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,5,1,6
PALCA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,0,1
PUCARANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
PUNATA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,3,3,6
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,2,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,11,5,16
SANTIVAÑES,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,0,1
SIPE SIPE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,2,1,3
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,2,3
TEOPONTE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,1,2
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,1,2
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
VILLA SERRANO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
VILLAZON,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,2,0,2
VITICHI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,0,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,0,1,1
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-09-01,1,0,1
ALTO BENI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,0,1,1
BATALLAS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
CALAMARCA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,0,1,1
CARACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,0,1,1
CHALLAPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,2,0,2
CHARAGUA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
CLIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,2,0,2
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,21,17,38
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,9,7,16
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
GUAQUI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,0,1,1
HUANUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,3,3,6
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,20,8,28
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
MIZQUE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,4,0,4
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,6,4,10
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,3,1,4
PUERTO QUIJARRO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,2,3
ROBORE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,3,0,3
SAN BORJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,0,1,1
SAN CARLOS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,23,10,33
SHINAOTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
SIPE SIPE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,2,1,3
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,2,3
TARABUCO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,0,1,1
TEOPONTE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
TIPUANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,0,1,1
VILLA MONTES,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,1,0,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,2,0,2
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,3,2,5
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,0,1,1
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-10-01,0,1,1
ACHOCALLA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
APOLO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,1,2
CHALLAPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,13,11,24
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,1,2
COLOMI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
COMBAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,13,1,14
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,2,0,2
FERNANDEZ ALONSO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,0,1,1
GUANAY,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
HUANUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,2,1,3
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,3,1,4
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,7,5,12
LAGUNILLAS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
LLALLAGUA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,0,1,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,5,5,10
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,6,3,9
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,0,2,2
REYES,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,0,1,1
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,4,1,5
SAN BORJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,38,6,44
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
SHINAOTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,3,1,4
SIPE SIPE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,2,0,2
SOPACHUY,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,0,1,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,4,0,4
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,2,1,3
TIPUANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
TOLATA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
VILLAZON,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,1,0,1
VITICHI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,0,1,1
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-11-01,0,2,2
ACHACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,1,2
CHIMORE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,14,5,19
COPACABANA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,6,7,13
FERNANDEZ ALONSO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
ICLA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,3,0,3
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,23,13,36
LICOMA PAMPA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,2,2,4
PATACAMAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
PORONGO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,7,1,8
PUCARANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
PUNATA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,0,1,1
REYES,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,3,3,6
SAN BORJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,0,1,1
SAN JULIAN,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,13,7,20
SIPE SIPE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,6,4,10
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,0,3,3
TIPUANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,2,0,2
TOMINA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,0,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-12-01,1,1,2
