,group,variable,month,N° DE TB PULMONAR BACTERIOLOGICAMENTE CONFIRMADOS (NUEVOS Y RECAIDAS) CANTIDAD,N° DE TB PULMONAR BACTERIOLOGICAMENTE CONFIRMADOS (NUEVOS Y RECAIDAS) CANTIDAD,TOTALES
COLPA BELGICA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
COLQUENCHA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
CONCEPCION,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,1,1
COROICO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
COTOCA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,4,5
CUATRO CAÑADAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,1,2
EL ALTO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,16,9,25
EL TORNO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,4,2,6
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,3,3,6
GENERAL SAAVEDRA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
GUANAY,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,5,0,5
HUANUNI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,3,0,3
HUARINA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
HUATAJATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,1,1
INCAHUASI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,1,2
IXIAMAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,3,2,5
LA GUARDIA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,9,9,18
LA PAZ,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,19,10,29
LURIBAY,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,3,3
MAPIRI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,2,0,2
MINEROS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,1,1
MIZQUE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
MONTERO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,21,3,24
OKINAWA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,1,1
ORURO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,3,1,4
PADCAYA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
PAILON,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,2,3
PALOS BLANCOS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,1,2
PORTACHUELO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
POTOSI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,19,4,23
PUERTO QUIJARRO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,1,2
PUERTO SUAREZ,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,5,3,8
QUIABAYA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,3,2,5
QUIME,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,1,1
RAQAYPAMPA(ETA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,7,2,9
ROBORE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,1,1
SACABA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,7,3,10
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
SAMAIPATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
SAN ANDRES,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,1,1
SAN BORJA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,2,2
SAN BUENA VENTURA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,2,2,4
SAN JULIAN,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,7,1,8
SAN LORENZO(TJA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
SAN LUCAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,1,2
SAN PEDRO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,139,69,208
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
SANTIAGO DE HUATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
SENA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,3,0,3
SHINAOTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,6,3,9
SIPE SIPE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,2,2,4
SOPACHUY,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
SORATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,1,1
SUCRE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,4,5,9
TARIJA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,4,2,6
TARVITA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
TEOPONTE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,1,2
TIPUANI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,1,2
TIRAQUE (CBBA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
TOCO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,1,1
TOTORA(CBBA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,12,2,14
TUPIZA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,2,0,2
VILLA MONTES,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,9,2,11
VINTO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,1,1
VITICHI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,1,1
WARNES,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,9,1,10
YACUIBA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,9,2,11
YAPACANI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,5,4,9
YOTALA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-03-01,0,1,1
ACHACACHI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
ALTO BENI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,2,0,2
ANZALDO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
APOLO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,1,2
AYO AYO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
BAURES,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
BETANZOS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
BOLPEBRA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
CABEZAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
CAMARGO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
CAQUIAVIRI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,8,4,12
CHARAGUA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,3,2,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,2,0,2
CKOCHAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
COBIJA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,1,2
COCHABAMBA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,28,14,42
COLCAPIRHUA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,1,2
COLOMI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
COMARAPA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
COPACABANA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
CORIPATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
COROICO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,3,0,3
COTAGAITA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,2,1,3
COTOCA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,5,2,7
CUATRO CAÑADAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
CULPINA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,21,21,42
EL PUENTE(STC),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
EL TORNO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,2,2,4
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,7,3,10
GENERAL SAAVEDRA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
GUANAY,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
HUARINA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
LA ASUNTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,2,3,5
LA GUARDIA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,2,4,6
LA PAZ,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,31,16,47
LAGUNILLAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
LLALLAGUA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
MAPIRI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,1,2
MECAPACA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
MINEROS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
MOCOMOCO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
MONTERO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,14,5,19
ORURO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,7,3,10
PADILLA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
PAILON,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,5,0,5
PORTACHUELO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
POTOSI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,8,1,9
PUERTO GONZALO MORENO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,7,2,9
PUNATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
QUIABAYA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,5,1,6
RIBERALTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,12,2,14
RURRENABAQUE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
SACABA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,3,3,6
SACACA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
SAMAIPATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
SAN ANDRES,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
SAN BENITO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,3,4,7
SAN BUENA VENTURA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
SAN CARLOS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,2,1,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,1,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,3,0,3
SAN LORENZO(TJA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,3,0,3
SAN MATIAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,2,2,4
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
SAN PEDRO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
SAN PEDRO DE MACHA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
SAN PEDRO DE QUEMES,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,151,72,223
SANTA ROSA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,1,2
SHINAOTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,2,1,3
SICA SICA (VILLA AROMA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
SORATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
SUCRE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,6,1,7
TACOBAMBA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,2,0,2
TARABUCO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
TARIJA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,5,3,8
TIAHUANACU,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
TIPUANI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,3,0,3
TIQUIPAYA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
TOLATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
TOTORA(CBBA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,12,3,15
TUPIZA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,1,2
UNCIA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,2,0,2
URUBICHA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,2,3
VILLA CHARCAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,6,1,7
VILLAZON,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,0,1,1
VINTO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,1,1,2
WARNES,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,13,3,16
YACUIBA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,14,3,17
YAPACANI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-04-01,4,1,5
ACHACACHI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,2,3
ACHOCALLA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,1,2
ARANI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,0,2
AYO AYO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,1,3
BOLPEBRA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
BUENA VISTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,1,3
CABEZAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,0,1,1
CAMARGO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,2,0,2
CAPINOTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,1,2
CARANAVI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,7,5,12
CHARAGUA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,1,2
CHAYANTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-05-01,4,4,8
