,group,variable,month,Nº DE CASOS TB TSF (NUEVOS Y RECAIDAS) CON ÉXITO DE TRATAMIENTO CANTIDAD,Nº DE CASOS TB TSF (NUEVOS Y RECAIDAS) CON ÉXITO DE TRATAMIENTO CANTIDAD,TOTALES
SAPAHAQUI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,3,0,3
SIPE SIPE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,1,2
SORATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
SUCRE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,4,1,5
TACACOMA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
TARIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,3,3,6
TARVITA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
TEOPONTE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,1,2
TIPUANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,1,2
VIACHA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,3,4,7
VILLA TUNARI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,8,2,10
VINTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,3,1,4
YACUIBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,2,6,8
ACHACACHI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,1,2
ANCORAIMES,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
APOLO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
ARBIETO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
BERMEJO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,2,2,4
BOYUIBE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,0,2,2
CAIROMA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
CARANAVI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,9,5,14
CARAPARI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,0,1,1
CARIPUYO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
CHARAGUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,1,2
CKOCHAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
COBIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,9,7,16
COLCAPIRHUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,2,4,6
CORIPATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,3,0,3
COROICO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,1,2
COTOCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,6,2,8
EL ALTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,7,15,22
EL PUENTE(STC),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
EL TORNO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,4,2,6
ENTRE RIOS TRJ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,0,2,2
GENERAL SAAVEDRA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
GUANAY,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,1,2
HUACARETA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
INCAHUASI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,1,2
LA ASUNTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,3,1,4
LA GUARDIA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,7,2,9
LA PAZ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,19,12,31
LLALLAGUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
LURIBAY,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,1,2
MAPIRI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
MONTERO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,7,2,9
ORURO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,4,0,4
PADCAYA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,0,1,1
PADILLA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,0,1,1
PALCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,2,0,2
POTOSI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,3,0,3
PUERTO GONZALO MORENO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,3,0,3
PUNATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,2,0,2
RIBERALTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,2,3,5
RURRENABAQUE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,2,0,2
SACABA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,6,1,7
SAN BENITO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,0,1,1
SAN BORJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,3,0,3
SAN JOAQUIN,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,2,0,2
SAN LORENZO(TJA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,2,0,2
SAN LUCAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,79,43,122
SAPAHAQUI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,3,1,4
SIPE SIPE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,2,1,3
SORATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
SUCRE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,2,4,6
TACACOMA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
TACOBAMBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
TARIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,3,1,4
TIPUANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,4,2,6
TIQUIPAYA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,2,3
TOTORA(CBBA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,6,1,7
VIACHA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,2,3
WARNES,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,3,1,4
YACUIBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,9,2,11
YANACACHI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,2,0,2
YOCALLA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-04-01,1,0,1
ACHOCALLA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,2,2,4
ALTO BENI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,2,0,2
APOLO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
ARQUE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
BERMEJO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,3,3,6
BUENA VISTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,2,3
CAMARGO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
CAMIRI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,0,1,1
CARANAVI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,3,2,5
CHALLAPATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
CHAQUI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
CHAYANTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
CLIZA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,2,0,2
COBIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,9,7,16
COLCAPIRHUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,3,4
COLOMI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
COLQUECHACA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,0,1,1
CORIPATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,5,1,6
COTOCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,2,3,5
EL ALTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,13,8,21
EL PUENTE(TJA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,0,1,1
EL TORNO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,3,4,7
GENERAL SAAVEDRA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
GUANAY,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,1,2
GUTIERREZ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,0,2,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,0,1,1
LA ASUNTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,3,4,7
LA GUARDIA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,6,5,11
LA PAZ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,10,9,19
LLALLAGUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,3,0,3
MINEROS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,2,0,2
MOCOMOCO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,0,2,2
MONTEAGUDO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
MONTERO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,17,2,19
ORURO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,5,2,7
PALOS BLANCOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,4,2,6
POTOSI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,3,0,3
PUCARANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,4,1,5
PUNATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,0,3,3
RIBERALTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,3,2,5
RURRENABAQUE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,1,2
SACABA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,2,1,3
SAMAIPATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,2,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
SAN PEDRO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
SANTA ANA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,98,46,144
SANTA ROSA DEL SARA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,1,2
SHINAOTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,0,1
SIPE SIPE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,2,3
SORATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,2,0,2
SUCRE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,2,1,3
TACOBAMBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,2,0,2
TARIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,3,6,9
TEOPONTE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,3,0,3
TIPUANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,2,1,3
TIQUIPAYA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,2,1,3
VIACHA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,2,4,6
VINTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,0,2,2
WARNES,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,1,1,2
YACUIBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,5,1,6
YAPACANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-05-01,5,2,7
ACHACACHI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,0,1,1
ACHOCALLA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
APOLO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,0,1,1
AYATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,0,1,1
BERMEJO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,2,0,2
CABEZAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,0,1,1
CAMIRI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,3,2,5
CARANAVI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,7,6,13
CARMEN RIVERO TORREZ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,0,1,1
CHARAGUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,2,2,4
CLIZA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,1,2
COBIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,3,1,4
COCHABAMBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,5,5,10
COLCAPIRHUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
COLOMI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
CORIPATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,2,1,3
COROICO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,3,0,3
COTOCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,4,0,4
CULPINA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
EL ALTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,13,10,23
EL CHORO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,0,1,1
EL PUENTE(STC),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
EL TORNO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,4,2,6
ENTRE RIOS TRJ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
GUANAY,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,1,2
GUAQUI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
ICLA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,2,1,3
LA GUARDIA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,7,7,14
LA PAZ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,20,7,27
LAJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
LLALLAGUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
MAPIRI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,2,0,2
MINEROS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,3,0,3
MONTERO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,21,4,25
OMEREQUE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,0,1,1
ORURO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,3,0,3
PALCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,4,1,5
POTOSI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
PUCARANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,8,2,10
SACABA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,3,2,5
SAMAIPATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,0,1,1
SAN BENITO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,4,1,5
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,3,0,3
SAN LORENZO(TJA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
SAN LUCAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
SAN PEDRO DE TIQUINA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,0,1,1
SANTA ANA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,96,59,155
SANTA ROSA DEL SARA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-06-01,2,0,2
