,group,variable,month,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
PALCA,atencion odontologica, cirugia bucal menor,2014-03-01,55,82,55,82,137
PALOS BLANCOS,atencion odontologica, cirugia bucal menor,2014-03-01,16,31,16,31,47
PAMPA AULLAGAS,atencion odontologica, cirugia bucal menor,2014-03-01,5,1,5,1,6
PAMPA GRANDE,atencion odontologica, cirugia bucal menor,2014-03-01,2,7,2,7,9
PAPEL PAMPA,atencion odontologica, cirugia bucal menor,2014-03-01,25,31,25,31,56
PASORAPA,atencion odontologica, cirugia bucal menor,2014-03-01,3,10,3,10,13
PATACAMAYA,atencion odontologica, cirugia bucal menor,2014-03-01,20,24,20,24,44
PAZÑA,atencion odontologica, cirugia bucal menor,2014-03-01,9,8,9,8,17
PELECHUCO,atencion odontologica, cirugia bucal menor,2014-03-01,19,22,19,22,41
POCOATA,atencion odontologica, cirugia bucal menor,2014-03-01,13,20,13,20,33
POCONA,atencion odontologica, cirugia bucal menor,2014-03-01,60,77,60,77,137
POJO (CBBA),atencion odontologica, cirugia bucal menor,2014-03-01,44,43,44,43,87
POOPO,atencion odontologica, cirugia bucal menor,2014-03-01,6,11,6,11,17
PORCO,atencion odontologica, cirugia bucal menor,2014-03-01,9,24,9,24,33
POROMA,atencion odontologica, cirugia bucal menor,2014-03-01,4,22,4,22,26
PORONGO,atencion odontologica, cirugia bucal menor,2014-03-01,2,3,2,3,5
PORTACHUELO,atencion odontologica, cirugia bucal menor,2014-03-01,42,61,42,61,103
PORVENIR,atencion odontologica, cirugia bucal menor,2014-03-01,18,19,18,19,37
POSTRER VALLE,atencion odontologica, cirugia bucal menor,2014-03-01,4,3,4,3,7
POTOSI,atencion odontologica, cirugia bucal menor,2014-03-01,283,379,283,379,662
PRESTO,atencion odontologica, cirugia bucal menor,2014-03-01,15,19,15,19,34
PUCARA,atencion odontologica, cirugia bucal menor,2014-03-01,0,15,0,15,15
PUCARANI,atencion odontologica, cirugia bucal menor,2014-03-01,56,92,56,92,148
PUERTO ACOSTA,atencion odontologica, cirugia bucal menor,2014-03-01,29,53,29,53,82
PUERTO CARABUCO,atencion odontologica, cirugia bucal menor,2014-03-01,61,52,61,52,113
PUERTO GONZALO MORENO,atencion odontologica, cirugia bucal menor,2014-03-01,11,12,11,12,23
PUERTO PEREZ,atencion odontologica, cirugia bucal menor,2014-03-01,9,6,9,6,15
PUERTO QUIJARRO,atencion odontologica, cirugia bucal menor,2014-03-01,27,8,27,8,35
PUERTO RICO,atencion odontologica, cirugia bucal menor,2014-03-01,42,41,42,41,83
PUERTO SUAREZ,atencion odontologica, cirugia bucal menor,2014-03-01,9,15,9,15,24
PUERTO VILLARROEL,atencion odontologica, cirugia bucal menor,2014-03-01,25,41,25,41,66
PUNA,atencion odontologica, cirugia bucal menor,2014-03-01,38,65,38,65,103
PUNATA,atencion odontologica, cirugia bucal menor,2014-03-01,27,40,27,40,67
QUIABAYA,atencion odontologica, cirugia bucal menor,2014-03-01,20,38,20,38,58
QUILLACOLLO,atencion odontologica, cirugia bucal menor,2014-03-01,65,133,65,133,198
QUIME,atencion odontologica, cirugia bucal menor,2014-03-01,60,73,60,73,133
QUIRUSILLAS,atencion odontologica, cirugia bucal menor,2014-03-01,0,2,0,2,2
RAVELO,atencion odontologica, cirugia bucal menor,2014-03-01,17,23,17,23,40
REYES,atencion odontologica, cirugia bucal menor,2014-03-01,31,50,31,50,81
RIBERALTA,atencion odontologica, cirugia bucal menor,2014-03-01,162,284,162,284,446
ROBORE,atencion odontologica, cirugia bucal menor,2014-03-01,18,29,18,29,47
RURRENABAQUE,atencion odontologica, cirugia bucal menor,2014-03-01,22,36,22,36,58
SABAYA,atencion odontologica, cirugia bucal menor,2014-03-01,15,13,15,13,28
SACABA,atencion odontologica, cirugia bucal menor,2014-03-01,186,241,186,241,427
SACABAMBA,atencion odontologica, cirugia bucal menor,2014-03-01,4,14,4,14,18
SACACA,atencion odontologica, cirugia bucal menor,2014-03-01,22,35,22,35,57
SAIPINA,atencion odontologica, cirugia bucal menor,2014-03-01,11,7,11,7,18
SALINAS DE GARCI MENDOZA,atencion odontologica, cirugia bucal menor,2014-03-01,36,34,36,34,70
SAN AGUSTIN,atencion odontologica, cirugia bucal menor,2014-03-01,6,4,6,4,10
SAN ANDRES,atencion odontologica, cirugia bucal menor,2014-03-01,14,17,14,17,31
SAN ANDRES DE MACHACA,atencion odontologica, cirugia bucal menor,2014-03-01,22,30,22,30,52
SAN ANTONIO DE ESMORUCO,atencion odontologica, cirugia bucal menor,2014-03-01,2,2,2,2,4
SAN ANTONIO DE LOMERIO,atencion odontologica, cirugia bucal menor,2014-03-01,11,15,11,15,26
SAN BENITO,atencion odontologica, cirugia bucal menor,2014-03-01,15,20,15,20,35
SAN BORJA,atencion odontologica, cirugia bucal menor,2014-03-01,13,24,13,24,37
SAN BUENA VENTURA,atencion odontologica, cirugia bucal menor,2014-03-01,5,5,5,5,10
SAN CARLOS,atencion odontologica, cirugia bucal menor,2014-03-01,22,36,22,36,58
SAN IGNACIO,atencion odontologica, cirugia bucal menor,2014-03-01,100,103,100,103,203
SAN IGNACIO DE VELASCO,atencion odontologica, cirugia bucal menor,2014-03-01,30,39,30,39,69
SAN JAVIER(BNI),atencion odontologica, cirugia bucal menor,2014-03-01,3,5,3,5,8
SAN JAVIER(STC),atencion odontologica, cirugia bucal menor,2014-03-01,7,13,7,13,20
SAN JOAQUIN,atencion odontologica, cirugia bucal menor,2014-03-01,13,10,13,10,23
SAN JOSE DE CHIQUITOS,atencion odontologica, cirugia bucal menor,2014-03-01,22,25,22,25,47
SAN JUAN DE YAPACANI,atencion odontologica, cirugia bucal menor,2014-03-01,4,1,4,1,5
SAN JULIAN,atencion odontologica, cirugia bucal menor,2014-03-01,67,67,67,67,134
SAN LORENZO(PND),atencion odontologica, cirugia bucal menor,2014-03-01,8,10,8,10,18
SAN LORENZO(TJA),atencion odontologica, cirugia bucal menor,2014-03-01,83,180,83,180,263
SAN LUCAS,atencion odontologica, cirugia bucal menor,2014-03-01,27,63,27,63,90
SAN MATIAS,atencion odontologica, cirugia bucal menor,2014-03-01,14,16,14,16,30
SAN MIGUEL DE VELASCO,atencion odontologica, cirugia bucal menor,2014-03-01,10,19,10,19,29
SAN PABLO DE LIPEZ,atencion odontologica, cirugia bucal menor,2014-03-01,2,9,2,9,11
SAN PEDRO,atencion odontologica, cirugia bucal menor,2014-03-01,12,16,12,16,28
SAN PEDRO DE BUENA VISTA,atencion odontologica, cirugia bucal menor,2014-03-01,36,66,36,66,102
SAN PEDRO DE CURAHUARA,atencion odontologica, cirugia bucal menor,2014-03-01,5,7,5,7,12
SAN PEDRO DE QUEMES,atencion odontologica, cirugia bucal menor,2014-03-01,1,3,1,3,4
SAN PEDRO DE TIQUINA,atencion odontologica, cirugia bucal menor,2014-03-01,24,23,24,23,47
SAN RAFAEL,atencion odontologica, cirugia bucal menor,2014-03-01,2,8,2,8,10
SAN RAMON BENI,atencion odontologica, cirugia bucal menor,2014-03-01,1,3,1,3,4
SAN RAMON SCZ,atencion odontologica, cirugia bucal menor,2014-03-01,15,21,15,21,36
SANTA ANA,atencion odontologica, cirugia bucal menor,2014-03-01,47,52,47,52,99
SANTA CRUZ DE LA SIERRA,atencion odontologica, cirugia bucal menor,2014-03-01,645,993,645,993,1638
SANTA ROSA,atencion odontologica, cirugia bucal menor,2014-03-01,19,17,19,17,36
SANTA ROSA DEL SARA,atencion odontologica, cirugia bucal menor,2014-03-01,40,17,40,17,57
SANTIAGO DE CALLAPA,atencion odontologica, cirugia bucal menor,2014-03-01,16,11,16,11,27
SANTIAGO DE HUARI,atencion odontologica, cirugia bucal menor,2014-03-01,17,24,17,24,41
SANTIAGO DE HUATA,atencion odontologica, cirugia bucal menor,2014-03-01,17,18,17,18,35
SANTIAGO DE MACHACA,atencion odontologica, cirugia bucal menor,2014-03-01,14,20,14,20,34
SANTIVAÑES,atencion odontologica, cirugia bucal menor,2014-03-01,10,12,10,12,22
SANTUARIO DE QUILLACAS,atencion odontologica, cirugia bucal menor,2014-03-01,8,11,8,11,19
SAPAHAQUI,atencion odontologica, cirugia bucal menor,2014-03-01,34,33,34,33,67
SENA,atencion odontologica, cirugia bucal menor,2014-03-01,11,28,11,28,39
SHINAOTA,atencion odontologica, cirugia bucal menor,2014-03-01,3,1,3,1,4
SICA SICA (VILLA AROMA),atencion odontologica, cirugia bucal menor,2014-03-01,24,40,24,40,64
SICAYA,atencion odontologica, cirugia bucal menor,2014-03-01,11,4,11,4,15
SIPE SIPE,atencion odontologica, cirugia bucal menor,2014-03-01,35,64,35,64,99
SOPACHUY,atencion odontologica, cirugia bucal menor,2014-03-01,14,30,14,30,44
SORACACHI,atencion odontologica, cirugia bucal menor,2014-03-01,29,19,29,19,48
SORATA,atencion odontologica, cirugia bucal menor,2014-03-01,35,31,35,31,66
SUCRE,atencion odontologica, cirugia bucal menor,2014-03-01,303,425,303,425,728
TACACHI,atencion odontologica, cirugia bucal menor,2014-03-01,2,0,2,0,2
TACACOMA,atencion odontologica, cirugia bucal menor,2014-03-01,16,32,16,32,48
TACOBAMBA,atencion odontologica, cirugia bucal menor,2014-03-01,2,1,2,1,3
TACOPAYA,atencion odontologica, cirugia bucal menor,2014-03-01,10,18,10,18,28
TAHUA,atencion odontologica, cirugia bucal menor,2014-03-01,3,5,3,5,8
TAPACARI,atencion odontologica, cirugia bucal menor,2014-03-01,43,65,43,65,108
TARABUCO,atencion odontologica, cirugia bucal menor,2014-03-01,20,35,20,35,55
TARACO,atencion odontologica, cirugia bucal menor,2014-03-01,20,14,20,14,34
TARATA,atencion odontologica, cirugia bucal menor,2014-03-01,10,6,10,6,16
TARIJA,atencion odontologica, cirugia bucal menor,2014-03-01,497,835,497,835,1332
TARVITA,atencion odontologica, cirugia bucal menor,2014-03-01,21,78,21,78,99
TEOPONTE,atencion odontologica, cirugia bucal menor,2014-03-01,26,42,26,42,68
TIAWANACU,atencion odontologica, cirugia bucal menor,2014-03-01,28,47,28,47,75
TINGUIPAYA,atencion odontologica, cirugia bucal menor,2014-03-01,25,48,25,48,73
TIPUANI,atencion odontologica, cirugia bucal menor,2014-03-01,14,16,14,16,30
TIQUIPAYA,atencion odontologica, cirugia bucal menor,2014-03-01,32,80,32,80,112
TIRAQUE (CBBA),atencion odontologica, cirugia bucal menor,2014-03-01,7,13,7,13,20
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, cirugia bucal menor,2014-03-01,8,11,8,11,19
TOCO,atencion odontologica, cirugia bucal menor,2014-03-01,9,11,9,11,20
TOLATA,atencion odontologica, cirugia bucal menor,2014-03-01,12,27,12,27,39
TOLEDO,atencion odontologica, cirugia bucal menor,2014-03-01,23,17,23,17,40
TOMAVE,atencion odontologica, cirugia bucal menor,2014-03-01,35,62,35,62,97
TOMINA,atencion odontologica, cirugia bucal menor,2014-03-01,15,45,15,45,60
TORO TORO,atencion odontologica, cirugia bucal menor,2014-03-01,13,10,13,10,23
TOTORA(CBBA),atencion odontologica, cirugia bucal menor,2014-03-01,15,23,15,23,38
TOTORA(ORR),atencion odontologica, cirugia bucal menor,2014-03-01,7,20,7,20,27
TRIGAL,atencion odontologica, cirugia bucal menor,2014-03-01,2,9,2,9,11
TRINIDAD,atencion odontologica, cirugia bucal menor,2014-03-01,182,251,182,251,433
TUPIZA,atencion odontologica, cirugia bucal menor,2014-03-01,45,71,45,71,116
TURCO,atencion odontologica, cirugia bucal menor,2014-03-01,9,11,9,11,20
UMALA,atencion odontologica, cirugia bucal menor,2014-03-01,13,13,13,13,26
UNCIA,atencion odontologica, cirugia bucal menor,2014-03-01,11,19,11,19,30
URIONDO (A. CONCEPCION),atencion odontologica, cirugia bucal menor,2014-03-01,91,133,91,133,224
URUBICHA,atencion odontologica, cirugia bucal menor,2014-03-01,3,10,3,10,13
UYUNI,atencion odontologica, cirugia bucal menor,2014-03-01,22,50,22,50,72
VACAS,atencion odontologica, cirugia bucal menor,2014-03-01,7,27,7,27,34
VALLEGRANDE,atencion odontologica, cirugia bucal menor,2014-03-01,24,54,24,54,78
VIACHA,atencion odontologica, cirugia bucal menor,2014-03-01,87,125,87,125,212
VILA VILA,atencion odontologica, cirugia bucal menor,2014-03-01,0,4,0,4,4
VILLA CHARCAS,atencion odontologica, cirugia bucal menor,2014-03-01,17,38,17,38,55
VILLA MONTES,atencion odontologica, cirugia bucal menor,2014-03-01,223,308,223,308,531
VILLA NUEVA (LOMA ALTA),atencion odontologica, cirugia bucal menor,2014-03-01,4,3,4,3,7
VILLA RIVERO,atencion odontologica, cirugia bucal menor,2014-03-01,6,12,6,12,18
VILLA SERRANO,atencion odontologica, cirugia bucal menor,2014-03-01,29,38,29,38,67
VILLA TUNARI,atencion odontologica, cirugia bucal menor,2014-03-01,79,108,79,108,187
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, cirugia bucal menor,2014-03-01,7,24,7,24,31
VILLAZON,atencion odontologica, cirugia bucal menor,2014-03-01,48,133,48,133,181
VINTO,atencion odontologica, cirugia bucal menor,2014-03-01,18,28,18,28,46
VITICHI,atencion odontologica, cirugia bucal menor,2014-03-01,24,59,24,59,83
WALDO BALLIVIAN,atencion odontologica, cirugia bucal menor,2014-03-01,8,12,8,12,20
WARNES,atencion odontologica, cirugia bucal menor,2014-03-01,15,46,15,46,61
YACO,atencion odontologica, cirugia bucal menor,2014-03-01,6,14,6,14,20
YACUIBA,atencion odontologica, cirugia bucal menor,2014-03-01,152,255,152,255,407
YAMPARAEZ,atencion odontologica, cirugia bucal menor,2014-03-01,9,36,9,36,45
YAPACANI,atencion odontologica, cirugia bucal menor,2014-03-01,21,74,21,74,95
YOCALLA,atencion odontologica, cirugia bucal menor,2014-03-01,8,7,8,7,15
YOTALA,atencion odontologica, cirugia bucal menor,2014-03-01,18,19,18,19,37
YUNCHARA,atencion odontologica, cirugia bucal menor,2014-03-01,29,66,29,66,95
ZUDAÑEZ,atencion odontologica, cirugia bucal menor,2014-03-01,10,18,10,18,28
ACACIO,atencion odontologica, cirugia bucal menor,2014-04-01,5,5,5,5,10
ACHACACHI,atencion odontologica, cirugia bucal menor,2014-04-01,117,112,117,112,229
ACHOCALLA,atencion odontologica, cirugia bucal menor,2014-04-01,15,28,15,28,43
AIQUILE,atencion odontologica, cirugia bucal menor,2014-04-01,9,9,9,9,18
ALALAY,atencion odontologica, cirugia bucal menor,2014-04-01,4,4,4,4,8
ALCALA,atencion odontologica, cirugia bucal menor,2014-04-01,36,36,36,36,72
ALTO BENI,atencion odontologica, cirugia bucal menor,2014-04-01,10,19,10,19,29
ANCORAIMES,atencion odontologica, cirugia bucal menor,2014-04-01,26,46,26,46,72
ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-04-01,8,21,8,21,29
ANTEQUERA,atencion odontologica, cirugia bucal menor,2014-04-01,21,20,21,20,41
ANZALDO,atencion odontologica, cirugia bucal menor,2014-04-01,11,25,11,25,36
APOLO,atencion odontologica, cirugia bucal menor,2014-04-01,5,16,5,16,21
ARAMPAMPA,atencion odontologica, cirugia bucal menor,2014-04-01,4,8,4,8,12
ARANI,atencion odontologica, cirugia bucal menor,2014-04-01,17,25,17,25,42
ARBIETO,atencion odontologica, cirugia bucal menor,2014-04-01,13,10,13,10,23
ARQUE,atencion odontologica, cirugia bucal menor,2014-04-01,10,20,10,20,30
ASCENCION DE GUARAYOS,atencion odontologica, cirugia bucal menor,2014-04-01,9,31,9,31,40
ATOCHA,atencion odontologica, cirugia bucal menor,2014-04-01,126,151,126,151,277
AUCAPATA,atencion odontologica, cirugia bucal menor,2014-04-01,15,17,15,17,32
AYATA,atencion odontologica, cirugia bucal menor,2014-04-01,10,20,10,20,30
AYO AYO,atencion odontologica, cirugia bucal menor,2014-04-01,10,19,10,19,29
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, cirugia bucal menor,2014-04-01,41,71,41,71,112
AZURDUY,atencion odontologica, cirugia bucal menor,2014-04-01,7,15,7,15,22
BATALLAS,atencion odontologica, cirugia bucal menor,2014-04-01,21,19,21,19,40
BAURES,atencion odontologica, cirugia bucal menor,2014-04-01,4,4,4,4,8
BELEN DE ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-04-01,8,9,8,9,17
BELEN DE URMIRI,atencion odontologica, cirugia bucal menor,2014-04-01,5,20,5,20,25
BERMEJO,atencion odontologica, cirugia bucal menor,2014-04-01,122,190,122,190,312
BETANZOS,atencion odontologica, cirugia bucal menor,2014-04-01,39,73,39,73,112
BOLIVAR,atencion odontologica, cirugia bucal menor,2014-04-01,13,12,13,12,25
BOLPEBRA,atencion odontologica, cirugia bucal menor,2014-04-01,2,0,2,0,2
BOYUIBE,atencion odontologica, cirugia bucal menor,2014-04-01,6,13,6,13,19
BUENA VISTA,atencion odontologica, cirugia bucal menor,2014-04-01,20,23,20,23,43
CABEZAS,atencion odontologica, cirugia bucal menor,2014-04-01,19,41,19,41,60
CAIROMA,atencion odontologica, cirugia bucal menor,2014-04-01,6,17,6,17,23
"CAIZA ""D""",atencion odontologica, cirugia bucal menor,2014-04-01,21,32,21,32,53
CAJUATA,atencion odontologica, cirugia bucal menor,2014-04-01,34,44,34,44,78
CALACOTO,atencion odontologica, cirugia bucal menor,2014-04-01,6,15,6,15,21
CALAMARCA,atencion odontologica, cirugia bucal menor,2014-04-01,34,66,34,66,100
CAMARGO,atencion odontologica, cirugia bucal menor,2014-04-01,20,38,20,38,58
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, cirugia bucal menor,2014-04-01,11,15,11,15,26
CAMIRI,atencion odontologica, cirugia bucal menor,2014-04-01,79,83,79,83,162
CAPINOTA,atencion odontologica, cirugia bucal menor,2014-04-01,10,25,10,25,35
CAQUIAVIRI,atencion odontologica, cirugia bucal menor,2014-04-01,37,20,37,20,57
CARACOLLO,atencion odontologica, cirugia bucal menor,2014-04-01,47,70,47,70,117
CARANAVI,atencion odontologica, cirugia bucal menor,2014-04-01,14,23,14,23,37
CARAPARI,atencion odontologica, cirugia bucal menor,2014-04-01,72,89,72,89,161
CARIPUYO,atencion odontologica, cirugia bucal menor,2014-04-01,5,10,5,10,15
CARMEN RIVERO TORREZ,atencion odontologica, cirugia bucal menor,2014-04-01,9,15,9,15,24
CATACORA,atencion odontologica, cirugia bucal menor,2014-04-01,11,13,11,13,24
CHALLAPATA,atencion odontologica, cirugia bucal menor,2014-04-01,92,122,92,122,214
CHAQUI,atencion odontologica, cirugia bucal menor,2014-04-01,4,10,4,10,14
CHARAGUA,atencion odontologica, cirugia bucal menor,2014-04-01,51,70,51,70,121
CHARAÑA,atencion odontologica, cirugia bucal menor,2014-04-01,5,5,5,5,10
CHAYANTA,atencion odontologica, cirugia bucal menor,2014-04-01,34,51,34,51,85
CHIMORE,atencion odontologica, cirugia bucal menor,2014-04-01,27,24,27,24,51
CHIPAYA,atencion odontologica, cirugia bucal menor,2014-04-01,8,11,8,11,19
CHOQUE COTA,atencion odontologica, cirugia bucal menor,2014-04-01,6,5,6,5,11
CHUA COCANI,atencion odontologica, cirugia bucal menor,2014-04-01,10,11,10,11,21
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, cirugia bucal menor,2014-04-01,9,13,9,13,22
CHUMA,atencion odontologica, cirugia bucal menor,2014-04-01,77,83,77,83,160
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, cirugia bucal menor,2014-04-01,5,2,5,2,7
CKOCHAS,atencion odontologica, cirugia bucal menor,2014-04-01,13,25,13,25,38
CLIZA,atencion odontologica, cirugia bucal menor,2014-04-01,27,63,27,63,90
COBIJA,atencion odontologica, cirugia bucal menor,2014-04-01,95,120,95,120,215
COCAPATA,atencion odontologica, cirugia bucal menor,2014-04-01,36,57,36,57,93
COCHABAMBA,atencion odontologica, cirugia bucal menor,2014-04-01,347,522,347,522,869
COIPASA,atencion odontologica, cirugia bucal menor,2014-04-01,5,4,5,4,9
COLCAPIRHUA,atencion odontologica, cirugia bucal menor,2014-04-01,35,58,35,58,93
"COLCHA ""K""",atencion odontologica, cirugia bucal menor,2014-04-01,16,18,16,18,34
COLLANA,atencion odontologica, cirugia bucal menor,2014-04-01,17,19,17,19,36
COLOMI,atencion odontologica, cirugia bucal menor,2014-04-01,9,22,9,22,31
COLPA BELGICA,atencion odontologica, cirugia bucal menor,2014-04-01,6,8,6,8,14
COLQUECHACA,atencion odontologica, cirugia bucal menor,2014-04-01,62,71,62,71,133
COLQUENCHA,atencion odontologica, cirugia bucal menor,2014-04-01,14,27,14,27,41
COLQUIRI,atencion odontologica, cirugia bucal menor,2014-04-01,46,52,46,52,98
COMANCHE,atencion odontologica, cirugia bucal menor,2014-04-01,10,6,10,6,16
COMARAPA,atencion odontologica, cirugia bucal menor,2014-04-01,24,28,24,28,52
COMBAYA,atencion odontologica, cirugia bucal menor,2014-04-01,4,5,4,5,9
CONCEPCION,atencion odontologica, cirugia bucal menor,2014-04-01,62,68,62,68,130
COPACABANA,atencion odontologica, cirugia bucal menor,2014-04-01,50,60,50,60,110
CORO CORO,atencion odontologica, cirugia bucal menor,2014-04-01,21,33,21,33,54
COROICO,atencion odontologica, cirugia bucal menor,2014-04-01,14,25,14,25,39
CORQUE,atencion odontologica, cirugia bucal menor,2014-04-01,7,7,7,7,14
COTAGAITA,atencion odontologica, cirugia bucal menor,2014-04-01,94,103,94,103,197
COTOCA,atencion odontologica, cirugia bucal menor,2014-04-01,27,40,27,40,67
CUATRO CAÑADAS,atencion odontologica, cirugia bucal menor,2014-04-01,29,32,29,32,61
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, cirugia bucal menor,2014-04-01,1,0,1,0,1
CUEVO,atencion odontologica, cirugia bucal menor,2014-04-01,10,15,10,15,25
CULPINA,atencion odontologica, cirugia bucal menor,2014-04-01,12,42,12,42,54
CURAHUARA DE CARANGAS,atencion odontologica, cirugia bucal menor,2014-04-01,13,50,13,50,63
CURVA,atencion odontologica, cirugia bucal menor,2014-04-01,30,49,30,49,79
DESAGUADERO,atencion odontologica, cirugia bucal menor,2014-04-01,25,28,25,28,53
EL ALTO,atencion odontologica, cirugia bucal menor,2014-04-01,1241,1545,1241,1545,2786
EL CHORO,atencion odontologica, cirugia bucal menor,2014-04-01,4,9,4,9,13
EL PUENTE(STC),atencion odontologica, cirugia bucal menor,2014-04-01,4,10,4,10,14
EL PUENTE(TJA),atencion odontologica, cirugia bucal menor,2014-04-01,48,81,48,81,129
EL TORNO,atencion odontologica, cirugia bucal menor,2014-04-01,47,94,47,94,141
EL VILLAR,atencion odontologica, cirugia bucal menor,2014-04-01,3,0,3,0,3
ENTRE RIOS TRJ,atencion odontologica, cirugia bucal menor,2014-04-01,75,133,75,133,208
ENTRE RIOS CBBA,atencion odontologica, cirugia bucal menor,2014-04-01,12,18,12,18,30
ESCOMA,atencion odontologica, cirugia bucal menor,2014-04-01,19,30,19,30,49
EUCALIPTUS,atencion odontologica, cirugia bucal menor,2014-04-01,8,16,8,16,24
FERNANDEZ ALONSO,atencion odontologica, cirugia bucal menor,2014-04-01,23,29,23,29,52
FILADELFIA,atencion odontologica, cirugia bucal menor,2014-04-01,10,23,10,23,33
GENERAL SAAVEDRA,atencion odontologica, cirugia bucal menor,2014-04-01,29,20,29,20,49
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, cirugia bucal menor,2014-04-01,32,56,32,56,88
GUANAY,atencion odontologica, cirugia bucal menor,2014-04-01,23,34,23,34,57
GUAQUI,atencion odontologica, cirugia bucal menor,2014-04-01,45,45,45,45,90
GUAYARAMERIN,atencion odontologica, cirugia bucal menor,2014-04-01,79,96,79,96,175
GUTIERREZ,atencion odontologica, cirugia bucal menor,2014-04-01,36,65,36,65,101
HUACARETA,atencion odontologica, cirugia bucal menor,2014-04-01,20,38,20,38,58
HUACAYA (VILLA DE HUACAYA),atencion odontologica, cirugia bucal menor,2014-04-01,4,17,4,17,21
HUACHACALLA,atencion odontologica, cirugia bucal menor,2014-04-01,5,4,5,4,9
HUANUNI,atencion odontologica, cirugia bucal menor,2014-04-01,38,51,38,51,89
HUARINA,atencion odontologica, cirugia bucal menor,2014-04-01,16,16,16,16,32
HUATAJATA,atencion odontologica, cirugia bucal menor,2014-04-01,8,18,8,18,26
HUAYLLAMARCA,atencion odontologica, cirugia bucal menor,2014-04-01,33,34,33,34,67
HUMANATA,atencion odontologica, cirugia bucal menor,2014-04-01,42,52,42,52,94
ICHOCA,atencion odontologica, cirugia bucal menor,2014-04-01,11,29,11,29,40
ICLA,atencion odontologica, cirugia bucal menor,2014-04-01,15,45,15,45,60
INCAHUASI,atencion odontologica, cirugia bucal menor,2014-04-01,16,39,16,39,55
INGAVI (HUMAITA),atencion odontologica, cirugia bucal menor,2014-04-01,1,3,1,3,4
INQUISIVI,atencion odontologica, cirugia bucal menor,2014-04-01,24,30,24,30,54
IRUPANA (VILLA DE LANZA),atencion odontologica, cirugia bucal menor,2014-04-01,18,19,18,19,37
IXIAMAS,atencion odontologica, cirugia bucal menor,2014-04-01,34,51,34,51,85
JESUS DE MACHACA,atencion odontologica, cirugia bucal menor,2014-04-01,27,52,27,52,79
LA ASUNTA,atencion odontologica, cirugia bucal menor,2014-04-01,17,23,17,23,40
LA GUARDIA,atencion odontologica, cirugia bucal menor,2014-04-01,36,70,36,70,106
LA PAZ,atencion odontologica, cirugia bucal menor,2014-04-01,867,1216,867,1216,2083
LA RIVERA,atencion odontologica, cirugia bucal menor,2014-04-01,2,2,2,2,4
LAGUNILLAS,atencion odontologica, cirugia bucal menor,2014-04-01,6,32,6,32,38
LAJA,atencion odontologica, cirugia bucal menor,2014-04-01,53,97,53,97,150
LAS CARRERAS,atencion odontologica, cirugia bucal menor,2014-04-01,9,9,9,9,18
LICOMA PAMPA,atencion odontologica, cirugia bucal menor,2014-04-01,16,13,16,13,29
LLALLAGUA,atencion odontologica, cirugia bucal menor,2014-04-01,52,59,52,59,111
LLICA,atencion odontologica, cirugia bucal menor,2014-04-01,21,23,21,23,44
LORETO,atencion odontologica, cirugia bucal menor,2014-04-01,1,2,1,2,3
LURIBAY,atencion odontologica, cirugia bucal menor,2014-04-01,31,30,31,30,61
MACHACAMARCA,atencion odontologica, cirugia bucal menor,2014-04-01,12,9,12,9,21
MACHARETI,atencion odontologica, cirugia bucal menor,2014-04-01,12,26,12,26,38
MAGDALENA,atencion odontologica, cirugia bucal menor,2014-04-01,32,23,32,23,55
MAIRANA,atencion odontologica, cirugia bucal menor,2014-04-01,1,2,1,2,3
MALLA,atencion odontologica, cirugia bucal menor,2014-04-01,6,12,6,12,18
MAPIRI,atencion odontologica, cirugia bucal menor,2014-04-01,35,29,35,29,64
MECAPACA,atencion odontologica, cirugia bucal menor,2014-04-01,26,48,26,48,74
MINEROS,atencion odontologica, cirugia bucal menor,2014-04-01,3,7,3,7,10
MIZQUE,atencion odontologica, cirugia bucal menor,2014-04-01,37,103,37,103,140
MOCOMOCO,atencion odontologica, cirugia bucal menor,2014-04-01,56,68,56,68,124
MOJOCOYA,atencion odontologica, cirugia bucal menor,2014-04-01,10,39,10,39,49
MONTEAGUDO,atencion odontologica, cirugia bucal menor,2014-04-01,31,60,31,60,91
MONTERO,atencion odontologica, cirugia bucal menor,2014-04-01,101,117,101,117,218
MORO MORO,atencion odontologica, cirugia bucal menor,2014-04-01,11,17,11,17,28
MOROCHATA,atencion odontologica, cirugia bucal menor,2014-04-01,25,47,25,47,72
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, cirugia bucal menor,2014-04-01,11,11,11,11,22
OCURI,atencion odontologica, cirugia bucal menor,2014-04-01,39,66,39,66,105
