,group,variable,month,TOTAL 3.4 CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTAL 3.4 CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTALES,TOTALES,TOTALES
SANTA ROSA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,2,1,2,3
SANTA ROSA DEL SARA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,6,2,6,2,8
SANTIAGO DE CALLAPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,1,3,1,4
SANTIAGO DE HUARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,21,29,21,29,50
SANTIAGO DE HUATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,30,22,30,22,52
SANTIAGO DE MACHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,9,10,9,10,19
SANTIVAÑES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,2,1,2,3
SANTUARIO DE QUILLACAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,5,3,5,8
SAPAHAQUI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,9,7,9,7,16
SENA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,0,2,0,2
SHINAOTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,0,7,0,7
SICA SICA (VILLA AROMA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,14,5,14,5,19
SICAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,3,0,3,3
SIPE SIPE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,9,5,9,14
SOPACHUY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,2,2,2,4
SORACACHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,3,1,3,4
SORATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,9,3,9,3,12
SUCRE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,217,188,217,188,405
TACACOMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,3,1,3,4
TACOBAMBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,2,0,2,2
TACOPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,6,3,6,9
TAPACARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,39,24,39,24,63
TARABUCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,4,5,4,9
TARACO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,36,31,36,31,67
TARATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,6,7,6,13
TARIJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,141,150,141,150,291
TARVITA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,6,1,6,7
TEOPONTE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,3,5,3,8
TIAWANACU,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,16,12,16,12,28
TINGUIPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,1,7,1,8
TIPUANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,2,5,2,7
TIQUIPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,7,0,7,7
TIRAQUE (CBBA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,15,5,15,5,20
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,3,1,3,4
TOCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,4,2,4,6
TOLATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,6,9,6,9,15
TOLEDO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,2,2,2,4
TOMAVE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,18,33,18,33,51
TOMINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,25,2,25,27
TORO TORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,12,4,12,16
TOTORA(CBBA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,0,3,0,3
TOTORA(ORR),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,3,1,3,4
TRIGAL,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,11,3,11,14
TRINIDAD,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,82,56,82,56,138
TUPIZA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,29,26,29,26,55
TURCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,4,7,4,11
UNCIA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,6,4,6,10
URIONDO (A. CONCEPCION),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,19,14,19,14,33
URUBICHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,3,0,3,3
UYUNI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,36,15,36,15,51
VACAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,2,1,2,3
VALLEGRANDE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,16,12,16,12,28
VIACHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,35,24,35,24,59
VILLA CHARCAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,4,0,4,4
VILLA MONTES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,45,49,45,49,94
VILLA SERRANO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,4,4,4,8
VILLA TUNARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,13,8,13,8,21
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,2,5,2,7
VILLAZON,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,9,12,9,12,21
VITICHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,20,3,20,23
WALDO BALLIVIAN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,6,1,6,7
WARNES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,11,11,11,11,22
YACO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,1,1,1,2
YACUIBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,26,28,26,28,54
YAMPARAEZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,9,13,9,13,22
YAPACANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,23,9,23,9,32
YOCALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,5,3,5,8
YOTALA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,6,4,6,10
YUNCHARA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,8,8,8,8,16
ZUDAÑEZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,0,1,0,1
ACHACACHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,33,24,33,24,57
ACHOCALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,3,0,3,3
AIQUILE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,4,2,4,6
ALALAY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,1,0,1,1
ALCALA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,7,7,7,7,14
ALTO BENI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,4,1,4,5
ANCORAIMES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,4,7,4,7,11
ANDAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,21,8,21,8,29
ANTEQUERA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,6,4,6,4,10
ANZALDO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,12,10,12,10,22
APOLO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,10,0,10,10
ARANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,8,12,8,12,20
ARBIETO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,4,8,4,8,12
ARQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,12,0,12,12
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,7,2,7,9
ATOCHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,13,18,13,18,31
AUCAPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,11,8,11,8,19
AYATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,8,0,8,0,8
AYO AYO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,19,11,19,11,30
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,7,10,7,10,17
AZURDUY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,2,1,2,3
BATALLAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,17,9,17,9,26
BELEN DE URMIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,10,1,10,1,11
BERMEJO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,34,13,34,13,47
BETANZOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,6,14,6,14,20
BOLIVAR,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,5,0,5,0,5
BOYUIBE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,3,0,3,0,3
BUENA VISTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,5,0,5,0,5
CABEZAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,9,3,9,3,12
CAIROMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,29,52,29,52,81
"CAIZA ""D""",atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,7,2,7,9
CAJUATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,9,1,9,1,10
CALACOTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,20,12,20,12,32
CALAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,23,20,23,20,43
CAMARGO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,21,11,21,11,32
CAMIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,35,11,35,11,46
CAPINOTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,19,28,19,28,47
CAQUIAVIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,15,4,15,4,19
CARACOLLO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,12,22,12,22,34
CARANAVI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,27,7,27,7,34
CARAPARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,9,2,9,2,11
CARIPUYO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,2,2,2,4
CARMEN RIVERO TORREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,8,1,8,1,9
CATACORA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,0,1,0,1
CHALLAPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,14,13,14,13,27
CHAQUI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,4,2,4,6
CHARAGUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,4,2,4,6
CHARAÑA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,0,1,0,1
CHAYANTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,4,10,4,10,14
CHIMORE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,9,2,9,2,11
CHIPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,1,2,1,3
CHOQUE COTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,1,1,1,2
CHUA COCANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,3,3,3,3,6
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,6,3,6,3,9
CHUMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,26,36,26,36,62
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,8,12,8,12,20
CKOCHAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,8,2,8,2,10
CLIZA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,55,46,55,46,101
COBIJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,9,8,9,8,17
COCAPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,24,21,24,21,45
COCHABAMBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,527,550,527,550,1077
COIPASA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,6,6,6,6,12
COLCAPIRHUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,5,0,5,0,5
COLLANA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,4,5,4,5,9
COLOMI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,5,0,5,0,5
COLPA BELGICA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,2,1,2,3
COLQUECHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,13,33,13,33,46
COLQUIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,11,2,11,2,13
COMANCHE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,6,0,6,6
COMARAPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,12,23,12,23,35
CONCEPCION,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,8,5,8,5,13
COPACABANA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,13,8,13,8,21
CORO CORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,3,9,3,9,12
CORQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,9,1,9,10
COTAGAITA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,20,15,20,15,35
COTOCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,43,22,43,22,65
CUATRO CAÑADAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,6,4,6,4,10
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,2,1,2,3
CUEVO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,7,2,7,2,9
CULPINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,12,10,12,10,22
CURAHUARA DE CARANGAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,14,4,14,4,18
CURVA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,4,2,4,6
DESAGUADERO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,6,5,6,5,11
EL ALTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,132,110,132,110,242
EL CHORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,4,0,4,4
EL PUENTE(STC),atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,12,2,12,2,14
EL PUENTE(TJA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,6,22,6,22,28
EL TORNO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,17,28,17,28,45
EL VILLAR,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,1,0,1,1
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,14,9,14,9,23
ENTRE RIOS CBBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,2,0,2,2
ESCOMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,4,4,4,4,8
EUCALIPTUS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,7,4,7,4,11
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,9,5,9,5,14
FILADELFIA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,1,0,1,1
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,28,1,28,1,29
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,30,22,30,22,52
GUANAY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,6,1,6,1,7
GUAQUI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,12,18,12,18,30
GUAYARAMERIN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,8,17,8,17,25
GUTIERREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,9,2,9,11
HUACARETA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,19,5,19,5,24
HUACAYA (VILLA DE HUACAYA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,6,0,6,0,6
HUACHACALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,5,2,5,2,7
HUANUNI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,9,2,9,11
HUARINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,8,3,8,3,11
HUATAJATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,6,10,6,10,16
HUAYLLAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,6,12,6,12,18
HUMANATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,57,43,57,43,100
ICHOCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,9,17,9,17,26
ICLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,3,6,3,6,9
INCAHUASI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,3,11,3,11,14
INGAVI (HUMAITA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,0,1,0,1
INQUISIVI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,8,13,8,13,21
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,16,5,16,5,21
IXIAMAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,4,1,4,1,5
JESUS DE MACHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,27,18,27,18,45
LA ASUNTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,8,2,8,10
LA GUARDIA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,20,15,20,15,35
LA PAZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,579,589,579,589,1168
LA RIVERA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,1,2,1,3
LAGUNILLAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,0,2,0,2
LAJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,15,12,15,12,27
LAS CARRERAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,4,4,4,4,8
LICOMA PAMPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,12,10,12,10,22
LLALLAGUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,10,18,10,18,28
LLICA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,8,8,8,8,16
LORETO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,1,0,1,1
LURIBAY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,8,1,8,1,9
MACHACAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,5,2,5,2,7
MACHARETI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,0,1,0,1
MAGDALENA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,8,13,8,13,21
MAIRANA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,3,1,3,4
MALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,3,0,3,0,3
MAPIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,2,1,2,3
MECAPACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,0,1,0,1
MINEROS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,5,2,5,7
MIZQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,8,3,8,3,11
MOCOMOCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,10,17,10,17,27
MOJOCOYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,21,10,21,10,31
MONTEAGUDO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,18,18,18,18,36
MONTERO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,74,35,74,35,109
MORO MORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,4,2,4,6
MOROCHATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,20,7,20,7,27
OCURI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,1,0,1,1
OKINAWA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,1,0,1,1
OMEREQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,5,2,5,7
ORURO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,227,197,227,197,424
PADCAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,4,4,4,4,8
PADILLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,5,12,5,12,17
PAILON,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,10,16,10,16,26
PALCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,12,6,12,6,18
PALOS BLANCOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,11,10,11,10,21
PAMPA AULLAGAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,3,1,3,4
PAMPA GRANDE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,2,0,2,2
PAPEL PAMPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,26,34,26,34,60
PASORAPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,4,0,4,4
PATACAMAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,3,1,3,4
PAZÑA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,1,0,1,1
PELECHUCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,1,0,1,1
POCOATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,5,1,5,1,6
POCONA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,5,8,5,8,13
POJO (CBBA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,1,0,1,1
POOPO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,1,1,1,2
PORCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,0,1,0,1
POROMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,8,2,8,10
PORTACHUELO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,26,10,26,10,36
PORVENIR,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,23,7,23,7,30
POSTRER VALLE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,5,2,5,7
POTOSI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,177,169,177,169,346
PRESTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,7,1,7,1,8
PUCARANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,16,19,16,19,35
PUERTO ACOSTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,4,13,4,13,17
PUERTO CARABUCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,21,7,21,7,28
PUERTO GONZALO MORENO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,5,4,5,4,9
PUERTO PEREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,7,7,7,7,14
PUERTO QUIJARRO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,4,1,4,5
PUERTO RICO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,4,2,4,2,6
PUERTO SUAREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,12,12,12,12,24
PUERTO VILLARROEL,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,7,5,7,5,12
PUNA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,20,15,20,15,35
PUNATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,18,27,18,27,45
QUIABAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,16,2,16,18
QUILLACOLLO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,26,39,26,39,65
QUIME,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,24,10,24,10,34
QUIRUSILLAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,2,0,2,2
RAVELO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,5,10,5,10,15
REYES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,2,2,2,2,4
RIBERALTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,13,7,13,7,20
ROBORE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,9,7,9,7,16
RURRENABAQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,7,4,7,4,11
SABAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,9,8,9,8,17
SACABA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,21,31,21,31,52
SACABAMBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,1,14,1,14,15
SACACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,6,0,6,0,6
SAIPINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,11,1,11,1,12
SALINAS DE GARCI MENDOZA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,12,7,12,7,19
SAMAIPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,6,3,6,3,9
SAN AGUSTIN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,0,1,0,1,1
SAN ANDRES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,5,1,5,1,6
SAN ANDRES DE MACHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,19,20,19,20,39
SAN ANTONIO DE LOMERIO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,4,1,4,1,5
SAN BENITO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-03-01,19,52,19,52,71
