,group,variable,month,TOTAL 3.9 PERIODONCIAS CANTIDAD,TOTAL 3.9 PERIODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
BUENA VISTA,atencion odontologica, periodoncias,2014-04-01,7,14,7,14,21
CABEZAS,atencion odontologica, periodoncias,2014-04-01,15,39,15,39,54
"CAIZA ""D""",atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
CALACOTO,atencion odontologica, periodoncias,2014-04-01,1,0,1,0,1
CALAMARCA,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
CAMARGO,atencion odontologica, periodoncias,2014-04-01,2,4,2,4,6
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, periodoncias,2014-04-01,3,0,3,0,3
CAMIRI,atencion odontologica, periodoncias,2014-04-01,19,37,19,37,56
CAPINOTA,atencion odontologica, periodoncias,2014-04-01,22,17,22,17,39
CARACOLLO,atencion odontologica, periodoncias,2014-04-01,3,7,3,7,10
CARANAVI,atencion odontologica, periodoncias,2014-04-01,30,38,30,38,68
CARAPARI,atencion odontologica, periodoncias,2014-04-01,7,10,7,10,17
CARIPUYO,atencion odontologica, periodoncias,2014-04-01,0,2,0,2,2
CARMEN RIVERO TORREZ,atencion odontologica, periodoncias,2014-04-01,6,10,6,10,16
CHALLAPATA,atencion odontologica, periodoncias,2014-04-01,9,19,9,19,28
CHARAGUA,atencion odontologica, periodoncias,2014-04-01,11,17,11,17,28
CHAYANTA,atencion odontologica, periodoncias,2014-04-01,0,5,0,5,5
CHIMORE,atencion odontologica, periodoncias,2014-04-01,4,7,4,7,11
CHIPAYA,atencion odontologica, periodoncias,2014-04-01,2,4,2,4,6
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, periodoncias,2014-04-01,0,5,0,5,5
CHUMA,atencion odontologica, periodoncias,2014-04-01,5,11,5,11,16
CKOCHAS,atencion odontologica, periodoncias,2014-04-01,2,0,2,0,2
CLIZA,atencion odontologica, periodoncias,2014-04-01,3,32,3,32,35
COBIJA,atencion odontologica, periodoncias,2014-04-01,20,40,20,40,60
COCAPATA,atencion odontologica, periodoncias,2014-04-01,1,10,1,10,11
COCHABAMBA,atencion odontologica, periodoncias,2014-04-01,555,1316,555,1316,1871
COIPASA,atencion odontologica, periodoncias,2014-04-01,1,2,1,2,3
COLCAPIRHUA,atencion odontologica, periodoncias,2014-04-01,0,27,0,27,27
"COLCHA ""K""",atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
COLLANA,atencion odontologica, periodoncias,2014-04-01,0,2,0,2,2
COLOMI,atencion odontologica, periodoncias,2014-04-01,1,12,1,12,13
COLPA BELGICA,atencion odontologica, periodoncias,2014-04-01,0,2,0,2,2
COLQUECHACA,atencion odontologica, periodoncias,2014-04-01,5,11,5,11,16
COLQUIRI,atencion odontologica, periodoncias,2014-04-01,0,4,0,4,4
COMARAPA,atencion odontologica, periodoncias,2014-04-01,2,1,2,1,3
COMBAYA,atencion odontologica, periodoncias,2014-04-01,0,3,0,3,3
CONCEPCION,atencion odontologica, periodoncias,2014-04-01,8,1,8,1,9
COPACABANA,atencion odontologica, periodoncias,2014-04-01,1,8,1,8,9
CORO CORO,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
COROICO,atencion odontologica, periodoncias,2014-04-01,0,2,0,2,2
COTAGAITA,atencion odontologica, periodoncias,2014-04-01,15,19,15,19,34
COTOCA,atencion odontologica, periodoncias,2014-04-01,0,3,0,3,3
CUATRO CAÑADAS,atencion odontologica, periodoncias,2014-04-01,6,7,6,7,13
CUEVO,atencion odontologica, periodoncias,2014-04-01,2,0,2,0,2
CULPINA,atencion odontologica, periodoncias,2014-04-01,2,0,2,0,2
CURAHUARA DE CARANGAS,atencion odontologica, periodoncias,2014-04-01,5,2,5,2,7
DESAGUADERO,atencion odontologica, periodoncias,2014-04-01,4,4,4,4,8
EL ALTO,atencion odontologica, periodoncias,2014-04-01,193,373,193,373,566
EL PUENTE(STC),atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
EL PUENTE(TJA),atencion odontologica, periodoncias,2014-04-01,0,2,0,2,2
EL TORNO,atencion odontologica, periodoncias,2014-04-01,24,57,24,57,81
ENTRE RIOS CBBA,atencion odontologica, periodoncias,2014-04-01,0,17,0,17,17
ESCOMA,atencion odontologica, periodoncias,2014-04-01,0,4,0,4,4
EUCALIPTUS,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
FERNANDEZ ALONSO,atencion odontologica, periodoncias,2014-04-01,2,3,2,3,5
FILADELFIA,atencion odontologica, periodoncias,2014-04-01,0,3,0,3,3
GENERAL SAAVEDRA,atencion odontologica, periodoncias,2014-04-01,0,5,0,5,5
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, periodoncias,2014-04-01,0,5,0,5,5
GUANAY,atencion odontologica, periodoncias,2014-04-01,12,8,12,8,20
GUAQUI,atencion odontologica, periodoncias,2014-04-01,1,1,1,1,2
GUAYARAMERIN,atencion odontologica, periodoncias,2014-04-01,27,52,27,52,79
HUACAYA (VILLA DE HUACAYA),atencion odontologica, periodoncias,2014-04-01,1,7,1,7,8
HUANUNI,atencion odontologica, periodoncias,2014-04-01,2,3,2,3,5
HUARINA,atencion odontologica, periodoncias,2014-04-01,1,0,1,0,1
HUATAJATA,atencion odontologica, periodoncias,2014-04-01,1,0,1,0,1
HUAYLLAMARCA,atencion odontologica, periodoncias,2014-04-01,0,3,0,3,3
HUMANATA,atencion odontologica, periodoncias,2014-04-01,10,8,10,8,18
ICLA,atencion odontologica, periodoncias,2014-04-01,1,2,1,2,3
INCAHUASI,atencion odontologica, periodoncias,2014-04-01,1,3,1,3,4
INGAVI (HUMAITA),atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
INQUISIVI,atencion odontologica, periodoncias,2014-04-01,0,5,0,5,5
IRUPANA (VILLA DE LANZA),atencion odontologica, periodoncias,2014-04-01,1,7,1,7,8
IXIAMAS,atencion odontologica, periodoncias,2014-04-01,1,1,1,1,2
JESUS DE MACHACA,atencion odontologica, periodoncias,2014-04-01,2,2,2,2,4
LA ASUNTA,atencion odontologica, periodoncias,2014-04-01,2,4,2,4,6
LA GUARDIA,atencion odontologica, periodoncias,2014-04-01,2,45,2,45,47
LA PAZ,atencion odontologica, periodoncias,2014-04-01,969,1523,969,1523,2492
LA RIVERA,atencion odontologica, periodoncias,2014-04-01,1,0,1,0,1
LLALLAGUA,atencion odontologica, periodoncias,2014-04-01,1,11,1,11,12
LURIBAY,atencion odontologica, periodoncias,2014-04-01,1,0,1,0,1
MACHACAMARCA,atencion odontologica, periodoncias,2014-04-01,1,3,1,3,4
MACHARETI,atencion odontologica, periodoncias,2014-04-01,1,2,1,2,3
MAGDALENA,atencion odontologica, periodoncias,2014-04-01,9,8,9,8,17
MAIRANA,atencion odontologica, periodoncias,2014-04-01,1,4,1,4,5
MAPIRI,atencion odontologica, periodoncias,2014-04-01,1,4,1,4,5
MECAPACA,atencion odontologica, periodoncias,2014-04-01,2,4,2,4,6
MINEROS,atencion odontologica, periodoncias,2014-04-01,0,25,0,25,25
MIZQUE,atencion odontologica, periodoncias,2014-04-01,4,15,4,15,19
MOJOCOYA,atencion odontologica, periodoncias,2014-04-01,0,6,0,6,6
MONTEAGUDO,atencion odontologica, periodoncias,2014-04-01,3,32,3,32,35
MONTERO,atencion odontologica, periodoncias,2014-04-01,22,66,22,66,88
MOROCHATA,atencion odontologica, periodoncias,2014-04-01,3,17,3,17,20
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, periodoncias,2014-04-01,2,0,2,0,2
OCURI,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
OKINAWA,atencion odontologica, periodoncias,2014-04-01,3,6,3,6,9
ORURO,atencion odontologica, periodoncias,2014-04-01,114,147,114,147,261
PADCAYA,atencion odontologica, periodoncias,2014-04-01,4,17,4,17,21
PADILLA,atencion odontologica, periodoncias,2014-04-01,1,8,1,8,9
PAILON,atencion odontologica, periodoncias,2014-04-01,7,1,7,1,8
PALCA,atencion odontologica, periodoncias,2014-04-01,1,1,1,1,2
PALOS BLANCOS,atencion odontologica, periodoncias,2014-04-01,0,3,0,3,3
PAMPA AULLAGAS,atencion odontologica, periodoncias,2014-04-01,1,0,1,0,1
PAMPA GRANDE,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
PAPEL PAMPA,atencion odontologica, periodoncias,2014-04-01,2,7,2,7,9
PATACAMAYA,atencion odontologica, periodoncias,2014-04-01,1,6,1,6,7
PAZÑA,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
POCOATA,atencion odontologica, periodoncias,2014-04-01,1,11,1,11,12
POCONA,atencion odontologica, periodoncias,2014-04-01,1,12,1,12,13
POJO (CBBA),atencion odontologica, periodoncias,2014-04-01,3,10,3,10,13
PORCO,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
POROMA,atencion odontologica, periodoncias,2014-04-01,2,8,2,8,10
PORTACHUELO,atencion odontologica, periodoncias,2014-04-01,1,2,1,2,3
PORVENIR,atencion odontologica, periodoncias,2014-04-01,1,0,1,0,1
POTOSI,atencion odontologica, periodoncias,2014-04-01,72,132,72,132,204
PRESTO,atencion odontologica, periodoncias,2014-04-01,1,1,1,1,2
PUCARA,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
PUCARANI,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
PUERTO ACOSTA,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
PUERTO CARABUCO,atencion odontologica, periodoncias,2014-04-01,3,5,3,5,8
PUERTO SUAREZ,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
PUERTO VILLARROEL,atencion odontologica, periodoncias,2014-04-01,5,16,5,16,21
PUNA,atencion odontologica, periodoncias,2014-04-01,1,2,1,2,3
PUNATA,atencion odontologica, periodoncias,2014-04-01,16,19,16,19,35
QUIABAYA,atencion odontologica, periodoncias,2014-04-01,1,2,1,2,3
QUILLACOLLO,atencion odontologica, periodoncias,2014-04-01,18,105,18,105,123
QUIME,atencion odontologica, periodoncias,2014-04-01,2,3,2,3,5
QUIRUSILLAS,atencion odontologica, periodoncias,2014-04-01,2,0,2,0,2
RAVELO,atencion odontologica, periodoncias,2014-04-01,0,4,0,4,4
REYES,atencion odontologica, periodoncias,2014-04-01,3,12,3,12,15
RIBERALTA,atencion odontologica, periodoncias,2014-04-01,30,139,30,139,169
ROBORE,atencion odontologica, periodoncias,2014-04-01,2,6,2,6,8
RURRENABAQUE,atencion odontologica, periodoncias,2014-04-01,4,3,4,3,7
SACABA,atencion odontologica, periodoncias,2014-04-01,44,90,44,90,134
SACABAMBA,atencion odontologica, periodoncias,2014-04-01,0,2,0,2,2
SACACA,atencion odontologica, periodoncias,2014-04-01,0,4,0,4,4
SAIPINA,atencion odontologica, periodoncias,2014-04-01,1,5,1,5,6
SALINAS DE GARCI MENDOZA,atencion odontologica, periodoncias,2014-04-01,3,5,3,5,8
SAMAIPATA,atencion odontologica, periodoncias,2014-04-01,0,4,0,4,4
SAN ANDRES,atencion odontologica, periodoncias,2014-04-01,0,3,0,3,3
SAN ANDRES DE MACHACA,atencion odontologica, periodoncias,2014-04-01,0,5,0,5,5
SAN ANTONIO DE ESMORUCO,atencion odontologica, periodoncias,2014-04-01,0,7,0,7,7
SAN BENITO,atencion odontologica, periodoncias,2014-04-01,2,9,2,9,11
SAN BORJA,atencion odontologica, periodoncias,2014-04-01,15,46,15,46,61
SAN BUENA VENTURA,atencion odontologica, periodoncias,2014-04-01,3,5,3,5,8
SAN CARLOS,atencion odontologica, periodoncias,2014-04-01,10,16,10,16,26
SAN IGNACIO,atencion odontologica, periodoncias,2014-04-01,24,23,24,23,47
SAN IGNACIO DE VELASCO,atencion odontologica, periodoncias,2014-04-01,3,3,3,3,6
SAN JAVIER(BNI),atencion odontologica, periodoncias,2014-04-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,atencion odontologica, periodoncias,2014-04-01,0,6,0,6,6
SAN JULIAN,atencion odontologica, periodoncias,2014-04-01,23,30,23,30,53
SAN LORENZO(TJA),atencion odontologica, periodoncias,2014-04-01,6,6,6,6,12
SAN LUCAS,atencion odontologica, periodoncias,2014-04-01,5,13,5,13,18
SAN MIGUEL DE VELASCO,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
SAN PEDRO,atencion odontologica, periodoncias,2014-04-01,1,2,1,2,3
SAN PEDRO DE BUENA VISTA,atencion odontologica, periodoncias,2014-04-01,1,1,1,1,2
SAN RAFAEL,atencion odontologica, periodoncias,2014-04-01,8,26,8,26,34
SAN RAMON SCZ,atencion odontologica, periodoncias,2014-04-01,4,7,4,7,11
SANTA CRUZ DE LA SIERRA,atencion odontologica, periodoncias,2014-04-01,579,1271,579,1271,1850
SANTA ROSA,atencion odontologica, periodoncias,2014-04-01,2,0,2,0,2
SANTA ROSA DEL SARA,atencion odontologica, periodoncias,2014-04-01,0,6,0,6,6
SANTIAGO DE HUARI,atencion odontologica, periodoncias,2014-04-01,9,2,9,2,11
SANTIAGO DE HUATA,atencion odontologica, periodoncias,2014-04-01,1,8,1,8,9
SANTIAGO DE MACHACA,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
SANTIVAÑES,atencion odontologica, periodoncias,2014-04-01,0,2,0,2,2
SANTUARIO DE QUILLACAS,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
SAPAHAQUI,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
SENA,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
SHINAOTA,atencion odontologica, periodoncias,2014-04-01,0,2,0,2,2
SICA SICA (VILLA AROMA),atencion odontologica, periodoncias,2014-04-01,0,2,0,2,2
SICAYA,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
SIPE SIPE,atencion odontologica, periodoncias,2014-04-01,4,44,4,44,48
SOPACHUY,atencion odontologica, periodoncias,2014-04-01,0,4,0,4,4
SORACACHI,atencion odontologica, periodoncias,2014-04-01,2,0,2,0,2
SORATA,atencion odontologica, periodoncias,2014-04-01,1,3,1,3,4
SUCRE,atencion odontologica, periodoncias,2014-04-01,303,487,303,487,790
TACOPAYA,atencion odontologica, periodoncias,2014-04-01,0,3,0,3,3
TAPACARI,atencion odontologica, periodoncias,2014-04-01,7,6,7,6,13
TARABUCO,atencion odontologica, periodoncias,2014-04-01,0,4,0,4,4
TARATA,atencion odontologica, periodoncias,2014-04-01,2,3,2,3,5
TARIJA,atencion odontologica, periodoncias,2014-04-01,204,275,204,275,479
TARVITA,atencion odontologica, periodoncias,2014-04-01,1,11,1,11,12
TEOPONTE,atencion odontologica, periodoncias,2014-04-01,1,2,1,2,3
TIAWANACU,atencion odontologica, periodoncias,2014-04-01,1,4,1,4,5
TIQUIPAYA,atencion odontologica, periodoncias,2014-04-01,5,70,5,70,75
TIRAQUE (CBBA),atencion odontologica, periodoncias,2014-04-01,2,2,2,2,4
TOCO,atencion odontologica, periodoncias,2014-04-01,6,5,6,5,11
TOLATA,atencion odontologica, periodoncias,2014-04-01,1,8,1,8,9
TOLEDO,atencion odontologica, periodoncias,2014-04-01,0,2,0,2,2
TOMAVE,atencion odontologica, periodoncias,2014-04-01,1,0,1,0,1
TOMINA,atencion odontologica, periodoncias,2014-04-01,54,84,54,84,138
TORO TORO,atencion odontologica, periodoncias,2014-04-01,1,11,1,11,12
TOTORA(CBBA),atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
TRIGAL,atencion odontologica, periodoncias,2014-04-01,0,4,0,4,4
TRINIDAD,atencion odontologica, periodoncias,2014-04-01,43,66,43,66,109
TUPIZA,atencion odontologica, periodoncias,2014-04-01,12,14,12,14,26
TURCO,atencion odontologica, periodoncias,2014-04-01,0,1,0,1,1
UNCIA,atencion odontologica, periodoncias,2014-04-01,6,16,6,16,22
URIONDO (A. CONCEPCION),atencion odontologica, periodoncias,2014-04-01,5,8,5,8,13
URUBICHA,atencion odontologica, periodoncias,2014-04-01,1,3,1,3,4
VACAS,atencion odontologica, periodoncias,2014-04-01,1,0,1,0,1
VALLEGRANDE,atencion odontologica, periodoncias,2014-04-01,30,52,30,52,82
VIACHA,atencion odontologica, periodoncias,2014-04-01,0,15,0,15,15
VILLA CHARCAS,atencion odontologica, periodoncias,2014-04-01,0,2,0,2,2
VILLA MONTES,atencion odontologica, periodoncias,2014-04-01,33,27,33,27,60
VILLA NUEVA (LOMA ALTA),atencion odontologica, periodoncias,2014-04-01,0,4,0,4,4
VILLA RIVERO,atencion odontologica, periodoncias,2014-04-01,0,14,0,14,14
VILLA SERRANO,atencion odontologica, periodoncias,2014-04-01,0,3,0,3,3
VILLA TUNARI,atencion odontologica, periodoncias,2014-04-01,29,56,29,56,85
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, periodoncias,2014-04-01,1,8,1,8,9
VILLAZON,atencion odontologica, periodoncias,2014-04-01,0,11,0,11,11
VINTO,atencion odontologica, periodoncias,2014-04-01,2,18,2,18,20
VITICHI,atencion odontologica, periodoncias,2014-04-01,2,2,2,2,4
WARNES,atencion odontologica, periodoncias,2014-04-01,8,35,8,35,43
YACUIBA,atencion odontologica, periodoncias,2014-04-01,21,36,21,36,57
YAMPARAEZ,atencion odontologica, periodoncias,2014-04-01,0,17,0,17,17
YANACACHI,atencion odontologica, periodoncias,2014-04-01,1,2,1,2,3
YAPACANI,atencion odontologica, periodoncias,2014-04-01,7,28,7,28,35
YOCALLA,atencion odontologica, periodoncias,2014-04-01,2,5,2,5,7
YOTALA,atencion odontologica, periodoncias,2014-04-01,1,25,1,25,26
YUNCHARA,atencion odontologica, periodoncias,2014-04-01,5,5,5,5,10
ZUDAÑEZ,atencion odontologica, periodoncias,2014-04-01,0,4,0,4,4
ACHACACHI,atencion odontologica, periodoncias,2014-05-01,10,9,10,9,19
ACHOCALLA,atencion odontologica, periodoncias,2014-05-01,0,2,0,2,2
AIQUILE,atencion odontologica, periodoncias,2014-05-01,1,28,1,28,29
ALALAY,atencion odontologica, periodoncias,2014-05-01,2,2,2,2,4
ALCALA,atencion odontologica, periodoncias,2014-05-01,0,7,0,7,7
ANCORAIMES,atencion odontologica, periodoncias,2014-05-01,0,9,0,9,9
ANDAMARCA,atencion odontologica, periodoncias,2014-05-01,0,1,0,1,1
ANZALDO,atencion odontologica, periodoncias,2014-05-01,0,2,0,2,2
ARAMPAMPA,atencion odontologica, periodoncias,2014-05-01,0,5,0,5,5
ARANI,atencion odontologica, periodoncias,2014-05-01,1,11,1,11,12
ARBIETO,atencion odontologica, periodoncias,2014-05-01,11,29,11,29,40
ARQUE,atencion odontologica, periodoncias,2014-05-01,1,1,1,1,2
ATOCHA,atencion odontologica, periodoncias,2014-05-01,23,25,23,25,48
AYATA,atencion odontologica, periodoncias,2014-05-01,1,0,1,0,1
AYO AYO,atencion odontologica, periodoncias,2014-05-01,2,2,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, periodoncias,2014-05-01,7,16,7,16,23
AZURDUY,atencion odontologica, periodoncias,2014-05-01,0,3,0,3,3
BAURES,atencion odontologica, periodoncias,2014-05-01,6,2,6,2,8
BELEN DE ANDAMARCA,atencion odontologica, periodoncias,2014-05-01,0,1,0,1,1
BELLA FLOR,atencion odontologica, periodoncias,2014-05-01,2,1,2,1,3
BERMEJO,atencion odontologica, periodoncias,2014-05-01,42,64,42,64,106
BETANZOS,atencion odontologica, periodoncias,2014-05-01,1,12,1,12,13
BOLIVAR,atencion odontologica, periodoncias,2014-05-01,0,3,0,3,3
BOYUIBE,atencion odontologica, periodoncias,2014-05-01,0,1,0,1,1
BUENA VISTA,atencion odontologica, periodoncias,2014-05-01,0,2,0,2,2
CABEZAS,atencion odontologica, periodoncias,2014-05-01,39,46,39,46,85
CAIROMA,atencion odontologica, periodoncias,2014-05-01,0,3,0,3,3
CALACOTO,atencion odontologica, periodoncias,2014-05-01,0,3,0,3,3
CALAMARCA,atencion odontologica, periodoncias,2014-05-01,0,1,0,1,1
CAMARGO,atencion odontologica, periodoncias,2014-05-01,3,12,3,12,15
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, periodoncias,2014-05-01,0,1,0,1,1
CAMIRI,atencion odontologica, periodoncias,2014-05-01,38,84,38,84,122
CAPINOTA,atencion odontologica, periodoncias,2014-05-01,0,11,0,11,11
CARACOLLO,atencion odontologica, periodoncias,2014-05-01,16,5,16,5,21
CARANAVI,atencion odontologica, periodoncias,2014-05-01,37,47,37,47,84
CARAPARI,atencion odontologica, periodoncias,2014-05-01,7,8,7,8,15
CARMEN RIVERO TORREZ,atencion odontologica, periodoncias,2014-05-01,1,9,1,9,10
CHACARILLA,atencion odontologica, periodoncias,2014-05-01,0,1,0,1,1
CHALLAPATA,atencion odontologica, periodoncias,2014-05-01,7,10,7,10,17
CHARAGUA,atencion odontologica, periodoncias,2014-05-01,3,5,3,5,8
CHAYANTA,atencion odontologica, periodoncias,2014-05-01,0,1,0,1,1
CHIMORE,atencion odontologica, periodoncias,2014-05-01,4,1,4,1,5
CHIPAYA,atencion odontologica, periodoncias,2014-05-01,0,3,0,3,3
CHOQUE COTA,atencion odontologica, periodoncias,2014-05-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, periodoncias,2014-05-01,0,6,0,6,6
CHUMA,atencion odontologica, periodoncias,2014-05-01,5,9,5,9,14
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, periodoncias,2014-05-01,0,1,0,1,1
CKOCHAS,atencion odontologica, periodoncias,2014-05-01,1,1,1,1,2
CLIZA,atencion odontologica, periodoncias,2014-05-01,11,30,11,30,41
COBIJA,atencion odontologica, periodoncias,2014-05-01,41,45,41,45,86
COCAPATA,atencion odontologica, periodoncias,2014-05-01,3,9,3,9,12
COCHABAMBA,atencion odontologica, periodoncias,2014-05-01,664,1046,664,1046,1710
COIPASA,atencion odontologica, periodoncias,2014-05-01,1,1,1,1,2
COLCAPIRHUA,atencion odontologica, periodoncias,2014-05-01,1,34,1,34,35
"COLCHA ""K""",atencion odontologica, periodoncias,2014-05-01,1,0,1,0,1
COLLANA,atencion odontologica, periodoncias,2014-05-01,0,2,0,2,2
COLOMI,atencion odontologica, periodoncias,2014-05-01,0,7,0,7,7
COLPA BELGICA,atencion odontologica, periodoncias,2014-05-01,0,2,0,2,2
COLQUECHACA,atencion odontologica, periodoncias,2014-05-01,1,11,1,11,12
COLQUIRI,atencion odontologica, periodoncias,2014-05-01,1,2,1,2,3
COMARAPA,atencion odontologica, periodoncias,2014-05-01,0,2,0,2,2
COMBAYA,atencion odontologica, periodoncias,2014-05-01,0,3,0,3,3
CONCEPCION,atencion odontologica, periodoncias,2014-05-01,6,7,6,7,13
COPACABANA,atencion odontologica, periodoncias,2014-05-01,2,6,2,6,8
CORIPATA,atencion odontologica, periodoncias,2014-05-01,0,1,0,1,1
CORO CORO,atencion odontologica, periodoncias,2014-05-01,1,1,1,1,2
COROICO,atencion odontologica, periodoncias,2014-05-01,15,8,15,8,23
COTAGAITA,atencion odontologica, periodoncias,2014-05-01,14,16,14,16,30
COTOCA,atencion odontologica, periodoncias,2014-05-01,1,5,1,5,6
CUATRO CAÑADAS,atencion odontologica, periodoncias,2014-05-01,1,11,1,11,12
CURAHUARA DE CARANGAS,atencion odontologica, periodoncias,2014-05-01,2,0,2,0,2
DESAGUADERO,atencion odontologica, periodoncias,2014-05-01,3,2,3,2,5
EL ALTO,atencion odontologica, periodoncias,2014-05-01,202,511,202,511,713
EL CHORO,atencion odontologica, periodoncias,2014-05-01,1,0,1,0,1
EL PUENTE(STC),atencion odontologica, periodoncias,2014-05-01,0,1,0,1,1
EL PUENTE(TJA),atencion odontologica, periodoncias,2014-05-01,0,2,0,2,2
EL TORNO,atencion odontologica, periodoncias,2014-05-01,7,42,7,42,49
EL VILLAR,atencion odontologica, periodoncias,2014-05-01,0,1,0,1,1
ENTRE RIOS TRJ,atencion odontologica, periodoncias,2014-05-01,5,4,5,4,9
ENTRE RIOS CBBA,atencion odontologica, periodoncias,2014-05-01,2,15,2,15,17
ESCOMA,atencion odontologica, periodoncias,2014-05-01,0,1,0,1,1
EUCALIPTUS,atencion odontologica, periodoncias,2014-05-01,5,3,5,3,8
FERNANDEZ ALONSO,atencion odontologica, periodoncias,2014-05-01,2,3,2,3,5
GENERAL SAAVEDRA,atencion odontologica, periodoncias,2014-05-01,1,3,1,3,4
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, periodoncias,2014-05-01,4,6,4,6,10
GUANAY,atencion odontologica, periodoncias,2014-05-01,4,8,4,8,12
GUAQUI,atencion odontologica, periodoncias,2014-05-01,2,0,2,0,2
GUAYARAMERIN,atencion odontologica, periodoncias,2014-05-01,29,41,29,41,70
HUACAYA (VILLA DE HUACAYA),atencion odontologica, periodoncias,2014-05-01,0,6,0,6,6
HUANUNI,atencion odontologica, periodoncias,2014-05-01,1,2,1,2,3
HUATAJATA,atencion odontologica, periodoncias,2014-05-01,0,1,0,1,1
HUAYLLAMARCA,atencion odontologica, periodoncias,2014-05-01,1,2,1,2,3
HUMANATA,atencion odontologica, periodoncias,2014-05-01,4,12,4,12,16
ICLA,atencion odontologica, periodoncias,2014-05-01,1,3,1,3,4
INCAHUASI,atencion odontologica, periodoncias,2014-05-01,0,3,0,3,3
INQUISIVI,atencion odontologica, periodoncias,2014-05-01,1,4,1,4,5
IRUPANA (VILLA DE LANZA),atencion odontologica, periodoncias,2014-05-01,2,9,2,9,11
JESUS DE MACHACA,atencion odontologica, periodoncias,2014-05-01,1,3,1,3,4
LA ASUNTA,atencion odontologica, periodoncias,2014-05-01,7,10,7,10,17
LA GUARDIA,atencion odontologica, periodoncias,2014-05-01,5,32,5,32,37
LA PAZ,atencion odontologica, periodoncias,2014-05-01,1135,1275,1135,1275,2410
LAJA,atencion odontologica, periodoncias,2014-05-01,3,5,3,5,8
LICOMA PAMPA,atencion odontologica, periodoncias,2014-05-01,1,2,1,2,3
LLALLAGUA,atencion odontologica, periodoncias,2014-05-01,0,11,0,11,11
LLICA,atencion odontologica, periodoncias,2014-05-01,0,12,0,12,12
MACHACAMARCA,atencion odontologica, periodoncias,2014-05-01,0,1,0,1,1
MACHARETI,atencion odontologica, periodoncias,2014-05-01,1,2,1,2,3
MAGDALENA,atencion odontologica, periodoncias,2014-05-01,10,7,10,7,17
MAPIRI,atencion odontologica, periodoncias,2014-05-01,8,7,8,7,15
MECAPACA,atencion odontologica, periodoncias,2014-05-01,5,5,5,5,10
MINEROS,atencion odontologica, periodoncias,2014-05-01,0,21,0,21,21
MIZQUE,atencion odontologica, periodoncias,2014-05-01,3,18,3,18,21
MOJOCOYA,atencion odontologica, periodoncias,2014-05-01,4,3,4,3,7
MONTEAGUDO,atencion odontologica, periodoncias,2014-05-01,4,22,4,22,26
MONTERO,atencion odontologica, periodoncias,2014-05-01,28,47,28,47,75
MOROCHATA,atencion odontologica, periodoncias,2014-05-01,4,13,4,13,17
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, periodoncias,2014-05-01,0,1,0,1,1
OKINAWA,atencion odontologica, periodoncias,2014-05-01,2,32,2,32,34
OMEREQUE,atencion odontologica, periodoncias,2014-05-01,0,5,0,5,5
ORURO,atencion odontologica, periodoncias,2014-05-01,141,201,141,201,342
PADCAYA,atencion odontologica, periodoncias,2014-05-01,8,15,8,15,23
PADILLA,atencion odontologica, periodoncias,2014-05-01,1,14,1,14,15
PAILON,atencion odontologica, periodoncias,2014-05-01,3,0,3,0,3
PALCA,atencion odontologica, periodoncias,2014-05-01,3,0,3,0,3
PALOS BLANCOS,atencion odontologica, periodoncias,2014-05-01,0,4,0,4,4
