,group,variable,month,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
PALOS BLANCOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,32,58,32,58,90
PAMPA AULLAGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,221,176,221,176,397
PAMPA GRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,103,72,103,72,175
PAPEL PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,17,17,17,17,34
PASORAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,0,7,0,7,7
PATACAMAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,112,113,112,113,225
PAZÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,4,4,4,4,8
PELECHUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,32,37,32,37,69
POCOATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,15,19,15,19,34
POCONA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,71,64,71,64,135
POJO (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,95,78,95,78,173
POOPO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,81,114,81,114,195
PORCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,9,8,9,8,17
POROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,85,95,85,95,180
PORONGO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,102,119,102,119,221
PORTACHUELO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,11,16,11,16,27
PORVENIR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,22,25,22,25,47
POSTRER VALLE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,5,11,5,11,16
POTOSI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,250,414,250,414,664
PRESTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,42,53,42,53,95
PUCARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,27,22,27,22,49
PUCARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,14,21,14,21,35
PUERTO CARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,8,13,8,13,21
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,14,11,14,11,25
PUERTO PEREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,4,3,4,3,7
PUERTO QUIJARRO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,48,127,48,127,175
PUERTO RICO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,3,1,3,1,4
PUERTO VILLARROEL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,101,120,101,120,221
PUNA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,3,3,3,3,6
PUNATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,80,109,80,109,189
QUIABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,7,12,7,12,19
QUILLACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,630,934,630,934,1564
QUIME,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,68,106,68,106,174
RAVELO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,8,6,8,6,14
REYES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,31,41,31,41,72
RIBERALTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,139,399,139,399,538
ROBORE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,10,8,10,8,18
RURRENABAQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,66,105,66,105,171
SABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,3,2,3,2,5
SACABA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,862,1344,862,1344,2206
SACABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,8,5,8,5,13
SACACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,0,37,0,37,37
SAIPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,98,126,98,126,224
SAMAIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,15,22,15,22,37
SAN AGUSTIN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,1,4,1,4,5
SAN ANDRES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,2,10,2,10,12
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,21,36,21,36,57
SAN ANTONIO DE ESMORUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,8,8,8,8,16
SAN ANTONIO DE LOMERIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,0,3,0,3,3
SAN BENITO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,35,78,35,78,113
SAN BORJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,39,41,39,41,80
SAN BUENA VENTURA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,11,8,11,8,19
SAN CARLOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,12,20,12,20,32
SAN IGNACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,125,149,125,149,274
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,51,59,51,59,110
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,5,8,5,8,13
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,6,3,6,3,9
SAN JULIAN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,156,255,156,255,411
SAN LORENZO(PND),atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,1,0,1,0,1
SAN LORENZO(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,69,137,69,137,206
SAN LUCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,9,20,9,20,29
SAN MATIAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,7,11,7,11,18
SAN MIGUEL DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,3,3,3,3,6
SAN PABLO DE LIPEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,21,19,21,19,40
SAN PEDRO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,7,16,7,16,23
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,10,36,10,36,46
SAN PEDRO DE CURAHUARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,2,9,2,9,11
SAN PEDRO DE QUEMES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,0,2,0,2,2
SAN PEDRO DE TIQUINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,3,0,3,0,3
SAN RAFAEL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,8,26,8,26,34
SAN RAMON SCZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,18,21,18,21,39
SANTA ANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,51,59,51,59,110
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,2940,4188,2940,4188,7128
SANTA ROSA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,11,6,11,6,17
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,10,8,10,8,18
SANTIAGO DE CALLAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,17,12,17,12,29
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,196,193,196,193,389
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,9,12,9,12,21
SANTIAGO DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,0,1,0,1,1
SANTIVAÑES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,0,3,0,3,3
SANTUARIO DE QUILLACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,8,11,8,11,19
SAPAHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,10,18,10,18,28
SENA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,5,5,5,5,10
SHINAOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,25,89,25,89,114
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,19,28,19,28,47
SICAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,3,6,3,6,9
SIPE SIPE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,111,209,111,209,320
SOPACHUY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,19,14,19,14,33
SORACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,37,29,37,29,66
SORATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,44,41,44,41,85
SUCRE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,1803,2386,1803,2386,4189
TACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,0,4,0,4,4
TACACOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,4,8,4,8,12
TACOPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,0,7,0,7,7
TAHUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,4,7,4,7,11
TAPACARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,70,79,70,79,149
TARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,18,22,18,22,40
TARACO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,56,32,56,32,88
TARATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,0,7,0,7,7
TARIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,637,1225,637,1225,1862
TARVITA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,67,85,67,85,152
TEOPONTE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,15,51,15,51,66
TIAWANACU,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,10,24,10,24,34
TINGUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,6,41,6,41,47
TIPUANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,17,21,17,21,38
TIQUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,507,711,507,711,1218
TIRAQUE (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,15,21,15,21,36
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,1,3,1,3,4
TOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,45,60,45,60,105
TOLATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,8,21,8,21,29
TOLEDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,13,5,13,5,18
TOMAVE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,14,4,14,4,18
TOMINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,28,62,28,62,90
TORO TORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,13,13,13,13,26
TOTORA(CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,9,4,9,4,13
TOTORA(ORR),atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,16,14,16,14,30
TRIGAL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,9,19,9,19,28
TRINIDAD,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,134,238,134,238,372
TUPIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,53,91,53,91,144
TURCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,9,18,9,18,27
UMALA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,8,12,8,12,20
UNCIA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,91,156,91,156,247
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,67,105,67,105,172
URUBICHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,3,4,3,4,7
UYUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,9,5,9,5,14
VACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,33,32,33,32,65
VALLEGRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,82,82,82,82,164
VIACHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,51,90,51,90,141
VILA VILA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,5,1,5,1,6
VILLA CHARCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,5,7,5,7,12
VILLA MONTES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,228,219,228,219,447
VILLA NUEVA (LOMA ALTA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,10,9,10,9,19
VILLA RIVERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,3,10,3,10,13
VILLA SERRANO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,37,12,37,12,49
VILLA TUNARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,410,354,410,354,764
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,108,148,108,148,256
VILLAZON,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,101,220,101,220,321
VINTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,41,195,41,195,236
VITICHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,0,4,0,4,4
WARNES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,73,133,73,133,206
YACUIBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,142,240,142,240,382
YAMPARAEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,55,64,55,64,119
YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,32,63,32,63,95
YOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,7,2,7,2,9
YOTALA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,84,69,84,69,153
YUNCHARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,21,43,21,43,64
ZUDAÑEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-04-01,10,12,10,12,22
ACACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,9,12,9,12,21
ACHACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,109,83,109,83,192
ACHOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,47,36,47,36,83
AIQUILE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,34,65,34,65,99
ALALAY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,7,18,7,18,25
ALCALA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,21,23,21,23,44
ALTO BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2,6,2,6,8
ANCORAIMES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,14,11,14,11,25
ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,7,16,7,16,23
ANTEQUERA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,669,549,669,549,1218
ANZALDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,453,463,453,463,916
APOLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,11,7,11,7,18
ARAMPAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,34,60,34,60,94
ARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,76,70,76,70,146
ARBIETO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,238,213,238,213,451
ARQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,69,63,69,63,132
ASCENCION DE GUARAYOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,44,48,44,48,92
ATOCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,56,59,56,59,115
AUCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2,14,2,14,16
AYATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,22,51,22,51,73
AYO AYO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1,18,1,18,19
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,190,207,190,207,397
AZURDUY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,4,12,4,12,16
BATALLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,24,26,24,26,50
BAURES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,21,10,21,10,31
BELEN DE ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,10,23,10,23,33
BELEN DE URMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1,2,1,2,3
BELLA FLOR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,3,10,3,10,13
BERMEJO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,183,214,183,214,397
BETANZOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,12,16,12,16,28
BOLPEBRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2,7,2,7,9
BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,5,10,5,10,15
CABEZAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,152,194,152,194,346
CAIROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2,9,2,9,11
"CAIZA ""D""",atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,3,0,3,0,3
CAJUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,6,15,6,15,21
CALACOTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,7,27,7,27,34
CALAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,32,26,32,26,58
CAMARGO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,13,36,13,36,49
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,0,4,0,4,4
CAMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,128,114,128,114,242
CAPINOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,63,76,63,76,139
CAQUIAVIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,16,10,16,10,26
CARACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,47,40,47,40,87
CARANAVI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,128,53,128,53,181
CARAPARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,14,23,14,23,37
CARIPUYO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,3,0,3,0,3
CARMEN RIVERO TORREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,26,38,26,38,64
CATACORA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,0,4,0,4,4
CHACARILLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,14,4,14,4,18
CHALLAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,218,210,218,210,428
CHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1,2,1,2,3
CHARAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,29,21,29,21,50
CHARAÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,9,6,9,6,15
CHAYANTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,27,32,27,32,59
CHIMORE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,67,88,67,88,155
CHIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,3,6,3,6,9
CHOQUE COTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2,2,2,2,4
CHUMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,74,90,74,90,164
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,26,21,26,21,47
CKOCHAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1,0,1,0,1
CLIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,39,81,39,81,120
COBIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,208,304,208,304,512
COCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,42,37,42,37,79
COCHABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2632,3966,2632,3966,6598
COIPASA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,6,8,6,8,14
COLCAPIRHUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,86,123,86,123,209
"COLCHA ""K""",atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,11,18,11,18,29
COLLANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,3,7,3,7,10
COLOMI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,29,55,29,55,84
COLPA BELGICA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,219,218,219,218,437
COLQUECHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,36,55,36,55,91
COLQUENCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,5,13,5,13,18
COLQUIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,56,80,56,80,136
COMARAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,10,22,10,22,32
COMBAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,9,13,9,13,22
CONCEPCION,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,4,11,4,11,15
COPACABANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,26,31,26,31,57
CORIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,3,9,3,9,12
CORO CORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,7,11,7,11,18
COROICO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,4,4,4,4,8
CORQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,17,15,17,15,32
COTAGAITA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,111,115,111,115,226
COTOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,38,97,38,97,135
CUATRO CAÑADAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,64,107,64,107,171
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1,2,1,2,3
CUEVO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,4,6,4,6,10
CULPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,24,28,24,28,52
CURAHUARA DE CARANGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,38,29,38,29,67
CURVA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,21,68,21,68,89
DESAGUADERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,18,15,18,15,33
EL ALTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2542,2900,2542,2900,5442
EL CHORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,68,84,68,84,152
EL PUENTE(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,6,7,6,7,13
EL PUENTE(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,7,10,7,10,17
EL TORNO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,97,141,97,141,238
EL VILLAR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,13,13,13,13,26
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,142,75,142,75,217
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,73,170,73,170,243
ESCOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,3,7,3,7,10
EUCALIPTUS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,28,55,28,55,83
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,31,15,31,15,46
FILADELFIA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,12,7,12,7,19
GENERAL SAAVEDRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,17,24,17,24,41
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,195,208,195,208,403
GUANAY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,12,25,12,25,37
GUAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,42,48,42,48,90
GUAYARAMERIN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,246,242,246,242,488
GUTIERREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1,0,1,0,1
HUACARETA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,21,12,21,12,33
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,6,12,6,12,18
HUANUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,74,121,74,121,195
HUARACAJE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,0,1,0,1,1
HUATAJATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,4,7,4,7,11
HUAYLLAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,22,31,22,31,53
HUMANATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,12,14,12,14,26
ICHOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,10,11,10,11,21
ICLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,96,123,96,123,219
INCAHUASI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,16,34,16,34,50
INQUISIVI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,6,1,6,1,7
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,36,25,36,25,61
IXIAMAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,7,10,7,10,17
