,group,variable,month,TOTAL 3.5 CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,TOTAL 3.5 CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,TOTALES,TOTALES,TOTALES
COCAPATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,80,0,80,80
COCHABAMBA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,2325,0,2325,2325
COIPASA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,8,0,8,8
COLCAPIRHUA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,234,0,234,234
"COLCHA ""K""",atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,9,0,9,9
COLLANA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,17,0,17,17
COLOMI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,138,0,138,138
COLPA BELGICA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,9,0,9,9
COLQUECHACA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,53,0,53,53
COLQUENCHA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,2,0,2,2
COLQUIRI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,1,0,1,1
COMARAPA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,30,0,30,30
COMBAYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,2,0,2,2
CONCEPCION,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,32,0,32,32
COPACABANA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,96,0,96,96
CORIPATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,17,0,17,17
CORO CORO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,10,0,10,10
COROICO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,67,0,67,67
CORQUE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
COTAGAITA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,33,0,33,33
COTOCA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,83,0,83,83
CUATRO CAÑADAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,129,0,129,129
CUEVO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,18,0,18,18
CULPINA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,55,0,55,55
CURAHUARA DE CARANGAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,60,0,60,60
CURVA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,32,0,32,32
DESAGUADERO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,13,0,13,13
EL ALTO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,2011,0,2011,2011
EL CHORO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,16,0,16,16
EL PUENTE(STC),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,57,0,57,57
EL PUENTE(TJA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,9,0,9,9
EL TORNO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,128,0,128,128
EL VILLAR,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,2,0,2,2
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,28,0,28,28
ENTRE RIOS CBBA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,96,0,96,96
ESCOMA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,7,0,7,7
EUCALIPTUS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,14,0,14,14
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,31,0,31,31
FILADELFIA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,8,0,8,8
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,17,0,17,17
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,52,0,52,52
GUANAY,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,17,0,17,17
GUAQUI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,9,0,9,9
GUAYARAMERIN,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,131,0,131,131
GUTIERREZ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,39,0,39,39
HUACARETA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,99,0,99,99
HUACAYA (VILLA DE HUACAYA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,28,0,28,28
HUANUNI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,58,0,58,58
HUATAJATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,16,0,16,16
HUAYLLAMARCA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,32,0,32,32
HUMANATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
ICHOCA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,13,0,13,13
ICLA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,50,0,50,50
INCAHUASI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,85,0,85,85
INGAVI (HUMAITA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,10,0,10,10
INQUISIVI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,27,0,27,27
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,45,0,45,45
IXIAMAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,39,0,39,39
JESUS DE MACHACA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,19,0,19,19
LA ASUNTA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,113,0,113,113
LA GUARDIA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,227,0,227,227
LA PAZ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,1785,0,1785,1785
LAGUNILLAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,9,0,9,9
LAJA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,22,0,22,22
LAS CARRERAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
LICOMA PAMPA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,17,0,17,17
LLALLAGUA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,199,0,199,199
LLICA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,8,0,8,8
LORETO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,3,0,3,3
LURIBAY,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,8,0,8,8
MACHACAMARCA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,9,0,9,9
MACHARETI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,53,0,53,53
MAGDALENA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,31,0,31,31
MAIRANA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,159,0,159,159
MALLA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,2,0,2,2
MAPIRI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,34,0,34,34
MECAPACA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,19,0,19,19
MINEROS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,31,0,31,31
MIZQUE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,65,0,65,65
MOJOCOYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,38,0,38,38
MONTEAGUDO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,289,0,289,289
MONTERO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,164,0,164,164
MORO MORO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,15,0,15,15
MOROCHATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,92,0,92,92
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,7,0,7,7
OCURI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,38,0,38,38
OKINAWA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,9,0,9,9
ORURO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,390,0,390,390
PADCAYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,6,0,6,6
PADILLA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,74,0,74,74
PAILON,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,46,0,46,46
PALCA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,45,0,45,45
PALOS BLANCOS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,108,0,108,108
PAMPA AULLAGAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,10,0,10,10
PAMPA GRANDE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,30,0,30,30
PAPEL PAMPA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,49,0,49,49
PATACAMAYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,9,0,9,9
PAZÑA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
PELECHUCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,11,0,11,11
POCOATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,76,0,76,76
POCONA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,58,0,58,58
POJO (CBBA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,22,0,22,22
POOPO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
PORCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,43,0,43,43
POROMA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,34,0,34,34
PORONGO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,24,0,24,24
PORTACHUELO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,22,0,22,22
PORVENIR,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,10,0,10,10
POSTRER VALLE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,6,0,6,6
POTOSI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,737,0,737,737
PRESTO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,58,0,58,58
PUCARA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,29,0,29,29
PUCARANI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,40,0,40,40
PUERTO CARABUCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
PUERTO GONZALO MORENO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,17,0,17,17
PUERTO PEREZ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,8,0,8,8
PUERTO QUIJARRO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,71,0,71,71
PUERTO RICO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,13,0,13,13
PUERTO SUAREZ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,59,0,59,59
PUERTO VILLARROEL,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,85,0,85,85
PUNA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,86,0,86,86
PUNATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,102,0,102,102
QUIABAYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,23,0,23,23
QUILLACOLLO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,384,0,384,384
QUIME,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,48,0,48,48
QUIRUSILLAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
RAVELO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,28,0,28,28
REYES,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
RIBERALTA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,291,0,291,291
ROBORE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,6,0,6,6
RURRENABAQUE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,35,0,35,35
SACABA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,371,0,371,371
SACABAMBA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,3,0,3,3
SACACA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,88,0,88,88
SAIPINA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,25,0,25,25
SALINAS DE GARCI MENDOZA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,148,0,148,148
SAMAIPATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,64,0,64,64
SAN AGUSTIN,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,3,0,3,3
SAN ANDRES,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,6,0,6,6
SAN ANDRES DE MACHACA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
SAN ANTONIO DE ESMORUCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,17,0,17,17
SAN ANTONIO DE LOMERIO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,8,0,8,8
SAN BENITO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,29,0,29,29
SAN BORJA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,34,0,34,34
SAN CARLOS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,55,0,55,55
SAN IGNACIO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,24,0,24,24
SAN IGNACIO DE VELASCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,55,0,55,55
SAN JAVIER(BNI),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,3,0,3,3
SAN JOSE DE CHIQUITOS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,35,0,35,35
SAN JUAN DE YAPACANI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
SAN JULIAN,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,199,0,199,199
SAN LORENZO(PND),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,17,0,17,17
SAN LORENZO(TJA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,18,0,18,18
SAN LUCAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,85,0,85,85
SAN MATIAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,24,0,24,24
SAN MIGUEL DE VELASCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,17,0,17,17
SAN PABLO DE LIPEZ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,3,0,3,3
SAN PEDRO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,43,0,43,43
SAN PEDRO DE BUENA VISTA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,48,0,48,48
SAN PEDRO DE QUEMES,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,2,0,2,2
SAN RAFAEL,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,13,0,13,13
SAN RAMON BENI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,17,0,17,17
SAN RAMON SCZ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,15,0,15,15
SANTA ANA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,45,0,45,45
SANTA CRUZ DE LA SIERRA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,3859,0,3859,3859
SANTA ROSA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
SANTA ROSA DEL SARA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,15,0,15,15
SANTIAGO DE CALLAPA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,1,0,1,1
SANTIAGO DE HUARI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,5,0,5,5
SANTIAGO DE HUATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,14,0,14,14
SANTIAGO DE MACHACA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,13,0,13,13
SANTIVAÑES,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,17,0,17,17
SANTUARIO DE QUILLACAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,24,0,24,24
SAPAHAQUI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,14,0,14,14
SENA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,21,0,21,21
SHINAOTA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,110,0,110,110
SICA SICA (VILLA AROMA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,27,0,27,27
SICAYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,13,0,13,13
SIPE SIPE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,201,0,201,201
SOPACHUY,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,56,0,56,56
SORACACHI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,15,0,15,15
SORATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,70,0,70,70
SUCRE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,1725,0,1725,1725
TACACHI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,1,0,1,1
TACACOMA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
TACOBAMBA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,14,0,14,14
TACOPAYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,32,0,32,32
TAHUA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,13,0,13,13
TAPACARI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,33,0,33,33
TARABUCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,62,0,62,62
TARACO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,57,0,57,57
TARATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,31,0,31,31
TARIJA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,256,0,256,256
TARVITA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,55,0,55,55
TEOPONTE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,88,0,88,88
TIAWANACU,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,27,0,27,27
TINGUIPAYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,38,0,38,38
TIPUANI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,27,0,27,27
TIQUIPAYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,614,0,614,614
TIRAQUE (CBBA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,49,0,49,49
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
TOCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,40,0,40,40
TOLATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,52,0,52,52
TOLEDO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,7,0,7,7
TOMAVE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,36,0,36,36
TOMINA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,89,0,89,89
TORO TORO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,48,0,48,48
TOTORA(CBBA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,2,0,2,2
TOTORA(ORR),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,25,0,25,25
TRIGAL,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
TRINIDAD,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,139,0,139,139
TUPIZA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,66,0,66,66
TURCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
UMALA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,11,0,11,11
UNCIA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,47,0,47,47
URIONDO (A. CONCEPCION),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,23,0,23,23
URUBICHA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,17,0,17,17
UYUNI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,30,0,30,30
VACAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,30,0,30,30
VALLEGRANDE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,129,0,129,129
VIACHA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,82,0,82,82
VILLA CHARCAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,60,0,60,60
VILLA MONTES,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,78,0,78,78
VILLA NUEVA (LOMA ALTA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,8,0,8,8
VILLA RIVERO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,22,0,22,22
VILLA SERRANO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,72,0,72,72
VILLA TUNARI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,290,0,290,290
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,80,0,80,80
VILLAZON,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,109,0,109,109
VINTO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,164,0,164,164
VITICHI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,20,0,20,20
WALDO BALLIVIAN,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,5,0,5,5
WARNES,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,119,0,119,119
YACUIBA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,20,0,20,20
YAMPARAEZ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,56,0,56,56
YANACACHI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,11,0,11,11
YAPACANI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,245,0,245,245
YOCALLA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,21,0,21,21
YOTALA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,104,0,104,104
YUNCHARA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,4,0,4,4
ZUDAÑEZ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-04-01,0,66,0,66,66
ACACIO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-05-01,0,7,0,7,7
ACHACACHI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-05-01,0,117,0,117,117
ACHOCALLA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-05-01,0,34,0,34,34
AIQUILE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-05-01,0,26,0,26,26
ALALAY,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-05-01,0,21,0,21,21
ALCALA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-05-01,0,21,0,21,21
ALTO BENI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-05-01,0,1,0,1,1
ANCORAIMES,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-05-01,0,15,0,15,15
ANDAMARCA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-05-01,0,19,0,19,19
