,group,variable,month,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
IRUPANA (VILLA DE LANZA),atencion odontologica, primera consulta,2014-04-01,58,64,58,64,122
IXIAMAS,atencion odontologica, primera consulta,2014-04-01,55,73,55,73,128
JESUS DE MACHACA,atencion odontologica, primera consulta,2014-04-01,52,80,52,80,132
LA ASUNTA,atencion odontologica, primera consulta,2014-04-01,191,151,191,151,342
LA GUARDIA,atencion odontologica, primera consulta,2014-04-01,215,297,215,297,512
LA PAZ,atencion odontologica, primera consulta,2014-04-01,3860,5236,3860,5236,9096
LA RIVERA,atencion odontologica, primera consulta,2014-04-01,4,7,4,7,11
LAGUNILLAS,atencion odontologica, primera consulta,2014-04-01,31,38,31,38,69
LAJA,atencion odontologica, primera consulta,2014-04-01,94,145,94,145,239
LAS CARRERAS,atencion odontologica, primera consulta,2014-04-01,25,49,25,49,74
LICOMA PAMPA,atencion odontologica, primera consulta,2014-04-01,60,76,60,76,136
LLALLAGUA,atencion odontologica, primera consulta,2014-04-01,147,187,147,187,334
LLICA,atencion odontologica, primera consulta,2014-04-01,22,16,22,16,38
LORETO,atencion odontologica, primera consulta,2014-04-01,1,2,1,2,3
LURIBAY,atencion odontologica, primera consulta,2014-04-01,47,53,47,53,100
MACHACAMARCA,atencion odontologica, primera consulta,2014-04-01,15,18,15,18,33
MACHARETI,atencion odontologica, primera consulta,2014-04-01,52,88,52,88,140
MAGDALENA,atencion odontologica, primera consulta,2014-04-01,24,34,24,34,58
MAIRANA,atencion odontologica, primera consulta,2014-04-01,28,41,28,41,69
MALLA,atencion odontologica, primera consulta,2014-04-01,15,17,15,17,32
MAPIRI,atencion odontologica, primera consulta,2014-04-01,99,120,99,120,219
MECAPACA,atencion odontologica, primera consulta,2014-04-01,58,89,58,89,147
MINEROS,atencion odontologica, primera consulta,2014-04-01,130,141,130,141,271
MIZQUE,atencion odontologica, primera consulta,2014-04-01,76,156,76,156,232
MOCOMOCO,atencion odontologica, primera consulta,2014-04-01,73,71,73,71,144
MOJOCOYA,atencion odontologica, primera consulta,2014-04-01,45,65,45,65,110
MONTEAGUDO,atencion odontologica, primera consulta,2014-04-01,121,258,121,258,379
MONTERO,atencion odontologica, primera consulta,2014-04-01,325,578,325,578,903
MORO MORO,atencion odontologica, primera consulta,2014-04-01,18,32,18,32,50
MOROCHATA,atencion odontologica, primera consulta,2014-04-01,50,67,50,67,117
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, primera consulta,2014-04-01,55,45,55,45,100
OCURI,atencion odontologica, primera consulta,2014-04-01,45,116,45,116,161
OKINAWA,atencion odontologica, primera consulta,2014-04-01,29,28,29,28,57
ORURO,atencion odontologica, primera consulta,2014-04-01,669,1084,669,1084,1753
PADCAYA,atencion odontologica, primera consulta,2014-04-01,207,274,207,274,481
PADILLA,atencion odontologica, primera consulta,2014-04-01,105,132,105,132,237
PAILON,atencion odontologica, primera consulta,2014-04-01,37,61,37,61,98
PALCA,atencion odontologica, primera consulta,2014-04-01,64,98,64,98,162
PALOS BLANCOS,atencion odontologica, primera consulta,2014-04-01,93,142,93,142,235
PAMPA AULLAGAS,atencion odontologica, primera consulta,2014-04-01,97,73,97,73,170
PAMPA GRANDE,atencion odontologica, primera consulta,2014-04-01,68,75,68,75,143
PAPEL PAMPA,atencion odontologica, primera consulta,2014-04-01,20,37,20,37,57
PASORAPA,atencion odontologica, primera consulta,2014-04-01,5,11,5,11,16
PATACAMAYA,atencion odontologica, primera consulta,2014-04-01,34,51,34,51,85
PAZÑA,atencion odontologica, primera consulta,2014-04-01,13,12,13,12,25
PELECHUCO,atencion odontologica, primera consulta,2014-04-01,18,26,18,26,44
POCOATA,atencion odontologica, primera consulta,2014-04-01,46,64,46,64,110
POCONA,atencion odontologica, primera consulta,2014-04-01,159,159,159,159,318
POJO (CBBA),atencion odontologica, primera consulta,2014-04-01,127,153,127,153,280
POOPO,atencion odontologica, primera consulta,2014-04-01,88,98,88,98,186
PORCO,atencion odontologica, primera consulta,2014-04-01,31,41,31,41,72
POROMA,atencion odontologica, primera consulta,2014-04-01,95,106,95,106,201
PORONGO,atencion odontologica, primera consulta,2014-04-01,207,228,207,228,435
PORTACHUELO,atencion odontologica, primera consulta,2014-04-01,47,61,47,61,108
PORVENIR,atencion odontologica, primera consulta,2014-04-01,34,40,34,40,74
POSTRER VALLE,atencion odontologica, primera consulta,2014-04-01,6,12,6,12,18
POTOSI,atencion odontologica, primera consulta,2014-04-01,741,1157,741,1157,1898
PRESTO,atencion odontologica, primera consulta,2014-04-01,53,95,53,95,148
PUCARA,atencion odontologica, primera consulta,2014-04-01,13,10,13,10,23
PUCARANI,atencion odontologica, primera consulta,2014-04-01,79,156,79,156,235
PUERTO ACOSTA,atencion odontologica, primera consulta,2014-04-01,40,32,40,32,72
PUERTO CARABUCO,atencion odontologica, primera consulta,2014-04-01,109,78,109,78,187
PUERTO GONZALO MORENO,atencion odontologica, primera consulta,2014-04-01,53,53,53,53,106
PUERTO PEREZ,atencion odontologica, primera consulta,2014-04-01,29,46,29,46,75
PUERTO QUIJARRO,atencion odontologica, primera consulta,2014-04-01,92,73,92,73,165
PUERTO RICO,atencion odontologica, primera consulta,2014-04-01,49,36,49,36,85
PUERTO SUAREZ,atencion odontologica, primera consulta,2014-04-01,11,23,11,23,34
PUERTO VILLARROEL,atencion odontologica, primera consulta,2014-04-01,134,198,134,198,332
PUNA,atencion odontologica, primera consulta,2014-04-01,84,131,84,131,215
PUNATA,atencion odontologica, primera consulta,2014-04-01,55,104,55,104,159
QUIABAYA,atencion odontologica, primera consulta,2014-04-01,39,54,39,54,93
QUILLACOLLO,atencion odontologica, primera consulta,2014-04-01,214,317,214,317,531
QUIME,atencion odontologica, primera consulta,2014-04-01,87,127,87,127,214
QUIRUSILLAS,atencion odontologica, primera consulta,2014-04-01,4,13,4,13,17
RAVELO,atencion odontologica, primera consulta,2014-04-01,77,90,77,90,167
REYES,atencion odontologica, primera consulta,2014-04-01,63,72,63,72,135
RIBERALTA,atencion odontologica, primera consulta,2014-04-01,256,601,256,601,857
ROBORE,atencion odontologica, primera consulta,2014-04-01,71,109,71,109,180
RURRENABAQUE,atencion odontologica, primera consulta,2014-04-01,54,132,54,132,186
SABAYA,atencion odontologica, primera consulta,2014-04-01,28,27,28,27,55
SACABA,atencion odontologica, primera consulta,2014-04-01,337,497,337,497,834
SACABAMBA,atencion odontologica, primera consulta,2014-04-01,16,14,16,14,30
SACACA,atencion odontologica, primera consulta,2014-04-01,51,119,51,119,170
SAIPINA,atencion odontologica, primera consulta,2014-04-01,9,19,9,19,28
SALINAS DE GARCI MENDOZA,atencion odontologica, primera consulta,2014-04-01,109,148,109,148,257
SAMAIPATA,atencion odontologica, primera consulta,2014-04-01,34,41,34,41,75
SAN AGUSTIN,atencion odontologica, primera consulta,2014-04-01,2,0,2,0,2
SAN ANDRES,atencion odontologica, primera consulta,2014-04-01,110,121,110,121,231
SAN ANDRES DE MACHACA,atencion odontologica, primera consulta,2014-04-01,54,77,54,77,131
SAN ANTONIO DE ESMORUCO,atencion odontologica, primera consulta,2014-04-01,6,16,6,16,22
SAN ANTONIO DE LOMERIO,atencion odontologica, primera consulta,2014-04-01,11,34,11,34,45
SAN BENITO,atencion odontologica, primera consulta,2014-04-01,34,45,34,45,79
SAN BORJA,atencion odontologica, primera consulta,2014-04-01,189,208,189,208,397
SAN BUENA VENTURA,atencion odontologica, primera consulta,2014-04-01,46,51,46,51,97
SAN CARLOS,atencion odontologica, primera consulta,2014-04-01,86,118,86,118,204
SAN IGNACIO,atencion odontologica, primera consulta,2014-04-01,217,343,217,343,560
SAN IGNACIO DE VELASCO,atencion odontologica, primera consulta,2014-04-01,72,165,72,165,237
SAN JOSE DE CHIQUITOS,atencion odontologica, primera consulta,2014-04-01,70,101,70,101,171
SAN JUAN DE YAPACANI,atencion odontologica, primera consulta,2014-04-01,7,9,7,9,16
SAN JULIAN,atencion odontologica, primera consulta,2014-04-01,419,672,419,672,1091
SAN LORENZO(PND),atencion odontologica, primera consulta,2014-04-01,26,25,26,25,51
SAN LORENZO(TJA),atencion odontologica, primera consulta,2014-04-01,178,344,178,344,522
SAN LUCAS,atencion odontologica, primera consulta,2014-04-01,219,284,219,284,503
SAN MATIAS,atencion odontologica, primera consulta,2014-04-01,51,57,51,57,108
SAN MIGUEL DE VELASCO,atencion odontologica, primera consulta,2014-04-01,36,32,36,32,68
SAN PABLO DE LIPEZ,atencion odontologica, primera consulta,2014-04-01,20,30,20,30,50
SAN PEDRO,atencion odontologica, primera consulta,2014-04-01,50,106,50,106,156
SAN PEDRO DE BUENA VISTA,atencion odontologica, primera consulta,2014-04-01,65,88,65,88,153
SAN PEDRO DE CURAHUARA,atencion odontologica, primera consulta,2014-04-01,9,14,9,14,23
SAN PEDRO DE QUEMES,atencion odontologica, primera consulta,2014-04-01,4,4,4,4,8
SAN PEDRO DE TIQUINA,atencion odontologica, primera consulta,2014-04-01,31,39,31,39,70
SAN RAFAEL,atencion odontologica, primera consulta,2014-04-01,8,26,8,26,34
SAN RAMON BENI,atencion odontologica, primera consulta,2014-04-01,27,51,27,51,78
SAN RAMON SCZ,atencion odontologica, primera consulta,2014-04-01,59,71,59,71,130
SANTA ANA,atencion odontologica, primera consulta,2014-04-01,123,102,123,102,225
SANTA CRUZ DE LA SIERRA,atencion odontologica, primera consulta,2014-04-01,4994,7542,4994,7542,12536
SANTA ROSA,atencion odontologica, primera consulta,2014-04-01,6,6,6,6,12
SANTA ROSA DEL SARA,atencion odontologica, primera consulta,2014-04-01,85,134,85,134,219
SANTIAGO DE CALLAPA,atencion odontologica, primera consulta,2014-04-01,26,42,26,42,68
SANTIAGO DE HUARI,atencion odontologica, primera consulta,2014-04-01,112,113,112,113,225
SANTIAGO DE HUATA,atencion odontologica, primera consulta,2014-04-01,22,34,22,34,56
SANTIAGO DE MACHACA,atencion odontologica, primera consulta,2014-04-01,10,14,10,14,24
SANTIVAÑES,atencion odontologica, primera consulta,2014-04-01,11,15,11,15,26
SANTUARIO DE QUILLACAS,atencion odontologica, primera consulta,2014-04-01,11,14,11,14,25
SAPAHAQUI,atencion odontologica, primera consulta,2014-04-01,26,47,26,47,73
SENA,atencion odontologica, primera consulta,2014-04-01,72,84,72,84,156
SHINAOTA,atencion odontologica, primera consulta,2014-04-01,14,32,14,32,46
SICA SICA (VILLA AROMA),atencion odontologica, primera consulta,2014-04-01,128,167,128,167,295
SICAYA,atencion odontologica, primera consulta,2014-04-01,5,6,5,6,11
SIPE SIPE,atencion odontologica, primera consulta,2014-04-01,95,187,95,187,282
SOPACHUY,atencion odontologica, primera consulta,2014-04-01,77,57,77,57,134
SORACACHI,atencion odontologica, primera consulta,2014-04-01,25,36,25,36,61
SORATA,atencion odontologica, primera consulta,2014-04-01,32,403,32,403,435
SUCRE,atencion odontologica, primera consulta,2014-04-01,2104,3071,2104,3071,5175
TACACHI,atencion odontologica, primera consulta,2014-04-01,1,4,1,4,5
TACACOMA,atencion odontologica, primera consulta,2014-04-01,35,44,35,44,79
TACOBAMBA,atencion odontologica, primera consulta,2014-04-01,3,4,3,4,7
TACOPAYA,atencion odontologica, primera consulta,2014-04-01,28,65,28,65,93
TAHUA,atencion odontologica, primera consulta,2014-04-01,8,20,8,20,28
TAPACARI,atencion odontologica, primera consulta,2014-04-01,60,82,60,82,142
TARABUCO,atencion odontologica, primera consulta,2014-04-01,75,140,75,140,215
TARACO,atencion odontologica, primera consulta,2014-04-01,44,50,44,50,94
TARATA,atencion odontologica, primera consulta,2014-04-01,54,84,54,84,138
TARIJA,atencion odontologica, primera consulta,2014-04-01,1658,2628,1658,2628,4286
TARVITA,atencion odontologica, primera consulta,2014-04-01,124,203,124,203,327
TEOPONTE,atencion odontologica, primera consulta,2014-04-01,37,59,37,59,96
TIAWANACU,atencion odontologica, primera consulta,2014-04-01,104,196,104,196,300
TINGUIPAYA,atencion odontologica, primera consulta,2014-04-01,32,67,32,67,99
TIPUANI,atencion odontologica, primera consulta,2014-04-01,36,29,36,29,65
TIQUIPAYA,atencion odontologica, primera consulta,2014-04-01,326,443,326,443,769
TIRAQUE (CBBA),atencion odontologica, primera consulta,2014-04-01,80,37,80,37,117
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, primera consulta,2014-04-01,16,23,16,23,39
TOCO,atencion odontologica, primera consulta,2014-04-01,62,67,62,67,129
TOLATA,atencion odontologica, primera consulta,2014-04-01,31,41,31,41,72
TOLEDO,atencion odontologica, primera consulta,2014-04-01,10,15,10,15,25
TOMAVE,atencion odontologica, primera consulta,2014-04-01,61,55,61,55,116
TOMINA,atencion odontologica, primera consulta,2014-04-01,135,191,135,191,326
TORO TORO,atencion odontologica, primera consulta,2014-04-01,39,50,39,50,89
TOTORA(CBBA),atencion odontologica, primera consulta,2014-04-01,41,43,41,43,84
TOTORA(ORR),atencion odontologica, primera consulta,2014-04-01,27,28,27,28,55
TRIGAL,atencion odontologica, primera consulta,2014-04-01,21,19,21,19,40
TRINIDAD,atencion odontologica, primera consulta,2014-04-01,511,701,511,701,1212
TUPIZA,atencion odontologica, primera consulta,2014-04-01,120,188,120,188,308
TURCO,atencion odontologica, primera consulta,2014-04-01,21,26,21,26,47
UMALA,atencion odontologica, primera consulta,2014-04-01,13,19,13,19,32
UNCIA,atencion odontologica, primera consulta,2014-04-01,76,108,76,108,184
URIONDO (A. CONCEPCION),atencion odontologica, primera consulta,2014-04-01,199,289,199,289,488
URUBICHA,atencion odontologica, primera consulta,2014-04-01,4,17,4,17,21
UYUNI,atencion odontologica, primera consulta,2014-04-01,114,150,114,150,264
VACAS,atencion odontologica, primera consulta,2014-04-01,26,60,26,60,86
VALLEGRANDE,atencion odontologica, primera consulta,2014-04-01,163,184,163,184,347
VIACHA,atencion odontologica, primera consulta,2014-04-01,168,264,168,264,432
VILA VILA,atencion odontologica, primera consulta,2014-04-01,4,9,4,9,13
VILLA CHARCAS,atencion odontologica, primera consulta,2014-04-01,65,117,65,117,182
VILLA MONTES,atencion odontologica, primera consulta,2014-04-01,367,569,367,569,936
VILLA NUEVA (LOMA ALTA),atencion odontologica, primera consulta,2014-04-01,13,13,13,13,26
VILLA RIVERO,atencion odontologica, primera consulta,2014-04-01,21,34,21,34,55
VILLA SERRANO,atencion odontologica, primera consulta,2014-04-01,89,124,89,124,213
VILLA TUNARI,atencion odontologica, primera consulta,2014-04-01,208,273,208,273,481
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, primera consulta,2014-04-01,89,141,89,141,230
VILLAZON,atencion odontologica, primera consulta,2014-04-01,111,208,111,208,319
VINTO,atencion odontologica, primera consulta,2014-04-01,54,99,54,99,153
VITICHI,atencion odontologica, primera consulta,2014-04-01,49,94,49,94,143
WALDO BALLIVIAN,atencion odontologica, primera consulta,2014-04-01,5,6,5,6,11
WARNES,atencion odontologica, primera consulta,2014-04-01,60,148,60,148,208
YACUIBA,atencion odontologica, primera consulta,2014-04-01,265,497,265,497,762
YAMPARAEZ,atencion odontologica, primera consulta,2014-04-01,65,95,65,95,160
YANACACHI,atencion odontologica, primera consulta,2014-04-01,23,29,23,29,52
YAPACANI,atencion odontologica, primera consulta,2014-04-01,104,178,104,178,282
YOCALLA,atencion odontologica, primera consulta,2014-04-01,27,46,27,46,73
YOTALA,atencion odontologica, primera consulta,2014-04-01,58,69,58,69,127
YUNCHARA,atencion odontologica, primera consulta,2014-04-01,94,118,94,118,212
ZUDAÑEZ,atencion odontologica, primera consulta,2014-04-01,72,87,72,87,159
ACACIO,atencion odontologica, primera consulta,2014-05-01,29,25,29,25,54
ACHACACHI,atencion odontologica, primera consulta,2014-05-01,224,260,224,260,484
ACHOCALLA,atencion odontologica, primera consulta,2014-05-01,41,58,41,58,99
AIQUILE,atencion odontologica, primera consulta,2014-05-01,30,38,30,38,68
ALALAY,atencion odontologica, primera consulta,2014-05-01,12,18,12,18,30
ALCALA,atencion odontologica, primera consulta,2014-05-01,20,30,20,30,50
ALTO BENI,atencion odontologica, primera consulta,2014-05-01,17,11,17,11,28
ANCORAIMES,atencion odontologica, primera consulta,2014-05-01,31,33,31,33,64
ANDAMARCA,atencion odontologica, primera consulta,2014-05-01,31,38,31,38,69
ANTEQUERA,atencion odontologica, primera consulta,2014-05-01,165,130,165,130,295
ANZALDO,atencion odontologica, primera consulta,2014-05-01,83,96,83,96,179
APOLO,atencion odontologica, primera consulta,2014-05-01,24,36,24,36,60
ARAMPAMPA,atencion odontologica, primera consulta,2014-05-01,37,56,37,56,93
ARANI,atencion odontologica, primera consulta,2014-05-01,18,32,18,32,50
ARBIETO,atencion odontologica, primera consulta,2014-05-01,129,152,129,152,281
ARQUE,atencion odontologica, primera consulta,2014-05-01,69,68,69,68,137
ASCENCION DE GUARAYOS,atencion odontologica, primera consulta,2014-05-01,68,108,68,108,176
ATOCHA,atencion odontologica, primera consulta,2014-05-01,308,318,308,318,626
AUCAPATA,atencion odontologica, primera consulta,2014-05-01,31,59,31,59,90
AYATA,atencion odontologica, primera consulta,2014-05-01,32,66,32,66,98
AYO AYO,atencion odontologica, primera consulta,2014-05-01,34,49,34,49,83
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, primera consulta,2014-05-01,121,102,121,102,223
AZURDUY,atencion odontologica, primera consulta,2014-05-01,54,90,54,90,144
BATALLAS,atencion odontologica, primera consulta,2014-05-01,47,67,47,67,114
BAURES,atencion odontologica, primera consulta,2014-05-01,18,23,18,23,41
BELEN DE ANDAMARCA,atencion odontologica, primera consulta,2014-05-01,8,20,8,20,28
BELEN DE URMIRI,atencion odontologica, primera consulta,2014-05-01,9,10,9,10,19
BELLA FLOR,atencion odontologica, primera consulta,2014-05-01,9,13,9,13,22
BERMEJO,atencion odontologica, primera consulta,2014-05-01,354,530,354,530,884
BETANZOS,atencion odontologica, primera consulta,2014-05-01,72,105,72,105,177
BOLIVAR,atencion odontologica, primera consulta,2014-05-01,47,35,47,35,82
BOLPEBRA,atencion odontologica, primera consulta,2014-05-01,2,8,2,8,10
BOYUIBE,atencion odontologica, primera consulta,2014-05-01,16,20,16,20,36
BUENA VISTA,atencion odontologica, primera consulta,2014-05-01,27,63,27,63,90
CABEZAS,atencion odontologica, primera consulta,2014-05-01,80,132,80,132,212
CAIROMA,atencion odontologica, primera consulta,2014-05-01,19,35,19,35,54
"CAIZA ""D""",atencion odontologica, primera consulta,2014-05-01,27,31,27,31,58
CAJUATA,atencion odontologica, primera consulta,2014-05-01,62,85,62,85,147
CALACOTO,atencion odontologica, primera consulta,2014-05-01,15,26,15,26,41
CALAMARCA,atencion odontologica, primera consulta,2014-05-01,58,73,58,73,131
CAMARGO,atencion odontologica, primera consulta,2014-05-01,48,72,48,72,120
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, primera consulta,2014-05-01,36,42,36,42,78
CAMIRI,atencion odontologica, primera consulta,2014-05-01,1042,1117,1042,1117,2159
CAPINOTA,atencion odontologica, primera consulta,2014-05-01,14,42,14,42,56
CAQUIAVIRI,atencion odontologica, primera consulta,2014-05-01,44,63,44,63,107
CARACOLLO,atencion odontologica, primera consulta,2014-05-01,39,46,39,46,85
CARANAVI,atencion odontologica, primera consulta,2014-05-01,133,151,133,151,284
CARAPARI,atencion odontologica, primera consulta,2014-05-01,89,105,89,105,194
CARIPUYO,atencion odontologica, primera consulta,2014-05-01,3,6,3,6,9
CARMEN RIVERO TORREZ,atencion odontologica, primera consulta,2014-05-01,9,18,9,18,27
CATACORA,atencion odontologica, primera consulta,2014-05-01,8,10,8,10,18
CHACARILLA,atencion odontologica, primera consulta,2014-05-01,23,14,23,14,37
CHALLAPATA,atencion odontologica, primera consulta,2014-05-01,126,181,126,181,307
CHAQUI,atencion odontologica, primera consulta,2014-05-01,12,20,12,20,32
CHARAGUA,atencion odontologica, primera consulta,2014-05-01,97,149,97,149,246
CHARAÑA,atencion odontologica, primera consulta,2014-05-01,16,13,16,13,29
CHAYANTA,atencion odontologica, primera consulta,2014-05-01,59,81,59,81,140
CHIMORE,atencion odontologica, primera consulta,2014-05-01,81,105,81,105,186
CHIPAYA,atencion odontologica, primera consulta,2014-05-01,7,17,7,17,24
CHOQUE COTA,atencion odontologica, primera consulta,2014-05-01,6,12,6,12,18
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, primera consulta,2014-05-01,58,23,58,23,81
CHUMA,atencion odontologica, primera consulta,2014-05-01,100,115,100,115,215
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, primera consulta,2014-05-01,93,124,93,124,217
CKOCHAS,atencion odontologica, primera consulta,2014-05-01,89,109,89,109,198
CLIZA,atencion odontologica, primera consulta,2014-05-01,40,285,40,285,325
COBIJA,atencion odontologica, primera consulta,2014-05-01,384,426,384,426,810
COCAPATA,atencion odontologica, primera consulta,2014-05-01,77,84,77,84,161
COCHABAMBA,atencion odontologica, primera consulta,2014-05-01,1840,2387,1840,2387,4227
COIPASA,atencion odontologica, primera consulta,2014-05-01,5,6,5,6,11
COLCAPIRHUA,atencion odontologica, primera consulta,2014-05-01,44,79,44,79,123
"COLCHA ""K""",atencion odontologica, primera consulta,2014-05-01,52,54,52,54,106
COLLANA,atencion odontologica, primera consulta,2014-05-01,20,26,20,26,46
COLOMI,atencion odontologica, primera consulta,2014-05-01,50,69,50,69,119
COLPA BELGICA,atencion odontologica, primera consulta,2014-05-01,34,45,34,45,79
COLQUECHACA,atencion odontologica, primera consulta,2014-05-01,117,185,117,185,302
COLQUENCHA,atencion odontologica, primera consulta,2014-05-01,6,8,6,8,14
COLQUIRI,atencion odontologica, primera consulta,2014-05-01,29,32,29,32,61
COMANCHE,atencion odontologica, primera consulta,2014-05-01,13,19,13,19,32
COMARAPA,atencion odontologica, primera consulta,2014-05-01,88,136,88,136,224
COMBAYA,atencion odontologica, primera consulta,2014-05-01,14,23,14,23,37
CONCEPCION,atencion odontologica, primera consulta,2014-05-01,45,94,45,94,139
COPACABANA,atencion odontologica, primera consulta,2014-05-01,47,51,47,51,98
CORIPATA,atencion odontologica, primera consulta,2014-05-01,11,12,11,12,23
CORO CORO,atencion odontologica, primera consulta,2014-05-01,27,41,27,41,68
COROICO,atencion odontologica, primera consulta,2014-05-01,13,10,13,10,23
CORQUE,atencion odontologica, primera consulta,2014-05-01,20,20,20,20,40
COTAGAITA,atencion odontologica, primera consulta,2014-05-01,189,236,189,236,425
COTOCA,atencion odontologica, primera consulta,2014-05-01,88,118,88,118,206
CUATRO CAÑADAS,atencion odontologica, primera consulta,2014-05-01,68,111,68,111,179
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, primera consulta,2014-05-01,1,3,1,3,4
CUEVO,atencion odontologica, primera consulta,2014-05-01,26,34,26,34,60
CULPINA,atencion odontologica, primera consulta,2014-05-01,99,157,99,157,256
CURAHUARA DE CARANGAS,atencion odontologica, primera consulta,2014-05-01,107,91,107,91,198
CURVA,atencion odontologica, primera consulta,2014-05-01,18,38,18,38,56
DESAGUADERO,atencion odontologica, primera consulta,2014-05-01,100,123,100,123,223
EL ALTO,atencion odontologica, primera consulta,2014-05-01,2762,3584,2762,3584,6346
EL CHORO,atencion odontologica, primera consulta,2014-05-01,34,39,34,39,73
EL PUENTE(STC),atencion odontologica, primera consulta,2014-05-01,126,134,126,134,260
EL PUENTE(TJA),atencion odontologica, primera consulta,2014-05-01,106,174,106,174,280
EL TORNO,atencion odontologica, primera consulta,2014-05-01,182,249,182,249,431
EL VILLAR,atencion odontologica, primera consulta,2014-05-01,32,47,32,47,79
ENTRE RIOS TRJ,atencion odontologica, primera consulta,2014-05-01,188,288,188,288,476
ENTRE RIOS CBBA,atencion odontologica, primera consulta,2014-05-01,48,81,48,81,129
ESCOMA,atencion odontologica, primera consulta,2014-05-01,36,66,36,66,102
EUCALIPTUS,atencion odontologica, primera consulta,2014-05-01,29,50,29,50,79
FERNANDEZ ALONSO,atencion odontologica, primera consulta,2014-05-01,50,54,50,54,104
FILADELFIA,atencion odontologica, primera consulta,2014-05-01,14,19,14,19,33
GENERAL SAAVEDRA,atencion odontologica, primera consulta,2014-05-01,43,66,43,66,109
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, primera consulta,2014-05-01,145,169,145,169,314
GUANAY,atencion odontologica, primera consulta,2014-05-01,103,132,103,132,235
GUAQUI,atencion odontologica, primera consulta,2014-05-01,113,114,113,114,227
GUAYARAMERIN,atencion odontologica, primera consulta,2014-05-01,301,328,301,328,629
GUTIERREZ,atencion odontologica, primera consulta,2014-05-01,25,54,25,54,79
HUACARETA,atencion odontologica, primera consulta,2014-05-01,38,37,38,37,75
HUACAYA (VILLA DE HUACAYA),atencion odontologica, primera consulta,2014-05-01,26,28,26,28,54
HUACHACALLA,atencion odontologica, primera consulta,2014-05-01,5,10,5,10,15
HUANUNI,atencion odontologica, primera consulta,2014-05-01,64,91,64,91,155
HUARACAJE,atencion odontologica, primera consulta,2014-05-01,11,20,11,20,31
HUARINA,atencion odontologica, primera consulta,2014-05-01,4,12,4,12,16
HUATAJATA,atencion odontologica, primera consulta,2014-05-01,16,29,16,29,45
HUAYLLAMARCA,atencion odontologica, primera consulta,2014-05-01,44,56,44,56,100
HUMANATA,atencion odontologica, primera consulta,2014-05-01,53,63,53,63,116
ICHOCA,atencion odontologica, primera consulta,2014-05-01,38,34,38,34,72
ICLA,atencion odontologica, primera consulta,2014-05-01,35,56,35,56,91
INCAHUASI,atencion odontologica, primera consulta,2014-05-01,104,203,104,203,307
INGAVI (HUMAITA),atencion odontologica, primera consulta,2014-05-01,2,8,2,8,10
INQUISIVI,atencion odontologica, primera consulta,2014-05-01,79,126,79,126,205
IRUPANA (VILLA DE LANZA),atencion odontologica, primera consulta,2014-05-01,65,84,65,84,149
IXIAMAS,atencion odontologica, primera consulta,2014-05-01,56,68,56,68,124
JESUS DE MACHACA,atencion odontologica, primera consulta,2014-05-01,64,115,64,115,179
LA ASUNTA,atencion odontologica, primera consulta,2014-05-01,231,310,231,310,541
LA GUARDIA,atencion odontologica, primera consulta,2014-05-01,140,216,140,216,356
LA PAZ,atencion odontologica, primera consulta,2014-05-01,4181,5280,4181,5280,9461
LA RIVERA,atencion odontologica, primera consulta,2014-05-01,0,3,0,3,3
LAGUNILLAS,atencion odontologica, primera consulta,2014-05-01,54,61,54,61,115
LAJA,atencion odontologica, primera consulta,2014-05-01,73,160,73,160,233
LAS CARRERAS,atencion odontologica, primera consulta,2014-05-01,34,53,34,53,87
LICOMA PAMPA,atencion odontologica, primera consulta,2014-05-01,15,15,15,15,30
LLALLAGUA,atencion odontologica, primera consulta,2014-05-01,114,175,114,175,289
LLICA,atencion odontologica, primera consulta,2014-05-01,19,23,19,23,42
LORETO,atencion odontologica, primera consulta,2014-05-01,5,4,5,4,9
LURIBAY,atencion odontologica, primera consulta,2014-05-01,25,35,25,35,60
MACHACAMARCA,atencion odontologica, primera consulta,2014-05-01,17,19,17,19,36
MACHARETI,atencion odontologica, primera consulta,2014-05-01,51,57,51,57,108
MAGDALENA,atencion odontologica, primera consulta,2014-05-01,30,33,30,33,63
MAIRANA,atencion odontologica, primera consulta,2014-05-01,18,53,18,53,71
MALLA,atencion odontologica, primera consulta,2014-05-01,2,11,2,11,13
MAPIRI,atencion odontologica, primera consulta,2014-05-01,161,178,161,178,339
MECAPACA,atencion odontologica, primera consulta,2014-05-01,99,98,99,98,197
MINEROS,atencion odontologica, primera consulta,2014-05-01,104,138,104,138,242
MIZQUE,atencion odontologica, primera consulta,2014-05-01,67,121,67,121,188
MOCOMOCO,atencion odontologica, primera consulta,2014-05-01,86,97,86,97,183
