,group,variable,month,TOTAL 312 OTRAS ACCIONES CANTIDAD,TOTAL 312 OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
DESAGUADERO,atencion odontologica,otras acciones,2014-03-01,0.0,4.0,0.0,4.0,4.0
EL ALTO,atencion odontologica,otras acciones,2014-03-01,1249.0,1651.0,1249.0,1651.0,2900.0
EL CHORO,atencion odontologica,otras acciones,2014-03-01,7.0,17.0,7.0,17.0,24.0
EL PUENTE(STC),atencion odontologica,otras acciones,2014-03-01,5.0,24.0,5.0,24.0,29.0
EL PUENTE(TJA),atencion odontologica,otras acciones,2014-03-01,24.0,41.0,24.0,41.0,65.0
EL TORNO,atencion odontologica,otras acciones,2014-03-01,40.0,7.0,40.0,7.0,47.0
EL VILLAR,atencion odontologica,otras acciones,2014-03-01,8.0,20.0,8.0,20.0,28.0
ENTRE RIOS TRJ,atencion odontologica,otras acciones,2014-03-01,32.0,82.0,32.0,82.0,114.0
ENTRE RIOS CBBA,atencion odontologica,otras acciones,2014-03-01,48.0,114.0,48.0,114.0,162.0
ESCOMA,atencion odontologica,otras acciones,2014-03-01,7.0,1.0,7.0,1.0,8.0
EUCALIPTUS,atencion odontologica,otras acciones,2014-03-01,20.0,32.0,20.0,32.0,52.0
FERNANDEZ ALONSO,atencion odontologica,otras acciones,2014-03-01,17.0,33.0,17.0,33.0,50.0
FILADELFIA,atencion odontologica,otras acciones,2014-03-01,7.0,7.0,7.0,7.0,14.0
GENERAL SAAVEDRA,atencion odontologica,otras acciones,2014-03-01,9.0,18.0,9.0,18.0,27.0
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,otras acciones,2014-03-01,20.0,19.0,20.0,19.0,39.0
GUAQUI,atencion odontologica,otras acciones,2014-03-01,22.0,11.0,22.0,11.0,33.0
GUAYARAMERIN,atencion odontologica,otras acciones,2014-03-01,7.0,16.0,7.0,16.0,23.0
GUTIERREZ,atencion odontologica,otras acciones,2014-03-01,0.0,1.0,0.0,1.0,1.0
HUACARETA,atencion odontologica,otras acciones,2014-03-01,32.0,47.0,32.0,47.0,79.0
HUACAYA (VILLA DE HUACAYA),atencion odontologica,otras acciones,2014-03-01,17.0,35.0,17.0,35.0,52.0
HUACHACALLA,atencion odontologica,otras acciones,2014-03-01,4.0,6.0,4.0,6.0,10.0
HUANUNI,atencion odontologica,otras acciones,2014-03-01,101.0,175.0,101.0,175.0,276.0
HUARINA,atencion odontologica,otras acciones,2014-03-01,9.0,7.0,9.0,7.0,16.0
HUATAJATA,atencion odontologica,otras acciones,2014-03-01,8.0,17.0,8.0,17.0,25.0
HUAYLLAMARCA,atencion odontologica,otras acciones,2014-03-01,55.0,70.0,55.0,70.0,125.0
HUMANATA,atencion odontologica,otras acciones,2014-03-01,42.0,11.0,42.0,11.0,53.0
ICHOCA,atencion odontologica,otras acciones,2014-03-01,6.0,21.0,6.0,21.0,27.0
ICLA,atencion odontologica,otras acciones,2014-03-01,35.0,69.0,35.0,69.0,104.0
INCAHUASI,atencion odontologica,otras acciones,2014-03-01,26.0,60.0,26.0,60.0,86.0
INGAVI (HUMAITA),atencion odontologica,otras acciones,2014-03-01,6.0,6.0,6.0,6.0,12.0
INQUISIVI,atencion odontologica,otras acciones,2014-03-01,10.0,12.0,10.0,12.0,22.0
IXIAMAS,atencion odontologica,otras acciones,2014-03-01,26.0,51.0,26.0,51.0,77.0
JESUS DE MACHACA,atencion odontologica,otras acciones,2014-03-01,13.0,32.0,13.0,32.0,45.0
LA GUARDIA,atencion odontologica,otras acciones,2014-03-01,11.0,26.0,11.0,26.0,37.0
LA PAZ,atencion odontologica,otras acciones,2014-03-01,2108.0,2787.0,2108.0,2787.0,4895.0
LA RIVERA,atencion odontologica,otras acciones,2014-03-01,9.0,7.0,9.0,7.0,16.0
LAJA,atencion odontologica,otras acciones,2014-03-01,0.0,1.0,0.0,1.0,1.0
LAS CARRERAS,atencion odontologica,otras acciones,2014-03-01,0.0,4.0,0.0,4.0,4.0
LICOMA PAMPA,atencion odontologica,otras acciones,2014-03-01,1.0,9.0,1.0,9.0,10.0
LLALLAGUA,atencion odontologica,otras acciones,2014-03-01,68.0,189.0,68.0,189.0,257.0
LLICA,atencion odontologica,otras acciones,2014-03-01,35.0,41.0,35.0,41.0,76.0
LURIBAY,atencion odontologica,otras acciones,2014-03-01,8.0,9.0,8.0,9.0,17.0
MACHACAMARCA,atencion odontologica,otras acciones,2014-03-01,5.0,8.0,5.0,8.0,13.0
MACHARETI,atencion odontologica,otras acciones,2014-03-01,29.0,49.0,29.0,49.0,78.0
MAGDALENA,atencion odontologica,otras acciones,2014-03-01,20.0,28.0,20.0,28.0,48.0
MAIRANA,atencion odontologica,otras acciones,2014-03-01,4.0,15.0,4.0,15.0,19.0
MAPIRI,atencion odontologica,otras acciones,2014-03-01,27.0,54.0,27.0,54.0,81.0
MECAPACA,atencion odontologica,otras acciones,2014-03-01,5.0,5.0,5.0,5.0,10.0
MINEROS,atencion odontologica,otras acciones,2014-03-01,13.0,34.0,13.0,34.0,47.0
MIZQUE,atencion odontologica,otras acciones,2014-03-01,47.0,85.0,47.0,85.0,132.0
MOCOMOCO,atencion odontologica,otras acciones,2014-03-01,13.0,14.0,13.0,14.0,27.0
MOJOCOYA,atencion odontologica,otras acciones,2014-03-01,40.0,78.0,40.0,78.0,118.0
MONTEAGUDO,atencion odontologica,otras acciones,2014-03-01,84.0,218.0,84.0,218.0,302.0
MONTERO,atencion odontologica,otras acciones,2014-03-01,28.0,36.0,28.0,36.0,64.0
MORO MORO,atencion odontologica,otras acciones,2014-03-01,0.0,3.0,0.0,3.0,3.0
MOROCHATA,atencion odontologica,otras acciones,2014-03-01,20.0,35.0,20.0,35.0,55.0
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,otras acciones,2014-03-01,2.0,4.0,2.0,4.0,6.0
OCURI,atencion odontologica,otras acciones,2014-03-01,20.0,6.0,20.0,6.0,26.0
OMEREQUE,atencion odontologica,otras acciones,2014-03-01,14.0,27.0,14.0,27.0,41.0
ORURO,atencion odontologica,otras acciones,2014-03-01,894.0,1477.0,894.0,1477.0,2371.0
PADCAYA,atencion odontologica,otras acciones,2014-03-01,43.0,135.0,43.0,135.0,178.0
PADILLA,atencion odontologica,otras acciones,2014-03-01,6.0,26.0,6.0,26.0,32.0
PAILON,atencion odontologica,otras acciones,2014-03-01,7.0,22.0,7.0,22.0,29.0
PALCA,atencion odontologica,otras acciones,2014-03-01,42.0,32.0,42.0,32.0,74.0
PALOS BLANCOS,atencion odontologica,otras acciones,2014-03-01,23.0,27.0,23.0,27.0,50.0
PAMPA AULLAGAS,atencion odontologica,otras acciones,2014-03-01,7.0,27.0,7.0,27.0,34.0
PAMPA GRANDE,atencion odontologica,otras acciones,2014-03-01,27.0,25.0,27.0,25.0,52.0
PAPEL PAMPA,atencion odontologica,otras acciones,2014-03-01,19.0,33.0,19.0,33.0,52.0
PASORAPA,atencion odontologica,otras acciones,2014-03-01,3.0,8.0,3.0,8.0,11.0
PATACAMAYA,atencion odontologica,otras acciones,2014-03-01,3.0,39.0,3.0,39.0,42.0
PAZÑA,atencion odontologica,otras acciones,2014-03-01,22.0,20.0,22.0,20.0,42.0
PELECHUCO,atencion odontologica,otras acciones,2014-03-01,1.0,0.0,1.0,0.0,1.0
POCOATA,atencion odontologica,otras acciones,2014-03-01,36.0,48.0,36.0,48.0,84.0
POCONA,atencion odontologica,otras acciones,2014-03-01,16.0,41.0,16.0,41.0,57.0
POJO (CBBA),atencion odontologica,otras acciones,2014-03-01,37.0,29.0,37.0,29.0,66.0
POOPO,atencion odontologica,otras acciones,2014-03-01,24.0,27.0,24.0,27.0,51.0
PORCO,atencion odontologica,otras acciones,2014-03-01,30.0,51.0,30.0,51.0,81.0
POROMA,atencion odontologica,otras acciones,2014-03-01,77.0,65.0,77.0,65.0,142.0
PORTACHUELO,atencion odontologica,otras acciones,2014-03-01,23.0,32.0,23.0,32.0,55.0
PORVENIR,atencion odontologica,otras acciones,2014-03-01,3.0,12.0,3.0,12.0,15.0
POSTRER VALLE,atencion odontologica,otras acciones,2014-03-01,4.0,0.0,4.0,0.0,4.0
POTOSI,atencion odontologica,otras acciones,2014-03-01,541.0,882.0,541.0,882.0,1423.0
PRESTO,atencion odontologica,otras acciones,2014-03-01,3.0,8.0,3.0,8.0,11.0
PUCARA,atencion odontologica,otras acciones,2014-03-01,3.0,5.0,3.0,5.0,8.0
PUCARANI,atencion odontologica,otras acciones,2014-03-01,8.0,23.0,8.0,23.0,31.0
PUERTO ACOSTA,atencion odontologica,otras acciones,2014-03-01,7.0,7.0,7.0,7.0,14.0
PUERTO CARABUCO,atencion odontologica,otras acciones,2014-03-01,40.0,31.0,40.0,31.0,71.0
PUERTO QUIJARRO,atencion odontologica,otras acciones,2014-03-01,41.0,53.0,41.0,53.0,94.0
PUERTO RICO,atencion odontologica,otras acciones,2014-03-01,24.0,52.0,24.0,52.0,76.0
PUERTO SUAREZ,atencion odontologica,otras acciones,2014-03-01,3.0,11.0,3.0,11.0,14.0
PUERTO VILLARROEL,atencion odontologica,otras acciones,2014-03-01,49.0,73.0,49.0,73.0,122.0
PUNA,atencion odontologica,otras acciones,2014-03-01,107.0,160.0,107.0,160.0,267.0
PUNATA,atencion odontologica,otras acciones,2014-03-01,76.0,87.0,76.0,87.0,163.0
QUIABAYA,atencion odontologica,otras acciones,2014-03-01,2.0,0.0,2.0,0.0,2.0
QUILLACOLLO,atencion odontologica,otras acciones,2014-03-01,239.0,326.0,239.0,326.0,565.0
QUIME,atencion odontologica,otras acciones,2014-03-01,38.0,35.0,38.0,35.0,73.0
QUIRUSILLAS,atencion odontologica,otras acciones,2014-03-01,10.0,9.0,10.0,9.0,19.0
RAVELO,atencion odontologica,otras acciones,2014-03-01,12.0,20.0,12.0,20.0,32.0
REYES,atencion odontologica,otras acciones,2014-03-01,7.0,7.0,7.0,7.0,14.0
RIBERALTA,atencion odontologica,otras acciones,2014-03-01,43.0,49.0,43.0,49.0,92.0
RURRENABAQUE,atencion odontologica,otras acciones,2014-03-01,8.0,21.0,8.0,21.0,29.0
SABAYA,atencion odontologica,otras acciones,2014-03-01,11.0,22.0,11.0,22.0,33.0
SACABA,atencion odontologica,otras acciones,2014-03-01,227.0,434.0,227.0,434.0,661.0
SACABAMBA,atencion odontologica,otras acciones,2014-03-01,3.0,9.0,3.0,9.0,12.0
SACACA,atencion odontologica,otras acciones,2014-03-01,9.0,16.0,9.0,16.0,25.0
SAIPINA,atencion odontologica,otras acciones,2014-03-01,48.0,71.0,48.0,71.0,119.0
SALINAS DE GARCI MENDOZA,atencion odontologica,otras acciones,2014-03-01,69.0,77.0,69.0,77.0,146.0
SAMAIPATA,atencion odontologica,otras acciones,2014-03-01,2.0,0.0,2.0,0.0,2.0
SAN AGUSTIN,atencion odontologica,otras acciones,2014-03-01,7.0,1.0,7.0,1.0,8.0
SAN ANDRES,atencion odontologica,otras acciones,2014-03-01,5.0,10.0,5.0,10.0,15.0
SAN ANDRES DE MACHACA,atencion odontologica,otras acciones,2014-03-01,9.0,13.0,9.0,13.0,22.0
SAN ANTONIO DE ESMORUCO,atencion odontologica,otras acciones,2014-03-01,10.0,9.0,10.0,9.0,19.0
SAN ANTONIO DE LOMERIO,atencion odontologica,otras acciones,2014-03-01,2.0,2.0,2.0,2.0,4.0
SAN BENITO,atencion odontologica,otras acciones,2014-03-01,44.0,133.0,44.0,133.0,177.0
SAN BORJA,atencion odontologica,otras acciones,2014-03-01,8.0,6.0,8.0,6.0,14.0
SAN CARLOS,atencion odontologica,otras acciones,2014-03-01,16.0,17.0,16.0,17.0,33.0
SAN IGNACIO,atencion odontologica,otras acciones,2014-03-01,0.0,7.0,0.0,7.0,7.0
SAN JOSE DE CHIQUITOS,atencion odontologica,otras acciones,2014-03-01,3.0,3.0,3.0,3.0,6.0
SAN JUAN DE YAPACANI,atencion odontologica,otras acciones,2014-03-01,2.0,7.0,2.0,7.0,9.0
SAN LORENZO(TJA),atencion odontologica,otras acciones,2014-03-01,224.0,482.0,224.0,482.0,706.0
SAN LUCAS,atencion odontologica,otras acciones,2014-03-01,53.0,64.0,53.0,64.0,117.0
SAN MATIAS,atencion odontologica,otras acciones,2014-03-01,2.0,3.0,2.0,3.0,5.0
SAN MIGUEL DE VELASCO,atencion odontologica,otras acciones,2014-03-01,24.0,45.0,24.0,45.0,69.0
SAN PABLO DE LIPEZ,atencion odontologica,otras acciones,2014-03-01,13.0,22.0,13.0,22.0,35.0
SAN PEDRO,atencion odontologica,otras acciones,2014-03-01,22.0,33.0,22.0,33.0,55.0
SAN PEDRO DE BUENA VISTA,atencion odontologica,otras acciones,2014-03-01,26.0,67.0,26.0,67.0,93.0
SAN PEDRO DE CURAHUARA,atencion odontologica,otras acciones,2014-03-01,6.0,4.0,6.0,4.0,10.0
SAN PEDRO DE QUEMES,atencion odontologica,otras acciones,2014-03-01,4.0,1.0,4.0,1.0,5.0
SAN PEDRO DE TIQUINA,atencion odontologica,otras acciones,2014-03-01,7.0,10.0,7.0,10.0,17.0
SAN RAFAEL,atencion odontologica,otras acciones,2014-03-01,0.0,7.0,0.0,7.0,7.0
SAN RAMON SCZ,atencion odontologica,otras acciones,2014-03-01,2.0,2.0,2.0,2.0,4.0
SANTA ANA,atencion odontologica,otras acciones,2014-03-01,51.0,43.0,51.0,43.0,94.0
SANTA CRUZ DE LA SIERRA,atencion odontologica,otras acciones,2014-03-01,6786.0,1061.0,6786.0,1061.0,7847.0
SANTA ROSA,atencion odontologica,otras acciones,2014-03-01,6.0,2.0,6.0,2.0,8.0
SANTA ROSA DEL SARA,atencion odontologica,otras acciones,2014-03-01,1.0,6.0,1.0,6.0,7.0
SANTIAGO DE CALLAPA,atencion odontologica,otras acciones,2014-03-01,7.0,7.0,7.0,7.0,14.0
SANTIAGO DE HUARI,atencion odontologica,otras acciones,2014-03-01,33.0,48.0,33.0,48.0,81.0
SANTIAGO DE HUATA,atencion odontologica,otras acciones,2014-03-01,16.0,9.0,16.0,9.0,25.0
SANTIAGO DE MACHACA,atencion odontologica,otras acciones,2014-03-01,1.0,3.0,1.0,3.0,4.0
SANTIVAÑES,atencion odontologica,otras acciones,2014-03-01,9.0,12.0,9.0,12.0,21.0
SANTUARIO DE QUILLACAS,atencion odontologica,otras acciones,2014-03-01,21.0,29.0,21.0,29.0,50.0
SHINAOTA,atencion odontologica,otras acciones,2014-03-01,7.0,4.0,7.0,4.0,11.0
SICA SICA (VILLA AROMA),atencion odontologica,otras acciones,2014-03-01,10.0,12.0,10.0,12.0,22.0
SICAYA,atencion odontologica,otras acciones,2014-03-01,7.0,24.0,7.0,24.0,31.0
SIPE SIPE,atencion odontologica,otras acciones,2014-03-01,19.0,27.0,19.0,27.0,46.0
SOPACHUY,atencion odontologica,otras acciones,2014-03-01,36.0,69.0,36.0,69.0,105.0
SORACACHI,atencion odontologica,otras acciones,2014-03-01,39.0,52.0,39.0,52.0,91.0
SORATA,atencion odontologica,otras acciones,2014-03-01,13.0,15.0,13.0,15.0,28.0
SUCRE,atencion odontologica,otras acciones,2014-03-01,697.0,1036.0,697.0,1036.0,1733.0
TACACHI,atencion odontologica,otras acciones,2014-03-01,2.0,0.0,2.0,0.0,2.0
TACACOMA,atencion odontologica,otras acciones,2014-03-01,0.0,1.0,0.0,1.0,1.0
TACOBAMBA,atencion odontologica,otras acciones,2014-03-01,0.0,13.0,0.0,13.0,13.0
TACOPAYA,atencion odontologica,otras acciones,2014-03-01,0.0,2.0,0.0,2.0,2.0
TAPACARI,atencion odontologica,otras acciones,2014-03-01,47.0,73.0,47.0,73.0,120.0
TARABUCO,atencion odontologica,otras acciones,2014-03-01,21.0,42.0,21.0,42.0,63.0
TARACO,atencion odontologica,otras acciones,2014-03-01,10.0,20.0,10.0,20.0,30.0
TARATA,atencion odontologica,otras acciones,2014-03-01,10.0,19.0,10.0,19.0,29.0
TARIJA,atencion odontologica,otras acciones,2014-03-01,1304.0,2214.0,1304.0,2214.0,3518.0
TARVITA,atencion odontologica,otras acciones,2014-03-01,54.0,73.0,54.0,73.0,127.0
TEOPONTE,atencion odontologica,otras acciones,2014-03-01,4.0,3.0,4.0,3.0,7.0
TIAWANACU,atencion odontologica,otras acciones,2014-03-01,67.0,92.0,67.0,92.0,159.0
TINGUIPAYA,atencion odontologica,otras acciones,2014-03-01,11.0,23.0,11.0,23.0,34.0
TIPUANI,atencion odontologica,otras acciones,2014-03-01,7.0,16.0,7.0,16.0,23.0
TIQUIPAYA,atencion odontologica,otras acciones,2014-03-01,91.0,158.0,91.0,158.0,249.0
TIRAQUE (CBBA),atencion odontologica,otras acciones,2014-03-01,25.0,67.0,25.0,67.0,92.0
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,otras acciones,2014-03-01,1.0,0.0,1.0,0.0,1.0
TOCO,atencion odontologica,otras acciones,2014-03-01,7.0,24.0,7.0,24.0,31.0
TOLATA,atencion odontologica,otras acciones,2014-03-01,53.0,97.0,53.0,97.0,150.0
TOLEDO,atencion odontologica,otras acciones,2014-03-01,4.0,0.0,4.0,0.0,4.0
TOMAVE,atencion odontologica,otras acciones,2014-03-01,24.0,81.0,24.0,81.0,105.0
TOMINA,atencion odontologica,otras acciones,2014-03-01,43.0,106.0,43.0,106.0,149.0
TORO TORO,atencion odontologica,otras acciones,2014-03-01,33.0,104.0,33.0,104.0,137.0
TOTORA(CBBA),atencion odontologica,otras acciones,2014-03-01,7.0,10.0,7.0,10.0,17.0
TOTORA(ORR),atencion odontologica,otras acciones,2014-03-01,18.0,39.0,18.0,39.0,57.0
TRINIDAD,atencion odontologica,otras acciones,2014-03-01,72.0,100.0,72.0,100.0,172.0
TUPIZA,atencion odontologica,otras acciones,2014-03-01,32.0,76.0,32.0,76.0,108.0
TURCO,atencion odontologica,otras acciones,2014-03-01,35.0,51.0,35.0,51.0,86.0
UNCIA,atencion odontologica,otras acciones,2014-03-01,13.0,39.0,13.0,39.0,52.0
URIONDO (A. CONCEPCION),atencion odontologica,otras acciones,2014-03-01,87.0,160.0,87.0,160.0,247.0
URUBICHA,atencion odontologica,otras acciones,2014-03-01,6.0,14.0,6.0,14.0,20.0
UYUNI,atencion odontologica,otras acciones,2014-03-01,13.0,20.0,13.0,20.0,33.0
VACAS,atencion odontologica,otras acciones,2014-03-01,6.0,14.0,6.0,14.0,20.0
VALLEGRANDE,atencion odontologica,otras acciones,2014-03-01,25.0,30.0,25.0,30.0,55.0
VIACHA,atencion odontologica,otras acciones,2014-03-01,66.0,139.0,66.0,139.0,205.0
VILLA CHARCAS,atencion odontologica,otras acciones,2014-03-01,3.0,13.0,3.0,13.0,16.0
VILLA MONTES,atencion odontologica,otras acciones,2014-03-01,169.0,271.0,169.0,271.0,440.0
VILLA RIVERO,atencion odontologica,otras acciones,2014-03-01,1.0,2.0,1.0,2.0,3.0
VILLA SERRANO,atencion odontologica,otras acciones,2014-03-01,43.0,68.0,43.0,68.0,111.0
VILLA TUNARI,atencion odontologica,otras acciones,2014-03-01,63.0,89.0,63.0,89.0,152.0
VINTO,atencion odontologica,otras acciones,2014-03-01,28.0,51.0,28.0,51.0,79.0
VITICHI,atencion odontologica,otras acciones,2014-03-01,47.0,65.0,47.0,65.0,112.0
WARNES,atencion odontologica,otras acciones,2014-03-01,19.0,50.0,19.0,50.0,69.0
YACO,atencion odontologica,otras acciones,2014-03-01,3.0,11.0,3.0,11.0,14.0
YACUIBA,atencion odontologica,otras acciones,2014-03-01,63.0,61.0,63.0,61.0,124.0
YAMPARAEZ,atencion odontologica,otras acciones,2014-03-01,34.0,55.0,34.0,55.0,89.0
YAPACANI,atencion odontologica,otras acciones,2014-03-01,39.0,62.0,39.0,62.0,101.0
YOCALLA,atencion odontologica,otras acciones,2014-03-01,9.0,22.0,9.0,22.0,31.0
YOTALA,atencion odontologica,otras acciones,2014-03-01,63.0,108.0,63.0,108.0,171.0
YUNCHARA,atencion odontologica,otras acciones,2014-03-01,19.0,27.0,19.0,27.0,46.0
ZUDAÑEZ,atencion odontologica,otras acciones,2014-03-01,31.0,63.0,31.0,63.0,94.0
ACACIO,atencion odontologica,otras acciones,2014-04-01,7.0,2.0,7.0,2.0,9.0
ACHACACHI,atencion odontologica,otras acciones,2014-04-01,168.0,222.0,168.0,222.0,390.0
ACHOCALLA,atencion odontologica,otras acciones,2014-04-01,12.0,19.0,12.0,19.0,31.0
AIQUILE,atencion odontologica,otras acciones,2014-04-01,8.0,12.0,8.0,12.0,20.0
ALALAY,atencion odontologica,otras acciones,2014-04-01,1.0,4.0,1.0,4.0,5.0
ALCALA,atencion odontologica,otras acciones,2014-04-01,34.0,57.0,34.0,57.0,91.0
ALTO BENI,atencion odontologica,otras acciones,2014-04-01,5.0,11.0,5.0,11.0,16.0
ANCORAIMES,atencion odontologica,otras acciones,2014-04-01,3.0,3.0,3.0,3.0,6.0
ANDAMARCA,atencion odontologica,otras acciones,2014-04-01,35.0,46.0,35.0,46.0,81.0
ANTEQUERA,atencion odontologica,otras acciones,2014-04-01,28.0,25.0,28.0,25.0,53.0
ANZALDO,atencion odontologica,otras acciones,2014-04-01,2.0,10.0,2.0,10.0,12.0
APOLO,atencion odontologica,otras acciones,2014-04-01,3.0,11.0,3.0,11.0,14.0
ARAMPAMPA,atencion odontologica,otras acciones,2014-04-01,6.0,4.0,6.0,4.0,10.0
ARANI,atencion odontologica,otras acciones,2014-04-01,7.0,13.0,7.0,13.0,20.0
ARBIETO,atencion odontologica,otras acciones,2014-04-01,8.0,6.0,8.0,6.0,14.0
ARQUE,atencion odontologica,otras acciones,2014-04-01,9.0,30.0,9.0,30.0,39.0
ATOCHA,atencion odontologica,otras acciones,2014-04-01,191.0,252.0,191.0,252.0,443.0
AUCAPATA,atencion odontologica,otras acciones,2014-04-01,0.0,1.0,0.0,1.0,1.0
AYATA,atencion odontologica,otras acciones,2014-04-01,3.0,6.0,3.0,6.0,9.0
AYO AYO,atencion odontologica,otras acciones,2014-04-01,13.0,37.0,13.0,37.0,50.0
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2014-04-01,59.0,72.0,59.0,72.0,131.0
AZURDUY,atencion odontologica,otras acciones,2014-04-01,19.0,31.0,19.0,31.0,50.0
BAURES,atencion odontologica,otras acciones,2014-04-01,20.0,2.0,20.0,2.0,22.0
BELEN DE ANDAMARCA,atencion odontologica,otras acciones,2014-04-01,6.0,9.0,6.0,9.0,15.0
BELEN DE URMIRI,atencion odontologica,otras acciones,2014-04-01,6.0,6.0,6.0,6.0,12.0
BERMEJO,atencion odontologica,otras acciones,2014-04-01,47.0,63.0,47.0,63.0,110.0
BETANZOS,atencion odontologica,otras acciones,2014-04-01,34.0,52.0,34.0,52.0,86.0
BOLIVAR,atencion odontologica,otras acciones,2014-04-01,7.0,10.0,7.0,10.0,17.0
BUENA VISTA,atencion odontologica,otras acciones,2014-04-01,25.0,39.0,25.0,39.0,64.0
CABEZAS,atencion odontologica,otras acciones,2014-04-01,29.0,29.0,29.0,29.0,58.0
"CAIZA ""D""",atencion odontologica,otras acciones,2014-04-01,64.0,76.0,64.0,76.0,140.0
CAJUATA,atencion odontologica,otras acciones,2014-04-01,7.0,9.0,7.0,9.0,16.0
CALACOTO,atencion odontologica,otras acciones,2014-04-01,4.0,5.0,4.0,5.0,9.0
CALAMARCA,atencion odontologica,otras acciones,2014-04-01,72.0,129.0,72.0,129.0,201.0
CAMARGO,atencion odontologica,otras acciones,2014-04-01,129.0,188.0,129.0,188.0,317.0
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2014-04-01,20.0,41.0,20.0,41.0,61.0
CAMIRI,atencion odontologica,otras acciones,2014-04-01,87.0,137.0,87.0,137.0,224.0
CAPINOTA,atencion odontologica,otras acciones,2014-04-01,11.0,11.0,11.0,11.0,22.0
CAQUIAVIRI,atencion odontologica,otras acciones,2014-04-01,15.0,29.0,15.0,29.0,44.0
CARACOLLO,atencion odontologica,otras acciones,2014-04-01,120.0,143.0,120.0,143.0,263.0
CARANAVI,atencion odontologica,otras acciones,2014-04-01,384.0,392.0,384.0,392.0,776.0
CARAPARI,atencion odontologica,otras acciones,2014-04-01,34.0,43.0,34.0,43.0,77.0
CARIPUYO,atencion odontologica,otras acciones,2014-04-01,2.0,5.0,2.0,5.0,7.0
CARMEN RIVERO TORREZ,atencion odontologica,otras acciones,2014-04-01,9.0,10.0,9.0,10.0,19.0
CATACORA,atencion odontologica,otras acciones,2014-04-01,0.0,1.0,0.0,1.0,1.0
CHALLAPATA,atencion odontologica,otras acciones,2014-04-01,72.0,88.0,72.0,88.0,160.0
CHAQUI,atencion odontologica,otras acciones,2014-04-01,30.0,8.0,30.0,8.0,38.0
CHARAGUA,atencion odontologica,otras acciones,2014-04-01,7.0,9.0,7.0,9.0,16.0
CHARAÑA,atencion odontologica,otras acciones,2014-04-01,4.0,1.0,4.0,1.0,5.0
CHAYANTA,atencion odontologica,otras acciones,2014-04-01,38.0,85.0,38.0,85.0,123.0
CHIMORE,atencion odontologica,otras acciones,2014-04-01,20.0,19.0,20.0,19.0,39.0
CHIPAYA,atencion odontologica,otras acciones,2014-04-01,10.0,7.0,10.0,7.0,17.0
CHOQUE COTA,atencion odontologica,otras acciones,2014-04-01,11.0,24.0,11.0,24.0,35.0
CHUA COCANI,atencion odontologica,otras acciones,2014-04-01,12.0,16.0,12.0,16.0,28.0
CHUMA,atencion odontologica,otras acciones,2014-04-01,41.0,40.0,41.0,40.0,81.0
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,otras acciones,2014-04-01,8.0,12.0,8.0,12.0,20.0
CKOCHAS,atencion odontologica,otras acciones,2014-04-01,8.0,23.0,8.0,23.0,31.0
CLIZA,atencion odontologica,otras acciones,2014-04-01,40.0,67.0,40.0,67.0,107.0
COBIJA,atencion odontologica,otras acciones,2014-04-01,185.0,246.0,185.0,246.0,431.0
COCAPATA,atencion odontologica,otras acciones,2014-04-01,13.0,20.0,13.0,20.0,33.0
COCHABAMBA,atencion odontologica,otras acciones,2014-04-01,1929.0,2439.0,1929.0,2439.0,4368.0
COIPASA,atencion odontologica,otras acciones,2014-04-01,2.0,4.0,2.0,4.0,6.0
COLCAPIRHUA,atencion odontologica,otras acciones,2014-04-01,75.0,93.0,75.0,93.0,168.0
"COLCHA ""K""",atencion odontologica,otras acciones,2014-04-01,17.0,35.0,17.0,35.0,52.0
COLLANA,atencion odontologica,otras acciones,2014-04-01,18.0,13.0,18.0,13.0,31.0
COLOMI,atencion odontologica,otras acciones,2014-04-01,10.0,20.0,10.0,20.0,30.0
COLPA BELGICA,atencion odontologica,otras acciones,2014-04-01,25.0,25.0,25.0,25.0,50.0
COLQUECHACA,atencion odontologica,otras acciones,2014-04-01,134.0,149.0,134.0,149.0,283.0
COLQUIRI,atencion odontologica,otras acciones,2014-04-01,90.0,138.0,90.0,138.0,228.0
COMANCHE,atencion odontologica,otras acciones,2014-04-01,12.0,5.0,12.0,5.0,17.0
COMARAPA,atencion odontologica,otras acciones,2014-04-01,4.0,8.0,4.0,8.0,12.0
CONCEPCION,atencion odontologica,otras acciones,2014-04-01,6.0,4.0,6.0,4.0,10.0
COPACABANA,atencion odontologica,otras acciones,2014-04-01,38.0,47.0,38.0,47.0,85.0
CORO CORO,atencion odontologica,otras acciones,2014-04-01,2.0,16.0,2.0,16.0,18.0
CORQUE,atencion odontologica,otras acciones,2014-04-01,5.0,19.0,5.0,19.0,24.0
COTAGAITA,atencion odontologica,otras acciones,2014-04-01,96.0,126.0,96.0,126.0,222.0
CUATRO CAÑADAS,atencion odontologica,otras acciones,2014-04-01,56.0,54.0,56.0,54.0,110.0
