,group,variable,month,TOTAL 3.8 ENDODONCIAS CANTIDAD,TOTAL 3.8 ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
POOPO,atencion odontologica, endodoncias,2014-03-01,5,3,5,3,8
PORCO,atencion odontologica, endodoncias,2014-03-01,3,8,3,8,11
POROMA,atencion odontologica, endodoncias,2014-03-01,4,2,4,2,6
PORVENIR,atencion odontologica, endodoncias,2014-03-01,1,2,1,2,3
POSTRER VALLE,atencion odontologica, endodoncias,2014-03-01,2,0,2,0,2
POTOSI,atencion odontologica, endodoncias,2014-03-01,296,461,296,461,757
PRESTO,atencion odontologica, endodoncias,2014-03-01,1,4,1,4,5
PUCARANI,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
PUERTO ACOSTA,atencion odontologica, endodoncias,2014-03-01,0,2,0,2,2
PUERTO CARABUCO,atencion odontologica, endodoncias,2014-03-01,11,22,11,22,33
PUERTO GONZALO MORENO,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
PUERTO RICO,atencion odontologica, endodoncias,2014-03-01,5,4,5,4,9
PUERTO SUAREZ,atencion odontologica, endodoncias,2014-03-01,0,2,0,2,2
PUERTO VILLARROEL,atencion odontologica, endodoncias,2014-03-01,32,60,32,60,92
PUNA,atencion odontologica, endodoncias,2014-03-01,3,10,3,10,13
PUNATA,atencion odontologica, endodoncias,2014-03-01,7,6,7,6,13
QUILLACOLLO,atencion odontologica, endodoncias,2014-03-01,121,151,121,151,272
QUIME,atencion odontologica, endodoncias,2014-03-01,5,8,5,8,13
QUIRUSILLAS,atencion odontologica, endodoncias,2014-03-01,0,2,0,2,2
RAVELO,atencion odontologica, endodoncias,2014-03-01,3,10,3,10,13
REYES,atencion odontologica, endodoncias,2014-03-01,5,6,5,6,11
RIBERALTA,atencion odontologica, endodoncias,2014-03-01,10,13,10,13,23
ROBORE,atencion odontologica, endodoncias,2014-03-01,1,2,1,2,3
RURRENABAQUE,atencion odontologica, endodoncias,2014-03-01,2,1,2,1,3
SABAYA,atencion odontologica, endodoncias,2014-03-01,4,2,4,2,6
SACABA,atencion odontologica, endodoncias,2014-03-01,107,153,107,153,260
SACABAMBA,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
SACACA,atencion odontologica, endodoncias,2014-03-01,0,3,0,3,3
SAIPINA,atencion odontologica, endodoncias,2014-03-01,18,31,18,31,49
SALINAS DE GARCI MENDOZA,atencion odontologica, endodoncias,2014-03-01,5,6,5,6,11
SAMAIPATA,atencion odontologica, endodoncias,2014-03-01,0,2,0,2,2
SAN AGUSTIN,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
SAN ANDRES,atencion odontologica, endodoncias,2014-03-01,3,2,3,2,5
SAN ANDRES DE MACHACA,atencion odontologica, endodoncias,2014-03-01,0,4,0,4,4
SAN ANTONIO DE ESMORUCO,atencion odontologica, endodoncias,2014-03-01,1,0,1,0,1
SAN BENITO,atencion odontologica, endodoncias,2014-03-01,0,2,0,2,2
SAN BORJA,atencion odontologica, endodoncias,2014-03-01,5,8,5,8,13
SAN BUENA VENTURA,atencion odontologica, endodoncias,2014-03-01,1,1,1,1,2
SAN CARLOS,atencion odontologica, endodoncias,2014-03-01,7,15,7,15,22
SAN IGNACIO,atencion odontologica, endodoncias,2014-03-01,2,5,2,5,7
SAN IGNACIO DE VELASCO,atencion odontologica, endodoncias,2014-03-01,19,21,19,21,40
SAN JAVIER(STC),atencion odontologica, endodoncias,2014-03-01,6,8,6,8,14
SAN JOAQUIN,atencion odontologica, endodoncias,2014-03-01,2,2,2,2,4
SAN JULIAN,atencion odontologica, endodoncias,2014-03-01,26,40,26,40,66
SAN LORENZO(TJA),atencion odontologica, endodoncias,2014-03-01,33,68,33,68,101
SAN LUCAS,atencion odontologica, endodoncias,2014-03-01,18,27,18,27,45
SAN MATIAS,atencion odontologica, endodoncias,2014-03-01,2,4,2,4,6
SAN MIGUEL DE VELASCO,atencion odontologica, endodoncias,2014-03-01,2,2,2,2,4
SAN PEDRO,atencion odontologica, endodoncias,2014-03-01,8,5,8,5,13
SAN PEDRO DE BUENA VISTA,atencion odontologica, endodoncias,2014-03-01,2,6,2,6,8
SAN PEDRO DE TIQUINA,atencion odontologica, endodoncias,2014-03-01,1,1,1,1,2
SAN RAMON SCZ,atencion odontologica, endodoncias,2014-03-01,3,7,3,7,10
SANTA CRUZ DE LA SIERRA,atencion odontologica, endodoncias,2014-03-01,668,876,668,876,1544
SANTA ROSA,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
SANTA ROSA DEL SARA,atencion odontologica, endodoncias,2014-03-01,17,37,17,37,54
SANTIAGO DE HUARI,atencion odontologica, endodoncias,2014-03-01,3,2,3,2,5
SANTIAGO DE HUATA,atencion odontologica, endodoncias,2014-03-01,15,12,15,12,27
SANTIVAÑES,atencion odontologica, endodoncias,2014-03-01,3,5,3,5,8
SANTUARIO DE QUILLACAS,atencion odontologica, endodoncias,2014-03-01,3,10,3,10,13
SAPAHAQUI,atencion odontologica, endodoncias,2014-03-01,3,2,3,2,5
SENA,atencion odontologica, endodoncias,2014-03-01,0,11,0,11,11
SHINAOTA,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
SICA SICA (VILLA AROMA),atencion odontologica, endodoncias,2014-03-01,1,0,1,0,1
SICAYA,atencion odontologica, endodoncias,2014-03-01,0,2,0,2,2
SIPE SIPE,atencion odontologica, endodoncias,2014-03-01,23,70,23,70,93
SOPACHUY,atencion odontologica, endodoncias,2014-03-01,6,20,6,20,26
SORACACHI,atencion odontologica, endodoncias,2014-03-01,7,11,7,11,18
SORATA,atencion odontologica, endodoncias,2014-03-01,3,10,3,10,13
SUCRE,atencion odontologica, endodoncias,2014-03-01,334,519,334,519,853
TACACHI,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
TACACOMA,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
TACOPAYA,atencion odontologica, endodoncias,2014-03-01,0,5,0,5,5
TAPACARI,atencion odontologica, endodoncias,2014-03-01,19,19,19,19,38
TARABUCO,atencion odontologica, endodoncias,2014-03-01,2,9,2,9,11
TARATA,atencion odontologica, endodoncias,2014-03-01,1,6,1,6,7
TARIJA,atencion odontologica, endodoncias,2014-03-01,545,711,545,711,1256
TARVITA,atencion odontologica, endodoncias,2014-03-01,1,2,1,2,3
TEOPONTE,atencion odontologica, endodoncias,2014-03-01,4,3,4,3,7
TIAWANACU,atencion odontologica, endodoncias,2014-03-01,1,6,1,6,7
TIPUANI,atencion odontologica, endodoncias,2014-03-01,7,10,7,10,17
TIQUIPAYA,atencion odontologica, endodoncias,2014-03-01,42,52,42,52,94
TIRAQUE (CBBA),atencion odontologica, endodoncias,2014-03-01,1,7,1,7,8
TOCO,atencion odontologica, endodoncias,2014-03-01,3,7,3,7,10
TOLATA,atencion odontologica, endodoncias,2014-03-01,3,3,3,3,6
TOLEDO,atencion odontologica, endodoncias,2014-03-01,3,7,3,7,10
TOMAVE,atencion odontologica, endodoncias,2014-03-01,1,1,1,1,2
TOMINA,atencion odontologica, endodoncias,2014-03-01,2,5,2,5,7
TORO TORO,atencion odontologica, endodoncias,2014-03-01,1,7,1,7,8
TOTORA(CBBA),atencion odontologica, endodoncias,2014-03-01,1,1,1,1,2
TOTORA(ORR),atencion odontologica, endodoncias,2014-03-01,1,2,1,2,3
TRINIDAD,atencion odontologica, endodoncias,2014-03-01,65,57,65,57,122
TUPIZA,atencion odontologica, endodoncias,2014-03-01,105,189,105,189,294
TURCO,atencion odontologica, endodoncias,2014-03-01,1,4,1,4,5
UNCIA,atencion odontologica, endodoncias,2014-03-01,5,20,5,20,25
URIONDO (A. CONCEPCION),atencion odontologica, endodoncias,2014-03-01,29,31,29,31,60
URUBICHA,atencion odontologica, endodoncias,2014-03-01,1,2,1,2,3
UYUNI,atencion odontologica, endodoncias,2014-03-01,4,6,4,6,10
VACAS,atencion odontologica, endodoncias,2014-03-01,8,11,8,11,19
VALLEGRANDE,atencion odontologica, endodoncias,2014-03-01,11,19,11,19,30
VIACHA,atencion odontologica, endodoncias,2014-03-01,27,21,27,21,48
VILA VILA,atencion odontologica, endodoncias,2014-03-01,1,1,1,1,2
VILLA CHARCAS,atencion odontologica, endodoncias,2014-03-01,2,7,2,7,9
VILLA MONTES,atencion odontologica, endodoncias,2014-03-01,44,59,44,59,103
VILLA RIVERO,atencion odontologica, endodoncias,2014-03-01,2,2,2,2,4
VILLA SERRANO,atencion odontologica, endodoncias,2014-03-01,5,4,5,4,9
VILLA TUNARI,atencion odontologica, endodoncias,2014-03-01,27,58,27,58,85
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, endodoncias,2014-03-01,2,7,2,7,9
VILLAZON,atencion odontologica, endodoncias,2014-03-01,36,65,36,65,101
VINTO,atencion odontologica, endodoncias,2014-03-01,11,10,11,10,21
VITICHI,atencion odontologica, endodoncias,2014-03-01,16,19,16,19,35
WARNES,atencion odontologica, endodoncias,2014-03-01,4,1,4,1,5
YACUIBA,atencion odontologica, endodoncias,2014-03-01,91,113,91,113,204
YAMPARAEZ,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
YAPACANI,atencion odontologica, endodoncias,2014-03-01,18,46,18,46,64
YOCALLA,atencion odontologica, endodoncias,2014-03-01,0,2,0,2,2
YOTALA,atencion odontologica, endodoncias,2014-03-01,0,5,0,5,5
YUNCHARA,atencion odontologica, endodoncias,2014-03-01,6,11,6,11,17
ACACIO,atencion odontologica, endodoncias,2014-04-01,2,2,2,2,4
ACHACACHI,atencion odontologica, endodoncias,2014-04-01,28,28,28,28,56
ACHOCALLA,atencion odontologica, endodoncias,2014-04-01,5,2,5,2,7
AIQUILE,atencion odontologica, endodoncias,2014-04-01,12,16,12,16,28
ALALAY,atencion odontologica, endodoncias,2014-04-01,1,0,1,0,1
ALCALA,atencion odontologica, endodoncias,2014-04-01,2,4,2,4,6
ANCORAIMES,atencion odontologica, endodoncias,2014-04-01,2,0,2,0,2
ANDAMARCA,atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
ANTEQUERA,atencion odontologica, endodoncias,2014-04-01,4,5,4,5,9
ANZALDO,atencion odontologica, endodoncias,2014-04-01,0,3,0,3,3
APOLO,atencion odontologica, endodoncias,2014-04-01,0,2,0,2,2
ARAMPAMPA,atencion odontologica, endodoncias,2014-04-01,3,5,3,5,8
ARANI,atencion odontologica, endodoncias,2014-04-01,9,15,9,15,24
ARBIETO,atencion odontologica, endodoncias,2014-04-01,4,7,4,7,11
ARQUE,atencion odontologica, endodoncias,2014-04-01,3,11,3,11,14
ASCENCION DE GUARAYOS,atencion odontologica, endodoncias,2014-04-01,3,2,3,2,5
ATOCHA,atencion odontologica, endodoncias,2014-04-01,85,102,85,102,187
AUCAPATA,atencion odontologica, endodoncias,2014-04-01,1,0,1,0,1
AYO AYO,atencion odontologica, endodoncias,2014-04-01,11,7,11,7,18
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, endodoncias,2014-04-01,32,33,32,33,65
AZURDUY,atencion odontologica, endodoncias,2014-04-01,0,3,0,3,3
BATALLAS,atencion odontologica, endodoncias,2014-04-01,1,0,1,0,1
BAURES,atencion odontologica, endodoncias,2014-04-01,20,3,20,3,23
BELEN DE URMIRI,atencion odontologica, endodoncias,2014-04-01,0,2,0,2,2
BERMEJO,atencion odontologica, endodoncias,2014-04-01,38,49,38,49,87
BETANZOS,atencion odontologica, endodoncias,2014-04-01,9,11,9,11,20
BOLIVAR,atencion odontologica, endodoncias,2014-04-01,2,0,2,0,2
BOLPEBRA,atencion odontologica, endodoncias,2014-04-01,1,0,1,0,1
BOYUIBE,atencion odontologica, endodoncias,2014-04-01,0,2,0,2,2
BUENA VISTA,atencion odontologica, endodoncias,2014-04-01,1,3,1,3,4
CABEZAS,atencion odontologica, endodoncias,2014-04-01,4,4,4,4,8
"CAIZA ""D""",atencion odontologica, endodoncias,2014-04-01,2,1,2,1,3
CAJUATA,atencion odontologica, endodoncias,2014-04-01,0,7,0,7,7
CALAMARCA,atencion odontologica, endodoncias,2014-04-01,2,9,2,9,11
CAMARGO,atencion odontologica, endodoncias,2014-04-01,7,24,7,24,31
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
CAMIRI,atencion odontologica, endodoncias,2014-04-01,13,25,13,25,38
CAPINOTA,atencion odontologica, endodoncias,2014-04-01,12,30,12,30,42
CARACOLLO,atencion odontologica, endodoncias,2014-04-01,15,6,15,6,21
CARANAVI,atencion odontologica, endodoncias,2014-04-01,5,14,5,14,19
CARAPARI,atencion odontologica, endodoncias,2014-04-01,21,19,21,19,40
CARIPUYO,atencion odontologica, endodoncias,2014-04-01,3,0,3,0,3
CARMEN RIVERO TORREZ,atencion odontologica, endodoncias,2014-04-01,1,1,1,1,2
CHALLAPATA,atencion odontologica, endodoncias,2014-04-01,6,12,6,12,18
CHAQUI,atencion odontologica, endodoncias,2014-04-01,0,3,0,3,3
CHARAGUA,atencion odontologica, endodoncias,2014-04-01,2,3,2,3,5
CHAYANTA,atencion odontologica, endodoncias,2014-04-01,1,8,1,8,9
CHIMORE,atencion odontologica, endodoncias,2014-04-01,6,24,6,24,30
CHIPAYA,atencion odontologica, endodoncias,2014-04-01,1,0,1,0,1
CHOQUE COTA,atencion odontologica, endodoncias,2014-04-01,3,1,3,1,4
CHUA COCANI,atencion odontologica, endodoncias,2014-04-01,3,6,3,6,9
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, endodoncias,2014-04-01,20,21,20,21,41
CHUMA,atencion odontologica, endodoncias,2014-04-01,7,19,7,19,26
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, endodoncias,2014-04-01,2,4,2,4,6
CKOCHAS,atencion odontologica, endodoncias,2014-04-01,2,0,2,0,2
CLIZA,atencion odontologica, endodoncias,2014-04-01,10,13,10,13,23
COBIJA,atencion odontologica, endodoncias,2014-04-01,27,31,27,31,58
COCAPATA,atencion odontologica, endodoncias,2014-04-01,8,8,8,8,16
COCHABAMBA,atencion odontologica, endodoncias,2014-04-01,938,1203,938,1203,2141
COIPASA,atencion odontologica, endodoncias,2014-04-01,1,2,1,2,3
COLCAPIRHUA,atencion odontologica, endodoncias,2014-04-01,23,36,23,36,59
"COLCHA ""K""",atencion odontologica, endodoncias,2014-04-01,1,0,1,0,1
COLLANA,atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
COLOMI,atencion odontologica, endodoncias,2014-04-01,9,23,9,23,32
COLPA BELGICA,atencion odontologica, endodoncias,2014-04-01,2,3,2,3,5
COLQUECHACA,atencion odontologica, endodoncias,2014-04-01,11,15,11,15,26
COLQUENCHA,atencion odontologica, endodoncias,2014-04-01,14,18,14,18,32
COLQUIRI,atencion odontologica, endodoncias,2014-04-01,6,9,6,9,15
COMARAPA,atencion odontologica, endodoncias,2014-04-01,5,30,5,30,35
COMBAYA,atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
CONCEPCION,atencion odontologica, endodoncias,2014-04-01,6,3,6,3,9
COPACABANA,atencion odontologica, endodoncias,2014-04-01,3,10,3,10,13
CORIPATA,atencion odontologica, endodoncias,2014-04-01,7,9,7,9,16
CORO CORO,atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
COROICO,atencion odontologica, endodoncias,2014-04-01,7,16,7,16,23
CORQUE,atencion odontologica, endodoncias,2014-04-01,1,6,1,6,7
COTAGAITA,atencion odontologica, endodoncias,2014-04-01,36,40,36,40,76
COTOCA,atencion odontologica, endodoncias,2014-04-01,0,3,0,3,3
CUATRO CAÑADAS,atencion odontologica, endodoncias,2014-04-01,8,11,8,11,19
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, endodoncias,2014-04-01,1,0,1,0,1
CUEVO,atencion odontologica, endodoncias,2014-04-01,3,3,3,3,6
CULPINA,atencion odontologica, endodoncias,2014-04-01,10,15,10,15,25
CURAHUARA DE CARANGAS,atencion odontologica, endodoncias,2014-04-01,17,23,17,23,40
CURVA,atencion odontologica, endodoncias,2014-04-01,1,0,1,0,1
DESAGUADERO,atencion odontologica, endodoncias,2014-04-01,3,5,3,5,8
EL ALTO,atencion odontologica, endodoncias,2014-04-01,498,648,498,648,1146
EL PUENTE(STC),atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
EL PUENTE(TJA),atencion odontologica, endodoncias,2014-04-01,7,9,7,9,16
EL TORNO,atencion odontologica, endodoncias,2014-04-01,36,63,36,63,99
ENTRE RIOS TRJ,atencion odontologica, endodoncias,2014-04-01,6,6,6,6,12
ENTRE RIOS CBBA,atencion odontologica, endodoncias,2014-04-01,13,33,13,33,46
ESCOMA,atencion odontologica, endodoncias,2014-04-01,6,12,6,12,18
EUCALIPTUS,atencion odontologica, endodoncias,2014-04-01,1,2,1,2,3
FERNANDEZ ALONSO,atencion odontologica, endodoncias,2014-04-01,3,5,3,5,8
FILADELFIA,atencion odontologica, endodoncias,2014-04-01,2,1,2,1,3
GENERAL SAAVEDRA,atencion odontologica, endodoncias,2014-04-01,0,5,0,5,5
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, endodoncias,2014-04-01,1,4,1,4,5
GUANAY,atencion odontologica, endodoncias,2014-04-01,10,7,10,7,17
GUAQUI,atencion odontologica, endodoncias,2014-04-01,7,10,7,10,17
GUAYARAMERIN,atencion odontologica, endodoncias,2014-04-01,16,28,16,28,44
GUTIERREZ,atencion odontologica, endodoncias,2014-04-01,2,7,2,7,9
HUACARETA,atencion odontologica, endodoncias,2014-04-01,2,9,2,9,11
HUACAYA (VILLA DE HUACAYA),atencion odontologica, endodoncias,2014-04-01,2,1,2,1,3
HUANUNI,atencion odontologica, endodoncias,2014-04-01,17,19,17,19,36
HUARACAJE,atencion odontologica, endodoncias,2014-04-01,0,3,0,3,3
HUARINA,atencion odontologica, endodoncias,2014-04-01,2,2,2,2,4
HUATAJATA,atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
HUAYLLAMARCA,atencion odontologica, endodoncias,2014-04-01,8,2,8,2,10
HUMANATA,atencion odontologica, endodoncias,2014-04-01,5,5,5,5,10
ICLA,atencion odontologica, endodoncias,2014-04-01,6,3,6,3,9
INCAHUASI,atencion odontologica, endodoncias,2014-04-01,3,6,3,6,9
INGAVI (HUMAITA),atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),atencion odontologica, endodoncias,2014-04-01,2,8,2,8,10
IXIAMAS,atencion odontologica, endodoncias,2014-04-01,0,5,0,5,5
JESUS DE MACHACA,atencion odontologica, endodoncias,2014-04-01,2,2,2,2,4
LA ASUNTA,atencion odontologica, endodoncias,2014-04-01,48,54,48,54,102
LA GUARDIA,atencion odontologica, endodoncias,2014-04-01,4,9,4,9,13
LA PAZ,atencion odontologica, endodoncias,2014-04-01,994,1323,994,1323,2317
LA RIVERA,atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
LAGUNILLAS,atencion odontologica, endodoncias,2014-04-01,3,2,3,2,5
LAJA,atencion odontologica, endodoncias,2014-04-01,1,2,1,2,3
LAS CARRERAS,atencion odontologica, endodoncias,2014-04-01,5,6,5,6,11
LICOMA PAMPA,atencion odontologica, endodoncias,2014-04-01,2,6,2,6,8
LLALLAGUA,atencion odontologica, endodoncias,2014-04-01,30,57,30,57,87
LLICA,atencion odontologica, endodoncias,2014-04-01,1,2,1,2,3
LURIBAY,atencion odontologica, endodoncias,2014-04-01,4,10,4,10,14
MACHACAMARCA,atencion odontologica, endodoncias,2014-04-01,2,4,2,4,6
MACHARETI,atencion odontologica, endodoncias,2014-04-01,2,2,2,2,4
MAGDALENA,atencion odontologica, endodoncias,2014-04-01,6,12,6,12,18
MAIRANA,atencion odontologica, endodoncias,2014-04-01,2,4,2,4,6
MAPIRI,atencion odontologica, endodoncias,2014-04-01,26,40,26,40,66
MECAPACA,atencion odontologica, endodoncias,2014-04-01,2,11,2,11,13
MINEROS,atencion odontologica, endodoncias,2014-04-01,0,8,0,8,8
MIZQUE,atencion odontologica, endodoncias,2014-04-01,4,6,4,6,10
MOCOMOCO,atencion odontologica, endodoncias,2014-04-01,2,1,2,1,3
MOJOCOYA,atencion odontologica, endodoncias,2014-04-01,4,11,4,11,15
MONTEAGUDO,atencion odontologica, endodoncias,2014-04-01,19,25,19,25,44
MONTERO,atencion odontologica, endodoncias,2014-04-01,17,16,17,16,33
MORO MORO,atencion odontologica, endodoncias,2014-04-01,1,0,1,0,1
MOROCHATA,atencion odontologica, endodoncias,2014-04-01,4,4,4,4,8
OCURI,atencion odontologica, endodoncias,2014-04-01,1,4,1,4,5
OKINAWA,atencion odontologica, endodoncias,2014-04-01,4,2,4,2,6
ORURO,atencion odontologica, endodoncias,2014-04-01,334,424,334,424,758
PADCAYA,atencion odontologica, endodoncias,2014-04-01,13,18,13,18,31
PADILLA,atencion odontologica, endodoncias,2014-04-01,6,13,6,13,19
PAILON,atencion odontologica, endodoncias,2014-04-01,5,1,5,1,6
PALCA,atencion odontologica, endodoncias,2014-04-01,7,8,7,8,15
PALOS BLANCOS,atencion odontologica, endodoncias,2014-04-01,7,13,7,13,20
PAMPA GRANDE,atencion odontologica, endodoncias,2014-04-01,1,0,1,0,1
PAPEL PAMPA,atencion odontologica, endodoncias,2014-04-01,10,8,10,8,18
PATACAMAYA,atencion odontologica, endodoncias,2014-04-01,10,15,10,15,25
PAZÑA,atencion odontologica, endodoncias,2014-04-01,3,6,3,6,9
PELECHUCO,atencion odontologica, endodoncias,2014-04-01,1,0,1,0,1
POCOATA,atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
POCONA,atencion odontologica, endodoncias,2014-04-01,2,9,2,9,11
POJO (CBBA),atencion odontologica, endodoncias,2014-04-01,8,4,8,4,12
POOPO,atencion odontologica, endodoncias,2014-04-01,9,10,9,10,19
PORCO,atencion odontologica, endodoncias,2014-04-01,6,26,6,26,32
POROMA,atencion odontologica, endodoncias,2014-04-01,4,11,4,11,15
PORTACHUELO,atencion odontologica, endodoncias,2014-04-01,2,6,2,6,8
PORVENIR,atencion odontologica, endodoncias,2014-04-01,1,2,1,2,3
POTOSI,atencion odontologica, endodoncias,2014-04-01,465,809,465,809,1274
PRESTO,atencion odontologica, endodoncias,2014-04-01,0,4,0,4,4
PUCARANI,atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
PUERTO CARABUCO,atencion odontologica, endodoncias,2014-04-01,7,2,7,2,9
PUERTO GONZALO MORENO,atencion odontologica, endodoncias,2014-04-01,0,2,0,2,2
PUERTO QUIJARRO,atencion odontologica, endodoncias,2014-04-01,4,9,4,9,13
PUERTO RICO,atencion odontologica, endodoncias,2014-04-01,3,2,3,2,5
PUERTO SUAREZ,atencion odontologica, endodoncias,2014-04-01,0,2,0,2,2
PUERTO VILLARROEL,atencion odontologica, endodoncias,2014-04-01,25,63,25,63,88
PUNA,atencion odontologica, endodoncias,2014-04-01,2,10,2,10,12
PUNATA,atencion odontologica, endodoncias,2014-04-01,18,12,18,12,30
QUIABAYA,atencion odontologica, endodoncias,2014-04-01,3,2,3,2,5
QUILLACOLLO,atencion odontologica, endodoncias,2014-04-01,142,165,142,165,307
QUIME,atencion odontologica, endodoncias,2014-04-01,13,5,13,5,18
RAVELO,atencion odontologica, endodoncias,2014-04-01,2,17,2,17,19
REYES,atencion odontologica, endodoncias,2014-04-01,3,1,3,1,4
RIBERALTA,atencion odontologica, endodoncias,2014-04-01,5,14,5,14,19
ROBORE,atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
RURRENABAQUE,atencion odontologica, endodoncias,2014-04-01,1,0,1,0,1
SABAYA,atencion odontologica, endodoncias,2014-04-01,3,2,3,2,5
SACABA,atencion odontologica, endodoncias,2014-04-01,133,133,133,133,266
SACABAMBA,atencion odontologica, endodoncias,2014-04-01,4,3,4,3,7
SACACA,atencion odontologica, endodoncias,2014-04-01,2,2,2,2,4
SAIPINA,atencion odontologica, endodoncias,2014-04-01,8,15,8,15,23
SALINAS DE GARCI MENDOZA,atencion odontologica, endodoncias,2014-04-01,6,10,6,10,16
SAMAIPATA,atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
SAN ANDRES,atencion odontologica, endodoncias,2014-04-01,1,3,1,3,4
SAN ANDRES DE MACHACA,atencion odontologica, endodoncias,2014-04-01,1,5,1,5,6
SAN ANTONIO DE ESMORUCO,atencion odontologica, endodoncias,2014-04-01,0,3,0,3,3
SAN BENITO,atencion odontologica, endodoncias,2014-04-01,1,3,1,3,4
SAN BORJA,atencion odontologica, endodoncias,2014-04-01,8,12,8,12,20
SAN BUENA VENTURA,atencion odontologica, endodoncias,2014-04-01,0,6,0,6,6
SAN CARLOS,atencion odontologica, endodoncias,2014-04-01,9,10,9,10,19
SAN IGNACIO,atencion odontologica, endodoncias,2014-04-01,5,10,5,10,15
SAN IGNACIO DE VELASCO,atencion odontologica, endodoncias,2014-04-01,3,6,3,6,9
SAN JAVIER(BNI),atencion odontologica, endodoncias,2014-04-01,1,0,1,0,1
SAN JULIAN,atencion odontologica, endodoncias,2014-04-01,18,38,18,38,56
SAN LORENZO(TJA),atencion odontologica, endodoncias,2014-04-01,37,74,37,74,111
SAN LUCAS,atencion odontologica, endodoncias,2014-04-01,22,45,22,45,67
SAN MATIAS,atencion odontologica, endodoncias,2014-04-01,4,5,4,5,9
SAN MIGUEL DE VELASCO,atencion odontologica, endodoncias,2014-04-01,3,4,3,4,7
SAN PEDRO,atencion odontologica, endodoncias,2014-04-01,5,4,5,4,9
SAN PEDRO DE BUENA VISTA,atencion odontologica, endodoncias,2014-04-01,8,0,8,0,8
SAN PEDRO DE QUEMES,atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,atencion odontologica, endodoncias,2014-04-01,1,0,1,0,1
SAN RAFAEL,atencion odontologica, endodoncias,2014-04-01,1,4,1,4,5
SAN RAMON BENI,atencion odontologica, endodoncias,2014-04-01,3,3,3,3,6
SAN RAMON SCZ,atencion odontologica, endodoncias,2014-04-01,3,5,3,5,8
SANTA ANA,atencion odontologica, endodoncias,2014-04-01,18,23,18,23,41
SANTA CRUZ DE LA SIERRA,atencion odontologica, endodoncias,2014-04-01,823,1111,823,1111,1934
SANTA ROSA,atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
SANTA ROSA DEL SARA,atencion odontologica, endodoncias,2014-04-01,21,32,21,32,53
SANTIAGO DE HUARI,atencion odontologica, endodoncias,2014-04-01,6,4,6,4,10
SANTIAGO DE HUATA,atencion odontologica, endodoncias,2014-04-01,10,10,10,10,20
SANTIVAÑES,atencion odontologica, endodoncias,2014-04-01,1,3,1,3,4
SANTUARIO DE QUILLACAS,atencion odontologica, endodoncias,2014-04-01,2,3,2,3,5
SAPAHAQUI,atencion odontologica, endodoncias,2014-04-01,1,1,1,1,2
SENA,atencion odontologica, endodoncias,2014-04-01,1,0,1,0,1
SICA SICA (VILLA AROMA),atencion odontologica, endodoncias,2014-04-01,6,3,6,3,9
SIPE SIPE,atencion odontologica, endodoncias,2014-04-01,23,56,23,56,79
SOPACHUY,atencion odontologica, endodoncias,2014-04-01,4,16,4,16,20
SORACACHI,atencion odontologica, endodoncias,2014-04-01,13,7,13,7,20
SORATA,atencion odontologica, endodoncias,2014-04-01,1,4,1,4,5
SUCRE,atencion odontologica, endodoncias,2014-04-01,400,711,400,711,1111
TACOBAMBA,atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
TACOPAYA,atencion odontologica, endodoncias,2014-04-01,3,4,3,4,7
TAHUA,atencion odontologica, endodoncias,2014-04-01,0,1,0,1,1
TAPACARI,atencion odontologica, endodoncias,2014-04-01,10,9,10,9,19
