,group,variable,month,TOTAL 3.2 CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTAL 3.2 CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
ANCORAIMES,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,15,20,15,20,35
ANDAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,7,18,7,18,25
ANTEQUERA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,37,26,37,26,63
ANZALDO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,15,19,15,19,34
APOLO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,19,22,19,22,41
ARAMPAMPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,29,37,29,37,66
ARANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,86,82,86,82,168
ARBIETO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,105,95,105,95,200
ARQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,22,34,22,34,56
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,52,64,52,64,116
ATOCHA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,48,31,48,31,79
AUCAPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,2,2,2,2,4
AYATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,7,11,7,11,18
AYO AYO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,9,9,9,9,18
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,104,69,104,69,173
AZURDUY,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,26,54,26,54,80
BATALLAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,13,4,13,4,17
BAURES,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,37,8,37,8,45
BELEN DE ANDAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,8,20,8,20,28
BELEN DE URMIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,4,10,4,10,14
BERMEJO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,102,70,102,70,172
BETANZOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,57,59,57,59,116
BOLIVAR,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,6,4,6,4,10
BOLPEBRA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,7,2,7,2,9
BOYUIBE,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,12,14,12,14,26
BUENA VISTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,8,10,8,10,18
CABEZAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,111,138,111,138,249
CAIROMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,6,5,6,5,11
"CAIZA ""D""",atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,72,45,72,45,117
CAJUATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,55,43,55,43,98
CALACOTO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,24,18,24,18,42
CALAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,80,90,80,90,170
CAMARGO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,110,126,110,126,236
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,14,16,14,16,30
CAMIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,158,195,158,195,353
CAPINOTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,72,77,72,77,149
CAQUIAVIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,52,11,52,11,63
CARACOLLO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,68,42,68,42,110
CARANAVI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,120,136,120,136,256
CARAPARI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,5,10,5,10,15
CARIPUYO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,11,12,11,12,23
CARMEN RIVERO TORREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,11,23,11,23,34
CATACORA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,5,0,5,0,5
CHALLAPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,294,258,294,258,552
CHAQUI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,7,2,7,2,9
CHARAGUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,83,75,83,75,158
CHARAÑA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,8,13,8,13,21
CHAYANTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,60,60,60,60,120
CHIMORE,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,144,136,144,136,280
CHIPAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,10,22,10,22,32
CHOQUE COTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,9,2,9,2,11
CHUA COCANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,9,5,9,5,14
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,72,56,72,56,128
CHUMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,78,51,78,51,129
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,21,14,21,14,35
CKOCHAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,6,22,6,22,28
CLIZA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,68,87,68,87,155
COBIJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,322,367,322,367,689
COCAPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,65,67,65,67,132
COCHABAMBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,2381,2525,2381,2525,4906
COIPASA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,6,8,6,8,14
COLCAPIRHUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,337,359,337,359,696
"COLCHA ""K""",atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,10,14,10,14,24
COLLANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,6,2,6,2,8
COLOMI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,63,80,63,80,143
COLPA BELGICA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,37,25,37,25,62
COLQUECHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,73,64,73,64,137
COLQUENCHA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,0,9,0,9,9
COLQUIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,10,7,10,7,17
COMANCHE,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,2,3,2,3,5
COMARAPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,51,35,51,35,86
COMBAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,15,11,15,11,26
CONCEPCION,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,55,54,55,54,109
COPACABANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,430,405,430,405,835
CORIPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,10,14,10,14,24
CORO CORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,14,13,14,13,27
COROICO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,26,30,26,30,56
CORQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,42,37,42,37,79
COTAGAITA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,66,87,66,87,153
COTOCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,56,68,56,68,124
CUATRO CAÑADAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,237,203,237,203,440
CUEVO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,15,17,15,17,32
CULPINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,80,81,80,81,161
CURAHUARA DE CARANGAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,34,24,34,24,58
CURVA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,101,86,101,86,187
DESAGUADERO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,48,45,48,45,93
EL ALTO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,3542,3679,3542,3679,7221
EL CHORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,18,21,18,21,39
EL PUENTE(STC),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,11,12,11,12,23
EL PUENTE(TJA),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,11,15,11,15,26
EL TORNO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,164,160,164,160,324
EL VILLAR,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,12,13,12,13,25
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,70,87,70,87,157
ENTRE RIOS CBBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,132,132,132,132,264
ESCOMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,12,8,12,8,20
EUCALIPTUS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,19,6,19,6,25
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,40,44,40,44,84
FILADELFIA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,38,27,38,27,65
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,37,45,37,45,82
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,137,167,137,167,304
GUANAY,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,27,21,27,21,48
GUAQUI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,27,38,27,38,65
GUAYARAMERIN,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,79,64,79,64,143
GUTIERREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,34,37,34,37,71
HUACARETA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,70,59,70,59,129
HUACAYA (VILLA DE HUACAYA),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,17,15,17,15,32
HUANUNI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,103,118,103,118,221
HUARACAJE,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,6,4,6,4,10
HUARINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,0,2,0,2,2
HUATAJATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,22,41,22,41,63
HUAYLLAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,15,30,15,30,45
HUMANATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,24,14,24,14,38
ICHOCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,27,22,27,22,49
ICLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,138,246,138,246,384
INCAHUASI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,55,89,55,89,144
INGAVI (HUMAITA),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,1,2,1,2,3
INQUISIVI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,38,23,38,23,61
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,71,72,71,72,143
IXIAMAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,12,6,12,6,18
JESUS DE MACHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,15,30,15,30,45
LA ASUNTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,56,35,56,35,91
LA GUARDIA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,262,273,262,273,535
LA PAZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,4741,4826,4741,4826,9567
LA RIVERA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,0,5,0,5,5
LAGUNILLAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,14,12,14,12,26
LAJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,44,76,44,76,120
LAS CARRERAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,9,11,9,11,20
LICOMA PAMPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,19,0,19,0,19
LLALLAGUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,314,307,314,307,621
LLICA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,9,3,9,3,12
LORETO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,0,1,0,1,1
LURIBAY,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,27,16,27,16,43
MACHACAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,7,17,7,17,24
MACHARETI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,62,55,62,55,117
MAGDALENA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,13,12,13,12,25
MAIRANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,59,78,59,78,137
MALLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,17,20,17,20,37
MAPIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,59,54,59,54,113
MECAPACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,44,73,44,73,117
MINEROS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,145,122,145,122,267
MIZQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,52,38,52,38,90
MOCOMOCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,13,3,13,3,16
MOJOCOYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,36,53,36,53,89
MONTEAGUDO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,175,192,175,192,367
MONTERO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,169,221,169,221,390
MORO MORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,15,16,15,16,31
MOROCHATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,97,91,97,91,188
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,13,11,13,11,24
OCURI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,7,12,7,12,19
OKINAWA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,25,17,25,17,42
ORURO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,1065,1076,1065,1076,2141
PADCAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,69,72,69,72,141
PADILLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,62,78,62,78,140
PAILON,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,39,47,39,47,86
PALCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,114,99,114,99,213
PALOS BLANCOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,64,103,64,103,167
PAMPA AULLAGAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,26,18,26,18,44
PAMPA GRANDE,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,117,76,117,76,193
PAPEL PAMPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,44,27,44,27,71
PASORAPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,2,3,2,3,5
PATACAMAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,121,110,121,110,231
PAZÑA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,16,22,16,22,38
PELECHUCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,30,35,30,35,65
POCOATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,63,65,63,65,128
POCONA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,59,37,59,37,96
POJO (CBBA),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,95,101,95,101,196
POOPO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,19,41,19,41,60
PORCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,43,19,43,19,62
POROMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,57,64,57,64,121
PORONGO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,98,99,98,99,197
PORTACHUELO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,21,26,21,26,47
PORVENIR,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,19,27,19,27,46
POSTRER VALLE,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,22,35,22,35,57
POTOSI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,803,889,803,889,1692
PRESTO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,86,91,86,91,177
PUCARA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,29,29,29,29,58
PUCARANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,26,43,26,43,69
PUERTO ACOSTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,13,12,13,12,25
PUERTO CARABUCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,15,12,15,12,27
PUERTO GONZALO MORENO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,109,116,109,116,225
PUERTO PEREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,8,6,8,6,14
PUERTO QUIJARRO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,46,114,46,114,160
PUERTO RICO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,4,2,4,2,6
PUERTO SUAREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,3,2,3,2,5
PUERTO VILLARROEL,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,189,198,189,198,387
PUNA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,51,73,51,73,124
PUNATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,134,127,134,127,261
QUIABAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,24,14,24,14,38
QUILLACOLLO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,606,574,606,574,1180
QUIME,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,101,121,101,121,222
QUIRUSILLAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,8,6,8,6,14
RAVELO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,67,77,67,77,144
REYES,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,4,7,4,7,11
RIBERALTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,149,239,149,239,388
ROBORE,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,14,10,14,10,24
RURRENABAQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,41,40,41,40,81
SABAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,9,11,9,11,20
SACABA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,601,507,601,507,1108
SACABAMBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,22,16,22,16,38
SACACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,34,45,34,45,79
SAIPINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,14,4,14,4,18
SALINAS DE GARCI MENDOZA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,291,281,291,281,572
SAMAIPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,32,36,32,36,68
SAN AGUSTIN,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,1,2,1,2,3
SAN ANDRES,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,33,34,33,34,67
SAN ANDRES DE MACHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,16,12,16,12,28
SAN ANTONIO DE ESMORUCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,9,18,9,18,27
SAN ANTONIO DE LOMERIO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,6,14,6,14,20
SAN BENITO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,65,76,65,76,141
SAN BORJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,55,52,55,52,107
SAN BUENA VENTURA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,11,9,11,9,20
SAN CARLOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,33,40,33,40,73
SAN IGNACIO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,54,52,54,52,106
SAN IGNACIO DE VELASCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,15,32,15,32,47
SAN JAVIER(BNI),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,3,3,3,3,6
SAN JOSE DE CHIQUITOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,20,13,20,13,33
SAN JUAN DE YAPACANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,9,1,9,1,10
SAN JULIAN,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,282,292,282,292,574
SAN LORENZO(PND),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,15,16,15,16,31
SAN LORENZO(TJA),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,78,98,78,98,176
SAN LUCAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,109,158,109,158,267
SAN MATIAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,15,15,15,15,30
SAN MIGUEL DE VELASCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,17,4,17,4,21
SAN PABLO DE LIPEZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,9,13,9,13,22
SAN PEDRO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,47,72,47,72,119
SAN PEDRO DE BUENA VISTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,34,32,34,32,66
SAN PEDRO DE CURAHUARA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,14,10,14,10,24
SAN PEDRO DE QUEMES,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,2,6,2,6,8
SAN PEDRO DE TIQUINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,9,4,9,4,13
SAN RAFAEL,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,3,26,3,26,29
SAN RAMON BENI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,4,1,4,1,5
SAN RAMON SCZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,80,96,80,96,176
SANTA ANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,55,63,55,63,118
SANTA CRUZ DE LA SIERRA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,4369,4473,4369,4473,8842
SANTA ROSA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,8,7,8,7,15
SANTA ROSA DEL SARA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,8,13,8,13,21
SANTIAGO DE CALLAPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,0,3,0,3,3
SANTIAGO DE HUARI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,39,56,39,56,95
SANTIAGO DE HUATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,24,31,24,31,55
SANTIAGO DE MACHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,5,11,5,11,16
SANTIVAÑES,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,9,13,9,13,22
SANTUARIO DE QUILLACAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,19,29,19,29,48
SAPAHAQUI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,15,18,15,18,33
SENA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,42,36,42,36,78
SHINAOTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,4,42,4,42,46
SICA SICA (VILLA AROMA),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,56,72,56,72,128
SICAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,9,8,9,8,17
SIPE SIPE,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,194,277,194,277,471
SOPACHUY,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,3,11,3,11,14
SORACACHI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,26,19,26,19,45
SORATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,99,77,99,77,176
SUCRE,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,2101,2191,2101,2191,4292
TACACHI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,0,2,0,2,2
TACACOMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,7,13,7,13,20
TACOBAMBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,1,0,1,0,1
TACOPAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,10,4,10,4,14
TAHUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,13,12,13,12,25
TAPACARI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,103,114,103,114,217
TARABUCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,116,124,116,124,240
TARACO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,84,37,84,37,121
TARATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,16,21,16,21,37
TARIJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,1211,1324,1211,1324,2535
TARVITA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,112,141,112,141,253
TEOPONTE,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,19,32,19,32,51
TIAWANACU,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,39,15,39,15,54
TINGUIPAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,12,43,12,43,55
TIPUANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,33,20,33,20,53
TIQUIPAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,858,875,858,875,1733
TIRAQUE (CBBA),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,31,41,31,41,72
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,3,1,3,1,4
TOCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,25,54,25,54,79
TOLATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,37,9,37,9,46
TOLEDO,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,25,19,25,19,44
TOMAVE,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,68,44,68,44,112
TOMINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-04-01,113,121,113,121,234
