,group,variable,month,TOTAL 3.3 CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTAL 3.3 CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
EL CHORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,98,145,98,145,243
EL PUENTE(STC),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,21,29,21,29,50
EL PUENTE(TJA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,109,212,109,212,321
EL TORNO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,165,411,165,411,576
EL VILLAR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,20,30,20,30,50
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,195,294,195,294,489
ENTRE RIOS CBBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,11,30,11,30,41
ESCOMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,45,63,45,63,108
EUCALIPTUS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,27,40,27,40,67
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,50,105,50,105,155
FILADELFIA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,45,49,45,49,94
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,21,60,21,60,81
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,47,74,47,74,121
GUANAY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,44,53,44,53,97
GUAQUI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,89,103,89,103,192
GUAYARAMERIN,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,438,712,438,712,1150
GUTIERREZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,72,114,72,114,186
HUACARETA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,20,118,20,118,138
HUACAYA (VILLA DE HUACAYA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,17,51,17,51,68
HUACHACALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,9,14,9,14,23
HUANUNI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,68,113,68,113,181
HUARACAJE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,3,16,3,16,19
HUARINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,11,11,11,11,22
HUATAJATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,26,39,26,39,65
HUAYLLAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,111,152,111,152,263
HUMANATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,18,24,18,24,42
ICHOCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,8,12,8,12,20
ICLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,30,99,30,99,129
INCAHUASI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,46,51,46,51,97
INGAVI (HUMAITA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,6,7,6,7,13
INQUISIVI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,30,96,30,96,126
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,71,120,71,120,191
IXIAMAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,66,119,66,119,185
JESUS DE MACHACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,36,93,36,93,129
LA ASUNTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,143,149,143,149,292
LA GUARDIA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,64,217,64,217,281
LA PAZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,3894,7246,3894,7246,11140
LA RIVERA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,4,13,4,13,17
LAGUNILLAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,22,66,22,66,88
LAJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,42,82,42,82,124
LAS CARRERAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,26,59,26,59,85
LICOMA PAMPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,33,46,33,46,79
LLALLAGUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,93,282,93,282,375
LLICA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,56,58,56,58,114
LORETO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,1,1,1,1,2
LURIBAY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,33,67,33,67,100
MACHACAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,20,29,20,29,49
MACHARETI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,31,107,31,107,138
MAGDALENA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,87,145,87,145,232
MAIRANA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,22,36,22,36,58
MALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,5,23,5,23,28
MAPIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,86,141,86,141,227
MECAPACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,66,110,66,110,176
MINEROS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,74,245,74,245,319
MIZQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,57,105,57,105,162
MOCOMOCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,77,83,77,83,160
MOJOCOYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,50,134,50,134,184
MONTEAGUDO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,111,464,111,464,575
MONTERO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,167,346,167,346,513
MORO MORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,23,24,23,24,47
MOROCHATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,27,45,27,45,72
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,47,27,47,27,74
OCURI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,41,82,41,82,123
OKINAWA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,19,17,19,17,36
ORURO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,1409,2523,1409,2523,3932
PADCAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,213,355,213,355,568
PADILLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,87,142,87,142,229
PAILON,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,40,59,40,59,99
PALCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,62,107,62,107,169
PALOS BLANCOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,75,151,75,151,226
PAMPA AULLAGAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,229,196,229,196,425
PAMPA GRANDE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,1,30,1,30,31
PAPEL PAMPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,17,33,17,33,50
PASORAPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,2,36,2,36,38
PATACAMAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,22,101,22,101,123
PAZÑA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,34,36,34,36,70
PELECHUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,7,19,7,19,26
POCOATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,26,68,26,68,94
POCONA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,313,254,313,254,567
POJO (CBBA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,223,219,223,219,442
POOPO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,117,144,117,144,261
PORCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,24,42,24,42,66
POROMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,129,155,129,155,284
PORONGO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,143,156,143,156,299
PORTACHUELO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,58,101,58,101,159
PORVENIR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,144,114,144,114,258
POSTRER VALLE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,5,4,5,4,9
POTOSI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,1109,2240,1109,2240,3349
PRESTO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,25,103,25,103,128
PUCARA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,11,31,11,31,42
PUCARANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,72,180,72,180,252
PUERTO ACOSTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,8,8,8,8,16
PUERTO CARABUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,91,88,91,88,179
PUERTO GONZALO MORENO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,7,12,7,12,19
PUERTO PEREZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,13,31,13,31,44
PUERTO QUIJARRO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,133,65,133,65,198
PUERTO RICO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,14,65,14,65,79
PUERTO SUAREZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,11,17,11,17,28
PUERTO VILLARROEL,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,101,179,101,179,280
PUNA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,104,284,104,284,388
PUNATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,81,241,81,241,322
QUIABAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,45,70,45,70,115
QUILLACOLLO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,180,480,180,480,660
QUIME,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,70,180,70,180,250
QUIRUSILLAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,4,9,4,9,13
RAVELO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,43,94,43,94,137
REYES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,39,54,39,54,93
RIBERALTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,360,637,360,637,997
ROBORE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,48,92,48,92,140
RURRENABAQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,78,138,78,138,216
SABAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,51,72,51,72,123
SACABA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,1386,2541,1386,2541,3927
SACABAMBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,26,29,26,29,55
SACACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,36,147,36,147,183
SAIPINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,18,80,18,80,98
SALINAS DE GARCI MENDOZA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,92,137,92,137,229
SAMAIPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,36,67,36,67,103
SAN AGUSTIN,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,4,5,4,5,9
SAN ANDRES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,78,89,78,89,167
SAN ANDRES DE MACHACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,55,96,55,96,151
SAN ANTONIO DE ESMORUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,5,38,5,38,43
SAN ANTONIO DE LOMERIO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,3,10,3,10,13
SAN BENITO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,133,197,133,197,330
SAN BORJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,128,175,128,175,303
SAN BUENA VENTURA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,37,34,37,34,71
SAN CARLOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,188,280,188,280,468
SAN IGNACIO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,238,490,238,490,728
SAN IGNACIO DE VELASCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,40,67,40,67,107
SAN JAVIER(BNI),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,16,16,16,16,32
SAN JOSE DE CHIQUITOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,51,61,51,61,112
SAN JUAN DE YAPACANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,18,21,18,21,39
SAN JULIAN,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,278,407,278,407,685
SAN LORENZO(PND),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,9,12,9,12,21
SAN LORENZO(TJA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,402,929,402,929,1331
SAN LUCAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,166,239,166,239,405
SAN MATIAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,52,73,52,73,125
SAN MIGUEL DE VELASCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,38,50,38,50,88
SAN PABLO DE LIPEZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,21,24,21,24,45
SAN PEDRO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,36,115,36,115,151
SAN PEDRO DE BUENA VISTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,75,115,75,115,190
SAN PEDRO DE CURAHUARA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,19,18,19,18,37
SAN PEDRO DE QUEMES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,5,4,5,4,9
SAN PEDRO DE TIQUINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,18,40,18,40,58
SAN RAFAEL,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,9,30,9,30,39
SAN RAMON BENI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,23,33,23,33,56
SAN RAMON SCZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,49,56,49,56,105
SANTA ANA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,120,86,120,86,206
SANTA CRUZ DE LA SIERRA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,3232,6193,3232,6193,9425
SANTA ROSA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,29,28,29,28,57
SANTA ROSA DEL SARA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,41,114,41,114,155
SANTIAGO DE CALLAPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,22,29,22,29,51
SANTIAGO DE HUARI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,225,206,225,206,431
SANTIAGO DE HUATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,20,55,20,55,75
SANTIAGO DE MACHACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,20,71,20,71,91
SANTIVAÑES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,28,43,28,43,71
SANTUARIO DE QUILLACAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,32,31,32,31,63
SAPAHAQUI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,14,55,14,55,69
SENA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,52,60,52,60,112
SICA SICA (VILLA AROMA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,71,100,71,100,171
SICAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,6,28,6,28,34
SIPE SIPE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,70,391,70,391,461
SOPACHUY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,72,90,72,90,162
SORACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,90,76,90,76,166
SORATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,32,101,32,101,133
SUCRE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,2409,5082,2409,5082,7491
TACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,2,7,2,7,9
TACACOMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,50,58,50,58,108
TACOBAMBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,1,16,1,16,17
TACOPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,12,60,12,60,72
TAHUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,0,11,0,11,11
TAPACARI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,44,85,44,85,129
TARABUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,63,115,63,115,178
TARACO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,18,84,18,84,102
TARATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,45,52,45,52,97
TARIJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,2794,4917,2794,4917,7711
TARVITA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,81,158,81,158,239
TEOPONTE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,51,91,51,91,142
TIAWANACU,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,95,157,95,157,252
TINGUIPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,26,89,26,89,115
TIPUANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,38,40,38,40,78
TIQUIPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,579,1123,579,1123,1702
TIRAQUE (CBBA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,32,29,32,29,61
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,16,25,16,25,41
TOCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,60,59,60,59,119
TOLATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,62,72,62,72,134
TOLEDO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,42,48,42,48,90
TOMAVE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,45,77,45,77,122
TOMINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,233,360,233,360,593
TORO TORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,56,105,56,105,161
TOTORA(CBBA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,54,74,54,74,128
TOTORA(ORR),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,25,33,25,33,58
TRIGAL,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,13,30,13,30,43
TRINIDAD,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,730,1040,730,1040,1770
TUPIZA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,132,225,132,225,357
TURCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,20,50,20,50,70
UMALA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,8,28,8,28,36
UNCIA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,24,80,24,80,104
URIONDO (A. CONCEPCION),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,298,518,298,518,816
URUBICHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,8,30,8,30,38
UYUNI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,85,137,85,137,222
VACAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,30,109,30,109,139
VALLEGRANDE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,139,180,139,180,319
VIACHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,130,270,130,270,400
VILA VILA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,2,11,2,11,13
VILLA CHARCAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,25,98,25,98,123
VILLA MONTES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,571,929,571,929,1500
VILLA NUEVA (LOMA ALTA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,7,5,7,5,12
VILLA RIVERO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,22,49,22,49,71
VILLA SERRANO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,13,21,13,21,34
VILLA TUNARI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,417,499,417,499,916
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,95,241,95,241,336
VILLAZON,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,106,281,106,281,387
VINTO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,41,241,41,241,282
VITICHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,60,128,60,128,188
WALDO BALLIVIAN,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,9,18,9,18,27
WARNES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,107,240,107,240,347
YACUIBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,473,1012,473,1012,1485
YAMPARAEZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,25,100,25,100,125
YANACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,31,52,31,52,83
YAPACANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,63,136,63,136,199
YOCALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,30,83,30,83,113
YOTALA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,35,95,35,95,130
YUNCHARA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,150,238,150,238,388
ZUDAÑEZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-04-01,20,98,20,98,118
ACACIO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,15,19,15,19,34
ACHACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,186,316,186,316,502
ACHOCALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,34,106,34,106,140
AIQUILE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,28,55,28,55,83
ALALAY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,18,44,18,44,62
ALCALA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,40,53,40,53,93
ALTO BENI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,19,12,19,12,31
ANCORAIMES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,20,34,20,34,54
ANDAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,34,83,34,83,117
ANTEQUERA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,365,322,365,322,687
ANZALDO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,480,454,480,454,934
APOLO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,47,93,47,93,140
ARAMPAMPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,8,56,8,56,64
ARANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,15,48,15,48,63
ARBIETO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,385,410,385,410,795
ARQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,98,123,98,123,221
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,14,20,14,20,34
ATOCHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,500,600,500,600,1100
AUCAPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,13,31,13,31,44
AYATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,25,56,25,56,81
AYO AYO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,43,94,43,94,137
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,159,183,159,183,342
AZURDUY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,8,20,8,20,28
BATALLAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,13,63,13,63,76
BAURES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,36,42,36,42,78
BELEN DE ANDAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,0,15,0,15,15
BELEN DE URMIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,13,18,13,18,31
BELLA FLOR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,1,5,1,5,6
BERMEJO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,460,713,460,713,1173
BETANZOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,78,148,78,148,226
BOLIVAR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,35,46,35,46,81
BOYUIBE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,18,36,18,36,54
BUENA VISTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,6,14,6,14,20
CABEZAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,50,109,50,109,159
CAIROMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,36,67,36,67,103
"CAIZA ""D""",atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,22,43,22,43,65
CAJUATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,39,92,39,92,131
CALACOTO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,22,31,22,31,53
CALAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,76,159,76,159,235
CAMARGO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-05-01,28,128,28,128,156
