,group,variable,month,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
POCOATA,atencion odontologica, restauraciones,2014-03-01,11,10,11,10,21
POCONA,atencion odontologica, restauraciones,2014-03-01,112,130,112,130,242
POJO (CBBA),atencion odontologica, restauraciones,2014-03-01,108,209,108,209,317
POOPO,atencion odontologica, restauraciones,2014-03-01,72,41,72,41,113
PORCO,atencion odontologica, restauraciones,2014-03-01,7,10,7,10,17
POROMA,atencion odontologica, restauraciones,2014-03-01,2,6,2,6,8
PORONGO,atencion odontologica, restauraciones,2014-03-01,0,3,0,3,3
PORTACHUELO,atencion odontologica, restauraciones,2014-03-01,20,43,20,43,63
PORVENIR,atencion odontologica, restauraciones,2014-03-01,48,75,48,75,123
POSTRER VALLE,atencion odontologica, restauraciones,2014-03-01,6,12,6,12,18
POTOSI,atencion odontologica, restauraciones,2014-03-01,673,1181,673,1181,1854
PRESTO,atencion odontologica, restauraciones,2014-03-01,2,11,2,11,13
PUCARA,atencion odontologica, restauraciones,2014-03-01,1,11,1,11,12
PUCARANI,atencion odontologica, restauraciones,2014-03-01,22,55,22,55,77
PUERTO ACOSTA,atencion odontologica, restauraciones,2014-03-01,8,22,8,22,30
PUERTO CARABUCO,atencion odontologica, restauraciones,2014-03-01,50,74,50,74,124
PUERTO GONZALO MORENO,atencion odontologica, restauraciones,2014-03-01,46,61,46,61,107
PUERTO QUIJARRO,atencion odontologica, restauraciones,2014-03-01,25,48,25,48,73
PUERTO RICO,atencion odontologica, restauraciones,2014-03-01,23,31,23,31,54
PUERTO SUAREZ,atencion odontologica, restauraciones,2014-03-01,12,40,12,40,52
PUERTO VILLARROEL,atencion odontologica, restauraciones,2014-03-01,106,232,106,232,338
PUNA,atencion odontologica, restauraciones,2014-03-01,71,91,71,91,162
PUNATA,atencion odontologica, restauraciones,2014-03-01,43,75,43,75,118
QUIABAYA,atencion odontologica, restauraciones,2014-03-01,4,8,4,8,12
QUILLACOLLO,atencion odontologica, restauraciones,2014-03-01,670,967,670,967,1637
QUIME,atencion odontologica, restauraciones,2014-03-01,60,111,60,111,171
QUIRUSILLAS,atencion odontologica, restauraciones,2014-03-01,9,6,9,6,15
RAVELO,atencion odontologica, restauraciones,2014-03-01,17,15,17,15,32
REYES,atencion odontologica, restauraciones,2014-03-01,33,33,33,33,66
RIBERALTA,atencion odontologica, restauraciones,2014-03-01,120,234,120,234,354
ROBORE,atencion odontologica, restauraciones,2014-03-01,14,37,14,37,51
RURRENABAQUE,atencion odontologica, restauraciones,2014-03-01,68,96,68,96,164
SABAYA,atencion odontologica, restauraciones,2014-03-01,28,30,28,30,58
SACABA,atencion odontologica, restauraciones,2014-03-01,741,1124,741,1124,1865
SACABAMBA,atencion odontologica, restauraciones,2014-03-01,3,15,3,15,18
SACACA,atencion odontologica, restauraciones,2014-03-01,19,53,19,53,72
SAIPINA,atencion odontologica, restauraciones,2014-03-01,41,50,41,50,91
SALINAS DE GARCI MENDOZA,atencion odontologica, restauraciones,2014-03-01,97,101,97,101,198
SAMAIPATA,atencion odontologica, restauraciones,2014-03-01,4,27,4,27,31
SAN ANDRES,atencion odontologica, restauraciones,2014-03-01,4,3,4,3,7
SAN ANDRES DE MACHACA,atencion odontologica, restauraciones,2014-03-01,25,64,25,64,89
SAN ANTONIO DE ESMORUCO,atencion odontologica, restauraciones,2014-03-01,2,3,2,3,5
SAN ANTONIO DE LOMERIO,atencion odontologica, restauraciones,2014-03-01,1,14,1,14,15
SAN BENITO,atencion odontologica, restauraciones,2014-03-01,27,27,27,27,54
SAN BORJA,atencion odontologica, restauraciones,2014-03-01,34,61,34,61,95
SAN BUENA VENTURA,atencion odontologica, restauraciones,2014-03-01,3,3,3,3,6
SAN CARLOS,atencion odontologica, restauraciones,2014-03-01,62,49,62,49,111
SAN IGNACIO,atencion odontologica, restauraciones,2014-03-01,167,274,167,274,441
SAN IGNACIO DE VELASCO,atencion odontologica, restauraciones,2014-03-01,58,81,58,81,139
SAN JAVIER(BNI),atencion odontologica, restauraciones,2014-03-01,1,6,1,6,7
SAN JAVIER(STC),atencion odontologica, restauraciones,2014-03-01,13,21,13,21,34
SAN JOAQUIN,atencion odontologica, restauraciones,2014-03-01,3,18,3,18,21
SAN JOSE DE CHIQUITOS,atencion odontologica, restauraciones,2014-03-01,57,61,57,61,118
SAN JUAN DE YAPACANI,atencion odontologica, restauraciones,2014-03-01,13,16,13,16,29
SAN JULIAN,atencion odontologica, restauraciones,2014-03-01,39,92,39,92,131
SAN LORENZO(PND),atencion odontologica, restauraciones,2014-03-01,0,2,0,2,2
SAN LORENZO(TJA),atencion odontologica, restauraciones,2014-03-01,136,260,136,260,396
SAN LUCAS,atencion odontologica, restauraciones,2014-03-01,54,105,54,105,159
SAN MATIAS,atencion odontologica, restauraciones,2014-03-01,5,9,5,9,14
SAN MIGUEL DE VELASCO,atencion odontologica, restauraciones,2014-03-01,2,21,2,21,23
SAN PABLO DE LIPEZ,atencion odontologica, restauraciones,2014-03-01,0,9,0,9,9
SAN PEDRO,atencion odontologica, restauraciones,2014-03-01,50,84,50,84,134
SAN PEDRO DE BUENA VISTA,atencion odontologica, restauraciones,2014-03-01,24,92,24,92,116
SAN PEDRO DE CURAHUARA,atencion odontologica, restauraciones,2014-03-01,3,4,3,4,7
SAN PEDRO DE QUEMES,atencion odontologica, restauraciones,2014-03-01,0,6,0,6,6
SAN PEDRO DE TIQUINA,atencion odontologica, restauraciones,2014-03-01,4,7,4,7,11
SAN RAFAEL,atencion odontologica, restauraciones,2014-03-01,1,8,1,8,9
SAN RAMON BENI,atencion odontologica, restauraciones,2014-03-01,2,8,2,8,10
SAN RAMON SCZ,atencion odontologica, restauraciones,2014-03-01,49,60,49,60,109
SANTA ANA,atencion odontologica, restauraciones,2014-03-01,8,40,8,40,48
SANTA CRUZ DE LA SIERRA,atencion odontologica, restauraciones,2014-03-01,2949,5852,2949,5852,8801
SANTA ROSA,atencion odontologica, restauraciones,2014-03-01,9,23,9,23,32
SANTA ROSA DEL SARA,atencion odontologica, restauraciones,2014-03-01,23,55,23,55,78
SANTIAGO DE HUARI,atencion odontologica, restauraciones,2014-03-01,97,133,97,133,230
SANTIAGO DE HUATA,atencion odontologica, restauraciones,2014-03-01,14,16,14,16,30
SANTIAGO DE MACHACA,atencion odontologica, restauraciones,2014-03-01,5,21,5,21,26
SANTIVAÑES,atencion odontologica, restauraciones,2014-03-01,21,31,21,31,52
SANTUARIO DE QUILLACAS,atencion odontologica, restauraciones,2014-03-01,8,23,8,23,31
SAPAHAQUI,atencion odontologica, restauraciones,2014-03-01,17,21,17,21,38
SENA,atencion odontologica, restauraciones,2014-03-01,2,12,2,12,14
SHINAOTA,atencion odontologica, restauraciones,2014-03-01,7,10,7,10,17
SICA SICA (VILLA AROMA),atencion odontologica, restauraciones,2014-03-01,21,45,21,45,66
SICAYA,atencion odontologica, restauraciones,2014-03-01,5,16,5,16,21
SIPE SIPE,atencion odontologica, restauraciones,2014-03-01,72,195,72,195,267
SOPACHUY,atencion odontologica, restauraciones,2014-03-01,16,91,16,91,107
SORACACHI,atencion odontologica, restauraciones,2014-03-01,54,27,54,27,81
SORATA,atencion odontologica, restauraciones,2014-03-01,32,90,32,90,122
SUCRE,atencion odontologica, restauraciones,2014-03-01,1841,2902,1841,2902,4743
TACACHI,atencion odontologica, restauraciones,2014-03-01,0,4,0,4,4
TACACOMA,atencion odontologica, restauraciones,2014-03-01,13,19,13,19,32
TACOBAMBA,atencion odontologica, restauraciones,2014-03-01,0,1,0,1,1
TACOPAYA,atencion odontologica, restauraciones,2014-03-01,3,27,3,27,30
TAHUA,atencion odontologica, restauraciones,2014-03-01,5,4,5,4,9
TAPACARI,atencion odontologica, restauraciones,2014-03-01,68,137,68,137,205
TARABUCO,atencion odontologica, restauraciones,2014-03-01,25,62,25,62,87
TARACO,atencion odontologica, restauraciones,2014-03-01,42,23,42,23,65
TARATA,atencion odontologica, restauraciones,2014-03-01,32,45,32,45,77
TARIJA,atencion odontologica, restauraciones,2014-03-01,1756,2797,1756,2797,4553
TARVITA,atencion odontologica, restauraciones,2014-03-01,38,30,38,30,68
TEOPONTE,atencion odontologica, restauraciones,2014-03-01,27,59,27,59,86
TIAWANACU,atencion odontologica, restauraciones,2014-03-01,9,33,9,33,42
TINGUIPAYA,atencion odontologica, restauraciones,2014-03-01,3,17,3,17,20
TIPUANI,atencion odontologica, restauraciones,2014-03-01,7,18,7,18,25
TIQUIPAYA,atencion odontologica, restauraciones,2014-03-01,355,741,355,741,1096
TIRAQUE (CBBA),atencion odontologica, restauraciones,2014-03-01,17,72,17,72,89
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, restauraciones,2014-03-01,0,2,0,2,2
TOCO,atencion odontologica, restauraciones,2014-03-01,18,27,18,27,45
TOLATA,atencion odontologica, restauraciones,2014-03-01,60,69,60,69,129
TOLEDO,atencion odontologica, restauraciones,2014-03-01,42,42,42,42,84
TOMAVE,atencion odontologica, restauraciones,2014-03-01,13,49,13,49,62
TOMINA,atencion odontologica, restauraciones,2014-03-01,16,30,16,30,46
TORO TORO,atencion odontologica, restauraciones,2014-03-01,21,48,21,48,69
TOTORA(CBBA),atencion odontologica, restauraciones,2014-03-01,62,66,62,66,128
TOTORA(ORR),atencion odontologica, restauraciones,2014-03-01,11,0,11,0,11
TRIGAL,atencion odontologica, restauraciones,2014-03-01,15,21,15,21,36
TRINIDAD,atencion odontologica, restauraciones,2014-03-01,410,521,410,521,931
TUPIZA,atencion odontologica, restauraciones,2014-03-01,214,243,214,243,457
TURCO,atencion odontologica, restauraciones,2014-03-01,8,22,8,22,30
UMALA,atencion odontologica, restauraciones,2014-03-01,3,8,3,8,11
UNCIA,atencion odontologica, restauraciones,2014-03-01,18,46,18,46,64
URIONDO (A. CONCEPCION),atencion odontologica, restauraciones,2014-03-01,192,340,192,340,532
URUBICHA,atencion odontologica, restauraciones,2014-03-01,10,19,10,19,29
UYUNI,atencion odontologica, restauraciones,2014-03-01,42,52,42,52,94
VACAS,atencion odontologica, restauraciones,2014-03-01,30,58,30,58,88
VALLEGRANDE,atencion odontologica, restauraciones,2014-03-01,60,110,60,110,170
VIACHA,atencion odontologica, restauraciones,2014-03-01,76,117,76,117,193
VILA VILA,atencion odontologica, restauraciones,2014-03-01,13,7,13,7,20
VILLA CHARCAS,atencion odontologica, restauraciones,2014-03-01,7,24,7,24,31
VILLA MONTES,atencion odontologica, restauraciones,2014-03-01,253,389,253,389,642
VILLA NUEVA (LOMA ALTA),atencion odontologica, restauraciones,2014-03-01,5,6,5,6,11
VILLA RIVERO,atencion odontologica, restauraciones,2014-03-01,18,40,18,40,58
VILLA SERRANO,atencion odontologica, restauraciones,2014-03-01,65,87,65,87,152
VILLA TUNARI,atencion odontologica, restauraciones,2014-03-01,213,466,213,466,679
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, restauraciones,2014-03-01,33,89,33,89,122
VILLAZON,atencion odontologica, restauraciones,2014-03-01,66,130,66,130,196
VINTO,atencion odontologica, restauraciones,2014-03-01,63,214,63,214,277
VITICHI,atencion odontologica, restauraciones,2014-03-01,25,51,25,51,76
WALDO BALLIVIAN,atencion odontologica, restauraciones,2014-03-01,4,3,4,3,7
WARNES,atencion odontologica, restauraciones,2014-03-01,33,138,33,138,171
YACO,atencion odontologica, restauraciones,2014-03-01,3,6,3,6,9
YACUIBA,atencion odontologica, restauraciones,2014-03-01,285,505,285,505,790
YAMPARAEZ,atencion odontologica, restauraciones,2014-03-01,28,25,28,25,53
YAPACANI,atencion odontologica, restauraciones,2014-03-01,128,275,128,275,403
YOCALLA,atencion odontologica, restauraciones,2014-03-01,5,7,5,7,12
YOTALA,atencion odontologica, restauraciones,2014-03-01,12,29,12,29,41
YUNCHARA,atencion odontologica, restauraciones,2014-03-01,20,84,20,84,104
ZUDAÑEZ,atencion odontologica, restauraciones,2014-03-01,6,25,6,25,31
ACACIO,atencion odontologica, restauraciones,2014-04-01,9,15,9,15,24
ACHACACHI,atencion odontologica, restauraciones,2014-04-01,106,202,106,202,308
ACHOCALLA,atencion odontologica, restauraciones,2014-04-01,16,29,16,29,45
AIQUILE,atencion odontologica, restauraciones,2014-04-01,43,130,43,130,173
ALALAY,atencion odontologica, restauraciones,2014-04-01,2,7,2,7,9
ALCALA,atencion odontologica, restauraciones,2014-04-01,19,9,19,9,28
ALTO BENI,atencion odontologica, restauraciones,2014-04-01,11,16,11,16,27
ANCORAIMES,atencion odontologica, restauraciones,2014-04-01,3,13,3,13,16
ANDAMARCA,atencion odontologica, restauraciones,2014-04-01,11,53,11,53,64
ANTEQUERA,atencion odontologica, restauraciones,2014-04-01,81,79,81,79,160
ANZALDO,atencion odontologica, restauraciones,2014-04-01,17,30,17,30,47
APOLO,atencion odontologica, restauraciones,2014-04-01,19,57,19,57,76
ARAMPAMPA,atencion odontologica, restauraciones,2014-04-01,18,26,18,26,44
ARANI,atencion odontologica, restauraciones,2014-04-01,34,93,34,93,127
ARBIETO,atencion odontologica, restauraciones,2014-04-01,32,51,32,51,83
ARQUE,atencion odontologica, restauraciones,2014-04-01,12,41,12,41,53
ASCENCION DE GUARAYOS,atencion odontologica, restauraciones,2014-04-01,12,27,12,27,39
ATOCHA,atencion odontologica, restauraciones,2014-04-01,185,245,185,245,430
AUCAPATA,atencion odontologica, restauraciones,2014-04-01,7,5,7,5,12
AYATA,atencion odontologica, restauraciones,2014-04-01,4,3,4,3,7
AYO AYO,atencion odontologica, restauraciones,2014-04-01,10,11,10,11,21
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, restauraciones,2014-04-01,140,172,140,172,312
AZURDUY,atencion odontologica, restauraciones,2014-04-01,3,25,3,25,28
BATALLAS,atencion odontologica, restauraciones,2014-04-01,13,24,13,24,37
BAURES,atencion odontologica, restauraciones,2014-04-01,26,31,26,31,57
BELEN DE ANDAMARCA,atencion odontologica, restauraciones,2014-04-01,3,7,3,7,10
BELEN DE URMIRI,atencion odontologica, restauraciones,2014-04-01,4,11,4,11,15
BERMEJO,atencion odontologica, restauraciones,2014-04-01,668,378,668,378,1046
BETANZOS,atencion odontologica, restauraciones,2014-04-01,44,91,44,91,135
BOLIVAR,atencion odontologica, restauraciones,2014-04-01,7,6,7,6,13
BOLPEBRA,atencion odontologica, restauraciones,2014-04-01,1,0,1,0,1
BOYUIBE,atencion odontologica, restauraciones,2014-04-01,11,7,11,7,18
BUENA VISTA,atencion odontologica, restauraciones,2014-04-01,5,81,5,81,86
CABEZAS,atencion odontologica, restauraciones,2014-04-01,15,27,15,27,42
CAIROMA,atencion odontologica, restauraciones,2014-04-01,3,4,3,4,7
"CAIZA ""D""",atencion odontologica, restauraciones,2014-04-01,18,28,18,28,46
CAJUATA,atencion odontologica, restauraciones,2014-04-01,14,63,14,63,77
CALACOTO,atencion odontologica, restauraciones,2014-04-01,5,22,5,22,27
CALAMARCA,atencion odontologica, restauraciones,2014-04-01,22,60,22,60,82
CAMARGO,atencion odontologica, restauraciones,2014-04-01,14,41,14,41,55
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, restauraciones,2014-04-01,6,38,6,38,44
CAMIRI,atencion odontologica, restauraciones,2014-04-01,93,214,93,214,307
CAPINOTA,atencion odontologica, restauraciones,2014-04-01,84,158,84,158,242
CAQUIAVIRI,atencion odontologica, restauraciones,2014-04-01,8,28,8,28,36
CARACOLLO,atencion odontologica, restauraciones,2014-04-01,51,74,51,74,125
CARANAVI,atencion odontologica, restauraciones,2014-04-01,111,117,111,117,228
CARAPARI,atencion odontologica, restauraciones,2014-04-01,110,134,110,134,244
CARIPUYO,atencion odontologica, restauraciones,2014-04-01,7,28,7,28,35
CARMEN RIVERO TORREZ,atencion odontologica, restauraciones,2014-04-01,12,16,12,16,28
CATACORA,atencion odontologica, restauraciones,2014-04-01,7,16,7,16,23
CHALLAPATA,atencion odontologica, restauraciones,2014-04-01,294,390,294,390,684
CHAQUI,atencion odontologica, restauraciones,2014-04-01,4,1,4,1,5
CHARAGUA,atencion odontologica, restauraciones,2014-04-01,24,53,24,53,77
CHARAÑA,atencion odontologica, restauraciones,2014-04-01,0,5,0,5,5
CHAYANTA,atencion odontologica, restauraciones,2014-04-01,42,71,42,71,113
CHIMORE,atencion odontologica, restauraciones,2014-04-01,52,118,52,118,170
CHIPAYA,atencion odontologica, restauraciones,2014-04-01,26,53,26,53,79
CHOQUE COTA,atencion odontologica, restauraciones,2014-04-01,6,7,6,7,13
CHUA COCANI,atencion odontologica, restauraciones,2014-04-01,5,9,5,9,14
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, restauraciones,2014-04-01,32,48,32,48,80
CHUMA,atencion odontologica, restauraciones,2014-04-01,78,84,78,84,162
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, restauraciones,2014-04-01,12,10,12,10,22
CKOCHAS,atencion odontologica, restauraciones,2014-04-01,3,37,3,37,40
CLIZA,atencion odontologica, restauraciones,2014-04-01,83,181,83,181,264
COBIJA,atencion odontologica, restauraciones,2014-04-01,420,614,420,614,1034
COCAPATA,atencion odontologica, restauraciones,2014-04-01,37,79,37,79,116
COCHABAMBA,atencion odontologica, restauraciones,2014-04-01,3284,5185,3284,5185,8469
COIPASA,atencion odontologica, restauraciones,2014-04-01,15,32,15,32,47
COLCAPIRHUA,atencion odontologica, restauraciones,2014-04-01,199,291,199,291,490
"COLCHA ""K""",atencion odontologica, restauraciones,2014-04-01,0,17,0,17,17
COLLANA,atencion odontologica, restauraciones,2014-04-01,6,7,6,7,13
COLOMI,atencion odontologica, restauraciones,2014-04-01,31,72,31,72,103
COLPA BELGICA,atencion odontologica, restauraciones,2014-04-01,9,12,9,12,21
COLQUECHACA,atencion odontologica, restauraciones,2014-04-01,52,84,52,84,136
COLQUENCHA,atencion odontologica, restauraciones,2014-04-01,16,47,16,47,63
COLQUIRI,atencion odontologica, restauraciones,2014-04-01,50,59,50,59,109
COMANCHE,atencion odontologica, restauraciones,2014-04-01,0,2,0,2,2
COMARAPA,atencion odontologica, restauraciones,2014-04-01,51,76,51,76,127
COMBAYA,atencion odontologica, restauraciones,2014-04-01,7,4,7,4,11
CONCEPCION,atencion odontologica, restauraciones,2014-04-01,35,23,35,23,58
COPACABANA,atencion odontologica, restauraciones,2014-04-01,84,110,84,110,194
CORIPATA,atencion odontologica, restauraciones,2014-04-01,11,30,11,30,41
CORO CORO,atencion odontologica, restauraciones,2014-04-01,7,18,7,18,25
COROICO,atencion odontologica, restauraciones,2014-04-01,43,141,43,141,184
CORQUE,atencion odontologica, restauraciones,2014-04-01,4,28,4,28,32
COTAGAITA,atencion odontologica, restauraciones,2014-04-01,104,130,104,130,234
COTOCA,atencion odontologica, restauraciones,2014-04-01,3,59,3,59,62
CUATRO CAÑADAS,atencion odontologica, restauraciones,2014-04-01,30,138,30,138,168
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, restauraciones,2014-04-01,0,1,0,1,1
CUEVO,atencion odontologica, restauraciones,2014-04-01,8,27,8,27,35
CULPINA,atencion odontologica, restauraciones,2014-04-01,12,37,12,37,49
CURAHUARA DE CARANGAS,atencion odontologica, restauraciones,2014-04-01,40,79,40,79,119
CURVA,atencion odontologica, restauraciones,2014-04-01,50,36,50,36,86
DESAGUADERO,atencion odontologica, restauraciones,2014-04-01,40,25,40,25,65
EL ALTO,atencion odontologica, restauraciones,2014-04-01,3705,5663,3705,5663,9368
EL CHORO,atencion odontologica, restauraciones,2014-04-01,22,33,22,33,55
EL PUENTE(STC),atencion odontologica, restauraciones,2014-04-01,1,38,1,38,39
EL PUENTE(TJA),atencion odontologica, restauraciones,2014-04-01,19,77,19,77,96
EL TORNO,atencion odontologica, restauraciones,2014-04-01,139,306,139,306,445
EL VILLAR,atencion odontologica, restauraciones,2014-04-01,14,17,14,17,31
ENTRE RIOS TRJ,atencion odontologica, restauraciones,2014-04-01,42,58,42,58,100
ENTRE RIOS CBBA,atencion odontologica, restauraciones,2014-04-01,65,92,65,92,157
ESCOMA,atencion odontologica, restauraciones,2014-04-01,9,18,9,18,27
EUCALIPTUS,atencion odontologica, restauraciones,2014-04-01,16,20,16,20,36
FERNANDEZ ALONSO,atencion odontologica, restauraciones,2014-04-01,36,64,36,64,100
FILADELFIA,atencion odontologica, restauraciones,2014-04-01,28,23,28,23,51
GENERAL SAAVEDRA,atencion odontologica, restauraciones,2014-04-01,13,33,13,33,46
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, restauraciones,2014-04-01,32,58,32,58,90
GUANAY,atencion odontologica, restauraciones,2014-04-01,41,58,41,58,99
GUAQUI,atencion odontologica, restauraciones,2014-04-01,15,28,15,28,43
GUAYARAMERIN,atencion odontologica, restauraciones,2014-04-01,289,456,289,456,745
GUTIERREZ,atencion odontologica, restauraciones,2014-04-01,19,50,19,50,69
HUACARETA,atencion odontologica, restauraciones,2014-04-01,30,63,30,63,93
HUACAYA (VILLA DE HUACAYA),atencion odontologica, restauraciones,2014-04-01,9,11,9,11,20
HUACHACALLA,atencion odontologica, restauraciones,2014-04-01,1,4,1,4,5
HUANUNI,atencion odontologica, restauraciones,2014-04-01,68,126,68,126,194
HUARACAJE,atencion odontologica, restauraciones,2014-04-01,4,1,4,1,5
HUARINA,atencion odontologica, restauraciones,2014-04-01,6,1,6,1,7
HUATAJATA,atencion odontologica, restauraciones,2014-04-01,5,10,5,10,15
HUAYLLAMARCA,atencion odontologica, restauraciones,2014-04-01,53,82,53,82,135
HUMANATA,atencion odontologica, restauraciones,2014-04-01,12,17,12,17,29
ICHOCA,atencion odontologica, restauraciones,2014-04-01,26,23,26,23,49
ICLA,atencion odontologica, restauraciones,2014-04-01,45,88,45,88,133
INCAHUASI,atencion odontologica, restauraciones,2014-04-01,21,55,21,55,76
INGAVI (HUMAITA),atencion odontologica, restauraciones,2014-04-01,1,0,1,0,1
INQUISIVI,atencion odontologica, restauraciones,2014-04-01,13,34,13,34,47
IRUPANA (VILLA DE LANZA),atencion odontologica, restauraciones,2014-04-01,47,84,47,84,131
IXIAMAS,atencion odontologica, restauraciones,2014-04-01,24,39,24,39,63
JESUS DE MACHACA,atencion odontologica, restauraciones,2014-04-01,25,54,25,54,79
LA ASUNTA,atencion odontologica, restauraciones,2014-04-01,17,17,17,17,34
LA GUARDIA,atencion odontologica, restauraciones,2014-04-01,95,231,95,231,326
LA PAZ,atencion odontologica, restauraciones,2014-04-01,5778,7843,5778,7843,13621
LA RIVERA,atencion odontologica, restauraciones,2014-04-01,6,19,6,19,25
LAGUNILLAS,atencion odontologica, restauraciones,2014-04-01,7,37,7,37,44
LAJA,atencion odontologica, restauraciones,2014-04-01,19,61,19,61,80
LAS CARRERAS,atencion odontologica, restauraciones,2014-04-01,9,30,9,30,39
LICOMA PAMPA,atencion odontologica, restauraciones,2014-04-01,27,35,27,35,62
LLALLAGUA,atencion odontologica, restauraciones,2014-04-01,102,272,102,272,374
LLICA,atencion odontologica, restauraciones,2014-04-01,10,15,10,15,25
LURIBAY,atencion odontologica, restauraciones,2014-04-01,15,25,15,25,40
MACHACAMARCA,atencion odontologica, restauraciones,2014-04-01,5,27,5,27,32
MACHARETI,atencion odontologica, restauraciones,2014-04-01,45,76,45,76,121
MAGDALENA,atencion odontologica, restauraciones,2014-04-01,45,70,45,70,115
MAIRANA,atencion odontologica, restauraciones,2014-04-01,27,45,27,45,72
MALLA,atencion odontologica, restauraciones,2014-04-01,2,10,2,10,12
MAPIRI,atencion odontologica, restauraciones,2014-04-01,17,61,17,61,78
MECAPACA,atencion odontologica, restauraciones,2014-04-01,20,50,20,50,70
MINEROS,atencion odontologica, restauraciones,2014-04-01,92,217,92,217,309
MIZQUE,atencion odontologica, restauraciones,2014-04-01,47,100,47,100,147
MOCOMOCO,atencion odontologica, restauraciones,2014-04-01,16,14,16,14,30
MOJOCOYA,atencion odontologica, restauraciones,2014-04-01,40,81,40,81,121
MONTEAGUDO,atencion odontologica, restauraciones,2014-04-01,105,308,105,308,413
MONTERO,atencion odontologica, restauraciones,2014-04-01,129,239,129,239,368
MORO MORO,atencion odontologica, restauraciones,2014-04-01,16,14,16,14,30
MOROCHATA,atencion odontologica, restauraciones,2014-04-01,53,84,53,84,137
OCURI,atencion odontologica, restauraciones,2014-04-01,3,34,3,34,37
OKINAWA,atencion odontologica, restauraciones,2014-04-01,10,17,10,17,27
ORURO,atencion odontologica, restauraciones,2014-04-01,1330,1922,1330,1922,3252
PADCAYA,atencion odontologica, restauraciones,2014-04-01,62,131,62,131,193
PADILLA,atencion odontologica, restauraciones,2014-04-01,42,66,42,66,108
PAILON,atencion odontologica, restauraciones,2014-04-01,32,93,32,93,125
PALCA,atencion odontologica, restauraciones,2014-04-01,45,62,45,62,107
PALOS BLANCOS,atencion odontologica, restauraciones,2014-04-01,64,169,64,169,233
PAMPA AULLAGAS,atencion odontologica, restauraciones,2014-04-01,16,32,16,32,48
PAMPA GRANDE,atencion odontologica, restauraciones,2014-04-01,7,17,7,17,24
PAPEL PAMPA,atencion odontologica, restauraciones,2014-04-01,17,32,17,32,49
PASORAPA,atencion odontologica, restauraciones,2014-04-01,2,4,2,4,6
PATACAMAYA,atencion odontologica, restauraciones,2014-04-01,17,78,17,78,95
PAZÑA,atencion odontologica, restauraciones,2014-04-01,14,17,14,17,31
PELECHUCO,atencion odontologica, restauraciones,2014-04-01,25,39,25,39,64
POCOATA,atencion odontologica, restauraciones,2014-04-01,18,41,18,41,59
POCONA,atencion odontologica, restauraciones,2014-04-01,195,135,195,135,330
POJO (CBBA),atencion odontologica, restauraciones,2014-04-01,104,130,104,130,234
POOPO,atencion odontologica, restauraciones,2014-04-01,63,78,63,78,141
PORCO,atencion odontologica, restauraciones,2014-04-01,19,25,19,25,44
POROMA,atencion odontologica, restauraciones,2014-04-01,35,45,35,45,80
PORTACHUELO,atencion odontologica, restauraciones,2014-04-01,22,37,22,37,59
PORVENIR,atencion odontologica, restauraciones,2014-04-01,23,42,23,42,65
POSTRER VALLE,atencion odontologica, restauraciones,2014-04-01,14,13,14,13,27
POTOSI,atencion odontologica, restauraciones,2014-04-01,1058,1569,1058,1569,2627
PRESTO,atencion odontologica, restauraciones,2014-04-01,7,23,7,23,30
PUCARA,atencion odontologica, restauraciones,2014-04-01,1,6,1,6,7
PUCARANI,atencion odontologica, restauraciones,2014-04-01,6,51,6,51,57
PUERTO ACOSTA,atencion odontologica, restauraciones,2014-04-01,17,25,17,25,42
PUERTO CARABUCO,atencion odontologica, restauraciones,2014-04-01,25,19,25,19,44
PUERTO GONZALO MORENO,atencion odontologica, restauraciones,2014-04-01,56,68,56,68,124
PUERTO QUIJARRO,atencion odontologica, restauraciones,2014-04-01,28,65,28,65,93
PUERTO RICO,atencion odontologica, restauraciones,2014-04-01,18,12,18,12,30
PUERTO SUAREZ,atencion odontologica, restauraciones,2014-04-01,2,35,2,35,37
PUERTO VILLARROEL,atencion odontologica, restauraciones,2014-04-01,113,143,113,143,256
PUNA,atencion odontologica, restauraciones,2014-04-01,22,104,22,104,126
PUNATA,atencion odontologica, restauraciones,2014-04-01,58,86,58,86,144
QUIABAYA,atencion odontologica, restauraciones,2014-04-01,3,11,3,11,14
QUILLACOLLO,atencion odontologica, restauraciones,2014-04-01,623,937,623,937,1560
QUIME,atencion odontologica, restauraciones,2014-04-01,64,124,64,124,188
QUIRUSILLAS,atencion odontologica, restauraciones,2014-04-01,0,10,0,10,10
RAVELO,atencion odontologica, restauraciones,2014-04-01,26,45,26,45,71
REYES,atencion odontologica, restauraciones,2014-04-01,29,58,29,58,87
RIBERALTA,atencion odontologica, restauraciones,2014-04-01,107,239,107,239,346
