,group,variable,month,TOTAL 311 ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTAL 311 ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
SAN BORJA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,6.0,4.0,6.0,10.0
SAN BUENA VENTURA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,35.0,52.0,35.0,52.0,87.0
SAN CARLOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,1.0,1.0,1.0,1.0,2.0
SAN IGNACIO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,129.0,149.0,129.0,149.0,278.0
SAN JAVIER(STC),atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,100.0,102.0,100.0,102.0,202.0
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,67.0,58.0,67.0,58.0,125.0
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,3.0,12.0,3.0,12.0,15.0
SAN JULIAN,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,39.0,47.0,39.0,47.0,86.0
SAN LORENZO(PND),atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,6.0,8.0,6.0,8.0,14.0
SAN LORENZO(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,17.0,14.0,17.0,14.0,31.0
SAN LUCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,5.0,4.0,5.0,4.0,9.0
SAN MATIAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,1.0,3.0,1.0,3.0,4.0
SAN PEDRO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,13.0,11.0,13.0,11.0,24.0
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,2.0,2.0,2.0,2.0,4.0
SAN PEDRO DE CURAHUARA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,1.0,2.0,1.0,2.0,3.0
SAN PEDRO DE QUEMES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,2.0,4.0,2.0,6.0
SAN RAMON BENI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,115.0,94.0,115.0,94.0,209.0
SAN RAMON SCZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,114.0,136.0,114.0,136.0,250.0
SANTA ANA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,4.0,4.0,4.0,8.0
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,765.0,863.0,765.0,863.0,1628.0
SANTA ROSA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,19.0,43.0,19.0,43.0,62.0
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,164.0,142.0,164.0,142.0,306.0
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,3.0,7.0,3.0,7.0,10.0
SENA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,11.0,21.0,11.0,21.0,32.0
SHINAOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,38.0,37.0,38.0,37.0,75.0
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,64.0,76.0,64.0,76.0,140.0
SICAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,34.0,66.0,34.0,66.0,100.0
SIPE SIPE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,79.0,145.0,79.0,145.0,224.0
SORACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,2.0,4.0,2.0,6.0
SUCRE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,5.0,12.0,5.0,12.0,17.0
TAPACARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,54.0,48.0,54.0,48.0,102.0
TARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,8.0,8.0,8.0,8.0,16.0
TARATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,46.0,73.0,46.0,73.0,119.0
TARIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,20.0,32.0,20.0,32.0,52.0
TINGUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,0.0,1.0,0.0,1.0,1.0
TIQUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,176.0,311.0,176.0,311.0,487.0
TIRAQUE (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,0.0,2.0,0.0,2.0,2.0
TOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,5.0,4.0,5.0,9.0
TOMAVE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,27.0,30.0,27.0,30.0,57.0
TORO TORO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,16.0,9.0,16.0,9.0,25.0
TOTORA(CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,92.0,82.0,92.0,82.0,174.0
TRIGAL,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,6.0,16.0,6.0,16.0,22.0
TRINIDAD,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,200.0,174.0,200.0,174.0,374.0
TUPIZA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,25.0,22.0,25.0,22.0,47.0
UNCIA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,2.0,1.0,2.0,1.0,3.0
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,9.0,9.0,9.0,9.0,18.0
URUBICHA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,5.0,3.0,5.0,3.0,8.0
VACAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,7.0,5.0,7.0,5.0,12.0
VIACHA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,70.0,75.0,70.0,75.0,145.0
VILLA MONTES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,81.0,100.0,81.0,100.0,181.0
VILLA SERRANO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,14.0,28.0,14.0,28.0,42.0
VILLA TUNARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,38.0,36.0,38.0,36.0,74.0
VITICHI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,0.0,1.0,0.0,1.0,1.0
WARNES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,273.0,276.0,273.0,276.0,549.0
YACUIBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,3.0,0.0,3.0,0.0,3.0
YAMPARAEZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,59.0,94.0,59.0,94.0,153.0
YAPACANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,20.0,18.0,20.0,18.0,38.0
YUNCHARA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,9.0,4.0,9.0,13.0
ACHACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,31.0,41.0,31.0,41.0,72.0
ACHOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,15.0,13.0,15.0,13.0,28.0
AIQUILE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,95.0,91.0,95.0,91.0,186.0
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,27.0,34.0,27.0,34.0,61.0
ANCORAIMES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,2.0,11.0,2.0,11.0,13.0
ARAMPAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,2.0,12.0,2.0,12.0,14.0
ARQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,11.0,28.0,11.0,28.0,39.0
ATOCHA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,317.0,279.0,317.0,279.0,596.0
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,193.0,152.0,193.0,152.0,345.0
BAURES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,14.0,46.0,14.0,46.0,60.0
BELEN DE URMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,3.0,2.0,3.0,2.0,5.0
BERMEJO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,54.0,71.0,54.0,71.0,125.0
BETANZOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,23.0,30.0,23.0,30.0,53.0
BOLPEBRA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,8.0,5.0,8.0,5.0,13.0
BOYUIBE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,2.0,3.0,2.0,3.0,5.0
CABEZAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,261.0,285.0,261.0,285.0,546.0
"CAIZA ""D""",atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,1.0,0.0,1.0,0.0,1.0
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,16.0,8.0,16.0,8.0,24.0
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,70.0,62.0,70.0,62.0,132.0
CAQUIAVIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,12.0,6.0,12.0,6.0,18.0
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,154.0,185.0,154.0,185.0,339.0
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,23.0,16.0,23.0,16.0,39.0
CARIPUYO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,2.0,8.0,2.0,8.0,10.0
CHALLAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,88.0,90.0,88.0,90.0,178.0
CHAQUI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,3.0,1.0,3.0,1.0,4.0
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,22.0,16.0,22.0,16.0,38.0
CHARAÑA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,2.0,3.0,2.0,3.0,5.0
CHAYANTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,3.0,7.0,3.0,7.0,10.0
CHIMORE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,36.0,45.0,36.0,45.0,81.0
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,110.0,99.0,110.0,99.0,209.0
COLLANA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,2.0,2.0,2.0,2.0,4.0
COLOMI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,3.0,1.0,3.0,1.0,4.0
COLPA BELGICA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,253.0,277.0,253.0,277.0,530.0
COLQUECHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,6.0,2.0,6.0,2.0,8.0
COMARAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,0.0,3.0,0.0,3.0,3.0
CONCEPCION,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,32.0,40.0,32.0,40.0,72.0
COPACABANA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,15.0,27.0,15.0,27.0,42.0
COTAGAITA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,21.0,22.0,21.0,22.0,43.0
CUATRO CAÑADAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,41.0,35.0,41.0,35.0,76.0
CUEVO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,1.0,2.0,1.0,2.0,3.0
CULPINA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,30.0,38.0,30.0,38.0,68.0
CURAHUARA DE CARANGAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,0.0,1.0,0.0,1.0,1.0
DESAGUADERO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,10.0,9.0,10.0,9.0,19.0
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,67.0,70.0,67.0,70.0,137.0
EL CHORO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,0.0,1.0,0.0,1.0,1.0
EL PUENTE(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,10.0,15.0,10.0,15.0,25.0
EL TORNO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,185.0,126.0,185.0,126.0,311.0
EL VILLAR,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,2.0,3.0,2.0,3.0,5.0
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,4.0,8.0,4.0,8.0,12.0
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,322.0,238.0,322.0,238.0,560.0
ESCOMA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,2.0,1.0,2.0,1.0,3.0
FILADELFIA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,86.0,112.0,86.0,112.0,198.0
GUAQUI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,11.0,9.0,11.0,9.0,20.0
GUAYARAMERIN,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,1.0,1.0,1.0,1.0,2.0
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,40.0,52.0,40.0,52.0,92.0
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,2.0,0.0,2.0,0.0,2.0
HUATAJATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,12.0,14.0,12.0,14.0,26.0
HUMANATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,37.0,82.0,37.0,82.0,119.0
INCAHUASI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,116.0,157.0,116.0,157.0,273.0
INGAVI (HUMAITA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,21.0,33.0,21.0,33.0,54.0
IXIAMAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,1.0,0.0,1.0,0.0,1.0
LA GUARDIA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,71.0,82.0,71.0,82.0,153.0
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,278.0,229.0,278.0,229.0,507.0
LAJA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,21.0,21.0,21.0,21.0,42.0
LAS CARRERAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,0.0,3.0,0.0,3.0,3.0
MACHARETI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,5.0,16.0,5.0,16.0,21.0
MECAPACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,9.0,18.0,9.0,18.0,27.0
MOCOMOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,7.0,5.0,7.0,5.0,12.0
MOJOCOYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,5.0,3.0,5.0,3.0,8.0
MONTEAGUDO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,0.0,1.0,0.0,1.0,1.0
MONTERO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,83.0,127.0,83.0,127.0,210.0
MORO MORO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,4.0,7.0,4.0,7.0,11.0
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,11.0,13.0,11.0,13.0,24.0
OMEREQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,150.0,275.0,150.0,275.0,425.0
PADCAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,51.0,139.0,51.0,139.0,190.0
PAILON,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,164.0,122.0,164.0,122.0,286.0
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,159.0,212.0,159.0,212.0,371.0
PAPEL PAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,0.0,1.0,0.0,1.0,1.0
PASORAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,132.0,84.0,132.0,84.0,216.0
POCOATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,4.0,4.0,4.0,4.0,8.0
POCONA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,44.0,54.0,44.0,54.0,98.0
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,145.0,92.0,145.0,92.0,237.0
POOPO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,1.0,2.0,1.0,2.0,3.0
POROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,221.0,193.0,221.0,193.0,414.0
PORONGO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,30.0,54.0,30.0,54.0,84.0
PORTACHUELO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,189.0,161.0,189.0,161.0,350.0
PORVENIR,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,84.0,106.0,84.0,106.0,190.0
POTOSI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,6.0,5.0,6.0,5.0,11.0
PRESTO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,12.0,15.0,12.0,15.0,27.0
PUCARA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,35.0,24.0,35.0,24.0,59.0
PUCARANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,12.0,13.0,12.0,13.0,25.0
PUERTO CARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,6.0,7.0,6.0,7.0,13.0
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,9.0,8.0,9.0,8.0,17.0
PUERTO QUIJARRO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,28.0,28.0,28.0,28.0,56.0
PUERTO RICO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,59.0,60.0,59.0,60.0,119.0
PUERTO VILLARROEL,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,192.0,186.0,192.0,186.0,378.0
PUNA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,6.0,7.0,6.0,7.0,13.0
QUIABAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,26.0,34.0,26.0,34.0,60.0
QUILLACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,895.0,963.0,895.0,963.0,1858.0
RAVELO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,2.0,4.0,2.0,4.0,6.0
RIBERALTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,99.0,94.0,99.0,94.0,193.0
RURRENABAQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,423.0,380.0,423.0,380.0,803.0
SABAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,5.0,8.0,5.0,8.0,13.0
SACABA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,21.0,23.0,21.0,23.0,44.0
SACACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,7.0,6.0,7.0,6.0,13.0
SAIPINA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,13.0,5.0,13.0,5.0,18.0
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,4.0,2.0,4.0,2.0,6.0
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,0.0,23.0,0.0,23.0,23.0
SAN ANTONIO DE LOMERIO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,12.0,23.0,12.0,23.0,35.0
SAN BENITO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,19.0,15.0,19.0,15.0,34.0
SAN BUENA VENTURA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,52.0,74.0,52.0,74.0,126.0
SAN CARLOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,1.0,1.0,1.0,1.0,2.0
SAN IGNACIO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,31.0,0.0,31.0,0.0,31.0
SAN JAVIER(STC),atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,639.0,639.0,639.0,639.0,1278.0
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,69.0,104.0,69.0,104.0,173.0
SAN JULIAN,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,282.0,317.0,282.0,317.0,599.0
SAN LORENZO(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,15.0,17.0,15.0,17.0,32.0
SAN LUCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,59.0,66.0,59.0,66.0,125.0
SAN MATIAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,8.0,8.0,8.0,8.0,16.0
SAN PEDRO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,0.0,2.0,0.0,2.0,2.0
SAN RAMON SCZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,67.0,69.0,67.0,69.0,136.0
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,1187.0,1483.0,1187.0,1483.0,2670.0
SANTA ROSA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,35.0,46.0,35.0,46.0,81.0
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,10.0,5.0,10.0,5.0,15.0
SANTIVAÑES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,135.0,143.0,135.0,143.0,278.0
SENA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,14.0,15.0,14.0,15.0,29.0
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,316.0,297.0,316.0,297.0,613.0
SICAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,115.0,133.0,115.0,133.0,248.0
SIPE SIPE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,1223.0,1382.0,1223.0,1382.0,2605.0
SORACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,5.0,4.0,5.0,4.0,9.0
SORATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,8.0,12.0,8.0,12.0,20.0
SUCRE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,115.0,125.0,115.0,125.0,240.0
TACOPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,1.0,2.0,1.0,2.0,3.0
TAHUA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,4.0,3.0,4.0,3.0,7.0
TAPACARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,98.0,83.0,98.0,83.0,181.0
TARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,8.0,17.0,8.0,17.0,25.0
TARATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,76.0,115.0,76.0,115.0,191.0
TARIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,80.0,91.0,80.0,91.0,171.0
TARVITA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,5.0,8.0,5.0,8.0,13.0
TINGUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,4.0,0.0,4.0,0.0,4.0
TIPUANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,121.0,87.0,121.0,87.0,208.0
TIQUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,280.0,433.0,280.0,433.0,713.0
TIRAQUE (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,4.0,10.0,4.0,10.0,14.0
TOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,12.0,12.0,12.0,12.0,24.0
TOLATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,43.0,49.0,43.0,49.0,92.0
TOLEDO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,5.0,3.0,5.0,3.0,8.0
TOMAVE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,11.0,8.0,11.0,8.0,19.0
TORO TORO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,146.0,200.0,146.0,200.0,346.0
TOTORA(CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,18.0,16.0,18.0,16.0,34.0
TRINIDAD,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,112.0,102.0,112.0,102.0,214.0
TUPIZA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,22.0,22.0,22.0,22.0,44.0
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,4.0,15.0,4.0,15.0,19.0
URUBICHA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,19.0,10.0,19.0,10.0,29.0
VACAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,0.0,1.0,0.0,1.0,1.0
VIACHA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,103.0,81.0,103.0,81.0,184.0
VILLA CHARCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,41.0,33.0,41.0,33.0,74.0
VILLA MONTES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,9.0,10.0,9.0,10.0,19.0
VILLA SERRANO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,46.0,59.0,46.0,59.0,105.0
VILLA TUNARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,74.0,112.0,74.0,112.0,186.0
WARNES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,4.0,23.0,4.0,23.0,27.0
YACUIBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,7.0,9.0,7.0,9.0,16.0
YAMPARAEZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,54.0,40.0,54.0,40.0,94.0
YOTALA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,114.0,87.0,114.0,87.0,201.0
YUNCHARA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-03-01,9.0,9.0,9.0,9.0,18.0
ACHACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,36.0,43.0,36.0,43.0,79.0
AIQUILE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,109.0,156.0,109.0,156.0,265.0
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,39.0,40.0,39.0,40.0,79.0
ALTO BENI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-04-01,1.0,1.0,1.0,1.0,2.0
