municipality,group,variable,month,Polio 1ra dosis -DENTRO,TOTAL DENTRO,Polio 1ra dosis -FUERA,TOTAL FUERA
QUIME,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,4,4,12,12
QUIRUSILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,2,2,0,0
RAVELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,9,9,53,53
REYES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,18,18,15,15
RIBERALTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,194,194,32,32
ROBORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,21,21,13,13
RURRENABAQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,30,30,3,3
SABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,2,2,4,4
SACABA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,139,139,75,75
SACABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,2,2,3,3
SACACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,6,6,44,44
SAIPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,9,9,2,2
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,8,8,15,15
SAMAIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,10,10,4,4
SAN AGUSTIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,4,4,0,0
SAN ANDRES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,5,5,19,19
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,1,1,4,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,3,3,5,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,4,4,8,8
SAN BENITO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,2,2,2,2
SAN BORJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,73,73,21,21
SAN BUENA VENTURA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,7,7,14,14
SAN CARLOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,44,44,1,1
SAN IGNACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,25,25,1,1
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,104,104,22,22
SAN JAVIER(BNI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,1,1,0,0
SAN JAVIER(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,35,35,3,3
SAN JOAQUIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,1,1,4,4
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,21,21,12,12
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,16,16,3,3
SAN JULIAN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,36,36,38,38
SAN LORENZO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,5,5,20,20
SAN LORENZO(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,14,14,15,15
SAN LUCAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,42,42,69,69
SAN MATIAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,20,20,1,1
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,16,16,0,0
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,0,0,7,7
SAN PEDRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,38,38,0,0
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,14,14,86,86
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,1,1,5,5
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,4,4,2,2
SAN PEDRO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,0,0,4,4
SAN RAFAEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,4,4,2,2
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,8,8,3,3
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,21,21,0,0
SANTA ANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,33,33,10,10
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,2049,2049,55,55
SANTA ROSA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,15,15,35,35
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,21,21,6,6
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,0,0,4,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,4,4,10,10
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,0,0,10,10
SANTIVAÑES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,1,1,1,1
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,3,3,1,1
SAPAHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,1,1,13,13
SENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,10,10,6,6
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,13,13,48,48
SICAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,2,2,2,2
SIPE SIPE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,34,34,21,21
SOPACHUY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,5,5,7,7
SORACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,10,10,20,20
SORATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,10,10,22,22
SUCRE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,383,383,56,56
TACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,1,1,0,0
TACACOMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,12,12,4,4
TACOBAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,6,6,29,29
TACOPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,6,6,11,11
TAPACARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,14,14,40,40
TARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,22,22,33,33
TARACO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,0,0,2,2
TARATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,11,11,0,0
TARIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,265,265,20,20
TARVITA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,13,13,22,22
TEOPONTE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,5,5,8,8
TIAWANACU,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,13,13,13,13
TINGUIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,10,10,49,49
TIPUANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,12,12,1,1
TIQUIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,60,60,18,18
TIRAQUE (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,66,66,18,18
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,0,0,3,3
TOCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,5,5,3,3
TODOS SANTOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,1,1,0,0
TOLATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,6,6,0,0
TOLEDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,3,3,3,3
TOMAVE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,6,6,13,13
TOMINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,9,9,13,13
TORO TORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,6,6,18,18
TOTORA(CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,20,20,26,26
TOTORA(ORR),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,2,2,2,2
TRIGAL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,0,0,1,1
TRINIDAD,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,198,198,23,23
TUPIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,39,39,21,21
TURCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,5,5,4,4
UMALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,0,0,13,13
UNCIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,8,8,22,22
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,8,8,9,9
URUBICHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,25,25,3,3
UYUNI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,18,18,1,1
VACAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,8,8,11,11
VALLEGRANDE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,19,19,3,3
VIACHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,52,52,26,26
VILA VILA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,7,7,10,10
VILLA MONTES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,51,51,19,19
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,0,0,4,4
VILLA RIVERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,1,1,3,3
VILLA SERRANO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,15,15,14,14
VILLA TUNARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,93,93,43,43
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,3,3,7,7
VILLAZON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,47,47,9,9
VINTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,52,52,8,8
VITICHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,10,10,17,17
WALDO BALLIVIAN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,3,3,3,3
WARNES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,85,85,28,28
YACO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,5,5,7,7
YACUIBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,113,113,22,22
YAMPARAEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,7,7,8,8
YANACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,5,5,10,10
YAPACANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,51,51,15,15
YOCALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,1,1,10,10
YOTALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,8,8,11,11
YUNCHARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,1,1,8,8
ZUDAÑEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-04-01,6,6,7,7
ACACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,3,3,9,9
ACHACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,26,26,68,68
ACHOCALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,11,11,18,18
AIQUILE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,31,31,30,30
ALALAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,2,2,8,8
ALCALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,4,4,0,0
ANCORAIMES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,1,1,22,22
ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,1,1,4,4
ANTEQUERA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,6,6,1,1
ANZALDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,2,2,19,19
APOLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,11,11,25,25
ARAMPAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,2,2,16,16
ARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,6,6,5,5
ARBIETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,6,6,8,8
ARQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,16,16,22,22
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,46,46,0,0
ATOCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,15,15,6,6
AUCAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,0,0,11,11
AYATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,2,2,11,11
AYO AYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,5,5,12,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,25,25,41,41
AZURDUY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,5,5,13,13
BATALLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,14,14,15,15
BAURES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,6,6,6,6
BELEN DE URMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,1,1,2,2
BERMEJO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,39,39,27,27
BETANZOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,19,19,60,60
BOLIVAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,8,8,14,14
BOLPEBRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,0,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,6,6,4,4
BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,24,24,18,18
CABEZAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,35,35,37,37
CAIROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,2,2,13,13
"CAIZA ""D""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,2,2,14,14
CAJUATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,13,13,3,3
CALACOTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,0,0,11,11
CALAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,5,5,12,12
CAMARGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,12,12,16,16
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,3,3,1,1
CAMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,50,50,8,8
CAPINOTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,24,24,4,4
CAQUIAVIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,7,7,14,14
CARACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,22,22,18,18
CARANAVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,57,57,56,56
CARAPARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,25,25,13,13
CARIPUYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,3,3,24,24
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,12,12,6,6
CATACORA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,1,1,3,3
CHACARILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,1,1,1,1
CHALLAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,13,13,37,37
CHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,18,18,11,11
CHARAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,44,44,72,72
CHARAÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,1,1,6,6
CHAYANTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,16,16,30,30
CHIMORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,26,26,16,16
CHIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,1,1,0,0
CHOQUE COTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,2,2,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,7,7,18,18
CHUMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,9,9,22,22
CLIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,34,34,9,9
COBIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,77,77,5,5
COCHABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,1200,1200,21,21
COLCAPIRHUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,126,126,0,0
"COLCHA ""K""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,17,17,4,4
COLLANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,1,1,3,3
COLOMI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,21,21,21,21
COLPA BELGICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,16,16,3,3
COLQUECHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,7,7,95,95
COLQUENCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,5,5,17,17
COLQUIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,9,9,31,31
COMANCHE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,0,0,13,13
COMARAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,16,16,25,25
COMBAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,0,0,4,4
CONCEPCION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,32,32,12,12
COPACABANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,11,11,18,18
CORIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,13,13,18,18
CORO CORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,5,5,8,8
COROICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,21,21,9,9
CORQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,9,9,6,6
COTAGAITA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,12,12,43,43
COTOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,86,86,51,51
CUATRO CAÑADAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,33,33,57,57
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,2,2,1,1
CUEVO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,5,5,0,0
CULPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,16,16,25,25
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,10,10,5,5
CURVA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,0,0,5,5
DESAGUADERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,5,5,11,11
EL ALTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,1357,1357,337,337
EL CHORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,4,4,7,7
EL PUENTE(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2007-05-01,16,16,5,5
