,group,variable,month,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,2,1,2,1,3
PUNA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,2,0,2,0,2
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,1,1,1,1,2
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,2,2,2,2,4
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,14,8,14,8,22
SAPAHAQUI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,0,1,0,1,1
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,2,2,2,2,4
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,1,3,1,3,4
TINGUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,2,2,2,2,4
VILLAZON,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,2,1,2,1,3
VINTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,1,2,1,2,3
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,0,1,0,1,1
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,3,5,3,5,8
AIQUILE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,2,1,2,3
APOLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,2,1,2,3
CHARAGUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,0,1,0,1,1
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,6,4,6,4,10
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,2,4,2,4,6
CUATRO CAÑADAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,2,1,2,3
DESAGUADERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,0,1,0,1,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,6,7,6,7,13
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,0,1,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,2,0,2,0,2
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,6,1,6,1,7
LAGUNILLAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,4,3,4,3,7
LLALLAGUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,0,1,0,1,1
MIZQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,0,1,0,1
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,0,1,0,1,1
POOPO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,1,1,1,2
PUERTO RICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,4,4,4,4,8
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,3,3,3,3,6
PUNA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,1,1,1,2
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,1,1,1,2
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,0,1,0,1,1
RURRENABAQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,6,6,6,6,12
SAN MATIAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,8,9,8,9,17
SENA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,0,1,0,1,1
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,2,1,2,3
SIPE SIPE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,3,1,3,1,4
TINGUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,0,1,0,1
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,0,1,0,1,1
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,0,1,0,1,1
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,1,1,1,2
VINTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,2,1,2,3
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,4,2,4,2,6
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-07-01,1,3,1,3,4
APOLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,2,1,2,1,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,3,8,3,8,11
BETANZOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,2,3,2,3,5
CAPINOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,1,1,1,1,2
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,2,1,2,1,3
CHARAGUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,3,0,3,0,3
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,4,3,4,3,7
COLOMI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,1,0,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,4,10,4,10,14
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,1,2,1,2,3
FERNANDEZ ALONSO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,2,0,2,0,2
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,3,2,3,2,5
MAPIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,2,0,2,0,2
MONTEAGUDO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,0,1,0,1,1
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,2,1,2,1,3
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,1,0,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,0,1,0,1,1
PORVENIR,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,4,0,4,0,4
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,2,0,2,0,2
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,1,0,1,0,1
SAN LUCAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,1,0,1,0,1
SAN PEDRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,12,11,12,11,23
SENA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,3,1,3,1,4
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,1,2,1,2,3
SIPE SIPE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,0,1,0,1,1
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,2,1,2,1,3
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,1,1,1,1,2
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,0,1,0,1,1
TIRAQUE (CBBA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,0,1,0,1,1
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,2,1,2,1,3
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,0,1,0,1,1
VINTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,1,3,1,3,4
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,2,4,2,4,6
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-08-01,3,2,3,2,5
ACHACACHI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,1,1,1,2
ARANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,0,1,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,6,5,6,5,11
COLPA BELGICA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,1,1,1,2
CORIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,1,1,1,2
COROICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,0,1,0,1,1
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,0,1,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,1,1,1,2
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,5,8,5,8,13
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,0,2,0,2,2
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,5,0,5,0,5
GENERAL SAAVEDRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,0,1,0,1,1
GUAQUI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,3,1,3,4
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,0,1,0,1,1
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,4,3,4,3,7
LLALLAGUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,0,1,0,1
MAPIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,2,1,2,1,3
MOCOMOCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,1,1,1,2
MONTEAGUDO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,2,1,2,1,3
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,1,1,1,2
PADCAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,0,1,0,1
PALCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,0,1,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,0,2,0,2,2
POJO (CBBA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,0,1,0,1
PORTACHUELO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,1,1,1,2
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,2,0,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,0,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,1,1,1,2
PUNA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,0,1,0,1
PUNATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,0,1,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,4,4,4,4,8
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,0,1,0,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,2,1,2,3
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,2,0,2,0,2
SAN JAVIER(BNI),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,1,1,1,2
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,2,2,2,2,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,17,7,17,7,24
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,6,1,6,7
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,1,1,1,2
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,2,0,2,0,2
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,1,1,1,2
TORO TORO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,0,1,0,1,1
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,1,1,1,2
VIACHA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,3,1,3,4
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,4,4,4,4,8
VINTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,1,0,1,0,1
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,3,4,3,4,7
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,3,0,3,0,3
YANACACHI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-09-01,0,2,0,2,2
AIQUILE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,2,1,2,1,3
ALTO BENI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,0,1,0,1,1
APOLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,0,1,0,1,1
ARBIETO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,0,1,0,1,1
COBIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,3,3,3,3,6
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,8,9,8,9,17
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,0,1,0,1,1
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,7,3,7,3,10
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,1,1,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,3,1,3,1,4
FILADELFIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,3,6,3,6,9
MAPIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,0,2,0,2,2
MONTEAGUDO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,0,1,0,1,1
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,1,1,1,1,2
PADCAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,1,1,1,1,2
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,1,3,1,3,4
PUNATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,2,0,2,0,2
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,2,3,2,3,5
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,1,0,1,0,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,1,4,1,4,5
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,5,0,5,0,5
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,12,9,12,9,21
SANTIAGO DE MACHACA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,0,2,0,2,2
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,4,1,4,1,5
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,4,3,4,3,7
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,2,2,2,2,4
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,1,0,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,1,3,1,3,4
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,5,6,5,6,11
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,8,2,8,2,10
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,0,2,0,2,2
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-10-01,0,1,0,1,1
ALTO BENI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,3,1,3,4
BATALLAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,0,1,0,1,1
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,6,2,6,2,8
CABEZAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,2,2,2,2,4
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,0,1,0,1
CHUMA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,0,2,0,2,2
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,8,6,8,6,14
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,2,0,2,0,2
COROICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,1,1,1,2
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,0,1,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,2,1,2,3
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,4,11,4,11,15
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,2,0,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,0,1,0,1
EUCALIPTUS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,2,0,2,0,2
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,1,1,1,2
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,1,1,1,2
LLALLAGUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,0,1,0,1,1
MAPIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,1,1,1,2
MIZQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,2,2,2,2,4
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,3,2,3,2,5
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,2,1,2,1,3
PATACAMAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,2,0,2,0,2
POCOATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,1,1,1,2
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,0,2,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,3,0,3,0,3
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,2,1,2,3
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,0,1,0,1
RURRENABAQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,0,1,0,1,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,3,1,3,4
SAMAIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,2,1,2,3
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,2,0,2,0,2
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,4,5,4,5,9
SAPAHAQUI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,0,2,0,2,2
SENA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,3,3,3,3,6
SIPE SIPE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,0,1,0,1,1
SORATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-11-01,0,2,0,2,2
