,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES,TOTALES,TOTALES
REYES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,0,2,0,2
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,4,2,4,6
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,5,0,5,0,5
SACACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,0,2,0,2
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,4,0,4,0,4
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,0,2,0,2
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,1,1,1,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,0,2,0,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,90,53,90,53,143
SANTA ROSA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
SANTIAGO DE HUARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
SANTIVAÑES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
SAPAHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
SENA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,2,0,2,2
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,3,2,3,2,5
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,13,3,13,3,16
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,6,5,6,5,11
TIAWANACU,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,5,1,5,1,6
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,3,1,3,1,4
TOCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,14,3,14,3,17
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
VALLEGRANDE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,2,2,2,4
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,3,4,3,4,7
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,0,2,0,2
VITICHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,3,2,3,2,5
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,9,6,9,6,15
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,6,6,6,6,12
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,0,2,0,2
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
ANCORAIMES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,1,1,1,2
AUCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
BAURES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,1,1,1,2
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,4,1,4,1,5
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,9,3,9,3,12
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,1,1,1,2
CHAYANTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,0,2,0,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,2,2,2,4
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,5,0,5,0,5
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,20,8,20,8,28
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
COMBAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,4,2,4,2,6
CORO CORO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,2,1,2,3
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,0,2,0,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,3,1,3,1,4
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,37,27,37,27,64
EL PUENTE(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,1,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,6,3,6,3,9
EUREKA (SANTOS MERCADO),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,1,1,1,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,4,1,4,1,5
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,0,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,2,2,2,4
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,6,4,6,4,10
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,48,45,48,45,93
LAGUNILLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,3,0,3,0,3
LLICA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,1,1,1,2
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,0,2,0,2
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,2,0,2,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
MOJOCOYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,0,2,0,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,8,4,8,4,12
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,8,8,8,8,16
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
PADILLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
PELECHUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,1,1,1,2
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,9,1,9,1,10
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
PUERTO GONZALO MORENO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
PUERTO RICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,7,5,7,5,12
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,3,3,3,3,6
REYES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,4,2,4,6
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,1,1,1,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,4,1,4,1,5
SAIPINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,3,1,3,1,4
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,0,2,0,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,1,2,1,3
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,1,1,1,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,3,1,3,1,4
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,1,1,1,2
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,1,2,1,3
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,80,50,80,50,130
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
SANTIVAÑES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
SAPAHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,1,1,1,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,9,6,9,6,15
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,2,2,2,4
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,3,7,3,7,10
TARVITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
TIAWANACU,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,0,2,0,2
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,4,0,4,0,4
TIRAQUE (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
TORO TORO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,9,4,9,4,13
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
VALLEGRANDE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,4,2,4,2,6
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,1,0,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,2,3,2,3,5
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,4,4,4,4,8
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,3,2,3,2,5
YUNCHARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-04-01,0,1,0,1,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,2,0,2,2
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,2,0,2,2
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,2,0,2,2
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
CAIROMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,7,3,7,3,10
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,2,2,2,4
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,0,2,0,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,3,0,3,0,3
COCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,20,8,20,8,28
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,2,1,2,3
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,2,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,39,21,39,21,60
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
EL PUENTE(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,1,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,0,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,1,2,1,3
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,3,2,3,5
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,0,2,0,2
ICHOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,4,4,4,4,8
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,1,2,1,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,45,30,45,30,75
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
MOCOMOCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,7,5,7,5,12
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,1,1,1,2
OMEREQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,4,2,4,2,6
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,3,1,3,1,4
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,1,1,1,2
POCONA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,0,2,0,2
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,4,4,4,4,8
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
PUERTO ACOSTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,6,1,6,1,7
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,5,2,5,2,7
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,7,4,7,4,11
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,9,0,9,0,9
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,3,2,3,2,5
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,1,1,1,2
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,3,1,3,4
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,1,1,1,2
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,64,28,64,28,92
SAPAHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,2,0,2,2
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,1,2,1,3
SOPACHUY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,11,5,11,5,16
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,3,4,3,4,7
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,3,0,3,0,3
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,2,2,2,2,4
TITO YUPANQUI (PARQUIPUJIO),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
TOCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
TOTORA(ORR),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,4,4,4,4,8
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-05-01,0,1,0,1,1
