,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES,TOTALES,TOTALES
QUIME,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
REYES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,3,4,3,4,7
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,4,0,4,0,4
SACACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
SAMAIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,0,2,0,2
SAN BENITO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,5,0,5,0,5
SAN CARLOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,4,0,4,0,4
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,0,2,0,2
SAN LUCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,1,2,1,3
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
SANTA ANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,62,38,62,38,100
SANTA ROSA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
SANTIAGO DE HUARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
SANTIVAÑES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
SAPAHAQUI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
SENA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,2,0,2,2
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,3,1,3,1,4
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,9,0,9,0,9
TACOBAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
TAPACARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
TARABUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
TARATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,4,0,4,4
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,6,4,6,4,10
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,5,1,5,1,6
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,1,2,1,3
TIRAQUE (CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
TOCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
TORO TORO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,9,1,9,1,10
TUPIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
VALLEGRANDE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
VILLA CHARCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,1,2,1,3
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,5,4,5,4,9
VILLAZON,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
VINTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
VITICHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,1,2,1,3
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,7,6,7,6,13
YANACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,3,5,3,5,8
YOTALA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
ALTO BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
AUCAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,2,0,2,2
BAURES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,8,3,8,3,11
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
CAJUATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
CAMARGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,4,1,4,1,5
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,5,2,5,2,7
CHAYANTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,0,2,0,2
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,2,2,2,4
CKOCHAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
CLIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,4,1,4,1,5
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,13,4,13,4,17
CONCEPCION,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,4,2,4,2,6
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,2,1,2,3
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,0,2,0,2
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,3,1,3,1,4
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,25,12,25,12,37
EL PUENTE(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,0,2,0,2
EL PUENTE(TJA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,3,1,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,6,3,6,3,9
EUREKA (SANTOS MERCADO),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,1,1,1,2
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,4,1,4,1,5
GUTIERREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,0,2,0,2
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
INCAHUASI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,0,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,3,2,3,5
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,3,2,3,5
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,23,28,23,28,51
LAGUNILLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,4,0,4,0,4
LURIBAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
MACHARETI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,1,1,1,2
MECAPACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,2,0,2,2
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
MOJOCOYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,0,2,0,2
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,6,3,6,3,9
OKINAWA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,3,3,3,3,6
PADCAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
PADILLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
PAILON,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
PELECHUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
POCOATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
POCONA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
POROMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
PORTACHUELO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,7,1,7,1,8
PRESTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,0,2,0,2
PUERTO CARABUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
PUERTO RICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,1,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,8,5,8,5,13
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,2,1,2,3
REYES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,4,2,4,6
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,1,1,1,2
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,4,1,4,1,5
SAIPINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
SAMAIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
SAN ANDRES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
SAN BENITO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,0,2,0,2
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,0,2,0,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,1,2,1,3
SAN LORENZO(TJA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,1,1,1,2
SAN LUCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,4,1,4,1,5
SAN MATIAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,1,1,1,2
SAN PEDRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,1,2,1,3
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,55,51,55,51,106
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
SANTIVAÑES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
SAPAHAQUI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,9,5,9,5,14
TARABUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,2,2,2,4
TARATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,5,1,5,6
TARVITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
TIAWANACU,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,1,0,1,1
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,0,2,0,2
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,0,2,0,2
TIRAQUE (CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
TITO YUPANQUI (PARQUIPUJIO),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
TORO TORO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,6,4,6,4,10
TUPIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
UYUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
VALLEGRANDE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,1,0,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,0,2,0,2,2
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,3,2,3,2,5
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,3,2,3,5
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,3,4,3,4,7
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-04-01,2,1,2,1,3
ACHOCALLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
APOLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,2,2,2,2,4
ATOCHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
BATALLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,2,0,2,2
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
BOYUIBE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
CAIROMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,7,2,7,2,9
CARAPARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,2,2,2,2,4
CKOCHAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,3,0,3,0,3
COCAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,13,4,13,4,17
COMARAPA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
CONCEPCION,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,2,1,2,3
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,18,12,18,12,30
EL PUENTE(TJA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,2,1,2,1,3
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,2,0,2,0,2
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,2,2,2,2,4
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,1,1,1,2
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
ICHOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
INCAHUASI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,3,4,3,4,7
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,16,19,16,19,35
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
MECAPACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,2,2,2,2,4
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,4,3,4,3,7
OCURI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,1,1,1,2
OMEREQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,2,1,2,3
PADILLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
PALCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,2,1,2,3
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,3,1,3,1,4
PATACAMAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
POCOATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
POCONA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
PORONGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
PORTACHUELO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,3,4,3,4,7
PUCARANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
PUERTO ACOSTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,5,1,5,1,6
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,3,0,3,0,3
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,7,4,7,4,11
ROBORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,5,0,5,0,5
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,2,2,2,2,4
SAN CARLOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,3,1,3,4
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
SAN MATIAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,1,1,1,2
SAN PEDRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
SANTA ANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,38,19,38,19,57
SAPAHAQUI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,2,1,2,1,3
SOPACHUY,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,9,5,9,5,14
TACACOMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
TARABUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,5,3,5,3,8
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,2,2,2,2,4
TOCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
TOTORA(ORR),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,4,3,4,3,7
TUPIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,2,0,2,0,2
UYUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
VIACHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
VILLA CHARCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,3,0,3,0,3
VILLAZON,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,0,1,0,1,1
VINTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,2,1,2,1,3
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,2,1,2,3
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,3,6,3,6,9
YAMPARAEZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,1,0,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-05-01,4,4,4,4,8
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,1,1,1,2
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,1,1,1,2
ALTO BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,0,2,0,2
ATOCHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,0,2,0,2
AYATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-06-01,2,0,2,0,2
