,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTALES,TOTALES,TOTALES
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,3,0,3,0,3
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,0,1,0,1
SAN JAVIER(BNI),tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,0,1,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,7,5,7,5,12
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,1,1,1,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,1,1,1,2
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,0,1,0,1,1
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,2,0,2,0,2
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,0,2,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,0,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,0,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,0,1,0,1
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,2,0,2,0,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,2,0,2,0,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,2,0,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,5,1,5,1,6
MAGDALENA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,2,0,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,1,1,1,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
SAN JAVIER(BNI),tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,16,8,16,8,24
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,2,0,2,0,2
SICA SICA (VILLA AROMA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,0,1,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,0,1,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-10-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,1,0,1,0,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,0,2,0,2,2
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,0,2,0,2,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,0,1,0,1,1
EUCALIPTUS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,0,4,0,4,4
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,2,0,2,0,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,0,2,0,2,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,4,2,4,2,6
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,2,1,2,1,3
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,0,1,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,1,1,1,1,2
RAVELO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,1,0,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,1,1,1,1,2
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,13,11,13,11,24
SENA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,2,0,2,0,2
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,0,1,0,1,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,1,1,1,1,2
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,2,0,2,0,2
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,1,1,1,1,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,1,0,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,1,0,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-11-01,3,3,3,3,6
AUCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,1,0,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,2,0,2,0,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,2,1,2,1,3
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,6,3,6,3,9
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,0,1,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,2,0,2,0,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,3,0,3,0,3
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,1,0,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,0,1,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,4,1,4,1,5
LORETO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,0,1,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,0,1,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,2,1,2,1,3
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,0,1,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,1,0,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,1,0,1,0,1
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,1,0,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,11,12,11,12,23
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,0,1,0,1,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,2,1,2,1,3
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,0,2,0,2,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,1,0,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,0,1,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,0,1,0,1,1
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,0,1,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-12-01,1,0,1,0,1
