,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES,TOTALES,TOTALES
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,4,2,4,2,6
TIPUANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,0,1,0,1,1
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,2,0,2,0,2
VITICHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
ACHACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,0,1,0,1,1
ATOCHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,2,0,2,0,2
BETANZOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,2,0,2,0,2
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,2,0,2,0,2
CHIMORE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,1,1,1,2
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,8,0,8,0,8
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,0,1,0,1,1
COPACABANA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,0,1,0,1,1
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,0,1,0,1
COROICO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,4,9,4,9,13
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,2,0,2,0,2
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,33,16,33,16,49
LLALLAGUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,1,1,1,2
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,0,1,0,1
MONTEAGUDO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,2,0,2,0,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,4,3,4,3,7
PADCAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,3,0,3,0,3
PUERTO QUIJARRO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,2,2,2,2,4
SAN JAVIER(BNI),tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,1,1,1,2
SAN PEDRO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,15,15,15,15,30
SIPE SIPE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,5,0,5,0,5
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,3,3,3,3,6
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,2,0,2,0,2
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,0,1,0,1
UNCIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,0,1,0,1,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,0,1,0,1,1
VILLA MONTES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,1,1,1,2
VILLA RIVERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,0,1,0,1
VILLAZON,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,0,1,0,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,0,1,0,1,1
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,0,1,0,1,1
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-08-01,1,0,1,0,1
ACHACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
CAPINOTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,1,1,1,2
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,7,5,7,5,12
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,4,0,4,0,4
"COLCHA ""K""",tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
COROICO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,2,1,2,1,3
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,12,14,12,14,26
GUANAY,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
HUANUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,2,0,2,0,2
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,21,9,21,9,30
LLALLAGUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
MIZQUE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,2,1,2,1,3
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,6,1,6,1,7
PELECHUCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,2,0,2,0,2
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,2,0,2,0,2
PUNATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
QUIABAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,0,1,0,1,1
SAN JULIAN,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
SAN LUCAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,15,6,15,6,21
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,4,0,4,0,4
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,0,2,0,2,2
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,2,0,2,0,2
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,0,1,0,1,1
VILLA MONTES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,2,0,2,0,2
VILLAZON,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,2,1,2,3
YANACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-09-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,0,1,0,1
CAMARGO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,10,5,10,5,15
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,1,1,1,2
"COLCHA ""K""",tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,0,1,0,1
COROICO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,1,1,1,2
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,3,12,3,12,15
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,1,1,1,2
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,29,16,29,16,45
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,1,1,1,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,8,4,8,4,12
PALOS BLANCOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,2,0,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,0,2,0,2,2
SAN JULIAN,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,2,0,2,0,2
SAN LORENZO(TJA),tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,0,1,0,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,18,21,18,21,39
SANTIVAÑES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,0,1,0,1,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,3,2,3,2,5
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,3,4,3,4,7
TIPUANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,1,1,1,2
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,1,1,1,2
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,2,1,2,1,3
VILLA MONTES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,1,1,1,2
VILLAZON,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,1,1,1,1,2
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-10-01,2,0,2,0,2
AUCAPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,1,0,1,0,1
BATALLAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,1,0,1,0,1
BUENA VISTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,1,0,1,0,1
CABEZAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,1,0,1,0,1
CAMARGO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,2,1,2,1,3
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,1,0,1,0,1
CHALLAPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,6,1,6,1,7
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,0,1,0,1,1
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,1,0,1,0,1
COROICO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,2,2,2,2,4
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,6,6,6,6,12
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,14,12,14,12,26
MONTEAGUDO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,1,0,1,0,1
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,5,3,5,3,8
PALOS BLANCOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,2,0,2,0,2
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,4,0,4,0,4
PUNATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,0,1,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,4,2,4,2,6
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,2,0,2,0,2
SAN JULIAN,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,15,7,15,7,22
SORATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,3,0,3,0,3
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,3,3,3,3,6
TACACOMA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,2,1,2,1,3
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,1,0,1,0,1
TURCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,1,0,1,0,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,1,1,1,1,2
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,1,1,1,1,2
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-11-01,1,0,1,0,1
ARANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,0,1,0,1,1
CHALLAPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,1,1,1,1,2
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,11,3,11,3,14
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,0,1,0,1,1
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,1,0,1,0,1
COROICO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,10,4,10,4,14
ENTRE RIOS TRJ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,0,1,0,1,1
ESCOMA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,1,0,1,0,1
EUCALIPTUS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,23,21,23,21,44
MONTEAGUDO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,0,1,0,1,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,2,6,2,6,8
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,2,2,2,2,4
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,1,1,1,1,2
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,1,1,1,1,2
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,0,1,0,1,1
SAN CARLOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,1,0,1,0,1
SAN JOAQUIN,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,16,6,16,6,22
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,1,0,1,0,1
SORATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,4,2,4,2,6
TARABUCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,0,1,0,1,1
TARATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,3,3,3,3,6
TOCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,0,1,0,1,1
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,0,1,0,1,1
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,0,1,0,1,1
YANACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-12-01,0,1,0,1,1
