,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES,TOTALES,TOTALES
CHARAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,0,1,0,1,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,3,0,3,0,3
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,5,3,5,3,8
COMARAPA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,0,1,0,1,1
COTAGAITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,2,0,2,0,2
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,2,3,2,3,5
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,14,7,14,7,21
EL PUENTE(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,2,0,2,0,2
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,0,3,0,3,3
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,3,0,3,0,3
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,2,0,2,0,2
HUMANATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,0,2,0,2,2
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,3,1,3,4
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,5,2,5,2,7
MIZQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,3,0,3,0,3
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,5,2,5,2,7
MOROCHATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,0,1,0,1,1
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,5,1,5,1,6
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,2,0,2,0,2
PATACAMAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,0,3,0,3,3
POOPO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
PORCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,2,1,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,3,1,3,1,4
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,5,4,5,4,9
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,1,1,1,2
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,2,3,2,3,5
SAN CARLOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,0,1,0,1,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,3,1,3,4
SAN LORENZO(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,55,31,55,31,86
SANTA ROSA DEL SARA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
SANTIAGO DE HUARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
SAPAHAQUI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,0,1,0,1,1
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,2,0,2,0,2
SOPACHUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,9,4,9,4,13
TACOBAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
TAPACARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,0,1,0,1,1
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,1,1,1,2
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,2,3,2,3,5
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,3,1,3,1,4
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,1,1,1,2
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,3,2,3,2,5
UNCIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,0,1,0,1,1
VALLEGRANDE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,0,1,0,1,1
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,7,5,7,5,12
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,6,2,6,2,8
ACHACACHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,1,1,1,2
ALTO BENI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,1,1,1,2
ATOCHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,1,1,1,2
CALACOTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
CAPINOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,1,1,1,2
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,7,1,7,1,8
CARAPARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,2,1,2,1,3
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,7,8,7,8,15
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,1,1,1,2
COLOMI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,3,0,3,3
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,2,1,2,1,3
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,2,1,2,1,3
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,2,0,2,2
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,11,11,11,11,22
EL PUENTE(STC),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,2,0,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,2,0,2,2
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
HUACARETA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,1,1,1,2
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,2,0,2,0,2
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,6,3,6,3,9
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,3,1,3,1,4
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
MOJOCOYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,3,4,3,4,7
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,2,0,2,0,2
PAILON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,2,1,2,3
PATACAMAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
POCONA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
PRESTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,4,4,4,4,8
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,3,1,3,4
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
SAN PEDRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,27,17,27,17,44
SANTA ROSA DEL SARA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
SANTUARIO DE QUILLACAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
SORACACHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,11,6,11,6,17
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,6,2,6,2,8
TEOPONTE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,2,0,2,2
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,3,0,3,0,3
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,6,2,6,2,8
VALLEGRANDE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,1,0,1,1
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,2,0,2,0,2
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,0,2,0,2,2
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,2,1,2,3
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,1,1,1,1,2
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,4,8,4,8,12
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-06-01,5,0,5,0,5
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,2,1,2,1,3
CAPINOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,3,0,3,0,3
CHALLAPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,2,1,2,1,3
CLIZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,0,1,0,1,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,3,0,3,0,3
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,12,6,12,6,18
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,0,1,0,1,1
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,0,1,0,1,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,0,1,0,1
COTAGAITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,0,1,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,13,12,13,12,25
EL PUENTE(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,0,1,0,1
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,0,3,0,3,3
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,4,1,4,5
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,0,1,0,1,1
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,1,1,1,2
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,2,0,2,0,2
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,0,2,0,2,2
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,5,4,5,4,9
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,1,1,1,2
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,5,3,5,3,8
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,4,0,4,0,4
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,1,1,1,2
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,3,1,3,1,4
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,5,0,5,0,5
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,6,0,6,0,6
SAN IGNACIO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,1,1,1,2
SAN JAVIER(STC),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,2,0,2,0,2
SAN LORENZO(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,33,12,33,12,45
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,1,1,1,2
SOPACHUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,9,5,9,5,14
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,2,0,2,0,2
TINGUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,0,1,0,1
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,2,0,2,0,2
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,2,2,2,2,4
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,6,0,6,0,6
URIONDO (A. CONCEPCION),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,7,4,7,4,11
VILLAZON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,1,0,1,0,1
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,3,1,3,1,4
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,0,2,0,2,2
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,7,3,7,3,10
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-07-01,6,2,6,2,8
ARQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,0,1,0,1,1
ATOCHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,3,0,3,0,3
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,2,1,2,1,3
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,7,1,7,1,8
CHALLAPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,0,1,0,1,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,2,1,2,3
CHOQUE COTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,0,1,0,1,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,9,6,9,6,15
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
COLOMI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,1,1,1,2
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,2,1,2,1,3
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,2,1,2,1,3
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,14,7,14,7,21
EL PUENTE(STC),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,2,0,2,0,2
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,2,1,2,1,3
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,3,0,3,0,3
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,2,0,2,0,2
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,2,0,2,0,2
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,0,1,0,1,1
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,2,0,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,2,3,2,3,5
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,0,1,0,1,1
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,4,0,4,0,4
LURIBAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
MACHARETI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,2,0,2,0,2
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,3,3,3,3,6
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,5,0,5,0,5
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
PAZÑA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
POROMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,4,1,4,1,5
PUERTO PEREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,7,0,7,0,7
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,2,2,2,2,4
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,1,1,1,2
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,3,1,3,1,4
SAN CARLOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
SAN IGNACIO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,0,2,0,2,2
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,1,1,1,2
SAN LORENZO(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,40,19,40,19,59
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,4,0,4,0,4
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,0,1,0,1,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,4,6,4,6,10
TACACOMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
TACOBAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,0,1,0,1,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,1,1,1,2
TEOPONTE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,0,3,0,3,3
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,2,1,2,1,3
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,3,1,3,1,4
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,3,1,3,4
UNCIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
URUBICHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,0,1,0,1
VILLA CHARCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,5,0,5,0,5
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,0,2,0,2,2
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,1,1,1,2
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,1,2,1,2,3
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,3,4,3,4,7
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-08-01,2,3,2,3,5
ARQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,1,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,2,1,2,1,3
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
CALAMARCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
CAMARGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,3,0,3,0,3
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,1,0,1,0,1
CAPINOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-09-01,0,1,0,1,1
