,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES,TOTALES,TOTALES
REYES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,3,7,3,7,10
RIBERALTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,41,36,41,36,77
ROBORE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,3,2,3,2,5
RURRENABAQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,6,11,6,11,17
SABAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,2,1,2,3
SACABA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,23,34,23,34,57
SACABAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,0,1,0,1,1
SACACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,4,2,4,2,6
SAIPINA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,6,3,6,3,9
SAMAIPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,4,2,4,2,6
SAN ANDRES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,0,1,0,1
SAN ANDRES DE MACHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,3,4,3,4,7
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,10,0,10,0,10
SAN BENITO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,5,4,5,4,9
SAN BORJA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,22,31,22,31,53
SAN BUENA VENTURA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,4,9,4,9,13
SAN CARLOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,21,9,21,9,30
SAN IGNACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,7,13,7,13,20
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,8,10,8,10,18
SAN JAVIER(STC),tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,9,3,9,3,12
SAN JOAQUIN,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,4,1,4,5
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,7,7,7,7,14
SAN JULIAN,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,32,7,32,7,39
SAN LORENZO(TJA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,6,2,6,8
SAN LUCAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,9,12,9,12,21
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,4,2,4,6
SAN PEDRO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,5,4,5,4,9
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,9,7,9,7,16
SAN PEDRO DE TIQUINA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,3,1,3,4
SAN RAFAEL,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,0,2,0,2
SAN RAMON BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,0,2,0,2,2
SAN RAMON SCZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,12,0,12,0,12
SANTA ANA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,4,3,4,3,7
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,554,413,554,413,967
SANTA ROSA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,1,1,1,2
SANTA ROSA DEL SARA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,7,7,7,7,14
SANTIAGO DE HUARI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,5,1,5,6
SANTIAGO DE HUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,0,2,0,2
SANTIVAÑES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,6,2,6,2,8
SANTUARIO DE QUILLACAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,0,1,0,1
SAPAHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,1,1,1,2
SENA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,1,1,1,2
SHINAOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,11,6,11,6,17
SICA SICA (VILLA AROMA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,0,2,0,2,2
SICAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,0,2,0,2
SIPE SIPE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,4,10,4,10,14
SOPACHUY,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,5,5,5,5,10
SORACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,1,2,1,3
SORATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,13,12,13,12,25
SUCRE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,117,111,117,111,228
TACACOMA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,7,3,7,3,10
TACOBAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,1,2,1,3
TAPACARI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,11,11,11,11,22
TARABUCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,17,16,17,16,33
TARACO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,0,1,0,1
TARATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,8,1,8,9
TARIJA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,94,126,94,126,220
TARVITA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,3,7,3,7,10
TEOPONTE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,7,4,7,4,11
TIAWANACU,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,5,1,5,6
TINGUIPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,4,1,4,1,5
TIPUANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,29,10,29,10,39
TIQUIPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,19,17,19,17,36
TIRAQUE (CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,4,1,4,5
TOCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,4,2,4,2,6
TOLATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,1,1,1,2
TOLEDO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,4,1,4,1,5
TOMAVE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,3,4,3,4,7
TOMINA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,4,2,4,2,6
TORO TORO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,2,2,2,4
TOTORA(CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,7,0,7,0,7
TRIGAL,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,2,1,2,3
TRINIDAD,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,34,21,34,21,55
TUPIZA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,8,6,8,6,14
TURCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,0,2,0,2
UNCIA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,6,1,6,1,7
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,2,2,2,4
URUBICHA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,4,1,4,1,5
UYUNI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,5,11,5,11,16
VACAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,3,6,3,6,9
VALLEGRANDE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,12,1,12,1,13
VIACHA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,6,11,6,11,17
VILA VILA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,0,1,0,1,1
VILLA CHARCAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,5,6,5,6,11
VILLA MONTES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,16,14,16,14,30
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,0,2,0,2
VILLA SERRANO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,5,4,5,4,9
VILLA TUNARI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,60,46,60,46,106
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,2,2,2,4
VILLAZON,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,8,8,8,8,16
VINTO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,11,10,11,10,21
VITICHI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,4,1,4,1,5
WARNES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,19,32,19,32,51
YACO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,1,2,1,3
YACUIBA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,53,51,53,51,104
YAMPARAEZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,5,6,5,6,11
YANACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,3,2,3,5
YAPACANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,61,52,61,52,113
YOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,3,0,3,0,3
YOTALA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,1,0,1,0,1
YUNCHARA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,0,3,0,3,3
ZUDAÑEZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-03-01,2,1,2,1,3
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,16,10,16,10,26
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,1,0,1,1
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,4,2,4,6
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,3,0,3,0,3
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,8,3,8,3,11
ANCORAIMES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,7,1,7,1,8
ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,0,2,0,2
ANTEQUERA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,3,2,3,2,5
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,5,2,5,7
APOLO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,2,1,2,3
ARAMPAMPA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,0,1,0,1
ARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,2,0,2,2
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,6,2,6,8
ARQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,2,1,2,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,7,4,7,4,11
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,7,2,7,2,9
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,0,1,0,1
AYATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,2,0,2,2
AYO AYO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,4,8,4,8,12
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,3,1,3,4
BATALLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,13,9,13,9,22
BAURES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,1,2,1,3
BELEN DE ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,1,0,1,1
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,35,22,35,22,57
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,6,3,6,3,9
BOLIVAR,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,6,2,6,2,8
BOYUIBE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,3,8,3,8,11
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,5,7,5,7,12
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,15,9,15,9,24
CAIROMA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,1,1,1,2
"CAIZA ""D""",tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,1,1,1,2
CAJUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,1,0,1,1
CALACOTO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,2,0,2,2
CALAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,0,2,0,2
CAMARGO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,12,10,12,10,22
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,2,1,2,3
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,5,11,5,11,16
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,7,6,7,6,13
CAQUIAVIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,0,1,0,1
CARACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,6,3,6,3,9
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,54,34,54,34,88
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,2,2,2,4
CHALLAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,3,9,3,9,12
CHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,2,1,2,3
CHARAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,7,6,7,6,13
CHAYANTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,3,3,3,3,6
CHIMORE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,10,10,10,10,20
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,20,11,20,11,31
CHUMA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,5,2,5,2,7
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,1,0,1,1
CKOCHAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,6,0,6,0,6
CLIZA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,6,6,6,6,12
COBIJA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,46,19,46,19,65
COCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,4,5,4,5,9
COCHABAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,129,95,129,95,224
COLCAPIRHUA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,6,16,6,16,22
COLOMI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,3,3,3,3,6
COLPA BELGICA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,4,6,4,6,10
COLQUECHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,7,4,7,4,11
COLQUENCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,0,1,0,1
COLQUIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,6,4,6,4,10
COMANCHE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,1,1,1,2
COMARAPA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,8,9,8,9,17
CONCEPCION,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,5,0,5,0,5
CORIPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,17,8,17,8,25
COROICO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,16,11,16,11,27
CORQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,1,1,1,2
COTAGAITA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,5,10,5,10,15
COTOCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,17,14,17,14,31
CUATRO CAÑADAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,11,7,11,7,18
CULPINA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,7,11,7,11,18
CURAHUARA DE CARANGAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,3,2,3,2,5
DESAGUADERO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,1,0,1,1
EL ALTO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,324,285,324,285,609
EL PUENTE(STC),tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,6,5,6,5,11
EL PUENTE(TJA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,2,0,2,2
EL TORNO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,29,24,29,24,53
EL VILLAR,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,3,0,3,3
ENTRE RIOS TRJ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,10,6,10,6,16
ENTRE RIOS CBBA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,21,18,21,18,39
ESCOMA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,3,1,3,1,4
EUCALIPTUS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,1,1,1,2
EUREKA (SANTOS MERCADO),tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,0,2,0,2
FERNANDEZ ALONSO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,7,5,7,5,12
FILADELFIA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,0,2,0,2
GENERAL SAAVEDRA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,6,4,6,4,10
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,0,1,0,1
GUANAY,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,9,10,9,10,19
GUAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,2,2,2,4
GUAYARAMERIN,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,28,21,28,21,49
GUTIERREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,12,3,12,3,15
HUACARETA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,6,5,6,5,11
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,2,1,2,3
HUACHACALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,0,2,0,2
HUANUNI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,11,13,11,13,24
HUARACAJE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,4,0,4,0,4
HUARINA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,3,2,3,2,5
HUMANATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,1,0,1,1
ICHOCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,1,1,1,2
ICLA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,3,2,3,2,5
INCAHUASI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,7,9,7,9,16
INGAVI (HUMAITA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,3,0,3,3
INQUISIVI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,4,0,4,0,4
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,10,7,10,7,17
IXIAMAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,0,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,5,10,5,10,15
LA ASUNTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,27,19,27,19,46
LA GUARDIA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,24,37,24,37,61
LA PAZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,357,343,357,343,700
LAGUNILLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,3,3,3,3,6
LAJA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,7,3,7,3,10
LLALLAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,33,1,33,1,34
LLICA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,0,1,0,1
LURIBAY,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,1,1,1,2
MACHACAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,0,2,0,2
MACHARETI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,11,6,11,6,17
MAGDALENA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,7,2,7,9
MAIRANA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,2,2,2,4
MALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,0,1,0,1
MAPIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,8,8,8,8,16
MECAPACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,3,0,3,0,3
MINEROS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,8,5,8,5,13
MIZQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,7,5,7,5,12
MOCOMOCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,0,1,0,1
MOJOCOYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,3,7,3,7,10
MONTEAGUDO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,20,26,20,26,46
MONTERO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,41,43,41,43,84
MORO MORO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,2,0,2,2
MOROCHATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,1,1,1,2
OCURI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,5,11,5,11,16
OKINAWA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,1,1,1,2
OMEREQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,6,2,6,8
ORURO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,130,125,130,125,255
PADCAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,8,1,8,9
PADILLA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,4,8,4,8,12
PAILON,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,12,3,12,3,15
PALCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,0,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,27,25,27,25,52
PAMPA GRANDE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,0,1,0,1
PAPEL PAMPA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,2,2,2,4
PASORAPA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,1,0,1,1
PATACAMAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,3,3,3,3,6
PAZÑA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,1,0,1,1
PELECHUCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,1,1,1,2
POCOATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,9,10,9,10,19
POCONA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,4,8,4,8,12
POJO (CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,9,3,9,3,12
POOPO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,1,2,1,3
PORCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,3,1,3,4
POROMA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,3,2,3,5
PORONGO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,3,1,3,4
PORTACHUELO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,6,2,6,2,8
PORVENIR,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,4,0,4,0,4
POSTRER VALLE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,1,2,1,3
POTOSI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,104,24,104,24,128
PRESTO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,6,2,6,2,8
PUCARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,5,2,5,2,7
PUERTO ACOSTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,1,0,1,1
PUERTO CARABUCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,9,2,9,2,11
PUERTO GONZALO MORENO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,2,0,2,0,2
PUERTO PEREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,4,1,4,1,5
PUERTO QUIJARRO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,1,5,1,5,6
PUERTO RICO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,0,4,0,4,4
PUERTO SUAREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,4,0,4,0,4
PUERTO VILLARROEL,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,35,28,35,28,63
PUNA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,8,1,8,1,9
PUNATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,8,6,8,6,14
QUIABAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-04-01,3,1,3,1,4
