,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES,TOTALES,TOTALES
CLIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,2,0,2,0,2
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,5,2,5,2,7
COROICO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,1,1,1,1,2
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,3,2,3,2,5
EL PUENTE(TJA),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,1,0,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,1,0,1,0,1
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,2,2,2,2,4
LA ASUNTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,5,3,5,3,8
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,2,1,2,1,3
PELECHUCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,2,0,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,5,4,5,4,9
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,1,0,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,2,1,2,1,3
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,1,3,1,3,4
SAN LUCAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,2,2,2,2,4
SAN PEDRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,2,4,2,4,6
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,12,1,12,1,13
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,0,1,0,1,1
TIPUANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,1,1,1,1,2
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,0,3,0,3,3
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,1,3,1,3,4
BERMEJO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,4,9,4,9,13
BUENA VISTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,6,2,6,2,8
CABEZAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,0,1,0,1,1
CLIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,2,2,2,2,4
CONCEPCION,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,5,3,5,3,8
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,3,2,3,2,5
EL VILLAR,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,1,2,1,2,3
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,3,6,3,6,9
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,8,8,8,8,16
MOCOMOCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,0,1,0,1,1
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,1,0,1,0,1
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,2,0,2,0,2
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,0,1,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,2,0,2,0,2
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,2,0,2,0,2
SAN ANDRES,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,1,0,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,6,6,6,6,12
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,1,0,1,0,1
SAN PEDRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,5,1,5,1,6
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,22,10,22,10,32
SANTA ROSA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,6,5,6,5,11
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,2,0,2,0,2
TIPUANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,1,0,1,0,1
TOMAVE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,1,2,1,2,3
TOMINA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,0,1,0,1,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,1,0,1,0,1
VILLA SERRANO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,6,4,6,4,10
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,1,0,1,0,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-10-01,1,0,1,0,1
ACHOCALLA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,0,1,0,1,1
BERMEJO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,8,4,8,4,12
BUENA VISTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,2,1,2,1,3
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,1,0,1,0,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,5,4,5,4,9
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,2,4,2,4,6
CORIPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,1,0,1,0,1
COTAGAITA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,6,3,6,3,9
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,0,1,0,1,1
GUTIERREZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,0,1,0,1,1
HUMANATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,0,1,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,2,0,2,0,2
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,17,4,17,4,21
MECAPACA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,0,1,0,1,1
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,0,1,0,1,1
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,44,42,44,42,86
PRESTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,10,2,10,2,12
PUNATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,0,1,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,1,1,1,1,2
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,1,0,1,0,1
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,1,0,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,13,3,13,3,16
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,0,1,0,1,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,1,2,1,2,3
SAN PEDRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,11,8,11,8,19
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,3,7,3,7,10
TARATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,3,3,3,3,6
YOCALLA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,2,0,2,0,2
ZUDAÑEZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-11-01,2,0,2,0,2
ATOCHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,1,0,1,0,1
CARAPARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,1,0,1,0,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,1,1,1,1,2
CHUMA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,2,0,2,0,2
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,8,1,8,1,9
EL VILLAR,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,1,0,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,16,4,16,4,20
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,3,5,3,5,8
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,10,11,10,11,21
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,1,1,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,1,0,1,0,1
PUNATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,2,0,2,0,2
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,1,1,1,1,2
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,1,0,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,4,3,4,3,7
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,2,2,2,2,4
SAN PEDRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,1,2,1,2,3
SAN RAMON SCZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,5,4,5,4,9
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,4,3,4,3,7
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,5,6,5,6,11
TINGUIPAYA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,0,1,0,1,1
TIPUANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,0,1,0,1,1
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,1,1,1,1,2
TIRAQUE (CBBA),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,2,0,2,0,2
TOMAVE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,3,3,3,3,6
VILLA MONTES,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-12-01,2,0,2,0,2
